Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,710.0,721.6,701.75,707.0,706.3,146943.0,1047.06
2018-03-12,703.0,716.0,700.4,705.75,705.8,141643.0,1002.49
2018-03-09,699.0,719.0,679.15,696.0,693.95,188917.0,1325.91
2018-03-08,685.0,699.65,656.0,696.0,690.15,188716.0,1281.85
2018-03-07,710.5,711.8,675.0,683.0,681.05,114449.0,790.45
2018-03-06,722.5,739.0,703.05,704.0,710.5,158089.0,1142.83
2018-03-05,730.0,734.8,713.0,717.0,718.25,103873.0,748.93
2018-03-01,737.0,753.7,728.75,730.9,730.85,116673.0,863.42
2018-02-28,737.9,751.5,732.35,735.05,736.55,135663.0,1004.57
2018-02-27,755.0,762.0,735.5,746.0,744.25,189939.0,1421.29
2018-02-26,758.5,779.95,745.0,752.0,750.95,221727.0,1688.45
2018-02-23,763.95,776.85,745.25,750.05,753.45,183460.0,1402.19
2018-02-22,762.9,777.6,752.05,758.75,758.7,174495.0,1332.78
2018-02-21,783.0,788.0,764.0,767.05,766.9,120500.0,932.84
2018-02-20,795.0,801.9,772.0,777.0,776.8,199470.0,1567.91
2018-02-19,816.45,831.4,784.0,791.3,799.25,353403.0,2843.98
2018-02-16,831.0,866.45,792.0,809.45,809.9,1607492.0,13443.62
2018-02-15,836.0,844.0,775.1,785.25,784.85,316943.0,2544.87
2018-02-14,813.0,839.95,805.0,819.2,819.2,352043.0,2904.23
2018-02-12,759.0,830.05,758.0,804.0,801.0,720823.0,5812.89
2018-02-09,736.5,768.4,712.55,752.0,751.2,332621.0,2496.93
2018-02-08,739.7,783.9,735.0,762.0,760.15,542689.0,4136.92
2018-02-07,648.0,735.0,640.0,720.0,726.2,412792.0,2851.47
2018-02-06,610.0,632.0,585.0,611.15,615.2,282637.0,1743.94
2018-02-05,630.0,657.0,602.0,643.0,643.85,146478.0,936.82
2018-02-02,702.1,712.35,585.05,656.65,656.6,213274.0,1417.51
2018-02-01,741.35,744.0,702.0,717.5,718.15,164687.0,1187.31
2018-01-31,729.9,753.0,710.0,740.0,736.85,185666.0,1360.11
2018-01-30,780.0,780.6,717.0,730.0,732.45,195881.0,1451.55
2018-01-29,792.8,805.0,772.15,773.1,776.95,109210.0,858.56
2018-01-25,807.5,813.3,781.0,782.4,785.85,120014.0,955.12
2018-01-24,799.0,824.0,781.05,806.0,805.5,364336.0,2950.5
2018-01-23,798.0,818.0,791.1,796.45,797.2,355979.0,2867.67
2018-01-22,830.7,835.0,748.0,783.8,781.05,1520996.0,11637.22
2018-01-19,833.55,847.95,815.0,828.1,826.05,78445.0,652.15
2018-01-18,822.0,861.0,817.0,830.0,832.3,208636.0,1760.2
2018-01-17,833.9,840.7,812.0,814.65,815.4,79267.0,650.93
2018-01-16,864.0,869.0,830.0,831.0,833.3,82827.0,699.0
2018-01-15,865.0,877.1,852.05,861.0,864.0,114665.0,991.07
2018-01-12,867.0,879.95,848.0,856.5,857.35,130240.0,1126.98
2018-01-11,846.8,886.25,846.8,863.0,864.85,189434.0,1645.77
2018-01-10,850.0,858.05,842.0,844.0,846.25,108427.0,920.27
2018-01-09,865.0,882.0,841.6,849.0,847.1,129741.0,1116.62
2018-01-08,874.0,878.0,856.1,860.85,859.15,79758.0,688.61
2018-01-05,866.0,892.0,860.05,861.75,863.05,124516.0,1087.14
2018-01-04,885.0,891.3,855.0,866.0,860.0,105960.0,921.97
2018-01-03,895.35,904.9,880.0,882.05,884.35,101522.0,905.49
2018-01-02,907.9,914.0,871.0,891.0,891.2,124664.0,1115.62
2018-01-01,908.0,921.85,900.0,904.0,901.95,74853.0,680.84
2017-12-29,916.9,921.8,905.0,906.0,908.05,71974.0,656.56
2017-12-28,917.0,927.35,902.15,916.0,912.9,116372.0,1066.35
2017-12-27,899.1,949.0,895.0,917.5,917.35,413954.0,3840.77
2017-12-26,909.8,914.65,892.0,900.0,899.3,73848.0,667.29
