Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,1160.05,1199.6,1148.15,1196.0,1193.9,112367.0,1326.91
2018-03-12,1174.95,1174.95,1145.0,1160.0,1156.55,28922.0,333.92
2018-03-09,1165.9,1170.0,1151.05,1167.95,1168.0,19272.0,224.35
2018-03-08,1167.0,1170.0,1150.0,1165.0,1165.9,24067.0,279.59
2018-03-07,1150.05,1167.7,1144.05,1150.0,1150.45,29027.0,334.75
2018-03-06,1155.55,1170.45,1153.0,1166.0,1159.55,11447.0,133.45
2018-03-05,1175.0,1175.0,1152.35,1158.95,1161.85,22331.0,259.48
2018-03-01,1173.1,1182.0,1161.05,1166.55,1172.25,40353.0,473.63
2018-02-28,1151.3,1190.0,1137.0,1172.0,1173.05,89962.0,1050.46
2018-02-27,1156.3,1160.0,1149.1,1157.05,1156.3,14814.0,171.13
2018-02-26,1178.95,1178.95,1135.95,1151.0,1144.85,47492.0,545.93
2018-02-23,1155.0,1178.9,1155.0,1162.0,1170.4,15067.0,175.94
2018-02-22,1165.85,1167.25,1150.05,1158.5,1155.1,6328.0,73.29
2018-02-21,1179.9,1179.9,1158.05,1158.05,1167.25,19661.0,230.55
2018-02-20,1172.7,1175.0,1156.55,1170.9,1169.95,38706.0,452.75
2018-02-19,1179.0,1179.0,1141.0,1151.4,1155.9,29007.0,336.27
2018-02-16,1182.0,1182.0,1155.0,1175.0,1169.0,18365.0,214.61
2018-02-15,1190.0,1194.95,1152.0,1180.0,1180.2,55581.0,655.77
2018-02-14,1125.0,1188.0,1125.0,1179.5,1183.1,70502.0,822.37
2018-02-12,1149.85,1149.85,1123.0,1133.0,1132.65,8464.0,95.79
2018-02-09,1091.0,1140.15,1091.0,1139.0,1139.2,27632.0,310.57
2018-02-08,1128.0,1140.0,1125.55,1139.9,1137.35,27145.0,307.99
2018-02-07,1119.95,1143.9,1104.0,1122.0,1125.65,39525.0,445.46
2018-02-06,1051.0,1108.65,1033.0,1103.0,1100.25,120459.0,1293.02
2018-02-05,1054.0,1110.0,1040.0,1109.5,1105.3,35630.0,383.55
2018-02-02,1099.0,1101.0,1053.0,1099.9,1090.45,175132.0,1909.29
