Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,156.0,168.35,156.0,162.7,163.3,1695575.0,2771.51
2018-03-12,158.85,159.4,155.6,158.0,157.55,453256.0,713.81
2018-03-09,156.65,159.5,154.55,156.45,156.7,661761.0,1038.99
2018-03-08,160.1,160.7,155.2,156.1,156.6,633495.0,995.38
2018-03-07,163.0,163.7,157.75,159.45,158.95,597879.0,959.12
2018-03-06,169.0,171.4,163.5,164.3,164.45,626726.0,1051.16
2018-03-05,168.1,168.95,166.0,166.6,166.75,454177.0,758.42
2018-03-01,169.9,171.3,169.0,169.65,169.6,540101.0,917.03
2018-02-28,171.4,172.0,169.65,170.55,170.5,571412.0,975.13
2018-02-27,175.95,176.8,172.8,173.25,173.8,831923.0,1451.98
2018-02-26,175.1,175.65,173.3,175.25,174.45,757008.0,1319.99
2018-02-23,171.1,174.8,171.1,172.9,173.0,1272941.0,2204.52
2018-02-22,167.8,170.45,166.6,168.3,168.3,731306.0,1229.91
2018-02-21,173.0,173.5,167.2,168.45,168.75,623932.0,1058.9
2018-02-20,171.4,173.75,169.1,171.45,171.35,781699.0,1342.28
2018-02-19,174.6,175.9,168.1,170.6,170.35,974747.0,1673.22
2018-02-16,178.7,180.5,172.2,173.7,173.7,1039243.0,1826.62
2018-02-15,182.3,185.45,176.5,177.35,177.35,1345508.0,2435.15
2018-02-14,188.5,190.5,180.3,180.95,180.95,1431901.0,2643.55
2018-02-12,188.4,194.5,186.65,189.5,190.15,2183620.0,4155.77
2018-02-09,183.35,189.5,183.0,187.0,186.95,868446.0,1618.97
2018-02-08,189.1,193.25,187.0,188.7,188.85,1259854.0,2393.68
2018-02-07,185.2,196.0,184.0,188.3,188.25,2100166.0,3995.48
2018-02-06,180.0,184.0,177.0,179.85,180.3,1218331.0,2205.84
2018-02-05,188.8,192.95,186.15,191.3,191.1,1212397.0,2308.11
2018-02-02,203.7,205.95,191.25,193.2,193.2,1782035.0,3526.47
2018-02-01,211.75,212.9,204.6,206.1,206.6,1413772.0,2946.71
2018-01-31,211.85,215.6,208.35,211.0,211.0,1363558.0,2891.6
2018-01-30,221.5,222.0,212.05,212.7,213.5,1401679.0,3042.87
2018-01-29,234.75,235.25,223.05,223.75,224.1,1449585.0,3316.27
2018-01-25,237.25,239.0,229.0,233.15,233.25,1597329.0,3745.62
2018-01-24,228.65,239.85,228.1,232.55,233.15,3149141.0,7394.88
2018-01-23,232.65,236.0,225.05,227.95,227.5,1720032.0,3968.0
2018-01-22,230.4,236.4,226.05,231.3,231.25,1840596.0,4268.88
2018-01-19,234.1,237.5,225.6,229.0,230.05,2444981.0,5639.95
2018-01-18,248.5,254.95,230.0,232.55,232.9,4601595.0,11281.15
2018-01-17,258.2,258.9,235.35,245.2,246.0,3753188.0,9245.54
2018-01-16,265.35,272.5,256.35,258.1,258.55,5005903.0,13227.33
2018-01-15,261.5,271.3,260.2,262.95,262.95,4022482.0,10659.06
2018-01-12,269.3,278.75,259.15,263.0,262.5,10170658.0,27333.75
2018-01-11,252.7,280.7,252.2,266.85,268.1,28788250.0,77934.04
2018-01-10,221.0,257.3,221.0,252.5,251.45,24173971.0,59264.98
2018-01-09,221.25,225.9,215.5,217.75,218.3,2449022.0,5423.26
2018-01-08,217.0,226.95,215.55,219.2,220.05,4586419.0,10141.16
2018-01-05,210.0,217.5,208.7,214.75,215.55,3929454.0,8408.83
2018-01-04,208.8,212.8,208.1,208.75,209.6,2153252.0,4530.18
2018-01-03,206.0,209.0,203.55,204.9,205.05,1399871.0,2886.13
