Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,222.0,226.0,218.0,221.0,221.5,196651.0,436.03
2018-03-12,217.5,224.0,213.85,222.0,220.7,275139.0,603.49
2018-03-09,215.6,219.0,213.45,214.55,214.55,177090.0,382.85
2018-03-08,221.1,224.7,212.25,214.5,215.4,261342.0,568.37
2018-03-07,231.45,232.55,212.15,221.05,219.75,463722.0,1025.95
2018-03-06,238.5,239.8,232.1,232.2,233.4,122225.0,287.91
2018-03-05,239.2,240.0,236.0,237.95,237.95,93984.0,223.75
2018-03-01,243.4,247.35,239.25,240.0,241.2,486296.0,1186.93
2018-02-28,231.0,244.55,228.85,244.0,242.95,377563.0,901.69
2018-02-27,235.0,235.4,231.0,232.0,231.9,72084.0,167.8
2018-02-26,231.8,235.9,230.9,233.45,233.7,121069.0,283.11
2018-02-23,232.0,235.0,228.0,231.0,229.7,211914.0,488.34
2018-02-22,233.0,233.0,228.45,229.5,230.4,174521.0,402.45
2018-02-21,236.0,238.8,232.85,234.2,233.95,232761.0,546.16
2018-02-20,235.8,240.0,231.0,233.35,232.95,170487.0,400.13
2018-02-19,244.1,244.1,234.1,236.0,235.0,144972.0,345.33
2018-02-16,245.8,247.5,237.0,243.0,241.15,191607.0,461.37
2018-02-15,254.8,254.95,239.5,244.0,243.9,175980.0,435.48
2018-02-14,256.0,259.05,248.0,252.65,252.35,193123.0,490.55
2018-02-12,255.2,260.7,253.5,254.0,254.1,168991.0,433.78
2018-02-09,249.7,259.0,243.2,255.0,254.2,133338.0,338.69
2018-02-08,263.45,264.0,256.9,260.0,259.85,158755.0,414.76
2018-02-07,267.4,269.9,259.15,261.05,261.5,219361.0,578.78
2018-02-06,235.0,263.0,230.0,256.15,256.0,501962.0,1252.8
2018-02-05,240.0,247.95,235.2,247.0,246.7,693786.0,1701.34
2018-02-02,258.0,260.8,248.0,251.25,249.8,240071.0,606.3
2018-02-01,267.7,267.8,260.1,261.35,261.4,140606.0,370.71
2018-01-31,265.0,269.0,263.0,263.55,264.1,126011.0,334.33
2018-01-30,282.75,284.05,267.0,268.65,268.85,204529.0,555.15
2018-01-29,286.5,293.8,278.45,278.5,279.75,580784.0,1645.81
2018-01-25,287.0,291.2,282.1,284.9,284.15,66743.0,190.37
2018-01-24,290.8,290.8,284.0,285.0,285.25,103625.0,296.86
2018-01-23,287.9,293.5,287.0,290.1,290.45,113790.0,330.25
2018-01-22,290.4,290.7,284.4,287.0,286.95,94238.0,270.22
2018-01-19,295.9,295.95,285.7,289.15,289.7,238524.0,691.72
2018-01-18,301.2,309.0,292.1,295.5,294.3,240476.0,722.37
2018-01-17,305.9,305.9,295.0,298.85,298.75,444565.0,1329.86
2018-01-16,309.0,314.0,303.25,305.0,305.2,313933.0,973.51
2018-01-15,312.0,314.5,308.0,309.6,308.9,181383.0,563.72
2018-01-12,316.2,323.5,305.1,309.45,310.05,842149.0,2665.07
2018-01-11,305.0,318.4,302.25,313.5,312.1,1038207.0,3254.75
2018-01-10,312.5,312.5,301.9,303.25,303.8,244439.0,748.47
2018-01-09,306.7,314.8,304.15,310.55,310.5,691186.0,2140.02
2018-01-08,305.4,311.25,304.05,305.0,304.95,269317.0,826.37
2018-01-05,296.4,314.3,296.35,302.4,302.6,845611.0,2600.86
2018-01-04,303.8,303.8,293.0,294.7,294.4,281439.0,835.45
2018-01-03,311.95,315.0,298.1,302.55,302.0,776619.0,2379.43
2018-01-02,278.45,320.9,278.45,309.75,309.15,4394623.0,13588.41
2018-01-01,279.6,281.0,277.45,278.0,278.45,102143.0,284.88
2017-12-29,279.95,280.9,275.0,278.9,277.45,101021.0,279.74
2017-12-28,282.25,284.75,276.25,277.4,277.95,71831.0,200.75
2017-12-27,282.45,285.5,281.05,281.65,282.0,113144.0,319.86
2017-12-26,282.4,287.0,281.0,282.0,281.9,166701.0,470.37
2017-12-22,284.9,284.9,281.5,282.6,282.55,87482.0,247.62
2017-12-21,285.0,285.0,281.15,281.9,281.95,55252.0,155.99
2017-12-20,286.0,287.0,281.0,282.0,282.15,75399.0,214.08
2017-12-19,282.65,288.0,282.0,285.5,285.3,76829.0,219.15
2017-12-18,280.05,288.45,278.1,282.65,282.55,97552.0,275.72
2017-12-15,284.0,286.0,280.85,281.75,281.9,83623.0,236.14
2017-12-14,283.0,283.8,278.15,281.9,281.8,120348.0,338.79
2017-12-13,282.0,284.4,280.0,282.0,281.4,129888.0,366.35
2017-12-12,288.2,288.2,281.0,282.0,282.05,92180.0,260.86
2017-12-11,285.75,291.0,282.05,286.0,286.9,261020.0,752.88
2017-12-08,289.0,291.4,281.9,283.0,283.3,294304.0,844.41
2017-12-07,270.0,289.5,266.2,289.5,287.0,627217.0,1754.52
2017-12-06,276.65,281.8,269.0,271.25,271.0,194227.0,533.89
2017-12-05,289.9,289.9,275.1,278.25,278.35,278187.0,780.5
2017-12-04,293.15,301.15,280.3,289.35,289.0,685164.0,2010.44
2017-12-01,278.9,299.0,277.8,291.0,289.75,1533044.0,4465.26
2017-11-30,266.25,278.4,264.1,276.6,276.6,423373.0,1157.48
2017-11-29,265.2,265.95,264.0,265.1,265.05,88302.0,234.12
2017-11-28,265.0,266.4,265.0,265.85,265.2,89750.0,238.0
2017-11-27,265.6,266.2,264.65,265.0,265.5,104829.0,278.06
2017-11-24,266.0,266.0,264.0,264.9,265.2,63008.0,167.07
2017-11-23,266.5,266.5,264.05,266.0,265.35,82990.0,220.33
2017-11-22,265.7,267.5,264.9,265.0,265.15,77699.0,206.45
2017-11-21,266.9,268.0,265.0,265.95,265.7,87196.0,232.2
2017-11-20,266.8,269.0,264.1,265.55,265.4,80074.0,213.28
2017-11-17,267.9,270.2,265.0,265.65,265.35,81805.0,218.76
2017-11-16,265.1,274.85,262.5,267.0,267.35,166052.0,444.39
2017-11-15,266.0,267.65,263.85,264.95,265.2,133662.0,354.28
2017-11-14,269.7,272.9,263.7,267.9,268.15,194982.0,524.27
2017-11-13,266.15,271.5,266.15,267.95,267.95,127755.0,342.81
2017-11-10,267.95,271.9,265.5,267.0,267.3,132688.0,355.09
2017-11-09,269.0,271.9,265.0,268.75,266.95,149989.0,401.64
2017-11-08,271.9,274.7,267.0,267.7,268.45,143075.0,387.12
2017-11-07,271.9,280.9,270.1,271.0,271.95,470374.0,1297.73
2017-11-06,268.0,272.7,266.9,270.15,270.1,165536.0,447.22
2017-11-03,273.4,274.0,270.0,270.65,270.9,159756.0,434.29
2017-11-02,272.7,275.0,270.0,271.15,271.15,132762.0,361.74
2017-11-01,273.0,275.85,267.0,271.0,271.1,182155.0,497.45
2017-10-31,267.5,277.75,265.0,271.65,271.8,400452.0,1093.58
2017-10-30,267.7,268.0,262.7,267.15,266.8,199065.0,530.19
2017-10-27,260.25,266.9,258.0,265.0,264.95,197041.0,520.95
2017-10-26,264.65,264.65,258.0,258.45,259.2,145232.0,377.06
2017-10-25,265.0,266.8,261.1,261.1,263.65,168907.0,444.59
2017-10-24,262.7,266.6,260.0,262.2,263.35,132680.0,349.6
2017-10-23,265.0,265.35,261.0,261.5,261.7,97272.0,255.67
2017-10-19,264.75,266.8,263.15,265.7,265.5,47530.0,126.07
2017-10-18,265.0,266.45,260.0,261.0,261.4,111440.0,292.55
2017-10-17,265.9,270.6,263.7,265.0,265.75,110226.0,294.02
2017-10-16,272.0,272.0,264.7,265.9,265.6,95422.0,254.89
2017-10-13,271.4,275.0,267.1,268.25,268.8,111623.0,302.64
2017-10-12,272.0,274.0,267.0,268.3,268.9,82152.0,221.5
2017-10-11,275.85,277.5,270.2,271.05,271.25,179805.0,491.72
2017-10-10,276.9,281.0,272.5,274.2,273.8,323465.0,896.3
2017-10-09,271.0,277.25,268.5,275.5,275.1,304406.0,833.97
2017-10-06,267.9,277.9,264.8,270.4,269.45,830662.0,2270.91
2017-10-05,261.0,272.0,260.6,265.2,264.35,326285.0,866.21
2017-10-04,252.7,273.0,248.3,263.5,262.95,881953.0,2334.32
2017-10-03,256.0,256.6,248.8,249.0,250.2,93525.0,235.74
2017-09-29,250.9,255.3,248.0,252.95,252.0,157751.0,399.07
2017-09-28,252.8,252.8,246.0,248.95,248.6,119067.0,295.68
2017-09-27,258.0,258.0,247.05,249.5,249.95,157631.0,396.43
2017-09-26,253.0,256.7,251.5,254.5,253.9,122183.0,309.82
2017-09-25,263.0,263.4,246.5,254.0,251.35,409798.0,1030.61
2017-09-22,263.8,273.0,258.0,259.0,259.0,780293.0,2063.86
2017-09-21,268.8,268.8,259.1,263.0,261.8,368325.0,971.64
2017-09-20,273.5,273.5,264.6,265.5,265.95,461159.0,1234.25
2017-09-19,271.0,276.85,270.2,271.0,271.15,171922.0,469.06
2017-09-18,273.0,275.5,269.0,269.95,270.6,169531.0,462.04
2017-09-15,266.0,273.5,263.1,271.6,271.45,398141.0,1074.2
2017-09-14,273.3,275.9,264.0,265.5,265.6,750643.0,2009.65
2017-09-13,278.2,285.7,271.0,272.7,272.05,508072.0,1403.4
2017-09-12,292.5,295.3,273.05,278.3,278.7,917143.0,2570.81
2017-09-11,298.55,311.0,292.0,298.3,294.05,1229152.0,3680.94
2017-09-08,295.15,301.9,295.15,298.0,298.15,249684.0,743.78
2017-09-07,299.4,302.95,294.0,295.0,295.2,145743.0,434.04
2017-09-06,298.0,302.6,295.2,296.55,297.15,78023.0,232.63
2017-09-05,296.0,302.55,296.0,300.85,300.25,139428.0,418.9
2017-09-04,306.9,314.4,292.15,295.0,294.7,549776.0,1670.45
2017-09-01,288.0,312.0,288.0,304.0,303.65,649172.0,1979.13
2017-08-31,287.5,289.0,284.2,288.0,288.2,60744.0,174.16
2017-08-30,287.4,292.45,285.55,286.05,287.25,61308.0,177.18
2017-08-29,287.1,289.95,284.95,285.1,285.9,218201.0,625.91
2017-08-28,290.0,293.9,289.0,290.7,290.8,84728.0,246.78
2017-08-24,289.5,292.5,285.85,289.0,289.95,477949.0,1385.58
2017-08-23,282.5,294.0,280.5,290.0,288.85,146646.0,422.82
2017-08-22,286.5,289.0,280.0,281.85,280.85,84388.0,238.96
2017-08-21,287.0,292.85,285.05,286.0,285.9,88838.0,255.94
2017-08-18,294.95,295.0,274.0,287.5,284.3,120206.0,346.43
2017-08-17,297.0,301.25,294.1,296.6,296.9,103254.0,307.19
2017-08-16,292.8,299.25,291.0,293.5,295.1,158430.0,467.8
2017-08-14,283.5,298.0,273.9,288.3,291.3,194098.0,559.28
2017-08-11,280.0,283.4,267.85,278.9,278.2,272599.0,754.5
2017-08-10,292.2,292.4,276.0,286.0,283.1,278478.0,788.56
2017-08-09,307.35,308.05,287.0,293.4,292.2,308346.0,916.22
2017-08-08,311.4,315.0,307.0,309.0,308.65,118739.0,369.24
2017-08-07,318.0,318.0,308.0,312.0,310.3,134504.0,420.38
2017-08-04,316.4,319.7,315.0,316.0,315.75,164466.0,521.48
2017-08-03,310.7,319.75,310.0,314.6,314.8,211091.0,667.62
2017-08-02,307.1,314.35,307.1,309.9,309.55,157252.0,488.76
2017-08-01,315.8,321.0,308.0,308.15,309.6,222533.0,698.3
2017-07-31,328.9,331.0,264.0,314.0,314.0,285011.0,898.6
2017-07-28,332.9,332.9,326.4,328.05,328.0,117144.0,386.35
2017-07-27,335.5,340.0,331.0,333.25,333.45,197007.0,662.0
2017-07-26,336.0,341.0,335.0,336.6,335.55,96123.0,324.02
2017-07-25,342.8,344.0,334.0,334.35,335.0,137591.0,464.89
2017-07-24,345.7,348.9,340.25,342.0,342.8,92418.0,317.89
2017-07-21,349.0,351.7,340.5,344.0,342.45,175784.0,605.11
2017-07-20,352.9,354.05,348.05,350.7,349.85,110516.0,387.7
2017-07-19,347.65,354.85,347.65,352.9,351.4,194528.0,684.11
2017-07-18,346.0,354.3,342.95,346.65,346.6,225212.0,786.06
2017-07-17,348.05,350.95,345.0,345.85,346.55,120315.0,418.54
2017-07-14,355.5,356.0,345.0,348.45,348.7,189605.0,662.66
2017-07-13,353.4,360.0,352.05,353.8,354.6,346054.0,1231.73
2017-07-12,352.9,355.0,348.0,350.0,349.7,128285.0,450.76
2017-07-11,351.0,360.85,349.55,352.0,351.15,356952.0,1266.87
2017-07-10,351.6,353.95,314.4,350.9,350.5,34837.0,122.26
2017-07-07,348.0,358.65,345.1,351.75,351.3,321529.0,1134.98
2017-07-06,348.7,357.2,346.05,347.5,348.0,426251.0,1499.74
2017-07-05,348.0,354.3,342.25,346.8,347.25,382123.0,1330.78
2017-07-04,330.9,362.0,329.45,346.0,346.1,1793817.0,6333.2
2017-07-03,327.75,335.3,326.0,329.9,329.3,188465.0,622.64
2017-06-30,324.7,327.7,321.0,325.0,324.15,148824.0,483.34
2017-06-29,325.8,333.0,323.05,325.5,326.4,211583.0,694.3
2017-06-28,318.0,329.8,311.0,322.7,323.05,545246.0,1753.98
2017-06-27,327.6,329.9,312.5,318.0,316.75,224092.0,714.19
2017-06-23,338.7,338.7,324.2,325.0,325.55,261562.0,858.77
2017-06-22,339.0,341.65,335.0,336.95,336.6,270475.0,916.98
2017-06-21,338.0,338.0,331.05,332.85,332.65,163402.0,546.38
2017-06-20,340.2,343.0,338.15,338.2,338.9,203886.0,695.8
2017-06-19,340.1,344.85,337.6,338.1,338.6,137771.0,468.71
2017-06-16,337.0,345.0,334.5,337.0,338.35,244235.0,831.9
2017-06-15,338.1,348.0,330.0,336.1,335.8,443656.0,1502.39
2017-06-14,347.0,347.0,336.2,338.8,338.75,181667.0,618.07
2017-06-13,351.4,351.4,345.0,345.8,346.2,107777.0,374.84
2017-06-12,355.7,356.0,346.0,349.9,350.0,228013.0,799.28
2017-06-09,361.9,362.05,352.0,357.25,357.5,166712.0,595.29
2017-06-08,361.35,363.4,358.0,360.1,362.2,838213.0,3032.96
2017-06-07,363.5,365.0,358.0,359.0,359.2,105519.0,379.96
2017-06-06,365.4,366.7,360.85,364.0,363.35,106405.0,386.47
2017-06-05,364.8,368.9,361.25,364.5,364.2,175734.0,641.79
2017-06-02,364.8,368.9,358.0,363.0,362.4,206950.0,752.5
2017-06-01,373.95,378.1,359.0,362.0,362.15,373688.0,1372.24
2017-05-31,361.0,379.9,360.95,372.0,372.35,573444.0,2126.03
2017-05-30,381.0,381.95,357.2,358.25,358.8,668749.0,2434.48
2017-05-29,408.7,409.5,375.0,380.0,380.85,356593.0,1384.31
2017-05-26,405.7,417.95,402.0,408.0,407.1,284268.0,1167.28
2017-05-25,377.8,424.0,375.9,403.0,402.25,882114.0,3612.04
2017-05-24,1891.05,1915.05,1850.0,1865.0,1855.95,35983.0,672.61
2017-05-23,1910.05,1934.65,1856.0,1904.7,1892.35,46359.0,878.72
2017-05-22,1955.0,1955.0,1872.35,1920.0,1905.6,50466.0,961.36
2017-05-19,1951.7,1974.0,1845.05,1893.0,1887.6,93672.0,1775.32
2017-05-18,1956.0,1963.0,1925.0,1928.0,1933.15,42490.0,826.83
