Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,243.85,246.5,235.5,238.3,238.25,149404.0,359.95
2018-03-12,246.0,248.0,240.5,242.2,242.95,142126.0,348.05
2018-03-09,245.45,248.0,240.05,242.25,243.1,177872.0,433.84
2018-03-08,240.0,249.2,240.0,245.45,244.2,829922.0,2029.38
2018-03-07,234.5,236.05,226.1,227.85,228.4,176478.0,405.48
2018-03-06,246.05,247.55,230.0,231.0,236.75,202482.0,489.88
2018-03-05,250.55,250.6,244.0,244.45,245.75,152609.0,376.68
2018-03-01,252.7,254.2,249.0,249.75,250.45,107759.0,270.94
2018-02-28,252.15,255.05,250.05,252.8,252.6,110492.0,279.36
2018-02-27,255.0,256.1,250.5,254.2,253.6,61087.0,154.88
2018-02-26,253.8,257.95,252.05,255.0,255.15,109873.0,279.67
2018-02-23,251.2,257.0,251.2,251.95,252.3,88478.0,224.28
2018-02-22,255.9,258.5,251.15,252.0,252.75,67874.0,172.43
2018-02-21,259.05,259.9,249.2,256.05,256.65,90818.0,233.26
2018-02-20,262.7,263.75,256.0,256.9,257.9,87571.0,227.38
2018-02-19,263.0,265.0,259.1,263.0,262.35,66824.0,174.56
2018-02-16,274.4,274.4,260.0,262.0,263.1,117308.0,313.43
2018-02-15,271.1,276.85,268.0,270.05,270.65,117711.0,320.57
2018-02-14,272.55,280.3,267.1,267.15,270.8,139597.0,383.15
2018-02-12,260.0,279.4,260.0,273.0,274.65,162878.0,440.93
2018-02-09,260.75,266.9,256.05,261.5,261.95,125903.0,329.99
2018-02-08,265.9,268.55,262.1,265.7,266.7,110313.0,293.09
2018-02-07,271.25,276.25,262.0,263.9,265.65,191241.0,514.6
2018-02-06,245.0,272.95,235.0,265.5,269.8,448712.0,1149.84
2018-02-05,251.15,264.0,245.0,259.0,255.25,370931.0,929.93
2018-02-02,265.0,280.2,264.05,265.0,268.05,445809.0,1205.06
2018-02-01,249.0,282.0,246.1,279.0,274.95,812492.0,2178.3
2018-01-31,248.8,250.75,244.5,248.0,249.0,341415.0,844.25
2018-01-30,258.0,261.2,250.5,252.8,252.6,319576.0,813.28
2018-01-29,282.3,282.3,260.0,262.85,263.75,320150.0,863.71
2018-01-25,282.6,282.85,278.05,279.05,279.8,75286.0,210.72
2018-01-24,282.6,286.05,280.3,280.75,281.75,130120.0,367.68
2018-01-23,286.0,289.0,279.0,285.05,285.6,140057.0,400.2
2018-01-22,289.8,289.8,282.25,285.9,285.15,140400.0,399.6
2018-01-19,280.35,297.0,276.0,289.0,289.8,182369.0,519.07
2018-01-18,287.9,289.7,271.7,284.7,284.5,124253.0,351.6
2018-01-17,289.0,290.0,277.55,286.5,285.15,170709.0,485.18
2018-01-16,298.0,298.0,288.5,292.3,293.15,170397.0,500.21
2018-01-15,290.1,300.8,289.0,296.0,298.5,291184.0,864.94
2018-01-12,295.0,298.0,288.1,288.2,289.85,128940.0,376.01
2018-01-11,294.9,299.85,289.15,294.0,294.5,137622.0,405.74
2018-01-10,291.4,295.0,286.3,292.0,292.95,176573.0,513.26
2018-01-09,296.75,296.75,285.2,287.0,288.4,133306.0,386.6
2018-01-08,296.7,299.0,290.1,293.0,293.2,214411.0,634.06
2018-01-05,289.2,298.0,282.1,294.2,294.85,205864.0,601.11
2018-01-04,287.4,290.0,282.5,287.0,289.2,138154.0,396.71
2018-01-03,284.9,289.5,280.3,285.5,286.4,259998.0,741.38
2018-01-02,292.0,292.85,279.0,281.25,282.5,271762.0,764.18
2018-01-01,284.0,294.8,281.1,288.6,289.45,203299.0,588.36
2017-12-29,285.95,289.5,280.0,285.0,286.8,122486.0,349.46
2017-12-28,283.55,290.0,280.65,286.0,286.8,222534.0,638.83
2017-12-27,286.5,287.6,278.0,280.9,281.75,124875.0,355.23
2017-12-26,281.7,286.0,279.0,285.5,285.55,126814.0,360.35
2017-12-22,286.9,286.9,277.7,280.75,281.65,162039.0,456.74
2017-12-21,276.7,287.8,275.0,284.25,285.3,294499.0,833.92
2017-12-20,275.0,282.4,273.35,275.85,276.5,270860.0,752.18
2017-12-19,271.05,274.9,267.5,272.75,272.2,118309.0,322.39
2017-12-18,267.0,275.75,254.5,269.8,270.5,220990.0,590.85
2017-12-15,271.5,272.0,264.35,268.25,269.2,170206.0,455.77
2017-12-14,275.7,275.7,261.0,264.0,266.3,271124.0,719.9
2017-12-13,272.95,278.0,268.6,273.0,272.4,263929.0,720.18
2017-12-12,275.0,286.9,270.1,273.55,271.9,759476.0,2116.7
2017-12-11,264.0,275.0,263.0,274.8,273.9,967637.0,2622.98
2017-12-08,260.0,263.0,252.0,255.05,255.75,322255.0,831.12
2017-12-07,256.35,266.0,252.5,259.0,259.95,718751.0,1874.44
2017-12-06,252.0,261.3,250.0,254.5,254.0,1324915.0,3380.09
2017-12-05,233.5,247.1,229.0,247.1,245.8,431274.0,1042.83
2017-12-04,233.7,235.9,230.15,232.05,232.85,117728.0,275.24
2017-12-01,233.0,235.65,230.5,230.5,231.9,109450.0,255.64
2017-11-30,230.1,237.6,229.0,232.0,232.4,377907.0,885.97
2017-11-29,233.8,236.2,226.6,231.8,232.75,220966.0,512.55
2017-11-28,230.75,235.6,230.25,233.4,233.8,177649.0,413.18
2017-11-27,234.85,235.3,231.1,231.3,232.2,212477.0,496.61
2017-11-24,234.65,236.7,232.15,233.8,234.4,170382.0,400.21
2017-11-23,249.0,249.0,230.85,232.45,233.9,550515.0,1310.93
2017-11-22,232.35,235.8,231.0,233.8,234.75,87403.0,204.24
2017-11-21,236.65,237.5,231.55,233.5,234.0,132661.0,310.59
2017-11-20,237.0,237.25,232.5,233.0,234.45,223751.0,525.81
2017-11-17,235.0,239.0,232.05,234.0,234.3,143543.0,336.33
2017-11-16,230.0,234.8,226.5,233.4,234.05,81112.0,187.78
2017-11-15,232.95,232.95,228.1,229.8,230.75,70723.0,162.9
2017-11-14,234.5,235.75,229.35,231.55,233.75,123159.0,286.86
2017-11-13,228.8,234.7,225.1,229.85,230.8,111510.0,256.42
2017-11-10,225.0,229.2,223.05,225.4,227.25,157957.0,358.84
2017-11-09,225.0,230.4,223.5,224.7,226.25,117112.0,265.02
2017-11-08,230.75,230.75,222.55,227.4,224.65,90459.0,204.5
2017-11-07,235.0,235.2,227.7,229.45,229.15,151684.0,351.1
2017-11-06,232.1,235.05,231.0,232.4,233.3,114376.0,266.87
2017-11-03,236.6,237.95,231.0,233.0,232.6,186935.0,436.7
2017-11-02,234.0,241.8,233.1,234.0,234.65,385569.0,915.31
2017-11-01,234.8,236.5,233.0,234.0,234.55,184637.0,434.07
2017-10-31,239.8,242.2,230.25,231.65,232.5,332130.0,782.15
2017-10-30,236.0,236.9,232.1,235.0,235.8,286161.0,673.32
2017-10-27,234.4,236.6,232.05,234.85,234.9,203548.0,478.37
2017-10-26,229.0,235.65,229.0,231.95,232.9,106318.0,249.21
2017-10-25,236.9,236.9,227.9,232.9,233.65,153510.0,357.88
2017-10-24,235.0,240.0,230.7,234.1,234.2,376538.0,886.86
2017-10-23,227.0,236.0,222.5,234.5,234.95,810837.0,1876.41
2017-10-19,222.6,226.7,220.0,222.75,223.15,114863.0,256.38
2017-10-18,227.0,234.8,221.1,222.15,223.6,1560235.0,3550.16
2017-10-17,222.0,233.0,220.05,227.9,227.75,948240.0,2105.39
2017-10-16,225.95,229.0,220.1,221.5,222.5,396749.0,898.65
2017-10-13,229.75,230.0,223.35,223.35,225.65,271157.0,615.9
2017-10-12,227.95,232.0,223.3,226.0,227.4,134913.0,305.1
2017-10-11,228.4,230.15,222.0,224.55,225.55,229691.0,521.46
2017-10-10,234.8,235.85,225.1,226.7,228.8,288422.0,669.1
2017-10-09,235.0,238.0,232.3,235.9,235.45,291604.0,687.18
2017-10-06,233.0,236.0,229.75,234.0,235.1,196226.0,457.93
2017-10-05,233.8,235.45,227.15,230.0,230.35,342521.0,793.96
2017-10-04,234.65,236.35,231.0,231.0,232.4,214807.0,502.14
2017-10-03,238.8,241.0,231.05,232.95,233.15,252656.0,596.27
2017-09-29,232.0,244.1,228.25,235.1,235.95,746023.0,1779.91
2017-09-28,220.0,234.4,215.05,230.55,231.45,312341.0,711.15
2017-09-27,227.1,228.15,219.0,220.55,221.5,216645.0,482.53
2017-09-26,233.45,234.7,224.9,225.5,227.65,354634.0,814.0
2017-09-25,219.1,237.0,217.0,231.4,231.15,413511.0,939.43
2017-09-22,225.0,225.0,220.0,221.9,223.0,190135.0,422.15
2017-09-21,225.0,229.0,218.5,224.25,225.25,403530.0,894.9
2017-09-20,223.0,226.25,219.05,223.5,224.45,191235.0,427.48
2017-09-19,221.0,224.9,214.45,223.5,223.7,242194.0,534.72
2017-09-18,224.5,227.4,218.5,220.5,223.75,277920.0,623.37
2017-09-15,218.0,224.0,211.55,220.65,221.05,237552.0,518.21
2017-09-14,220.45,222.75,217.0,218.3,220.15,219391.0,480.85
2017-09-13,220.1,230.45,218.95,220.0,220.1,672191.0,1505.0
2017-09-12,222.0,223.15,217.0,220.0,220.45,342229.0,755.16
2017-09-11,212.5,222.5,209.9,220.65,220.2,892229.0,1955.74
2017-09-08,216.8,218.4,208.0,209.9,211.75,648710.0,1380.84
2017-09-07,202.5,224.2,202.0,214.3,215.0,2924332.0,6288.64
2017-09-06,184.95,206.95,184.0,199.55,201.3,1776084.0,3517.73
2017-09-05,189.95,192.7,182.6,184.5,184.3,1487704.0,2807.97
2017-09-04,189.95,190.5,186.0,189.45,189.85,341676.0,647.88
2017-09-01,190.0,192.0,189.05,189.35,189.9,287762.0,546.63
2017-08-31,189.1,196.0,188.0,188.85,189.65,292008.0,555.23
2017-08-30,189.95,191.4,187.95,189.1,190.0,114628.0,217.49
2017-08-29,184.85,189.85,181.95,188.2,189.0,156998.0,292.04
2017-08-28,187.95,188.0,184.0,184.0,184.85,174813.0,324.18
2017-08-24,185.0,188.6,184.5,186.4,186.3,124419.0,231.98
2017-08-23,188.3,189.9,184.0,186.0,185.6,1277413.0,2377.84
2017-08-22,190.2,190.2,183.4,188.15,189.2,102324.0,192.55
2017-08-21,188.0,192.7,186.3,191.0,190.45,92934.0,175.72
2017-08-18,188.9,189.5,187.05,187.9,188.1,48571.0,91.53
2017-08-17,189.4,189.5,187.5,189.5,189.2,91766.0,173.08
2017-08-16,187.65,189.75,186.7,188.45,188.2,73872.0,139.3
2017-08-14,182.2,190.0,182.2,189.5,189.05,129255.0,241.73
2017-08-11,175.1,187.65,170.0,180.0,181.35,244277.0,435.02
2017-08-10,185.0,185.0,174.3,176.05,178.1,169064.0,303.28
2017-08-09,188.0,188.0,182.65,185.05,185.45,132442.0,245.01
2017-08-08,187.25,189.15,184.05,187.7,187.8,108952.0,203.49
2017-08-07,188.3,189.5,185.15,186.05,186.3,83580.0,156.53
2017-08-04,187.8,188.5,181.1,185.0,185.25,188355.0,349.28
2017-08-03,190.0,190.0,186.25,186.7,187.3,88178.0,166.36
2017-08-02,189.4,190.25,185.7,188.5,189.4,138168.0,260.49
2017-08-01,189.0,190.7,186.55,188.05,188.9,92067.0,174.37
2017-07-31,187.65,190.0,185.45,189.0,189.65,152249.0,287.23
2017-07-28,184.05,189.0,183.65,187.75,188.05,123159.0,229.34
2017-07-27,189.3,189.9,183.75,187.8,188.05,140730.0,262.47
2017-07-26,183.0,189.0,180.1,187.75,188.1,223560.0,414.16
2017-07-25,183.15,184.0,178.0,181.9,182.6,327361.0,595.32
2017-07-24,182.4,184.95,180.25,182.2,182.5,172933.0,315.41
2017-07-21,184.6,184.9,179.1,184.7,183.45,292326.0,532.8
2017-07-20,182.0,185.7,180.1,184.2,184.45,319757.0,584.37
2017-07-19,189.95,189.95,175.0,183.8,183.0,2284179.0,4057.91
2017-07-18,185.1,191.8,185.1,188.85,189.55,114295.0,215.18
2017-07-17,189.9,190.1,185.8,186.25,186.35,97866.0,183.71
2017-07-14,189.35,190.6,188.1,189.95,189.6,109718.0,207.94
2017-07-13,189.9,191.25,186.7,189.35,189.55,158064.0,299.26
2017-07-12,189.65,190.1,187.1,189.45,189.25,264619.0,498.78
2017-07-11,191.0,191.0,185.5,188.5,189.1,119790.0,225.01
2017-07-10,190.0,192.0,183.7,188.05,189.25,65087.0,123.48
2017-07-07,190.0,193.55,187.55,188.55,189.4,150582.0,285.88
2017-07-06,191.0,191.0,187.55,189.5,188.9,115340.0,218.79
2017-07-05,188.6,190.15,188.25,189.4,189.45,63392.0,120.15
2017-07-04,188.95,191.4,187.2,188.8,189.2,152447.0,288.95
2017-07-03,190.4,191.4,187.7,188.85,188.95,95505.0,181.1
2017-06-30,186.6,195.2,186.2,188.95,189.15,234419.0,445.04
