Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,377.95,385.0,376.05,384.5,381.2,23622.0,89.83
2018-03-12,374.0,376.0,359.7,376.0,373.25,47409.0,173.38
2018-03-09,366.55,371.3,366.55,367.0,368.6,6064.0,22.4
2018-03-08,374.6,376.0,365.0,366.0,366.3,10696.0,39.38
2018-03-07,370.0,372.15,364.95,370.0,370.5,20018.0,73.59
2018-03-06,378.0,378.0,368.0,372.0,371.85,6701.0,24.95
2018-03-05,375.0,379.0,363.5,372.5,372.35,67156.0,245.47
2018-03-01,376.7,384.2,371.5,371.5,375.5,10312.0,39.01
2018-02-28,385.0,390.05,377.0,378.0,379.3,20157.0,76.96
2018-02-27,393.95,394.7,385.3,390.4,388.2,19967.0,77.79
2018-02-26,389.0,404.0,386.0,392.7,394.25,215739.0,852.33
2018-02-23,362.8,375.0,362.0,372.55,371.35,23411.0,86.34
2018-02-22,350.85,365.0,350.15,362.0,359.45,10495.0,37.57
2018-02-21,348.95,366.0,345.0,354.0,357.2,47473.0,169.02
2018-02-20,348.0,348.2,342.0,345.95,344.95,14454.0,49.88
2018-02-19,345.05,353.95,344.45,347.0,345.5,70819.0,244.57
2018-02-16,346.55,353.45,344.8,349.0,346.25,37104.0,128.18
2018-02-15,345.45,348.5,344.1,348.5,346.2,31072.0,107.24
2018-02-14,350.0,350.0,340.0,345.0,345.4,6086.0,20.99
2018-02-12,349.35,359.95,338.5,340.0,340.05,29612.0,100.9
2018-02-09,335.0,349.0,334.3,344.0,345.6,5971.0,20.65
2018-02-08,348.0,352.0,336.5,341.95,341.6,11321.0,39.02
2018-02-07,327.35,355.0,323.0,349.0,344.05,34264.0,118.08
2018-02-06,306.0,325.85,306.0,315.0,316.35,8970.0,28.17
2018-02-05,315.2,368.7,311.0,330.2,320.8,21493.0,71.04
2018-02-02,354.6,354.95,325.25,325.5,333.5,102656.0,354.33
2018-02-01,352.0,360.0,350.0,359.0,353.6,13420.0,47.38
2018-01-31,351.5,357.9,348.0,351.9,350.5,93180.0,326.83
2018-01-30,342.05,354.65,335.0,348.9,351.35,33219.0,115.96
2018-01-29,333.35,346.8,332.05,342.4,342.0,71910.0,245.8
2018-01-25,355.0,359.5,329.55,329.55,335.05,67361.0,229.33
2018-01-24,344.0,362.0,340.6,346.0,347.85,52095.0,183.13
2018-01-23,367.5,369.95,346.55,348.75,350.85,41854.0,149.68
2018-01-22,370.0,373.85,362.15,362.2,362.75,34205.0,125.46
2018-01-19,384.05,389.95,366.1,368.0,372.6,69248.0,258.34
2018-01-18,390.0,393.85,384.0,385.0,386.0,19905.0,77.51
2018-01-17,386.85,386.85,381.25,382.2,385.1,7272.0,27.99
2018-01-16,392.0,392.5,385.0,388.9,386.85,9618.0,37.24
2018-01-15,384.55,394.0,384.55,393.0,392.5,51752.0,202.23
2018-01-12,390.8,391.5,379.0,385.05,384.0,31688.0,122.16
2018-01-11,384.35,393.0,384.35,385.05,385.45,20409.0,79.48
2018-01-10,384.75,399.8,381.35,387.5,386.85,43842.0,171.36
2018-01-09,390.9,390.9,381.0,386.0,384.75,19725.0,76.04
2018-01-08,394.85,394.85,381.4,387.0,384.7,17750.0,68.39
2018-01-05,376.0,391.65,376.0,385.0,387.05,90942.0,351.56
2018-01-04,379.05,379.2,365.55,374.9,373.5,37524.0,140.11
2018-01-03,375.1,395.0,373.0,380.0,378.8,41307.0,156.18
2018-01-02,392.0,392.0,377.0,377.1,378.7,17006.0,65.08
2018-01-01,399.9,402.85,381.3,382.15,383.5,41647.0,162.95
2017-12-29,400.0,403.95,387.0,387.0,390.8,26116.0,103.07
2017-12-28,410.0,410.0,392.0,395.45,393.65,26568.0,105.8
2017-12-27,414.0,422.0,403.0,404.05,404.9,108270.0,443.8
2017-12-26,377.05,393.0,372.6,393.0,390.0,283005.0,1103.29
2017-12-22,377.35,387.75,372.0,382.0,378.85,23259.0,87.94
2017-12-21,383.0,383.0,375.5,382.0,378.85,5019.0,19.06
2017-12-20,387.85,394.0,376.95,383.0,382.95,37413.0,143.97
2017-12-19,371.25,385.0,371.25,385.0,383.5,10780.0,41.07
2017-12-18,366.05,388.4,343.95,381.0,378.6,14039.0,52.41
2017-12-15,369.0,371.95,365.0,370.0,370.0,10585.0,39.11
2017-12-14,365.45,372.0,361.1,365.0,366.55,10955.0,40.04
2017-12-13,369.95,372.0,365.8,371.0,370.75,12027.0,44.54
2017-12-12,364.55,370.25,350.0,365.0,364.9,11547.0,41.86
2017-12-11,360.8,365.6,359.0,365.0,364.55,12206.0,44.42
2017-12-08,359.6,364.0,355.65,360.0,360.0,26544.0,95.58
2017-12-07,357.35,362.9,355.0,358.35,357.05,12982.0,46.48
2017-12-06,371.85,374.75,359.0,359.05,362.25,10275.0,37.57
2017-12-05,375.0,378.65,374.6,376.95,376.3,6043.0,22.73
2017-12-04,375.55,388.5,373.0,375.8,375.05,18140.0,68.7
2017-12-01,375.45,376.05,374.55,375.0,375.1,13105.0,49.15
2017-11-30,375.0,376.85,370.0,370.0,374.45,17974.0,67.38
2017-11-29,374.9,376.85,372.0,375.0,375.4,14560.0,54.62
2017-11-28,377.0,377.0,371.05,377.0,374.9,18211.0,68.04
2017-11-27,370.0,381.45,368.25,368.25,373.0,21632.0,81.25
2017-11-24,370.0,380.0,370.0,370.0,370.15,52664.0,196.17
2017-11-23,359.65,378.0,359.4,373.0,373.9,105033.0,391.51
2017-11-22,365.0,370.0,357.55,359.0,359.9,43293.0,156.62
2017-11-21,352.0,364.4,345.15,358.0,356.8,94080.0,335.73
2017-11-20,338.0,351.4,336.5,345.0,348.0,42778.0,147.11
2017-11-17,339.7,339.7,331.2,336.4,336.5,91629.0,307.28
2017-11-16,322.1,339.0,315.5,329.0,326.85,89372.0,291.58
2017-11-15,328.0,328.0,319.0,320.0,320.4,14017.0,45.12
2017-11-14,325.0,330.0,322.0,326.8,325.85,5486.0,17.94
2017-11-13,332.0,339.0,324.0,325.5,326.5,13642.0,44.85
2017-11-10,340.5,345.0,325.5,327.0,328.85,15209.0,50.58
2017-11-09,338.6,341.55,331.0,338.85,337.5,10723.0,36.08
2017-11-08,337.5,345.65,336.0,338.55,338.8,21338.0,72.21
2017-11-07,348.9,349.0,330.05,339.8,335.6,58219.0,196.31
2017-11-06,329.0,349.8,329.0,345.0,345.15,197086.0,678.71
2017-11-03,312.1,322.0,312.1,320.05,319.95,36699.0,116.82
2017-11-02,315.05,326.0,301.2,318.55,316.7,36963.0,115.81
2017-11-01,321.0,326.4,311.55,320.0,320.45,33296.0,107.16
2017-10-31,312.05,323.0,310.85,318.0,317.8,56295.0,178.75
2017-10-30,298.0,312.0,298.0,312.0,310.25,46028.0,141.42
2017-10-27,297.35,303.2,297.35,302.0,301.5,10787.0,32.42
2017-10-26,305.0,305.0,299.5,301.0,300.8,15224.0,45.81
2017-10-25,295.0,304.5,289.95,300.35,300.9,62561.0,186.28
2017-10-24,288.0,294.95,287.0,288.0,288.4,14779.0,42.87
2017-10-23,286.25,291.9,285.0,288.0,287.15,13566.0,39.08
2017-10-19,293.0,293.0,286.0,286.25,287.15,2044.0,5.88
2017-10-18,285.0,290.8,285.0,290.8,289.0,14752.0,42.57
2017-10-17,291.55,292.7,286.6,287.0,287.3,10815.0,31.14
2017-10-16,294.15,295.2,286.05,287.05,288.4,47531.0,139.03
2017-10-13,295.6,300.0,293.7,295.0,294.5,5791.0,17.11
2017-10-12,296.05,299.8,293.45,299.0,298.5,13707.0,40.71
2017-10-11,295.1,296.95,292.7,293.15,293.75,32173.0,94.51
2017-10-10,293.95,302.4,292.5,292.9,293.35,90170.0,266.24
2017-10-09,293.75,295.0,292.45,292.5,292.55,23309.0,68.32
2017-10-06,294.0,299.0,291.0,291.35,291.75,40585.0,119.05
2017-10-05,305.0,305.5,289.6,293.75,292.85,139826.0,413.53
2017-10-04,319.8,319.8,297.25,299.55,301.3,269195.0,821.99
2017-10-03,308.4,312.5,301.5,303.05,301.65,23368.0,70.87
2017-09-29,306.9,321.0,302.4,307.5,306.1,72420.0,224.8
2017-09-28,293.15,321.95,293.15,312.05,312.35,79407.0,249.98
2017-09-27,300.35,304.15,299.0,301.5,300.9,30748.0,92.53
2017-09-26,305.0,307.55,300.0,305.0,302.0,57656.0,173.78
2017-09-25,328.9,328.9,282.15,304.0,301.45,88942.0,267.53
2017-09-22,316.1,322.0,307.0,317.0,317.4,61661.0,192.31
2017-09-21,319.1,328.65,316.0,320.0,319.1,31306.0,100.74
2017-09-20,322.65,329.0,316.0,319.1,319.9,84845.0,276.18
2017-09-19,301.0,327.0,301.0,317.0,318.05,124411.0,393.96
2017-09-18,297.0,315.45,297.0,300.0,299.9,85551.0,259.38
2017-09-15,277.8,306.25,274.9,294.75,296.5,186429.0,545.07
2017-09-14,271.15,278.0,268.3,276.0,273.3,95703.0,259.17
2017-09-13,270.0,277.65,270.0,274.0,271.15,40459.0,110.98
2017-09-12,275.0,277.05,270.25,273.9,272.35,55032.0,150.89
2017-09-11,286.95,286.95,270.0,272.1,276.6,194300.0,537.98
2017-09-08,278.0,280.45,271.95,276.1,277.25,12659.0,35.16
2017-09-07,283.0,283.0,277.95,280.0,279.0,31097.0,86.76
2017-09-06,280.0,282.7,277.75,281.45,281.1,8865.0,24.94
2017-09-05,279.1,281.0,277.3,278.9,278.8,8563.0,23.88
2017-09-04,279.85,284.5,277.0,280.8,279.9,64324.0,180.59
2017-09-01,288.6,288.6,275.15,279.0,277.45,67650.0,189.89
2017-08-31,288.95,288.95,282.05,282.6,283.6,15084.0,42.9
2017-08-30,287.0,289.95,281.0,281.0,282.6,12253.0,34.94
2017-08-29,286.05,291.9,280.1,282.95,282.45,14709.0,42.02
2017-08-28,294.0,296.0,287.0,287.0,289.15,25947.0,75.39
2017-08-24,284.0,297.0,284.0,286.5,289.15,72646.0,212.06
2017-08-23,299.9,304.7,275.35,283.5,283.4,133322.0,382.04
2017-08-22,289.0,289.0,281.0,285.0,283.9,30456.0,86.71
2017-08-21,274.0,288.8,274.0,287.7,284.25,16769.0,47.72
2017-08-18,276.0,280.0,267.6,280.0,277.2,3935.0,10.76
2017-08-17,284.5,289.4,276.65,278.3,278.75,33188.0,93.25
2017-08-16,268.0,281.95,260.55,280.0,277.9,18405.0,49.74
2017-08-14,260.3,267.7,260.0,263.0,265.25,4574.0,12.11
2017-08-11,252.35,264.0,252.35,260.0,260.95,14108.0,36.59
2017-08-10,274.0,274.0,260.0,265.0,264.9,8600.0,22.76
2017-08-09,263.55,274.45,263.35,269.0,271.3,3964.0,10.65
2017-08-08,281.0,281.0,270.05,270.05,271.0,44768.0,122.08
2017-08-07,280.15,283.15,277.25,279.05,281.55,3169.0,8.91
2017-08-04,280.0,282.0,276.8,280.05,280.15,255318.0,714.87
2017-08-03,283.45,288.75,276.7,277.0,278.35,42248.0,118.58
2017-08-02,280.9,284.75,279.4,280.0,279.75,13062.0,36.73
2017-08-01,287.0,287.0,275.75,281.0,280.35,24682.0,69.09
2017-07-31,279.6,280.0,275.35,279.5,279.35,10450.0,29.14
2017-07-28,275.0,281.7,275.0,275.5,275.8,36285.0,100.36
2017-07-27,288.0,288.0,273.95,274.5,275.4,15954.0,44.53
2017-07-26,291.0,291.0,282.25,284.0,284.3,22307.0,63.78
2017-07-25,296.0,296.8,286.55,287.0,287.4,68071.0,198.54
2017-07-24,296.55,296.55,290.8,291.5,292.9,7439.0,21.79
2017-07-21,291.25,296.75,291.25,292.5,292.95,7254.0,21.27
2017-07-20,291.5,299.4,290.0,297.0,292.65,18459.0,53.95
2017-07-19,297.35,307.9,289.25,291.35,291.95,48794.0,144.38
2017-07-18,292.0,304.0,290.2,297.35,298.8,14763.0,44.15
2017-07-17,295.0,299.5,290.5,296.0,294.6,11831.0,34.84
2017-07-14,299.1,303.75,293.25,294.25,295.2,46563.0,138.34
2017-07-13,291.15,311.0,291.0,295.0,294.95,197251.0,587.39
2017-07-12,315.0,323.9,288.0,290.95,293.75,69516.0,211.11
2017-07-11,330.0,337.0,314.2,314.2,317.7,19141.0,61.81
2017-07-10,339.6,339.6,328.0,330.0,330.65,8051.0,26.68
2017-07-07,362.8,362.8,346.05,348.0,348.0,10252.0,35.86
2017-07-06,352.9,362.0,350.0,351.35,356.9,19969.0,71.57
2017-07-05,332.5,352.0,332.2,350.2,349.8,43415.0,150.22
2017-07-04,334.45,338.8,330.8,331.0,332.3,8277.0,27.79
2017-07-03,322.05,337.0,320.75,335.0,334.45,35624.0,119.24
2017-06-30,322.6,324.0,318.0,321.05,322.05,2710.0,8.72
2017-06-29,317.25,326.5,317.25,320.0,320.9,21337.0,68.37
2017-06-28,322.15,327.55,320.05,320.1,321.95,34586.0,111.44
2017-06-27,325.25,328.45,317.0,319.25,320.05,4556.0,14.71
2017-06-23,333.05,334.0,323.0,323.25,326.65,35137.0,115.53
2017-06-22,331.1,338.5,327.35,332.0,332.65,16606.0,55.62
2017-06-21,319.25,333.8,318.0,332.0,332.15,13277.0,43.81
2017-06-20,324.5,334.0,317.5,317.5,318.95,60374.0,196.93
2017-06-19,317.5,324.55,317.5,320.0,319.95,13773.0,44.09
2017-06-16,324.8,324.8,314.0,318.0,317.1,62457.0,200.64
2017-06-15,333.15,333.15,319.5,320.0,320.95,8438.0,27.32
2017-06-14,330.0,336.0,325.55,327.0,329.75,10109.0,33.38
2017-06-13,330.25,338.0,329.0,336.65,335.0,4478.0,14.93
2017-06-12,333.0,339.0,329.1,336.0,334.5,6599.0,22.07
2017-06-09,333.9,336.0,333.0,333.3,334.4,7002.0,23.37
2017-06-08,335.95,336.0,333.0,333.1,333.9,9860.0,32.94
2017-06-07,337.0,345.4,330.0,331.55,333.2,34106.0,115.33
2017-06-06,331.0,337.65,324.6,333.0,333.6,16792.0,55.46
2017-06-05,352.0,352.0,328.0,330.5,330.35,32769.0,109.11
2017-06-02,345.5,349.0,334.5,348.45,346.95,25994.0,88.59
2017-06-01,350.1,355.0,345.0,345.0,349.9,168939.0,591.2
2017-05-31,365.0,365.0,341.65,350.05,350.1,256396.0,901.38
2017-05-30,377.0,391.0,366.75,385.0,380.6,11971.0,44.99
2017-05-29,373.55,388.7,373.0,376.0,380.1,8995.0,34.1
2017-05-26,384.0,392.0,366.4,377.0,385.0,8744.0,33.51
2017-05-25,368.0,377.7,357.35,371.0,375.05,3710.0,13.64
2017-05-24,364.0,372.0,356.0,356.0,365.45,9901.0,36.35
2017-05-23,356.75,365.7,350.45,365.0,355.5,46272.0,164.54
2017-05-22,370.0,378.5,352.3,363.75,364.7,20979.0,76.23
2017-05-19,377.3,382.0,353.35,365.5,369.55,139062.0,521.43
2017-05-18,391.15,396.2,374.0,379.7,385.0,123378.0,478.52
2017-05-17,410.0,410.0,393.0,395.0,396.2,80602.0,319.87
2017-05-16,392.05,405.0,392.05,393.1,397.5,42038.0,167.41
2017-05-15,404.5,404.5,392.0,393.0,395.1,22071.0,86.93
2017-05-12,397.9,405.0,386.1,395.05,399.35,125831.0,494.81
2017-05-11,385.9,409.4,385.0,392.3,397.2,41406.0,164.19
2017-05-10,395.0,395.0,383.1,387.5,385.9,16361.0,63.71
2017-05-09,382.9,386.0,373.2,383.7,384.05,17922.0,68.27
2017-05-08,381.45,383.0,370.6,371.3,378.0,39618.0,149.75
2017-05-05,362.0,377.15,361.0,374.25,374.55,49675.0,184.53
2017-05-04,355.35,364.4,345.0,361.4,359.2,12714.0,44.98
2017-05-03,350.0,360.0,350.0,360.0,359.15,15901.0,56.67
2017-05-02,351.7,356.0,345.1,350.0,347.3,19070.0,66.32
2017-04-28,350.0,355.0,340.05,354.0,351.7,9263.0,32.27
2017-04-27,353.5,354.0,338.2,345.0,343.8,17788.0,61.08
2017-04-26,363.9,363.95,343.75,348.2,349.35,20208.0,70.54
2017-04-25,367.5,367.5,354.6,360.0,360.85,13797.0,49.73
2017-04-24,353.0,363.0,353.0,358.5,361.75,9236.0,33.25
2017-04-21,360.0,363.85,355.65,357.0,358.6,35804.0,128.47
2017-04-20,344.0,358.0,342.75,355.0,353.35,67723.0,239.27
2017-04-19,334.75,343.75,325.45,341.5,341.05,43953.0,148.49
2017-04-18,330.5,336.5,323.15,335.05,330.0,24602.0,81.17
2017-04-17,333.0,348.0,325.0,328.0,328.2,947180.0,3081.94
2017-04-13,338.9,343.65,332.5,332.75,336.15,28597.0,96.83
2017-04-12,335.3,344.95,327.15,344.9,338.9,13526.0,45.12
2017-04-11,331.0,347.4,331.0,337.0,339.4,29960.0,102.5
2017-04-10,342.0,349.95,328.35,339.6,332.25,28299.0,96.04
2017-04-07,329.8,355.0,322.65,340.0,342.85,157307.0,538.19
2017-04-06,320.0,327.25,317.9,326.0,325.0,19741.0,63.76
2017-04-05,323.2,327.9,318.25,320.1,321.3,14335.0,46.34
2017-04-03,313.9,326.9,313.0,324.0,323.2,68519.0,219.7
2017-03-31,309.0,316.9,309.0,310.5,313.75,20025.0,62.51
2017-03-30,305.0,317.0,305.0,311.85,312.35,70558.0,218.55
2017-03-29,314.0,314.0,302.4,305.0,304.45,7362.0,22.59
2017-03-28,310.0,319.95,303.75,308.0,309.6,13745.0,42.53
2017-03-27,315.0,317.0,304.55,312.5,314.5,21468.0,67.01
2017-03-24,315.0,319.6,310.55,310.55,315.4,11265.0,35.56
2017-03-23,317.6,321.0,313.05,314.05,315.9,8908.0,28.24
2017-03-22,320.0,321.9,313.1,314.0,315.15,11908.0,37.58
2017-03-21,321.0,321.95,318.0,320.0,320.1,16973.0,54.43
2017-03-20,319.95,324.95,316.15,317.1,321.8,78888.0,253.9
2017-03-17,311.2,328.0,307.0,319.95,324.4,45111.0,144.72
2017-03-16,314.7,314.95,306.55,312.0,311.2,7156.0,22.24
2017-03-15,311.4,314.95,303.6,311.5,310.85,7358.0,22.79
2017-03-14,307.1,319.45,307.0,307.0,310.65,18387.0,57.26
2017-03-10,314.85,316.95,299.3,303.5,304.05,16770.0,50.88
2017-03-09,304.8,314.4,300.4,314.4,310.9,7507.0,23.02
2017-03-08,305.0,312.0,296.0,309.65,304.05,43267.0,129.74
2017-03-07,307.0,324.0,302.05,305.3,306.35,12547.0,38.62
2017-03-06,313.05,323.65,306.05,308.5,310.0,8464.0,26.37
2017-03-03,320.8,325.0,314.0,318.9,318.35,36395.0,116.16
2017-03-02,320.9,321.0,312.35,320.5,319.9,12159.0,38.78
2017-03-01,321.9,326.8,314.0,315.55,316.0,13691.0,43.7
2017-02-28,308.0,325.0,308.0,317.0,318.7,2045095.0,6640.06
2017-02-27,300.65,312.1,300.65,306.2,308.55,14420.0,44.36
2017-02-23,298.5,307.8,298.0,306.0,305.95,7991.0,24.19
2017-02-22,296.6,304.0,296.6,300.95,299.65,2431.0,7.3
2017-02-21,296.5,304.05,296.5,303.0,301.7,14320.0,43.23
2017-02-20,295.0,301.0,293.2,298.55,298.9,25575.0,76.36
2017-02-17,293.25,299.0,293.25,298.5,298.3,5327.0,15.84
2017-02-16,296.5,298.0,290.2,297.0,297.05,4652.0,13.8
2017-02-15,297.5,298.0,293.5,297.0,296.15,12225.0,36.16
2017-02-14,297.0,301.0,290.25,297.8,296.7,39528.0,116.64
2017-02-13,290.0,295.0,285.35,295.0,294.2,32967.0,95.88
2017-02-10,296.0,296.0,290.0,290.2,290.55,8728.0,25.4
2017-02-09,296.8,297.65,286.25,290.0,290.15,23995.0,69.65
2017-02-08,289.0,297.0,289.0,290.0,290.05,33660.0,97.97
2017-02-07,279.5,293.9,279.5,292.0,292.35,30570.0,88.69
2017-02-06,278.5,286.0,274.0,283.0,282.9,19826.0,55.89
2017-02-03,268.6,276.4,268.55,275.5,275.8,325104.0,883.14
2017-02-02,276.9,277.8,267.4,272.95,270.1,298050.0,805.33
2017-02-01,271.0,279.0,268.9,273.0,272.0,42837.0,116.66
2017-01-31,270.0,275.2,270.0,274.9,274.4,10067.0,27.5
2017-01-30,271.0,273.5,267.0,272.0,272.0,9568.0,25.94
2017-01-27,286.0,286.0,265.0,271.0,270.15,22662.0,61.19
2017-01-25,270.95,271.4,266.6,270.0,268.7,19521.0,52.36
2017-01-24,273.9,274.65,265.0,266.0,266.1,11247.0,30.14
2017-01-23,275.0,284.7,270.1,271.1,271.9,4444.0,12.14
2017-01-20,268.6,277.9,268.6,273.5,273.1,2709.0,7.37
2017-01-19,279.0,280.9,274.0,277.75,275.65,5506.0,15.27
2017-01-18,276.5,288.2,276.05,277.1,278.95,19359.0,54.18
2017-01-17,274.95,277.0,268.05,274.95,274.5,9657.0,26.52
2017-01-16,255.05,271.0,255.05,271.0,270.55,8280.0,22.2
