Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,44.4,50.0,44.4,48.05,47.95,11059413.0,5300.7
2018-03-12,46.2,46.2,43.3,45.15,45.4,5133175.0,2282.98
2018-03-09,46.55,46.65,44.4,45.45,45.45,7020500.0,3173.62
2018-03-08,46.6,47.0,45.35,46.75,46.5,3594604.0,1659.66
2018-03-07,48.75,48.9,45.75,46.25,46.2,5173537.0,2433.09
2018-03-06,50.7,51.2,48.2,49.05,48.8,3414987.0,1703.28
2018-03-05,51.0,51.7,50.05,50.4,50.4,2858735.0,1451.5
2018-03-01,51.9,52.85,51.2,51.3,51.5,3222285.0,1669.24
2018-02-28,50.55,53.1,50.4,52.6,52.65,4350724.0,2249.15
2018-02-27,51.4,52.15,50.65,51.7,51.7,4714774.0,2427.13
2018-02-26,52.55,52.7,51.75,52.1,52.2,2240600.0,1169.41
2018-02-23,51.25,52.65,51.25,52.35,52.2,3421153.0,1784.56
2018-02-22,50.75,52.5,50.7,51.7,51.95,8235662.0,4265.88
2018-02-21,52.7,52.9,50.95,52.25,52.45,6542974.0,3396.05
2018-02-20,50.0,52.8,49.1,51.8,51.7,12849598.0,6513.92
2018-02-19,51.55,53.2,48.65,51.1,51.25,15938109.0,8102.65
2018-02-16,54.75,55.5,53.95,54.9,54.85,6356502.0,3471.42
2018-02-15,54.05,56.3,53.3,55.45,54.95,11155520.0,6093.14
2018-02-14,61.0,61.05,55.6,55.95,56.2,7338154.0,4239.85
2018-02-12,59.95,61.6,59.65,61.0,60.85,2155010.0,1309.22
2018-02-09,58.4,60.2,57.4,60.2,59.5,2493842.0,1464.87
2018-02-08,58.0,59.9,58.0,59.35,59.3,2215481.0,1308.12
2018-02-07,60.0,60.35,57.35,57.75,57.95,2806111.0,1643.61
2018-02-06,58.0,59.95,55.6,59.2,58.9,4678860.0,2712.83
2018-02-05,60.2,61.5,59.45,60.6,60.55,2834815.0,1711.17
2018-02-02,63.0,64.4,61.1,61.9,61.75,3261370.0,2047.63
2018-02-01,66.8,67.45,63.5,64.4,64.65,3288181.0,2166.38
2018-01-31,68.15,68.4,66.35,66.7,66.8,2829122.0,1910.01
2018-01-30,68.3,69.1,67.65,67.95,68.15,2909297.0,1982.21
2018-01-29,70.6,70.9,68.35,68.6,68.85,4356467.0,3030.75
2018-01-25,73.9,74.0,69.75,69.95,70.1,4226178.0,3001.56
2018-01-24,72.5,73.65,70.55,73.1,73.1,4887566.0,3534.83
2018-01-23,70.7,73.1,70.45,72.55,72.7,3228047.0,2320.72
2018-01-22,70.25,70.8,69.5,70.55,70.5,1715445.0,1205.19
2018-01-19,70.0,71.5,69.5,70.6,70.8,2265859.0,1599.47
