Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,156.2,161.8,156.2,160.5,160.3,294501.0,471.4
2018-03-12,161.1,164.0,154.0,157.5,155.8,608131.0,948.82
2018-03-09,161.3,162.8,159.0,160.05,159.65,211354.0,339.3
2018-03-08,167.0,168.0,159.2,160.75,161.25,366505.0,591.93
2018-03-07,168.65,169.35,165.0,166.0,166.05,243543.0,405.09
2018-03-06,175.2,176.05,169.95,170.05,170.4,193557.0,333.32
2018-03-05,178.0,178.1,169.65,173.8,173.85,289292.0,500.13
2018-03-01,178.95,182.8,178.0,179.0,179.15,135026.0,243.83
2018-02-28,177.4,180.8,176.5,179.0,179.75,114304.0,204.49
2018-02-27,178.0,181.35,175.4,179.7,179.6,201397.0,360.45
2018-02-26,178.7,181.5,177.2,177.5,178.0,148566.0,266.91
2018-02-23,175.0,178.9,174.9,178.3,177.65,140093.0,248.62
2018-02-22,175.85,176.2,173.25,174.15,175.45,152546.0,266.63
2018-02-21,179.1,179.95,174.4,176.2,177.0,148170.0,261.43
2018-02-20,176.05,179.0,176.0,178.25,177.85,132520.0,235.5
2018-02-19,175.15,178.0,171.85,177.5,176.9,215382.0,377.33
2018-02-16,182.5,182.5,175.2,175.75,175.7,324031.0,574.67
2018-02-15,187.7,189.45,180.25,181.0,181.05,368120.0,674.84
2018-02-14,195.5,196.2,186.5,186.5,187.0,577209.0,1091.33
2018-02-12,194.1,197.05,193.5,196.85,196.2,167584.0,327.58
2018-02-09,187.0,194.7,187.0,191.85,192.6,199849.0,383.49
2018-02-08,189.25,196.0,188.05,192.0,192.5,253485.0,488.85
2018-02-07,186.7,193.25,185.0,186.4,187.8,267570.0,509.0
2018-02-06,180.0,187.5,176.05,183.55,184.65,416574.0,759.44
2018-02-05,185.15,191.2,181.15,189.55,189.4,343095.0,641.7
2018-02-02,190.0,192.6,181.0,192.0,189.8,469325.0,885.53
2018-02-01,193.0,199.0,186.6,193.95,193.9,596198.0,1162.14
2018-01-31,195.0,195.0,191.05,193.05,193.0,251948.0,487.19
2018-01-30,199.7,199.9,194.25,195.5,195.9,242974.0,477.1
2018-01-29,201.0,204.05,197.25,198.1,199.3,292036.0,585.2
2018-01-25,198.45,199.7,196.2,199.5,198.35,240254.0,474.8
2018-01-24,201.0,201.05,196.0,198.7,198.65,292567.0,579.38
2018-01-23,203.25,205.9,200.65,200.95,201.4,370695.0,754.99
2018-01-22,196.6,203.5,195.05,203.0,202.2,601514.0,1209.92
2018-01-19,198.0,199.45,192.75,195.4,194.35,585885.0,1141.95
2018-01-18,206.0,207.5,195.6,196.5,196.55,694294.0,1394.63
2018-01-17,206.1,206.7,196.1,203.2,203.55,681399.0,1377.64
2018-01-16,215.0,215.0,204.35,206.0,205.35,925849.0,1922.58
2018-01-15,220.5,222.3,212.75,212.85,213.75,792948.0,1714.6
2018-01-12,224.0,225.0,215.55,218.0,218.75,773769.0,1712.36
2018-01-11,220.5,225.0,220.0,223.0,223.3,559938.0,1245.67
2018-01-10,223.0,224.85,217.05,220.5,220.35,573396.0,1267.27
2018-01-09,227.7,228.65,221.55,223.0,223.25,1065402.0,2391.56
2018-01-08,217.0,227.75,215.85,224.45,224.6,2369110.0,5311.68
2018-01-05,214.0,217.8,212.65,215.4,215.55,923276.0,1992.03
2018-01-04,211.0,214.3,209.5,212.95,212.25,940732.0,2001.76
2018-01-03,206.1,212.6,205.2,210.5,210.6,697982.0,1467.3
2018-01-02,209.15,210.55,202.2,205.35,205.3,575949.0,1184.31
2018-01-01,209.9,215.6,208.15,209.05,209.15,778527.0,1648.38
2017-12-29,209.3,212.8,208.0,208.25,208.8,525283.0,1100.9
2017-12-28,211.9,212.45,207.5,208.5,208.35,729962.0,1525.18
2017-12-27,212.7,216.8,208.15,211.2,210.95,3329956.0,7102.01
2017-12-26,197.0,209.9,196.5,209.7,208.55,3271268.0,6693.39
2017-12-22,191.5,197.5,191.5,195.8,196.25,1599017.0,3126.87
2017-12-21,189.15,193.2,189.15,192.0,191.85,444122.0,851.26
2017-12-20,192.55,194.75,189.0,189.15,189.25,993737.0,1905.81
2017-12-19,185.1,195.85,185.1,192.0,191.8,2227699.0,4280.48
2017-12-18,181.0,184.9,175.8,184.5,183.85,709229.0,1296.0
2017-12-15,181.45,185.75,180.55,181.95,181.35,447843.0,815.59
2017-12-14,182.45,183.15,178.5,180.85,180.6,351048.0,634.85
2017-12-13,182.2,185.6,179.0,181.45,181.35,720343.0,1319.23
2017-12-12,176.75,189.35,176.0,182.2,181.75,1901374.0,3500.9
2017-12-11,179.0,179.9,176.5,176.75,177.2,275882.0,490.36
2017-12-08,178.85,180.8,177.3,178.0,178.2,447427.0,801.54
2017-12-07,176.5,181.35,176.3,178.3,177.95,401377.0,716.85
