Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-12,237.0,242.3,232.5,240.25,240.85,1926518.0,4565.1
2018-03-09,237.5,237.95,234.2,235.0,235.4,1257500.0,2965.62
2018-03-08,236.0,237.5,231.55,237.0,236.25,2111425.0,4953.14
2018-03-07,240.0,240.0,234.45,235.2,235.2,3023002.0,7163.56
2018-03-06,247.5,249.0,239.95,240.5,240.65,2727521.0,6664.47
2018-03-05,252.5,252.5,244.0,247.0,246.1,2291003.0,5651.18
2018-03-01,252.9,256.25,251.35,252.95,253.15,3184053.0,8103.33
2018-02-28,250.0,253.5,247.0,252.6,252.35,3500262.0,8802.53
2018-02-27,258.3,260.9,249.55,252.0,251.4,10403386.0,26226.09
2018-02-26,261.15,265.0,260.35,263.2,262.95,1668982.0,4379.68
2018-02-23,257.1,262.0,255.6,261.0,260.2,2201036.0,5682.2
2018-02-22,258.3,259.0,254.8,257.1,256.9,3842909.0,9875.67
2018-02-21,268.0,268.85,260.1,260.6,261.7,6498774.0,17180.45
2018-02-20,259.4,269.7,257.1,265.7,263.7,7529895.0,19707.45
2018-02-19,257.5,260.85,255.1,257.9,257.55,2519233.0,6502.14
2018-02-16,254.3,261.5,254.3,256.5,257.05,4870752.0,12603.8
2018-02-15,254.9,257.85,251.7,254.2,253.4,1620357.0,4129.89
2018-02-14,257.6,258.4,252.8,252.9,254.15,1060437.0,2712.64
2018-02-12,260.2,263.1,255.65,256.85,256.9,1200752.0,3112.3
2018-02-09,258.5,261.7,255.1,259.95,258.9,1742418.0,4499.86
2018-02-08,247.8,266.4,245.55,266.0,261.9,4063203.0,10339.78
2018-02-07,255.3,257.95,246.55,247.0,248.3,3906454.0,9841.41
2018-02-06,250.05,256.4,247.5,256.0,255.3,1907347.0,4809.0
2018-02-05,257.0,260.0,252.05,259.95,259.1,2745947.0,7018.68
2018-02-02,264.3,265.45,257.1,260.4,259.55,3017102.0,7870.0
2018-02-01,263.4,269.5,260.9,265.5,266.45,3355964.0,8902.13
2018-01-31,261.7,263.3,257.15,262.75,261.8,2708846.0,7039.41
2018-01-30,261.8,263.75,258.4,261.5,261.5,1787102.0,4650.48
2018-01-29,263.95,266.4,260.6,263.05,263.65,1420895.0,3753.29
2018-01-25,260.8,264.5,259.6,263.05,263.0,3313959.0,8678.33
2018-01-24,262.95,265.5,259.35,260.9,260.15,2345935.0,6125.37
2018-01-23,268.45,269.4,262.0,262.6,262.7,3127752.0,8251.1
2018-01-22,269.0,269.2,265.3,267.5,268.45,1955296.0,5227.97
2018-01-19,276.0,276.55,266.4,268.25,268.6,1942776.0,5249.59
2018-01-18,277.5,278.0,273.55,276.0,275.65,1271915.0,3504.34
2018-01-17,275.35,278.95,272.85,277.15,277.15,2384660.0,6567.0
2018-01-16,278.1,280.0,275.1,276.65,277.85,2689358.0,7472.49
2018-01-15,270.1,278.2,269.4,277.05,276.95,2520552.0,6918.0
2018-01-12,271.1,274.4,267.7,269.0,269.4,2131954.0,5770.36
2018-01-11,278.5,278.9,271.0,271.9,271.75,2869698.0,7851.67
2018-01-10,278.0,278.0,273.4,276.15,276.1,1860881.0,5118.99
2018-01-09,275.4,279.35,272.6,276.75,277.15,3305059.0,9125.3
2018-01-08,272.25,275.4,271.35,275.1,274.6,1215089.0,3326.13
2018-01-05,274.5,277.6,272.25,273.35,273.9,1304360.0,3585.5
2018-01-04,271.6,274.4,270.7,274.0,273.45,2142231.0,5841.42
2018-01-03,268.4,273.3,267.35,272.35,272.6,1906004.0,5162.04
2018-01-02,270.0,270.3,265.1,267.0,268.15,981714.0,2623.38
2018-01-01,271.1,273.1,264.35,270.5,268.05,1408955.0,3789.02
2017-12-29,272.4,274.0,270.55,271.25,272.05,1948608.0,5307.24
2017-12-28,272.0,273.5,268.8,271.5,271.6,1463113.0,3971.54
2017-12-27,273.5,273.75,268.4,270.9,271.3,1652849.0,4482.82
2017-12-26,267.5,274.0,266.7,273.5,273.3,2217661.0,6029.91
2017-12-22,269.6,269.6,266.65,267.75,267.6,1112049.0,2974.19
2017-12-21,268.0,272.0,266.1,268.75,268.6,1597801.0,4310.56
2017-12-20,272.4,272.4,267.15,268.0,267.45,1553248.0,4168.07
2017-12-19,264.0,272.0,264.0,271.75,270.65,1565382.0,4201.1
2017-12-18,262.95,266.55,255.0,263.25,264.0,1221276.0,3218.39
2017-12-15,267.0,267.55,263.3,263.7,264.4,1808962.0,4792.33
2017-12-14,266.4,267.0,259.6,264.0,264.75,1666551.0,4380.4
2017-12-13,265.8,270.3,263.25,264.5,264.1,3204666.0,8539.97
2017-12-12,268.5,269.65,264.15,265.7,265.3,2006310.0,5329.93
2017-12-11,269.5,270.95,268.5,269.0,269.1,1199568.0,3234.65
2017-12-08,265.7,270.0,263.7,269.5,268.1,1272951.0,3394.89
2017-12-07,262.7,266.7,261.45,266.2,265.85,1345304.0,3552.95
2017-12-06,259.9,263.25,257.7,263.0,261.7,3182304.0,8295.19
2017-12-05,261.0,262.0,256.25,260.55,260.45,2016019.0,5211.91
2017-12-04,265.0,266.1,259.45,261.5,261.1,1260611.0,3301.19
2017-12-01,263.65,268.25,262.3,264.15,263.55,2069676.0,5500.15
2017-11-30,262.45,264.85,259.25,263.65,262.5,2858463.0,7499.41
2017-11-29,263.3,265.8,262.3,262.95,263.05,1398926.0,3695.83
2017-11-28,263.05,265.65,262.0,263.2,263.05,1485419.0,3917.78
2017-11-27,264.5,266.0,261.65,262.9,262.4,2787181.0,7326.65
2017-11-24,265.95,268.1,264.5,265.5,264.95,1999089.0,5305.38
2017-11-23,267.25,269.5,264.1,265.0,264.95,2837249.0,7556.13
2017-11-22,263.4,267.4,262.15,266.8,265.6,2773825.0,7331.3
2017-11-21,264.5,267.4,260.85,262.0,261.65,3037842.0,8018.38
2017-11-20,272.8,272.8,263.0,264.8,264.7,3261832.0,8715.58
2017-11-17,278.15,279.9,273.5,273.65,274.5,1670648.0,4632.75
2017-11-16,279.45,281.8,274.55,275.4,275.15,2588111.0,7193.12
2017-11-15,271.35,278.0,271.3,277.5,276.15,3970046.0,10925.5
