Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,751.15,768.0,745.0,751.1,756.75,22388.0,168.58
2018-03-12,761.3,766.45,741.95,758.0,753.8,17848.0,134.37
2018-03-09,765.0,775.0,755.55,755.55,761.3,2084.0,15.89
2018-03-08,772.55,779.8,751.0,770.0,770.85,8222.0,62.64
2018-03-07,769.75,779.9,760.0,770.0,765.65,23509.0,179.43
2018-03-06,784.9,789.45,770.0,770.0,770.35,7575.0,58.64
2018-03-05,783.9,785.0,772.05,784.9,780.95,16756.0,130.74
2018-03-01,797.25,807.7,780.0,780.05,783.9,9940.0,79.12
2018-02-28,770.0,800.0,770.0,797.6,797.25,8585.0,67.6
2018-02-27,782.5,792.0,768.1,776.05,780.8,10631.0,82.7
2018-02-26,780.0,806.1,765.2,790.7,784.75,22580.0,176.53
2018-02-23,777.0,794.0,774.4,784.05,780.65,4689.0,36.86
2018-02-22,765.45,792.25,751.05,789.0,782.15,19581.0,151.12
2018-02-21,777.25,785.85,767.1,772.5,772.05,14841.0,114.74
2018-02-20,800.35,800.35,776.8,777.0,782.5,8135.0,64.31
2018-02-19,774.95,804.0,772.0,794.9,796.6,13767.0,108.09
2018-02-16,809.9,809.9,774.8,781.0,782.8,7840.0,61.59
2018-02-15,805.0,805.05,794.25,798.05,796.0,5374.0,42.94
2018-02-14,794.4,821.0,793.25,805.55,800.35,46122.0,373.56
2018-02-12,787.9,806.1,760.6,790.0,791.35,31613.0,249.87
2018-02-09,745.0,783.95,721.0,761.0,767.55,18183.0,139.12
2018-02-08,740.65,755.0,730.0,754.0,751.3,20499.0,153.43
2018-02-07,750.0,754.2,730.0,740.0,741.1,11792.0,87.13
2018-02-06,698.65,745.9,683.2,740.0,737.5,29823.0,214.32
2018-02-05,710.0,735.9,695.8,711.2,718.65,27379.0,197.08
2018-02-02,744.95,744.95,720.0,732.0,728.05,23371.0,170.82
2018-02-01,736.45,755.0,730.0,740.1,742.55,19634.0,145.41
2018-01-31,767.45,768.65,726.0,735.0,736.45,90962.0,671.86
2018-01-30,780.0,780.2,755.75,760.0,760.75,28939.0,220.71
2018-01-29,785.0,799.0,781.0,788.95,784.9,23612.0,186.4
2018-01-25,804.0,808.9,789.2,790.0,790.5,14465.0,114.62
2018-01-24,823.5,837.55,774.0,798.0,813.05,74292.0,598.59
2018-01-23,836.0,847.3,822.2,823.5,835.05,22556.0,189.31
2018-01-22,830.0,852.0,821.15,843.0,834.55,10564.0,87.58
2018-01-19,822.05,832.9,807.0,825.0,827.7,17320.0,142.29
2018-01-18,825.0,837.4,814.55,826.0,824.5,18287.0,150.42
2018-01-17,830.0,832.75,805.0,820.0,821.75,16885.0,138.12
2018-01-16,864.7,864.7,825.05,830.95,829.9,19217.0,161.56
2018-01-15,843.85,860.0,843.85,858.95,857.3,9643.0,82.38
2018-01-12,859.95,859.95,835.05,842.95,843.85,27993.0,237.42
2018-01-11,863.7,863.7,851.0,851.0,855.3,11784.0,101.01
2018-01-10,854.0,869.3,844.35,860.0,862.2,22797.0,195.15
2018-01-09,849.0,860.0,836.0,855.1,854.35,23875.0,202.75
2018-01-08,850.0,855.8,832.55,841.3,845.6,28128.0,238.06
2018-01-05,840.0,853.0,830.75,840.0,839.55,17685.0,149.13
2018-01-04,824.9,839.0,809.3,834.0,832.75,22829.0,188.34
2018-01-03,824.85,828.25,809.0,820.0,823.25,78724.0,647.55
2018-01-02,793.05,814.0,787.4,795.85,795.6,33034.0,263.19
2018-01-01,810.05,828.0,802.05,803.0,806.25,6859.0,55.82
2017-12-29,799.0,814.7,799.0,804.0,810.05,16890.0,136.76
2017-12-28,800.1,800.1,784.55,790.05,795.05,13089.0,103.86
2017-12-27,813.85,815.0,800.3,800.7,802.1,131128.0,1051.92
2017-12-26,811.0,816.95,799.7,808.95,808.55,12354.0,99.64
2017-12-22,831.65,831.65,808.7,812.6,811.25,23022.0,188.24
2017-12-21,819.1,849.25,819.1,822.95,826.05,41762.0,349.38
2017-12-20,774.15,832.0,774.15,821.0,819.1,279580.0,2237.17
2017-12-19,766.0,789.95,766.0,784.0,783.85,36576.0,286.19
2017-12-18,763.55,776.95,757.35,773.7,769.6,11209.0,86.01
2017-12-15,786.6,794.0,771.05,772.0,778.8,7643.0,59.57
2017-12-14,779.45,782.1,770.0,772.0,772.55,26843.0,206.98
2017-12-13,794.25,800.4,770.55,775.1,774.35,7084.0,55.68
2017-12-12,791.0,805.0,760.05,800.0,794.25,56880.0,438.87
2017-12-11,773.05,795.25,769.95,790.1,790.45,13222.0,103.48
2017-12-08,779.5,779.5,765.0,771.75,769.2,9330.0,71.68
2017-12-07,770.0,773.0,758.55,771.5,770.3,4519.0,34.68
2017-12-06,765.0,770.0,757.3,765.0,767.4,25270.0,193.78
2017-12-05,772.95,773.0,757.0,760.1,760.65,18068.0,137.61
2017-12-04,772.3,784.95,772.25,772.25,772.5,5454.0,42.29
2017-12-01,775.0,802.15,772.2,780.0,779.75,10040.0,78.87
2017-11-30,768.0,792.65,768.0,788.0,785.5,9881.0,77.31
2017-11-29,804.9,804.9,778.1,780.0,780.4,13927.0,109.57
2017-11-28,797.55,808.0,792.0,792.0,794.0,8976.0,71.89
2017-11-27,793.4,810.9,791.35,801.0,803.2,54302.0,434.59
2017-11-24,767.0,797.95,766.0,791.9,793.4,31452.0,247.89
2017-11-23,773.0,788.65,773.0,780.0,780.15,43383.0,339.0
2017-11-22,756.35,799.9,747.1,799.9,770.25,15135.0,114.85
2017-11-21,752.3,754.4,746.7,751.75,750.25,13820.0,103.8
2017-11-20,745.1,754.0,745.1,750.0,750.2,14657.0,109.99
2017-11-17,745.1,760.65,745.1,755.0,756.4,50243.0,379.44
2017-11-16,745.05,762.2,745.05,748.0,749.55,16823.0,126.46
2017-11-15,750.0,766.0,735.85,761.0,757.8,13647.0,102.83
2017-11-14,754.15,761.95,750.0,757.95,753.35,7468.0,56.39
2017-11-13,775.0,775.0,750.7,750.7,754.15,16645.0,126.48
2017-11-10,773.0,775.1,759.0,770.0,766.95,14401.0,110.81
2017-11-09,784.7,784.7,763.0,770.0,770.0,20440.0,157.77
2017-11-08,777.5,782.0,772.55,778.0,774.7,11478.0,89.11
2017-11-07,758.25,782.0,758.25,776.5,777.1,50270.0,389.38
2017-11-06,756.0,781.7,756.0,757.15,758.25,34069.0,262.47
2017-11-03,755.0,778.0,747.95,755.0,755.1,50495.0,380.23
2017-11-02,745.3,765.75,711.65,753.0,755.55,65327.0,491.42
2017-11-01,772.0,793.75,771.5,788.95,788.35,30877.0,242.9
2017-10-31,772.0,773.85,764.0,765.2,767.05,18239.0,139.7
2017-10-30,761.0,771.0,761.0,767.1,768.85,12918.0,99.07
2017-10-27,773.95,774.0,758.05,761.0,762.3,9621.0,73.87
2017-10-26,766.0,774.85,763.0,771.0,769.95,8479.0,65.2
2017-10-25,771.0,773.95,758.25,763.0,762.3,12770.0,97.47
2017-10-24,774.0,775.0,763.45,770.1,770.85,9482.0,73.11
2017-10-23,785.05,791.0,760.1,762.55,766.05,37465.0,290.96
2017-10-19,777.0,784.95,775.0,776.05,779.1,3638.0,28.34
2017-10-18,765.1,778.0,762.35,778.0,775.25,14245.0,110.11
2017-10-17,777.1,780.0,770.3,778.0,777.6,16038.0,124.54
2017-10-16,776.1,788.95,770.0,773.2,775.75,20604.0,159.87
2017-10-13,776.75,776.95,761.0,761.0,768.85,9637.0,74.38
2017-10-12,761.0,777.0,761.0,771.0,773.1,10176.0,78.49
2017-10-11,775.0,778.4,757.6,762.05,761.45,6976.0,53.8
2017-10-10,771.0,776.85,770.0,771.45,773.1,31025.0,240.18
2017-10-09,775.0,784.4,771.0,772.0,772.5,22222.0,172.83
2017-10-06,765.0,783.55,765.0,773.0,774.0,12099.0,93.7
2017-10-05,765.0,772.95,742.0,772.95,764.55,8265.0,62.83
2017-10-04,761.0,761.0,748.65,761.0,757.1,15207.0,114.53
2017-10-03,761.0,761.0,740.1,745.0,745.75,11750.0,87.98
2017-09-29,745.05,752.2,740.6,742.0,742.65,11944.0,89.37
2017-09-28,746.15,754.9,738.7,742.0,742.05,12914.0,96.5
2017-09-27,765.0,765.95,735.0,746.35,749.15,15462.0,115.97
2017-09-26,769.95,782.0,747.9,760.0,759.6,19391.0,148.09
2017-09-25,763.0,772.45,735.05,765.0,763.95,16582.0,125.06
2017-09-22,777.0,778.5,762.0,764.9,763.85,10142.0,77.75
2017-09-21,771.05,785.0,767.05,778.0,777.45,14682.0,114.33
2017-09-20,775.0,784.0,770.8,780.0,780.7,8309.0,64.78
2017-09-19,775.5,785.3,775.5,776.0,778.85,12780.0,99.95
2017-09-18,760.5,785.5,760.5,777.45,775.25,20656.0,160.17
2017-09-15,777.0,782.4,750.0,758.0,758.8,24025.0,183.66
2017-09-14,803.0,803.0,774.15,776.85,777.95,7257.0,57.09
2017-09-13,792.05,798.0,785.0,795.95,792.2,6616.0,52.37
2017-09-12,805.0,806.1,791.05,794.7,794.0,14015.0,111.86
2017-09-11,798.95,810.0,791.0,795.95,796.65,27324.0,218.09
2017-09-08,787.55,791.9,774.6,787.0,786.4,13493.0,105.23
2017-09-07,774.0,793.0,767.35,783.2,785.9,14634.0,114.68
2017-09-06,770.0,772.95,758.1,765.3,766.9,16552.0,126.96
2017-09-05,773.85,779.5,755.1,760.45,762.8,21933.0,168.46
2017-09-04,787.0,797.95,754.8,763.15,760.45,24113.0,187.99
2017-09-01,775.0,790.0,775.0,789.75,786.9,17961.0,141.32
2017-08-31,776.9,798.6,766.0,775.0,777.8,17926.0,140.52
2017-08-30,772.55,776.95,765.05,773.25,772.95,8982.0,69.24
2017-08-29,781.05,783.0,760.1,761.0,762.75,11945.0,91.9
2017-08-28,789.95,790.0,773.0,778.5,779.95,9406.0,73.35
2017-08-24,772.45,786.8,760.5,775.1,779.9,16529.0,127.57
2017-08-23,761.0,775.0,761.0,770.0,770.3,52385.0,403.32
2017-08-22,782.6,782.6,756.25,770.0,765.1,14197.0,108.46
2017-08-21,765.6,795.0,745.0,777.1,773.7,51214.0,394.66
2017-08-18,765.55,774.9,761.3,767.3,765.6,20305.0,155.34
2017-08-17,760.1,778.9,760.1,770.0,771.75,13508.0,104.08
2017-08-16,751.5,772.2,751.5,772.0,770.35,19005.0,144.94
2017-08-14,711.0,753.0,711.0,751.5,749.95,16454.0,122.46
2017-08-11,675.0,731.95,675.0,727.0,721.1,17755.0,126.31
2017-08-10,740.15,740.45,711.0,726.45,721.2,32071.0,230.91
2017-08-09,770.0,774.95,740.0,746.0,745.45,22104.0,166.76
