Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,1852.0,2009.95,1850.05,1970.95,1984.95,48359.0,944.06
2018-03-12,1945.0,1990.0,1854.0,1881.0,1885.15,37613.0,710.74
2018-03-09,1946.55,1970.0,1915.0,1923.0,1923.25,9658.0,186.37
2018-03-08,1985.0,1985.0,1915.05,1936.9,1946.55,8445.0,164.0
2018-03-07,2020.0,2049.95,1920.05,1945.0,1956.75,18815.0,370.25
2018-03-06,2039.95,2069.65,2000.0,2000.0,2003.9,65539.0,1317.78
2018-03-05,2084.5,2084.5,2000.5,2006.2,2040.15,16162.0,328.58
2018-03-01,2060.0,2090.0,2030.05,2053.0,2066.5,6583.0,135.54
2018-02-28,2040.3,2100.0,2022.0,2050.0,2052.9,25025.0,514.65
2018-02-27,2130.0,2163.05,2040.0,2050.0,2051.4,21374.0,445.01
2018-02-26,2000.7,2139.0,2000.7,2135.0,2110.35,37519.0,782.54
2018-02-23,2000.0,2025.0,1982.75,1998.0,1994.6,12121.0,242.93
2018-02-22,2000.0,2009.85,1975.1,1976.2,1988.6,23369.0,465.38
2018-02-21,2045.0,2045.0,1976.0,2012.9,2010.75,9061.0,181.68
2018-02-20,2025.0,2050.0,2010.0,2010.0,2012.25,11646.0,235.69
2018-02-19,2050.0,2097.0,2010.0,2026.0,2048.05,13460.0,277.69
2018-02-16,2038.0,2089.7,2026.0,2066.0,2068.75,14540.0,300.48
2018-02-15,2056.5,2076.0,1980.1,2026.95,2046.2,25103.0,508.61
2018-02-14,2139.9,2191.0,2029.85,2032.2,2054.6,51296.0,1057.63
2018-02-12,2157.0,2159.95,2115.05,2134.95,2126.95,8163.0,174.16
2018-02-09,2100.0,2170.0,2079.65,2087.75,2094.1,35125.0,737.99
2018-02-08,2209.0,2260.05,2194.05,2215.0,2223.7,19676.0,437.54
2018-02-07,2071.0,2209.8,2071.0,2199.95,2190.6,14150.0,305.19
2018-02-06,1989.0,2115.15,1880.0,2099.0,2055.65,47853.0,960.83
2018-02-05,2050.0,2145.0,1975.0,2110.0,2085.35,54162.0,1107.64
2018-02-02,2099.8,2144.95,1974.95,2106.0,2124.1,24910.0,515.95
2018-02-01,2143.3,2179.8,1998.0,2081.05,2126.1,141688.0,2918.22
2018-01-31,2240.0,2240.0,2104.95,2141.0,2143.4,89186.0,1918.72
2018-01-30,2389.0,2390.4,2202.5,2299.95,2255.3,116683.0,2697.79
2018-01-29,2490.0,2490.0,2360.0,2398.0,2387.6,61067.0,1463.07
2018-01-25,2480.0,2575.0,2431.35,2523.5,2528.8,32337.0,816.65
2018-01-24,2465.65,2474.95,2343.0,2435.5,2425.8,25723.0,617.52
2018-01-23,2514.55,2530.0,2395.75,2460.0,2462.35,24050.0,594.54
2018-01-22,2485.0,2536.0,2459.9,2514.0,2514.55,26109.0,654.69
2018-01-19,2409.8,2525.0,2350.0,2492.0,2500.65,72393.0,1785.97
2018-01-18,2400.0,2447.95,2330.1,2352.25,2396.15,107994.0,2581.01
2018-01-17,2300.0,2398.0,2220.1,2388.0,2341.2,50535.0,1160.99
2018-01-16,2270.0,2314.8,2249.95,2297.9,2299.2,101304.0,2331.37
2018-01-15,2241.0,2295.0,2222.5,2270.0,2261.85,235906.0,5261.85
2018-01-12,2192.05,2261.0,2186.15,2259.0,2227.3,262899.0,5864.94
2018-01-11,2225.0,2230.0,2166.1,2186.85,2180.6,296723.0,6520.95
2018-01-10,2280.0,2280.0,2188.0,2248.45,2218.45,32136.0,713.76
2018-01-09,2299.7,2334.9,2231.15,2255.0,2248.45,54794.0,1234.62
2018-01-08,2290.0,2325.0,2212.2,2300.0,2281.1,73393.0,1654.91
2018-01-05,2297.6,2368.45,2256.0,2270.0,2289.8,107739.0,2515.05
2018-01-04,2122.0,2376.0,2122.0,2266.0,2299.9,223073.0,5102.37
2018-01-03,1980.0,2121.0,1980.0,2107.55,2111.1,50878.0,1057.07
2018-01-02,1990.0,1993.15,1954.3,1980.0,1980.15,15146.0,298.96
2018-01-01,1970.0,1994.95,1955.0,1994.95,1980.6,20649.0,407.69
2017-12-29,1990.0,1990.0,1957.85,1965.0,1983.75,26236.0,520.23
2017-12-28,1980.0,1990.95,1954.85,1974.0,1980.55,8541.0,168.53
2017-12-27,2005.4,2005.4,1974.7,1977.0,1978.35,10289.0,204.36
2017-12-26,1980.0,2019.45,1970.0,1990.0,2006.9,16909.0,337.92
2017-12-22,2019.0,2019.0,1940.0,1973.05,1962.35,28070.0,551.96
2017-12-21,1998.0,2049.0,1988.0,1995.0,1993.95,61363.0,1225.95
2017-12-20,1963.0,1979.0,1954.8,1973.9,1972.6,73166.0,1443.88
2017-12-19,1929.0,1966.0,1897.1,1955.0,1956.55,38234.0,743.3
2017-12-18,1920.0,1930.0,1855.5,1890.0,1890.25,140984.0,2667.78
2017-12-15,1885.0,1925.0,1855.0,1920.0,1914.1,21902.0,414.6
2017-12-14,1935.0,1942.0,1848.0,1875.1,1873.15,21432.0,403.81
2017-12-13,1945.0,1966.0,1927.0,1932.0,1945.75,10759.0,209.81
2017-12-12,1969.0,1984.0,1900.0,1955.0,1936.05,23252.0,449.03
2017-12-11,1969.0,2029.0,1913.9,1950.05,1968.45,112438.0,2220.61
2017-12-08,1919.9,1962.25,1897.05,1940.0,1948.9,29396.0,571.52
2017-12-07,1881.35,1927.75,1855.7,1915.0,1919.9,24386.0,460.25
2017-12-06,1865.0,1900.0,1835.0,1889.95,1887.1,11247.0,212.02
2017-12-05,1879.0,1894.0,1842.15,1852.0,1857.85,10750.0,199.82
2017-12-04,1979.05,2004.0,1855.4,1874.95,1874.7,35091.0,667.46
