Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,230.0,231.9,226.7,230.0,230.05,604708.0,1390.49
2018-03-12,228.3,228.8,223.65,228.0,226.7,84577.0,191.35
2018-03-09,230.5,233.7,225.5,225.5,226.2,594632.0,1355.49
2018-03-08,228.6,230.0,222.0,227.5,228.15,779052.0,1773.08
2018-03-07,230.0,231.8,225.7,226.8,227.55,949856.0,2158.76
2018-03-06,224.8,228.95,222.55,225.5,225.35,146183.0,330.08
2018-03-05,223.6,225.0,221.4,223.0,222.55,152879.0,341.27
2018-03-01,226.0,235.6,222.5,225.75,225.35,1047709.0,2412.15
2018-02-28,220.6,224.8,216.65,218.5,219.0,79807.0,175.94
2018-02-27,224.7,224.95,220.3,221.9,221.85,90781.0,202.23
2018-02-26,224.9,225.05,222.0,223.0,222.8,71460.0,159.4
2018-02-23,219.5,224.55,219.5,222.0,221.8,110803.0,247.48
2018-02-22,220.0,221.8,218.0,220.0,219.6,29867.0,65.62
2018-02-21,224.65,224.65,219.0,219.5,220.6,49300.0,109.94
2018-02-20,218.5,226.0,218.5,221.4,222.65,46754.0,104.49
2018-02-19,221.0,225.5,216.05,220.0,219.65,78912.0,173.8
2018-02-16,230.65,232.9,220.1,222.0,222.2,129678.0,290.82
2018-02-15,241.0,241.0,228.1,229.7,229.3,126382.0,293.75
2018-02-14,243.4,244.95,236.8,237.5,238.1,82275.0,198.13
2018-02-12,247.8,251.0,241.5,247.0,246.8,377015.0,935.96
2018-02-09,228.0,247.0,228.0,245.65,245.2,436308.0,1058.55
2018-02-08,225.0,241.0,225.0,241.0,238.35,209808.0,492.78
2018-02-07,216.7,232.0,215.4,225.35,225.45,185083.0,414.0
2018-02-06,208.0,218.75,206.15,211.6,212.15,152127.0,323.33
2018-02-05,218.2,219.5,209.9,217.8,218.8,163986.0,355.96
2018-02-02,228.0,228.8,220.0,223.5,222.9,172846.0,386.41
2018-02-01,232.0,233.95,226.1,232.1,230.0,500813.0,1153.25
2018-01-31,223.85,229.95,222.2,228.0,227.0,244219.0,552.73
2018-01-30,225.2,232.8,220.0,221.65,223.45,205876.0,466.8
2018-01-29,238.0,240.0,223.1,229.5,229.05,161448.0,375.36
2018-01-25,242.5,242.5,232.1,234.3,234.65,41744.0,98.01
2018-01-24,231.3,243.8,227.5,239.05,239.05,223825.0,535.31
2018-01-23,234.6,235.35,230.0,232.5,231.6,47454.0,110.37
2018-01-22,227.05,233.75,227.05,231.05,231.5,703400.0,1624.25
2018-01-19,230.0,231.0,225.0,227.25,227.8,88039.0,199.83
2018-01-18,231.0,238.35,228.0,230.0,230.15,523536.0,1224.4
2018-01-17,236.0,237.85,226.5,227.95,227.75,648335.0,1511.01
2018-01-16,239.5,242.95,235.0,236.2,236.0,163564.0,388.34
2018-01-15,241.0,245.0,238.0,240.75,239.8,255373.0,615.72
2018-01-12,246.75,246.8,239.3,241.4,241.6,88864.0,215.52
2018-01-11,244.0,247.0,242.95,244.2,244.2,120511.0,295.18
2018-01-10,244.1,247.0,241.55,245.75,244.65,74027.0,180.57
2018-01-09,250.0,251.5,243.0,243.85,244.45,72384.0,178.31
2018-01-08,250.2,254.0,248.25,251.0,249.7,345927.0,865.39
2018-01-05,250.2,253.45,247.0,251.95,251.9,224290.0,563.45
2018-01-04,252.8,252.8,245.2,250.0,250.15,117659.0,292.37
2018-01-03,247.0,252.0,244.65,251.3,250.9,330623.0,828.41
2018-01-02,247.45,249.05,241.05,246.95,243.35,117356.0,285.72
2018-01-01,245.0,250.8,242.05,245.5,245.95,203618.0,504.49
2017-12-29,245.05,252.0,243.2,244.6,244.65,178248.0,440.71
2017-12-28,248.2,252.0,242.1,243.0,244.05,158873.0,392.13
2017-12-27,255.0,255.0,246.75,248.0,248.75,112669.0,282.76
2017-12-26,252.8,256.0,249.95,253.3,254.05,151315.0,384.07
2017-12-22,257.0,260.0,249.4,253.4,254.1,407360.0,1040.86
2017-12-21,238.0,257.0,238.0,256.7,255.3,595068.0,1498.02
2017-12-20,238.5,244.4,237.7,238.45,238.9,105420.0,254.15
2017-12-19,242.95,244.85,237.65,238.05,238.6,109226.0,262.66
2017-12-18,238.0,248.8,227.0,239.2,241.0,167572.0,406.43
2017-12-15,236.95,239.95,236.0,239.0,237.95,218419.0,519.89
2017-12-14,237.1,239.85,227.2,233.75,232.25,123989.0,287.23
2017-12-13,239.7,242.95,231.05,237.15,235.6,91429.0,217.16
2017-12-12,245.4,246.0,238.0,240.1,241.2,132787.0,319.87
2017-12-11,247.3,251.55,243.25,244.9,246.05,123779.0,306.26
2017-12-08,247.55,252.0,245.5,247.0,248.85,196817.0,490.26
2017-12-07,242.0,251.0,241.9,249.25,249.45,213394.0,531.0
2017-12-06,247.8,247.8,240.0,243.3,241.95,124428.0,304.29
2017-12-05,250.0,250.0,244.0,248.25,248.4,130889.0,323.5
2017-12-04,243.0,253.95,241.55,250.2,249.8,208373.0,519.28
2017-12-01,254.95,258.85,240.0,241.1,243.8,256827.0,644.72
2017-11-30,250.0,254.9,245.1,252.0,251.8,330549.0,831.57
2017-11-29,252.4,268.95,250.7,252.5,252.7,840254.0,2169.74
2017-11-28,249.0,253.05,247.0,250.7,250.15,504041.0,1262.09
2017-11-27,238.4,249.0,237.95,247.15,247.3,510502.0,1246.82
2017-11-24,236.1,246.2,236.1,238.45,238.4,846541.0,2050.08
2017-11-23,232.5,244.0,232.2,235.95,235.95,1390940.0,3306.79
2017-11-22,215.0,232.2,215.0,232.2,228.1,446415.0,998.3
