Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,868.65,884.0,867.05,872.0,871.75,26058.0,227.56
2018-03-12,873.0,888.0,861.0,865.0,864.35,77732.0,677.65
2018-03-09,850.05,867.95,846.0,865.0,865.25,36086.0,309.64
2018-03-08,846.0,850.6,830.0,845.1,845.75,59793.0,501.83
2018-03-07,851.5,867.8,842.0,844.0,846.4,34737.0,296.27
2018-03-06,865.05,884.8,850.0,850.0,851.5,46107.0,396.74
2018-03-05,875.0,905.0,855.05,862.0,864.05,68276.0,596.32
2018-03-01,921.0,927.0,871.95,874.9,876.95,103186.0,924.88
2018-02-28,865.15,950.0,852.0,928.0,906.55,424339.0,3777.21
2018-02-27,830.0,889.2,828.05,876.3,873.35,505177.0,4382.45
2018-02-26,785.7,855.0,779.35,844.0,815.8,115037.0,929.8
2018-02-23,765.0,790.0,758.3,790.0,781.4,99321.0,769.99
2018-02-22,767.9,768.0,743.35,760.0,760.05,29852.0,226.89
2018-02-21,770.0,780.0,752.4,758.0,761.05,10500.0,80.21
2018-02-20,777.9,785.0,759.85,769.9,765.0,29714.0,227.72
2018-02-19,774.95,779.9,760.0,770.0,772.85,16118.0,124.32
2018-02-16,776.0,784.9,755.3,764.0,764.0,27259.0,209.25
2018-02-15,787.05,800.0,768.0,773.0,771.35,35559.0,280.84
2018-02-14,787.7,805.75,774.2,782.0,782.0,37758.0,296.93
2018-02-12,815.0,815.0,771.5,772.2,784.7,27405.0,216.99
2018-02-09,796.0,799.8,765.05,799.8,795.15,34327.0,270.42
2018-02-08,775.9,799.0,770.0,799.0,794.95,17292.0,137.28
2018-02-07,790.15,800.15,767.4,772.9,771.3,18145.0,141.19
2018-02-06,753.0,805.0,737.0,781.0,774.75,242925.0,1839.04
2018-02-05,770.0,810.0,732.5,810.0,796.8,67388.0,515.97
2018-02-02,788.0,807.95,770.55,784.9,782.4,23565.0,186.07
2018-02-01,795.0,821.75,781.55,783.0,793.2,25183.0,202.11
2018-01-31,774.25,814.0,764.05,796.15,798.75,19686.0,156.74
2018-01-30,800.1,800.1,756.6,782.0,774.25,87139.0,674.08
2018-01-29,811.0,818.85,790.0,800.2,801.5,62299.0,501.48
2018-01-25,819.95,821.95,804.0,812.7,811.5,19597.0,158.79
2018-01-24,825.1,835.95,799.1,822.0,819.95,12319.0,100.82
2018-01-23,839.0,849.8,826.45,830.0,830.45,14026.0,117.14
2018-01-22,835.0,850.0,835.0,840.0,844.6,16203.0,137.16
2018-01-19,835.0,841.0,835.0,835.0,837.5,16681.0,139.89
2018-01-18,843.05,851.95,835.05,840.0,837.4,16636.0,140.62
2018-01-17,834.9,856.0,820.0,839.9,841.35,29255.0,247.45
2018-01-16,849.9,849.9,826.2,833.0,830.0,38491.0,321.58
2018-01-15,840.0,855.0,830.0,840.0,840.15,16681.0,140.73
2018-01-12,850.0,850.0,834.0,835.0,836.25,13527.0,113.83
2018-01-11,831.2,849.0,831.2,842.5,845.35,19110.0,161.28
2018-01-10,859.65,859.65,835.0,835.4,836.9,33659.0,284.16
2018-01-09,826.0,868.0,813.7,845.0,849.05,172119.0,1430.77
2018-01-08,824.0,827.95,805.4,818.0,820.9,34411.0,280.31
2018-01-05,812.0,829.85,802.0,827.0,824.45,37459.0,306.14
2018-01-04,819.3,821.2,810.0,810.0,811.0,32528.0,265.03
2018-01-03,829.0,839.9,809.05,824.5,818.4,17678.0,145.19
2018-01-02,849.9,849.9,827.1,831.0,829.65,16445.0,137.29
2018-01-01,850.0,852.95,832.0,833.0,835.55,11270.0,94.61
2017-12-29,826.8,854.0,826.8,840.05,844.65,19027.0,159.26
2017-12-28,835.0,840.0,830.0,831.1,831.95,11561.0,96.42
2017-12-27,846.0,847.95,831.0,832.9,838.7,10465.0,87.9
2017-12-26,840.0,847.1,836.2,840.0,840.4,6359.0,53.6
2017-12-22,834.45,844.0,823.55,841.0,839.7,32930.0,275.95
2017-12-21,833.45,839.9,827.1,829.0,829.6,10459.0,86.98
2017-12-20,841.0,843.0,825.0,825.0,833.85,237510.0,1987.62
2017-12-19,833.05,843.85,828.8,832.0,833.05,29080.0,243.58
2017-12-18,843.9,844.95,712.0,831.5,836.0,135053.0,1129.69
2017-12-15,825.9,844.0,825.85,832.0,840.45,14165.0,118.73
2017-12-14,816.4,833.9,801.1,819.0,820.1,21422.0,173.93
2017-12-13,817.0,824.0,801.15,815.0,814.4,25173.0,203.32
2017-12-12,826.0,826.0,815.35,816.0,816.4,12570.0,102.77
2017-12-11,828.0,839.0,815.15,816.5,821.05,23942.0,198.23
2017-12-08,835.0,835.0,821.0,822.5,825.05,11657.0,96.45
2017-12-07,825.0,835.0,820.4,821.55,824.0,17023.0,140.81
2017-12-06,833.9,835.0,819.8,820.0,826.15,12790.0,106.09
2017-12-05,830.0,843.0,820.2,828.25,834.2,39298.0,325.36
2017-12-04,855.0,855.0,831.0,833.0,833.3,11643.0,97.8
2017-12-01,849.0,850.4,837.0,842.0,839.4,117581.0,995.27
2017-11-30,834.0,850.0,833.3,838.0,845.1,45768.0,386.26
2017-11-29,829.0,843.0,815.0,832.0,834.0,46783.0,389.29
2017-11-28,793.0,828.9,793.0,828.0,815.0,35603.0,286.29
