Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,980.6,980.6,968.05,970.0,969.95,1474.0,14.36
2018-03-12,968.1,996.0,968.0,976.0,975.95,5027.0,49.02
2018-03-09,982.0,999.05,982.0,982.15,984.1,4950.0,49.11
2018-03-08,965.0,989.0,939.3,980.0,980.95,10046.0,96.92
2018-03-07,1002.0,1004.95,962.15,962.15,966.2,6200.0,60.65
2018-03-06,1007.05,1021.1,995.0,1007.4,1003.7,1686.0,16.99
2018-03-05,1016.0,1038.95,982.7,997.0,998.95,5690.0,57.62
2018-03-01,1031.0,1040.0,1009.15,1014.5,1016.9,3679.0,37.7
2018-02-28,1006.3,1034.7,1003.0,1032.0,1024.25,3346.0,34.24
2018-02-27,1021.4,1021.5,1008.9,1010.0,1009.4,2847.0,28.9
2018-02-26,1035.05,1041.25,1015.0,1017.3,1019.05,3433.0,35.12
2018-02-23,1043.25,1043.25,1022.25,1035.0,1031.7,1259.0,12.99
2018-02-22,1029.2,1049.0,1013.0,1045.0,1041.75,2799.0,29.01
2018-02-21,1022.5,1035.45,1001.3,1029.95,1023.95,4515.0,45.99
2018-02-20,1024.25,1045.0,1015.25,1028.9,1027.1,2823.0,29.14
2018-02-19,1038.55,1038.55,1004.4,1011.0,1014.15,2103.0,21.32
2018-02-16,1055.0,1055.0,1026.0,1028.1,1028.3,1787.0,18.46
2018-02-15,1075.0,1075.05,1036.0,1041.15,1045.15,4614.0,48.85
2018-02-14,1051.25,1072.0,1040.15,1061.0,1056.1,5023.0,53.04
2018-02-12,1034.05,1054.95,1021.05,1052.0,1048.9,5235.0,54.45
2018-02-09,1025.15,1034.5,1009.0,1019.0,1013.55,10400.0,105.96
2018-02-08,1043.25,1074.0,1029.5,1030.0,1038.0,7257.0,76.2
2018-02-07,1060.65,1085.55,1030.1,1034.0,1033.0,4670.0,48.73
2018-02-06,1040.0,1066.0,1001.0,1050.0,1050.2,32656.0,338.97
2018-02-05,1070.0,1172.0,1026.95,1162.0,1141.75,12818.0,141.15
2018-02-02,1132.4,1149.9,1080.0,1090.0,1086.65,8894.0,98.91
2018-02-01,1144.0,1160.0,1123.0,1150.0,1150.3,2178.0,24.94
2018-01-31,1111.5,1149.9,1111.5,1139.5,1136.45,2398.0,27.22
2018-01-30,1143.0,1144.9,1118.75,1123.8,1121.4,2629.0,29.66
2018-01-29,1150.0,1169.0,1130.0,1130.0,1136.65,4303.0,49.39
2018-01-25,1157.0,1160.0,1126.05,1145.2,1150.65,7653.0,87.42
2018-01-24,1158.0,1158.0,1129.6,1149.65,1147.65,5086.0,58.31
2018-01-23,1150.05,1185.0,1150.0,1155.0,1158.6,14050.0,164.93
2018-01-22,1126.0,1185.0,1116.25,1184.95,1156.65,5728.0,65.21
2018-01-19,1119.25,1139.35,1111.0,1115.2,1118.65,4754.0,53.54
2018-01-18,1145.05,1173.2,1102.6,1125.0,1118.35,8274.0,95.0
2018-01-17,1172.0,1186.9,1145.1,1145.1,1152.75,9881.0,115.06
2018-01-16,1188.0,1191.0,1160.1,1169.95,1168.15,6024.0,70.85
2018-01-15,1170.35,1185.0,1136.0,1172.0,1178.8,27376.0,319.25
2018-01-12,1166.55,1170.3,1143.0,1146.1,1149.35,4481.0,51.82
2018-01-11,1187.85,1199.2,1164.0,1166.4,1166.75,6317.0,74.23
2018-01-10,1182.0,1210.15,1169.35,1190.5,1186.4,4787.0,56.56
2018-01-09,1222.95,1230.05,1181.7,1192.1,1197.35,6584.0,79.12
2018-01-08,1260.35,1260.35,1202.1,1202.1,1215.75,6066.0,74.56
2018-01-05,1233.0,1269.0,1221.55,1240.25,1247.9,14601.0,182.48
2018-01-04,1250.0,1270.3,1212.5,1234.95,1233.0,13843.0,172.13
2018-01-03,1176.55,1249.9,1176.55,1249.9,1231.95,28650.0,348.55
