Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,2695.0,2695.0,2601.0,2617.05,2629.8,2427.0,64.41
2018-03-12,2653.75,2732.0,2615.1,2705.1,2694.05,10217.0,270.54
2018-03-09,2621.9,2652.9,2605.1,2645.0,2639.0,9664.0,254.94
2018-03-08,2616.6,2640.0,2602.05,2615.0,2615.1,8597.0,225.19
2018-03-07,2608.65,2645.95,2599.45,2640.0,2639.5,8408.0,221.67
2018-03-06,2651.8,2664.95,2561.45,2655.0,2652.6,16293.0,431.8
2018-03-05,2704.0,2704.0,2635.05,2674.8,2667.3,8190.0,218.18
2018-03-01,2690.7,2700.05,2670.0,2671.0,2672.35,1618.0,43.43
2018-02-28,2702.9,2720.0,2660.0,2660.5,2687.5,5953.0,159.93
2018-02-27,2690.0,2740.0,2660.05,2700.0,2708.85,5642.0,152.18
2018-02-26,2680.0,2687.85,2629.35,2675.0,2677.35,8617.0,229.43
2018-02-23,2680.0,2680.0,2632.05,2670.0,2670.55,2913.0,77.53
2018-02-22,2589.3,2659.95,2577.0,2650.0,2649.35,5662.0,148.48
2018-02-21,2645.7,2689.35,2552.0,2650.0,2623.4,30021.0,783.69
2018-02-20,2660.1,2677.0,2615.0,2615.0,2626.1,6456.0,170.57
2018-02-19,2674.65,2714.9,2650.55,2660.0,2655.6,4000.0,107.49
2018-02-16,2735.0,2735.0,2695.0,2728.8,2712.1,3295.0,89.43
2018-02-15,2746.05,2749.95,2705.0,2709.5,2713.55,2149.0,58.64
2018-02-14,2775.0,2775.0,2713.0,2726.05,2720.6,6362.0,173.65
2018-02-12,2787.8,2798.0,2733.0,2750.05,2760.45,6633.0,182.82
2018-02-09,2699.95,2760.0,2667.3,2750.0,2749.05,10686.0,293.35
2018-02-08,2739.95,2745.95,2665.0,2735.0,2724.75,36609.0,1000.74
2018-02-07,2635.05,2750.0,2630.0,2724.0,2716.3,5188.0,140.4
2018-02-06,2573.0,2705.0,2525.0,2675.0,2687.55,27017.0,706.62
2018-02-05,2640.0,2719.95,2540.05,2703.75,2665.6,40324.0,1071.22
2018-02-02,2676.85,2744.95,2638.5,2725.0,2678.5,13896.0,372.23
2018-02-01,2758.95,2774.0,2666.05,2729.0,2721.05,9434.0,256.56
2018-01-31,2807.1,2822.45,2695.1,2722.35,2712.45,13807.0,376.45
2018-01-30,2804.5,2820.0,2742.8,2819.0,2802.8,15408.0,429.18
2018-01-29,2872.7,2909.95,2800.2,2806.0,2819.0,4335.0,122.6
2018-01-25,2850.1,2899.9,2820.0,2859.95,2858.75,8260.0,235.31
2018-01-24,2859.95,2950.0,2832.2,2834.0,2879.6,49150.0,1422.79
2018-01-23,2885.3,2903.7,2838.0,2870.0,2865.8,11812.0,338.18
2018-01-22,2950.0,2950.0,2775.1,2887.95,2869.3,12069.0,344.25
2018-01-19,2945.0,2980.0,2830.1,2898.0,2892.95,43444.0,1263.38
2018-01-18,2925.0,2998.9,2921.0,2935.05,2945.0,39774.0,1181.61
2018-01-17,3000.05,3027.95,2901.15,2938.45,2924.15,13115.0,387.09
2018-01-16,3050.0,3050.0,2965.1,2968.0,2988.7,50987.0,1551.33
2018-01-15,3088.0,3088.0,3000.0,3042.05,3048.1,51723.0,1577.36
2018-01-12,2968.05,3094.7,2968.0,2998.0,2996.7,47969.0,1461.4
2018-01-11,2998.45,2998.45,2943.0,2965.0,2968.2,11233.0,332.81
2018-01-10,2900.0,3025.0,2790.0,2960.0,2998.45,82640.0,2443.15
2018-01-09,2849.0,2944.0,2803.65,2892.85,2899.3,28633.0,830.15
2018-01-08,2840.0,2885.0,2788.05,2810.1,2816.75,18322.0,521.28
2018-01-05,2802.0,2871.3,2795.0,2820.0,2809.1,13108.0,370.67
2018-01-04,2738.65,2900.0,2720.0,2842.2,2836.6,29528.0,839.27
2018-01-03,2730.1,2760.0,2716.05,2742.0,2738.65,6046.0,165.8
2018-01-02,2733.85,2749.95,2702.0,2722.0,2716.5,39908.0,1086.92
2018-01-01,2710.0,2775.0,2710.0,2765.0,2752.1,6228.0,171.78
2017-12-29,2740.0,2769.1,2720.0,2742.0,2735.7,5096.0,139.69
2017-12-28,2740.0,2765.0,2690.0,2740.0,2745.6,78261.0,2148.24
2017-12-27,2735.0,2749.95,2702.0,2709.8,2716.0,14383.0,390.97
2017-12-26,2738.9,2769.95,2720.0,2720.0,2721.05,16236.0,445.23
2017-12-22,2775.0,2803.0,2715.0,2725.0,2738.9,16200.0,445.68
2017-12-21,2747.0,2809.65,2710.0,2770.0,2752.7,21724.0,601.6
2017-12-20,2640.0,2849.85,2635.6,2745.0,2746.55,89334.0,2487.98
2017-12-19,2598.0,2649.0,2553.0,2645.0,2630.4,14202.0,369.53
2017-12-18,2583.05,2599.95,2533.0,2552.0,2560.75,5664.0,145.73
2017-12-15,2552.75,2595.0,2547.95,2580.0,2578.05,22384.0,575.95
2017-12-14,2544.95,2570.0,2525.0,2563.0,2552.55,13934.0,352.86
2017-12-13,2542.2,2556.85,2533.7,2556.0,2546.0,1430.0,36.4
2017-12-12,2555.9,2580.0,2520.0,2550.0,2549.9,29263.0,746.04
2017-12-11,2554.4,2584.0,2502.9,2580.0,2559.45,4589.0,116.64
2017-12-08,2544.05,2570.0,2515.05,2545.0,2554.45,6796.0,173.74
2017-12-07,2544.0,2550.0,2500.05,2513.0,2519.05,9190.0,232.41
2017-12-06,2560.0,2560.0,2495.0,2525.0,2509.05,7539.0,190.89
2017-12-05,2560.0,2561.95,2500.0,2537.0,2535.6,4834.0,122.69
2017-12-04,2576.4,2576.4,2515.0,2565.0,2545.2,3014.0,76.84
2017-12-01,2560.0,2599.0,2526.15,2587.0,2576.45,15591.0,400.46
2017-11-30,2529.95,2600.0,2529.95,2578.8,2562.95,10457.0,267.41
2017-11-29,2520.95,2559.0,2506.5,2558.0,2538.7,42310.0,1073.57
2017-11-28,2544.85,2550.0,2500.2,2530.0,2530.95,5200.0,131.35
2017-11-27,2554.95,2559.8,2500.1,2504.0,2507.3,1960.0,49.29
2017-11-24,2495.0,2550.0,2475.0,2520.0,2525.1,6905.0,174.87
2017-11-23,2544.6,2544.95,2511.0,2511.0,2517.55,2412.0,60.88
2017-11-22,2525.05,2575.0,2513.55,2529.95,2522.5,4705.0,119.41
2017-11-21,2513.3,2579.0,2501.95,2574.1,2544.5,6548.0,165.76
2017-11-20,2515.0,2520.0,2490.0,2498.0,2504.7,2229.0,55.92
2017-11-17,2475.0,2543.95,2450.15,2510.05,2515.6,13729.0,343.96
2017-11-16,2445.9,2477.85,2445.9,2475.0,2473.7,9927.0,244.17
2017-11-15,2440.05,2460.0,2401.05,2430.0,2425.65,14744.0,358.01
2017-11-14,2450.0,2469.8,2429.8,2437.0,2446.1,8071.0,196.75
2017-11-13,2523.9,2523.9,2422.2,2422.2,2444.75,3772.0,93.38
2017-11-10,2492.0,2513.0,2458.85,2466.5,2467.3,4743.0,117.21
2017-11-09,2498.0,2514.85,2452.8,2488.0,2492.2,5967.0,148.4
2017-11-08,2467.0,2525.0,2441.0,2462.0,2483.15,15041.0,372.29
2017-11-07,2520.0,2549.95,2451.0,2470.0,2467.5,17601.0,435.68
2017-11-06,2600.0,2630.0,2469.6,2475.0,2514.2,17695.0,450.33
2017-11-03,2410.05,2644.0,2410.05,2599.0,2590.35,66738.0,1711.81
2017-11-02,2409.9,2450.9,2380.0,2437.55,2428.2,8198.0,197.72
2017-11-01,2411.9,2440.0,2398.1,2400.05,2417.9,5169.0,124.95
2017-10-31,2421.9,2438.9,2394.0,2394.0,2397.75,25830.0,620.9
2017-10-30,2367.0,2449.0,2367.0,2446.0,2434.8,11123.0,268.66
2017-10-27,2395.0,2417.0,2351.55,2363.0,2364.65,4579.0,109.11
2017-10-26,2367.0,2420.45,2367.0,2390.65,2392.6,3687.0,88.56
