Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-02-28,603.25,618.9,603.25,614.45,613.9,1572536.0,9643.85
2018-02-27,615.0,620.3,611.0,614.25,614.4,1780359.0,10957.48
2018-02-26,601.9,616.75,596.0,614.0,615.05,2658613.0,16218.76
2018-02-23,589.0,612.0,588.05,602.45,601.9,5799249.0,34977.21
2018-02-22,565.05,596.65,561.0,588.6,586.85,6761246.0,39460.73
2018-02-21,581.0,581.0,560.7,571.0,571.0,4040988.0,23028.85
2018-02-20,584.0,584.45,571.5,574.0,574.8,2126266.0,12245.77
2018-02-19,590.0,596.7,571.05,583.5,582.95,1794557.0,10473.09
2018-02-16,594.0,597.75,586.25,589.65,589.3,1814153.0,10729.37
2018-02-15,603.0,608.4,590.15,592.0,592.55,2192642.0,13081.9
2018-02-14,612.9,614.8,599.0,599.95,602.1,1795631.0,10915.44
2018-02-12,594.05,610.4,593.0,607.0,607.3,3059695.0,18488.32
2018-02-09,591.0,596.75,580.0,587.85,589.5,5001450.0,29453.3
2018-02-08,615.75,620.65,599.9,601.0,601.85,4415403.0,26825.21
2018-02-07,605.0,621.5,602.8,613.4,616.1,2704170.0,16605.23
2018-02-06,592.9,605.4,583.55,596.0,596.85,2247282.0,13411.98
2018-02-05,595.0,617.0,588.05,615.5,614.0,1848942.0,11187.57
2018-02-02,606.0,624.0,603.0,605.1,605.45,2253413.0,13801.68
2018-02-01,628.6,631.35,605.0,611.2,611.2,2665368.0,16420.2
2018-01-31,623.2,635.5,623.2,630.4,629.55,1877445.0,11831.97
2018-01-30,634.0,637.7,623.0,633.1,631.7,1996711.0,12578.96
2018-01-29,643.0,645.0,633.85,634.85,635.25,1317269.0,8417.48
2018-01-25,658.5,660.0,637.35,639.9,639.7,1723328.0,11173.44
2018-01-24,647.6,663.0,647.6,657.0,658.45,2214640.0,14551.63
2018-01-23,641.15,659.45,640.95,653.4,653.75,1872601.0,12220.4
2018-01-22,639.0,644.15,636.2,642.0,640.8,1236464.0,7915.71
2018-01-19,640.2,647.5,633.0,644.15,643.2,3438426.0,21976.27
2018-01-18,657.0,663.75,639.0,644.65,645.85,2636988.0,17130.02
2018-01-17,642.0,661.35,634.05,657.0,657.25,2653386.0,17311.69
2018-01-16,658.6,662.0,638.6,642.6,641.1,2167758.0,14082.17
2018-01-15,668.25,671.6,655.6,660.0,658.0,1447629.0,9606.52
2018-01-12,675.0,679.0,665.3,667.9,667.05,1487183.0,9974.16
2018-01-11,670.0,681.3,668.5,674.9,674.55,1449478.0,9798.43
2018-01-10,673.4,679.15,669.7,672.5,672.7,1014264.0,6832.1
2018-01-09,677.9,680.4,668.2,673.5,673.15,1377494.0,9287.62
2018-01-08,670.0,684.0,670.0,676.2,677.35,2104715.0,14279.21
2018-01-05,669.0,672.5,666.1,670.05,671.15,1520200.0,10187.1
2018-01-04,667.0,670.5,661.6,669.0,668.3,1785334.0,11892.58
2018-01-03,671.0,674.3,663.8,666.7,665.55,1716552.0,11462.34
2018-01-02,685.35,688.3,668.65,672.5,671.4,1856956.0,12549.47
2018-01-01,690.0,698.8,681.0,685.35,683.95,1629631.0,11252.59
2017-12-29,689.0,690.0,684.0,686.9,687.95,1436142.0,9875.17
2017-12-28,698.65,700.9,680.55,684.0,683.4,2928626.0,20215.4
2017-12-27,685.1,701.4,682.95,691.0,690.75,4381362.0,30410.21
2017-12-26,684.75,686.75,680.05,683.3,683.7,834078.0,5697.43
2017-12-22,691.5,692.0,676.75,682.0,681.3,1672483.0,11435.86
2017-12-21,688.0,695.95,681.55,684.15,683.75,1491006.0,10267.55
2017-12-20,688.0,694.8,681.4,687.75,687.75,1715975.0,11832.67
2017-12-19,679.85,686.8,677.0,685.25,685.6,2204155.0,15064.33
2017-12-18,668.0,679.8,650.4,673.0,672.1,1439490.0,9643.51
2017-12-15,675.0,676.9,665.65,668.0,667.6,1303384.0,8733.97
2017-12-14,670.95,676.95,660.5,665.4,665.35,1882801.0,12554.72
2017-12-13,681.0,685.9,665.05,670.1,669.15,1933176.0,13075.81
2017-12-12,691.45,697.6,676.15,677.75,678.2,1992031.0,13689.63
2017-12-11,672.5,692.05,672.0,690.9,690.85,2252807.0,15475.31
2017-12-08,672.0,677.95,669.05,673.0,672.5,1193989.0,8042.88
2017-12-07,657.95,673.0,656.15,671.55,671.55,1891701.0,12618.45
2017-12-06,669.0,672.0,650.0,653.8,653.15,2058789.0,13619.83
2017-12-05,674.0,674.0,662.5,668.95,668.95,1579351.0,10561.95
2017-12-04,674.0,682.0,661.2,674.95,673.4,2302817.0,15487.16
2017-12-01,696.0,702.6,668.2,674.95,672.4,2552001.0,17584.7
2017-11-30,710.0,712.75,690.35,692.85,692.85,3891363.0,27150.8
2017-11-29,705.1,715.25,705.1,710.0,710.35,1440171.0,10241.04
2017-11-28,719.95,721.25,704.0,705.1,705.65,2481639.0,17617.28
2017-11-27,714.1,723.75,710.1,720.0,719.45,2109684.0,15156.55
2017-11-24,696.9,717.9,694.85,717.0,715.1,2447609.0,17334.99
2017-11-23,700.0,706.0,689.55,695.15,694.4,1915125.0,13354.12
2017-11-22,710.0,712.0,694.0,698.55,698.35,1742673.0,12225.45
2017-11-21,709.0,716.35,704.2,708.15,708.85,1865567.0,13266.33
2017-11-20,710.0,714.8,703.8,706.95,706.45,1652210.0,11702.28
2017-11-17,719.45,722.85,706.75,708.0,708.8,1479177.0,10590.95
2017-11-16,700.0,715.9,700.0,713.75,713.2,2019081.0,14308.77
2017-11-15,699.0,711.75,689.05,698.0,696.05,2780407.0,19495.22
2017-11-14,711.05,719.0,695.55,699.0,701.55,3463442.0,24560.82
2017-11-13,750.0,750.0,706.5,708.1,710.2,5588323.0,40259.65
2017-11-10,804.0,804.0,729.8,743.1,740.1,9059534.0,68713.2
2017-11-09,794.9,798.55,726.8,787.4,789.4,3872227.0,30146.1
2017-11-08,784.0,794.9,777.55,791.5,787.45,1684384.0,13268.64
2017-11-07,798.0,809.45,770.65,781.0,780.0,3569462.0,28136.13
2017-11-06,788.0,804.8,788.0,795.95,795.9,2690806.0,21483.84
2017-11-03,795.0,800.0,776.45,788.1,787.95,2796995.0,22044.88
2017-11-02,768.0,797.9,768.0,790.0,789.25,5843925.0,46070.45
2017-11-01,763.5,771.5,755.0,761.45,761.3,1735807.0,13235.52
2017-10-31,765.0,772.0,755.0,761.5,760.0,2010759.0,15319.35
2017-10-30,765.1,773.5,756.4,767.1,767.15,1174713.0,8988.97
2017-10-27,756.0,775.0,753.0,762.05,762.05,2650725.0,20290.01
2017-10-26,735.75,753.75,725.0,753.5,749.0,1970714.0,14655.85
2017-10-25,747.45,752.2,732.25,734.5,734.5,1505656.0,11200.69
2017-10-24,760.25,760.25,741.05,742.5,742.7,1539836.0,11526.99
2017-10-23,763.05,767.35,745.0,749.85,750.95,1662764.0,12547.16
2017-10-19,757.2,760.9,750.05,752.0,754.05,242818.0,1836.16
2017-10-18,768.35,768.4,753.65,757.0,756.0,1212700.0,9201.52
2017-10-17,761.7,772.0,753.5,766.5,764.45,2348766.0,17968.06
2017-10-16,749.25,762.0,745.5,758.0,757.75,2067041.0,15658.63
2017-10-13,750.0,754.0,742.55,742.55,745.5,1426272.0,10670.44
2017-10-12,732.6,749.0,732.6,747.7,747.0,2562594.0,19095.68
2017-10-11,738.95,747.9,727.8,732.5,732.1,1930918.0,14277.56
2017-10-10,730.5,741.1,730.5,737.0,735.3,1623590.0,11947.23
2017-10-09,753.8,756.15,725.2,729.55,729.1,3113263.0,22913.63
2017-10-06,745.0,752.1,740.05,745.55,746.0,2817737.0,21008.04
2017-10-05,726.95,753.45,726.95,744.25,742.85,4849626.0,36043.22
2017-10-04,711.9,729.5,706.0,728.2,724.95,2498832.0,18003.88
2017-10-03,700.0,711.6,694.85,708.0,706.95,2271323.0,16029.16
2017-09-29,675.8,706.0,675.8,694.2,691.65,5459838.0,37812.79
2017-09-28,689.7,691.2,665.05,677.0,675.8,6471303.0,44016.36
2017-09-27,711.5,712.9,687.0,689.8,689.7,1410904.0,9857.23
2017-09-26,701.0,714.6,696.0,704.75,709.35,2873639.0,20259.05
2017-09-25,727.95,727.95,693.65,699.5,700.85,3813567.0,26881.12
2017-09-22,752.95,757.0,718.45,724.0,724.2,3364141.0,24772.44
2017-09-21,745.0,761.0,744.3,751.5,752.6,2433347.0,18346.51
2017-09-20,750.0,754.95,737.95,746.0,745.55,1661421.0,12423.67
2017-09-19,761.0,770.8,743.4,746.7,748.95,2208045.0,16727.7
2017-09-18,764.75,772.7,749.5,758.4,762.25,1426263.0,10835.91
2017-09-15,765.0,768.9,753.0,756.0,758.3,1886856.0,14337.11
2017-09-14,762.0,776.0,760.2,767.0,766.05,1868924.0,14380.05
2017-09-13,755.95,771.65,751.25,764.95,760.0,2748948.0,21029.26
2017-09-12,744.2,762.95,742.45,756.1,758.45,2644899.0,19945.63
2017-09-11,744.0,748.0,737.5,741.05,741.7,1132296.0,8409.58
2017-09-08,739.75,752.0,736.0,736.05,739.05,1697904.0,12616.82
2017-09-07,751.4,758.0,725.2,739.75,742.0,3365725.0,25014.87
2017-09-06,743.0,754.45,738.0,747.4,747.35,1323036.0,9880.72
2017-09-05,752.9,755.0,741.15,743.0,744.25,1503671.0,11223.17
2017-09-04,765.0,772.5,742.25,748.4,748.65,3151451.0,23820.97
