Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,2299.85,2486.45,2290.0,2458.0,2450.5,305626.0,7403.02
2018-03-12,2380.0,2380.1,2250.0,2284.95,2283.55,200972.0,4595.99
2018-03-09,2332.0,2399.8,2309.45,2362.0,2362.05,70968.0,1679.36
2018-03-08,2374.3,2409.8,2312.1,2321.55,2328.5,88963.0,2085.28
2018-03-07,2400.0,2400.0,2326.0,2373.35,2374.3,101481.0,2397.18
2018-03-06,2446.2,2495.0,2402.0,2417.0,2418.75,67683.0,1653.62
2018-03-05,2428.7,2457.7,2400.0,2437.2,2438.45,125184.0,3053.06
2018-03-01,2414.95,2518.0,2410.0,2430.0,2431.45,195686.0,4828.19
2018-02-28,2369.95,2432.0,2335.5,2406.15,2397.9,95885.0,2284.08
2018-02-27,2471.7,2471.7,2372.0,2394.0,2395.7,86124.0,2067.29
2018-02-26,2439.0,2499.0,2410.0,2450.0,2455.4,107023.0,2643.71
2018-02-23,2318.0,2424.0,2314.25,2404.9,2410.6,159084.0,3803.92
2018-02-22,2325.5,2368.0,2270.0,2304.8,2311.7,78791.0,1823.76
2018-02-21,2340.95,2359.25,2304.05,2344.55,2344.5,46082.0,1078.27
2018-02-20,2281.0,2370.0,2279.85,2330.0,2324.8,57685.0,1339.8
2018-02-19,2342.35,2344.95,2231.6,2300.0,2290.6,80687.0,1841.57
2018-02-16,2397.8,2397.8,2315.0,2347.0,2342.35,64492.0,1513.09
2018-02-15,2430.0,2447.0,2366.05,2378.0,2374.8,68702.0,1649.72
2018-02-14,2529.85,2530.0,2404.05,2414.9,2413.1,86343.0,2104.65
2018-02-12,2550.0,2600.0,2480.0,2490.0,2506.75,167831.0,4250.36
2018-02-09,2450.0,2566.05,2401.5,2448.0,2444.0,163108.0,4046.55
2018-02-08,2447.85,2576.85,2424.0,2514.0,2515.0,132018.0,3309.51
2018-02-07,2300.0,2473.55,2285.95,2401.0,2430.85,166605.0,3952.46
2018-02-06,2180.0,2250.0,2118.05,2249.95,2219.7,128997.0,2844.18
2018-02-05,2275.0,2349.95,2226.45,2310.05,2316.95,105692.0,2437.39
2018-02-02,2348.5,2448.0,2200.0,2350.0,2352.15,238830.0,5618.69
2018-02-01,2254.7,2545.0,2236.4,2402.05,2400.55,495900.0,12003.69
2018-01-31,2274.7,2274.7,2171.1,2221.0,2217.15,93603.0,2070.92
2018-01-30,2340.0,2370.0,2265.3,2274.7,2274.8,67822.0,1560.16
2018-01-29,2438.0,2470.0,2369.95,2375.9,2378.25,64347.0,1553.98
2018-01-25,2509.0,2518.7,2430.0,2432.15,2438.8,27197.0,670.2
2018-01-24,2516.4,2527.0,2465.0,2470.05,2474.8,34391.0,856.15
2018-01-23,2518.5,2563.95,2516.65,2532.0,2535.55,62868.0,1598.41
2018-01-22,2437.05,2530.0,2437.05,2508.0,2505.3,45717.0,1140.1
2018-01-19,2405.0,2473.9,2401.0,2450.0,2454.9,60005.0,1457.29
2018-01-18,2501.0,2519.0,2427.0,2435.0,2436.25,39695.0,979.39
2018-01-17,2510.0,2527.0,2440.0,2500.0,2478.85,51485.0,1278.31
2018-01-16,2570.0,2570.0,2490.0,2505.5,2502.7,60169.0,1515.09
2018-01-15,2579.95,2609.0,2542.0,2544.95,2548.0,34125.0,875.78
2018-01-12,2581.0,2649.0,2550.0,2561.45,2568.7,72467.0,1888.7
2018-01-11,2525.4,2594.85,2525.4,2579.8,2571.9,56086.0,1443.17
2018-01-10,2650.0,2650.05,2572.1,2584.0,2581.95,58039.0,1509.32
2018-01-09,2689.0,2698.25,2640.15,2659.9,2659.15,42639.0,1137.28
2018-01-08,2700.0,2748.45,2661.15,2684.8,2683.55,68834.0,1861.39
2018-01-05,2557.0,2725.0,2552.35,2695.0,2695.0,250773.0,6694.2
2018-01-04,2576.85,2588.4,2538.05,2540.0,2547.4,39297.0,1004.29
2018-01-03,2600.0,2604.0,2551.5,2558.0,2561.75,34868.0,897.11
2018-01-02,2622.0,2628.0,2500.0,2593.7,2591.25,61832.0,1600.03
2018-01-01,2555.9,2654.0,2541.0,2612.0,2585.25,113531.0,2960.82
2017-12-29,2525.0,2538.8,2517.05,2535.0,2534.15,42907.0,1086.28
2017-12-28,2532.0,2546.95,2501.0,2514.15,2512.1,48882.0,1233.16
2017-12-27,2559.9,2559.9,2506.0,2512.0,2516.8,34223.0,867.33
2017-12-26,2570.0,2570.2,2525.0,2538.55,2538.5,32713.0,831.77
2017-12-22,2569.0,2575.0,2536.05,2555.0,2550.75,36281.0,927.8
2017-12-21,2572.0,2588.0,2553.0,2556.1,2557.5,24791.0,636.87
2017-12-20,2580.1,2599.95,2550.0,2568.0,2563.1,42279.0,1090.16
2017-12-19,2575.0,2609.95,2560.0,2566.0,2566.85,47362.0,1223.8
2017-12-18,2600.0,2628.5,2501.05,2574.9,2569.65,84039.0,2172.84
2017-12-15,2560.25,2645.0,2560.0,2593.0,2600.75,90244.0,2357.85
2017-12-14,2545.0,2580.0,2501.0,2540.0,2535.8,64708.0,1646.9
2017-12-13,2570.0,2580.0,2495.0,2511.0,2511.65,92443.0,2346.36
2017-12-12,2622.0,2629.15,2551.1,2566.0,2564.7,40567.0,1050.48
2017-12-11,2658.8,2669.0,2608.0,2625.15,2616.15,50429.0,1332.75
2017-12-08,2630.0,2695.0,2606.0,2634.95,2644.3,88815.0,2359.69
2017-12-07,2644.95,2660.0,2612.95,2638.0,2643.05,53083.0,1400.48
2017-12-06,2616.9,2660.0,2606.05,2634.0,2619.7,98995.0,2602.91
2017-12-05,2581.0,2600.0,2545.0,2578.8,2578.75,90121.0,2326.01
2017-12-04,2635.0,2673.7,2552.5,2560.0,2562.25,61783.0,1600.22
2017-12-01,2635.4,2710.0,2600.0,2638.3,2624.05,123716.0,3299.31
2017-11-30,2548.7,2647.7,2450.0,2631.3,2611.9,122878.0,3141.17
2017-11-29,2620.0,2622.7,2550.0,2550.95,2555.85,66032.0,1707.45
2017-11-28,2607.95,2629.95,2590.5,2604.0,2598.35,52230.0,1360.69
2017-11-27,2616.15,2660.25,2566.0,2590.0,2587.15,92691.0,2413.59
2017-11-24,2682.0,2682.0,2590.0,2612.4,2604.6,88137.0,2308.58
2017-11-23,2730.0,2761.55,2660.0,2662.0,2682.4,93696.0,2532.39
2017-11-22,2748.5,2790.0,2682.65,2733.0,2726.55,166119.0,4570.13
2017-11-21,2572.0,2723.95,2535.35,2706.25,2706.7,312504.0,8338.33
2017-11-20,2629.7,2674.9,2535.55,2547.7,2547.3,104282.0,2696.14
2017-11-17,2520.0,2649.95,2520.0,2612.85,2606.95,205352.0,5318.74
2017-11-16,2510.0,2534.9,2255.0,2433.0,2432.65,388140.0,9219.37
2017-11-15,2651.5,2688.0,2499.7,2502.45,2509.4,221104.0,5664.73
2017-11-14,2808.5,2809.9,2685.0,2694.7,2702.55,122468.0,3349.05
2017-11-13,2940.0,2940.0,2725.0,2784.75,2785.6,195473.0,5522.85
2017-11-10,2870.0,2917.0,2855.0,2895.0,2888.0,97567.0,2814.43
2017-11-09,2829.95,2884.0,2815.0,2872.0,2866.0,90865.0,2589.49
2017-11-08,2833.0,2856.55,2790.0,2807.5,2802.3,49824.0,1405.41
2017-11-07,2869.7,2889.85,2802.25,2819.5,2819.75,64696.0,1843.18
2017-11-06,2840.0,2895.0,2810.05,2830.05,2831.75,79232.0,2253.45
2017-11-03,2851.95,2879.0,2823.0,2838.6,2842.9,57396.0,1636.4
2017-11-02,2815.25,2844.7,2800.0,2828.0,2821.35,46199.0,1302.29
2017-11-01,2861.9,2862.9,2780.0,2791.0,2787.6,63580.0,1788.39
2017-10-31,2875.0,2880.0,2800.0,2819.4,2821.45,73881.0,2097.16
2017-10-30,2900.0,2918.0,2812.05,2863.0,2875.85,91677.0,2629.41
2017-10-27,2890.0,2920.0,2830.0,2870.0,2858.15,190289.0,5486.79
2017-10-26,2648.0,2839.9,2600.0,2835.0,2791.75,189402.0,5157.61
2017-10-25,2674.7,2680.0,2584.05,2629.9,2631.65,102758.0,2699.44
2017-10-24,2750.0,2750.0,2630.0,2645.0,2645.75,124705.0,3329.74
2017-10-23,2705.0,2800.0,2680.0,2703.0,2710.9,225341.0,6198.73
2017-10-19,2612.0,2690.0,2610.0,2679.05,2672.25,60332.0,1607.63
2017-10-18,2611.0,2623.0,2591.45,2599.0,2601.95,80207.0,2087.02
2017-10-17,2574.0,2604.95,2530.05,2599.0,2588.2,166759.0,4300.24
2017-10-16,2536.2,2564.95,2501.85,2519.0,2524.9,115922.0,2931.36
2017-10-13,2467.0,2510.0,2451.95,2504.0,2498.15,173875.0,4333.8
2017-10-12,2408.0,2495.0,2408.0,2449.0,2443.8,151964.0,3734.29
2017-10-11,2472.0,2510.0,2350.0,2390.0,2389.15,178348.0,4393.2
2017-10-10,2450.0,2475.7,2422.1,2440.0,2446.0,63337.0,1551.4
2017-10-09,2490.0,2507.0,2435.25,2450.0,2453.15,84747.0,2094.02
2017-10-06,2474.9,2510.0,2441.75,2465.15,2458.35,155531.0,3863.27
2017-10-05,2410.9,2530.0,2361.2,2453.0,2456.0,496032.0,12204.95
2017-10-04,2315.45,2444.85,2263.1,2380.1,2400.15,481468.0,11327.81
2017-10-03,2058.9,2300.0,2050.0,2300.0,2251.95,444802.0,9778.76
2017-09-29,2040.95,2064.95,2010.0,2040.0,2029.7,59800.0,1218.97
2017-09-28,2071.0,2087.0,1995.4,2018.0,2022.6,76056.0,1551.46
2017-09-27,2087.0,2119.15,2050.0,2050.0,2054.9,119633.0,2490.57
2017-09-26,1949.95,2074.0,1929.65,2059.0,2046.75,93567.0,1897.83
2017-09-25,1991.0,2009.45,1870.2,1956.0,1953.4,105876.0,2044.69
2017-09-22,2114.35,2114.4,1963.45,2010.0,1999.45,125835.0,2544.57
2017-09-21,2108.9,2178.0,2083.05,2115.0,2111.6,104216.0,2216.68
2017-09-20,2110.15,2130.0,2051.0,2100.0,2101.8,90212.0,1896.69
2017-09-19,2159.7,2174.0,2064.4,2098.0,2088.05,215855.0,4533.94
2017-09-18,1914.7,2119.0,1890.1,2082.65,2059.6,254691.0,5119.36
2017-09-15,1865.0,1905.0,1865.0,1880.0,1884.35,48533.0,914.6
2017-09-14,1900.0,1900.4,1866.1,1874.95,1879.35,25176.0,473.21
2017-09-13,1889.95,1898.0,1861.05,1888.0,1882.75,34311.0,645.24
