Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,467.9,475.3,463.25,468.95,466.05,67727.0,316.1
2018-03-12,473.25,478.4,465.0,466.0,466.2,15703.0,73.44
2018-03-09,468.0,475.0,463.3,475.0,472.55,20987.0,99.0
2018-03-08,458.05,469.4,455.05,466.85,465.8,13884.0,64.4
2018-03-07,471.95,471.95,460.0,460.35,462.5,17121.0,79.47
2018-03-06,481.1,482.7,463.35,463.5,468.4,391130.0,1876.6
2018-03-05,493.55,493.55,480.0,481.05,481.45,7091.0,34.16
2018-03-01,486.9,486.9,477.05,481.0,483.9,89413.0,429.33
2018-02-28,483.5,489.5,475.5,480.2,479.85,28443.0,136.81
2018-02-27,486.15,486.15,484.4,484.5,485.0,7292.0,35.38
2018-02-26,485.5,489.4,483.75,487.0,485.2,52090.0,252.82
2018-02-23,483.0,488.8,482.75,485.95,485.3,40744.0,197.64
2018-02-22,485.95,489.0,482.1,485.0,484.9,157367.0,760.62
2018-02-21,487.25,488.0,479.8,486.3,485.65,16023.0,77.21
2018-02-20,478.3,497.0,478.3,485.0,484.75,20274.0,98.25
2018-02-19,491.1,495.95,486.5,489.0,488.0,12748.0,62.42
2018-02-16,493.45,494.4,489.0,490.0,489.75,9727.0,47.77
2018-02-15,491.5,496.5,488.5,494.95,494.9,13788.0,67.95
2018-02-14,500.0,500.0,485.0,490.45,491.3,19027.0,94.14
2018-02-12,504.0,504.0,486.05,493.3,493.25,34432.0,170.65
2018-02-09,478.0,498.0,471.45,491.3,494.25,32334.0,158.48
2018-02-08,484.7,484.7,475.5,483.0,481.05,11032.0,53.0
2018-02-07,482.25,482.25,471.0,476.0,475.4,13206.0,63.11
2018-02-06,435.5,475.0,435.0,474.0,472.8,80987.0,369.51
2018-02-05,483.0,483.0,465.0,470.0,469.75,87133.0,411.17
2018-02-02,479.0,494.0,465.0,487.35,489.05,47422.0,228.82
2018-02-01,489.0,491.9,482.2,486.9,488.15,23025.0,112.3
2018-01-31,503.0,505.05,488.0,488.25,492.1,24013.0,118.92
2018-01-30,495.75,506.7,494.15,505.0,505.0,214890.0,1083.08
2018-01-29,503.5,503.5,494.0,499.95,498.05,25855.0,128.47
2018-01-25,491.15,499.95,488.25,495.0,495.9,42238.0,208.05
2018-01-24,494.9,499.9,489.65,496.0,494.7,58371.0,288.83
2018-01-23,498.85,507.0,494.55,499.95,498.1,102171.0,510.98
2018-01-22,490.0,493.45,484.0,492.9,491.8,53956.0,263.3
2018-01-19,507.0,510.5,493.05,501.0,499.7,95800.0,479.98
2018-01-18,518.75,518.75,493.05,505.0,503.35,59955.0,304.47
2018-01-17,517.9,522.0,511.9,514.0,515.2,49999.0,258.33
2018-01-16,509.3,525.0,509.3,514.0,513.9,251276.0,1298.37
2018-01-15,512.0,513.1,503.5,508.7,509.3,123288.0,627.11
2018-01-12,507.0,514.0,501.1,507.0,507.1,252007.0,1278.65
2018-01-11,504.6,525.0,488.8,504.1,508.95,1331469.0,6818.83
2018-01-10,500.0,508.8,491.55,496.9,496.2,83222.0,414.24
2018-01-09,498.8,511.0,496.0,498.5,499.75,120121.0,603.91
2018-01-08,495.9,498.45,492.5,492.5,493.9,34818.0,172.23
2018-01-05,488.0,497.0,488.0,489.5,491.2,30571.0,150.54
2018-01-04,494.45,495.75,487.0,488.8,487.6,62999.0,308.4
2018-01-03,493.0,495.0,484.1,485.2,486.15,50639.0,246.43
2018-01-02,487.45,493.1,485.55,488.5,488.85,63318.0,309.94
2018-01-01,482.9,493.35,477.1,486.35,487.75,23617.0,115.61
2017-12-29,481.9,482.05,476.6,479.9,478.3,6991.0,33.55
2017-12-28,490.0,495.0,476.2,479.0,480.05,16397.0,79.39
2017-12-27,489.95,493.35,482.55,487.0,485.8,25875.0,126.28
2017-12-26,484.3,490.0,481.15,484.05,485.3,120783.0,587.71
