Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,578.0,624.0,564.7,610.5,611.7,1321940.0,7969.0
2018-03-12,571.0,584.0,567.15,577.8,576.55,516014.0,2970.29
2018-03-09,570.4,573.9,560.25,566.1,565.8,359559.0,2038.43
2018-03-08,556.2,570.8,553.4,565.5,564.75,629259.0,3544.52
2018-03-07,568.95,576.0,548.25,552.85,552.8,729069.0,4105.5
2018-03-06,551.0,577.0,547.0,566.0,567.95,1114400.0,6296.86
2018-03-05,538.1,551.95,526.0,551.0,546.55,459396.0,2484.1
2018-03-01,528.65,547.7,528.05,538.1,536.95,504682.0,2730.0
2018-02-28,534.0,538.4,521.55,531.0,527.55,247361.0,1310.24
2018-02-27,533.9,545.7,522.0,540.1,540.1,701325.0,3778.33
2018-02-26,509.2,532.3,504.05,531.4,529.1,755192.0,3935.81
2018-02-23,504.0,511.4,497.0,505.0,505.6,297187.0,1503.17
2018-02-22,499.0,511.95,495.15,498.75,500.35,282864.0,1430.07
2018-02-21,505.95,507.4,496.55,502.0,502.85,104814.0,525.68
2018-02-20,505.0,513.9,498.0,502.5,502.5,217574.0,1102.18
2018-02-19,503.0,511.5,492.1,506.3,506.5,381559.0,1921.14
2018-02-16,508.45,509.8,491.4,503.7,505.55,345462.0,1731.03
2018-02-15,516.8,524.0,495.0,502.05,499.8,247446.0,1256.56
2018-02-14,518.4,530.0,510.0,514.4,513.2,475744.0,2460.75
2018-02-12,543.7,556.65,509.85,513.6,514.0,806867.0,4269.41
2018-02-09,490.0,545.0,486.1,542.0,537.0,1221873.0,6436.2
2018-02-08,494.85,518.65,478.2,508.0,510.15,1541350.0,7626.63
2018-02-07,455.25,492.0,455.25,490.0,489.3,1296570.0,6235.68
2018-02-06,411.0,452.0,400.0,448.0,446.8,373544.0,1606.29
2018-02-05,427.55,445.0,405.55,443.0,432.45,470020.0,1991.29
2018-02-02,468.0,468.0,431.95,435.0,440.75,517787.0,2312.22
2018-02-01,489.8,498.4,470.0,470.0,470.65,289734.0,1400.96
2018-01-31,494.0,512.0,482.0,487.05,488.1,211283.0,1051.68
2018-01-30,496.4,499.0,481.1,495.25,495.2,189917.0,931.93
2018-01-29,511.0,525.0,494.0,497.85,496.4,223202.0,1130.46
2018-01-25,530.0,530.0,509.0,509.55,512.15,124814.0,645.89
2018-01-24,527.0,534.5,527.0,529.35,529.35,247851.0,1315.62
2018-01-23,522.0,539.3,522.0,526.75,527.15,306922.0,1626.08
2018-01-22,533.8,535.75,519.0,519.0,521.7,136344.0,717.79
2018-01-19,531.2,539.95,503.2,531.0,530.75,341618.0,1815.0
2018-01-18,541.7,561.9,525.0,531.0,529.7,544784.0,2996.69
2018-01-17,549.5,550.0,532.6,538.5,538.1,321299.0,1734.41
2018-01-16,551.9,564.85,545.0,548.8,549.5,480453.0,2674.25
2018-01-15,561.6,561.65,545.0,545.6,547.45,149532.0,823.9
2018-01-12,553.0,560.0,548.2,556.95,557.4,280713.0,1556.32
2018-01-11,548.3,561.3,546.6,552.45,550.25,334551.0,1857.29
2018-01-10,560.0,570.95,541.55,548.0,547.05,291412.0,1622.31
2018-01-09,564.95,578.4,554.35,559.0,559.6,416353.0,2348.05
2018-01-08,568.0,577.0,555.05,561.7,560.7,510670.0,2884.11
2018-01-05,541.95,584.7,541.95,567.0,567.65,2190561.0,12460.87
2018-01-04,545.0,552.0,532.3,541.5,540.35,840962.0,4572.77
2018-01-03,490.0,548.7,487.5,542.0,533.45,1599056.0,8303.0
2018-01-02,491.65,493.9,476.2,491.55,489.8,159034.0,773.04
2018-01-01,495.0,501.45,486.35,488.75,489.25,111959.0,553.43
2017-12-29,496.0,501.7,492.0,496.3,497.7,269725.0,1343.79
2017-12-28,488.7,503.8,485.55,494.5,494.35,842554.0,4186.72
2017-12-27,475.0,494.9,475.0,486.85,486.9,875650.0,4287.68
2017-12-26,478.6,479.8,471.0,474.5,473.75,130908.0,621.66
2017-12-22,481.8,484.45,475.0,475.5,476.5,103941.0,497.99
2017-12-21,485.6,489.9,476.45,478.0,479.0,154719.0,749.16
2017-12-20,480.15,493.4,478.05,481.85,482.15,439913.0,2140.54
2017-12-19,480.0,488.0,475.0,476.05,476.65,231615.0,1116.51
2017-12-18,469.0,485.5,451.0,476.5,477.15,378593.0,1806.38
2017-12-15,462.25,473.0,459.05,469.7,467.85,321008.0,1502.65
2017-12-14,470.0,474.5,448.0,452.35,451.3,455707.0,2071.91
2017-12-13,482.0,483.0,462.65,469.0,467.2,261188.0,1236.84
2017-12-12,492.0,499.1,475.25,477.3,480.0,516688.0,2538.73
2017-12-11,483.8,502.8,477.05,490.8,491.25,779608.0,3849.04
2017-12-08,490.0,492.5,478.0,481.0,482.2,275676.0,1341.13
2017-12-07,482.1,496.8,481.2,489.95,492.6,1321027.0,6500.55
2017-12-06,448.0,479.0,446.1,478.9,474.1,1116449.0,5243.31
