Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,10.0,10.35,9.8,10.1,10.1,2640608.0,268.29
2018-03-12,10.8,10.85,9.3,10.05,10.05,8095095.0,801.63
2018-03-09,10.95,11.05,10.65,10.75,10.75,2287797.0,248.19
2018-03-08,11.35,11.35,10.6,10.85,10.85,3807772.0,413.65
2018-03-07,11.75,11.75,11.1,11.15,11.2,3113731.0,352.37
2018-03-06,12.3,12.35,11.6,11.75,11.75,3343081.0,397.28
2018-03-05,12.55,12.55,12.1,12.25,12.2,1631357.0,200.01
2018-03-01,12.6,12.75,12.55,12.6,12.55,1257374.0,158.97
2018-02-28,12.65,12.75,12.55,12.55,12.6,1560731.0,197.09
2018-02-27,12.75,12.85,12.6,12.7,12.7,1524028.0,193.89
2018-02-26,13.1,13.1,12.85,12.85,12.9,1554062.0,200.91
2018-02-23,12.95,13.1,12.9,12.95,12.95,1498963.0,194.53
2018-02-22,13.0,13.05,12.85,12.95,12.9,1919898.0,248.65
2018-02-21,12.95,13.0,12.9,12.95,12.95,1104527.0,142.9
2018-02-20,12.9,13.15,12.8,12.9,12.85,1526275.0,197.86
2018-02-19,13.25,13.25,12.85,12.9,12.9,1927971.0,249.94
2018-02-16,13.3,13.55,13.1,13.25,13.2,1605212.0,213.2
2018-02-15,13.7,13.7,13.35,13.4,13.4,1802319.0,244.35
2018-02-14,13.9,13.9,13.6,13.7,13.65,2219229.0,304.89
2018-02-12,14.05,14.4,13.9,13.95,14.0,3213809.0,456.44
2018-02-09,13.4,14.2,13.25,13.95,14.0,5496545.0,762.05
2018-02-08,13.6,13.8,13.5,13.6,13.65,1789883.0,244.58
2018-02-07,13.6,13.85,13.45,13.55,13.55,2613219.0,356.07
2018-02-06,13.15,14.0,12.8,13.4,13.4,4854879.0,649.18
2018-02-05,13.4,14.25,13.2,13.95,13.85,5488508.0,749.83
2018-02-02,13.85,13.85,13.2,13.4,13.35,4486911.0,604.68
2018-02-01,14.25,14.35,13.85,13.95,13.95,2505592.0,352.66
2018-01-31,14.25,14.5,14.1,14.2,14.15,4833991.0,691.64
2018-01-30,13.9,14.2,13.6,14.1,14.0,3923920.0,541.08
2018-01-29,14.15,14.25,13.95,13.95,13.95,2207356.0,309.38
2018-01-25,14.15,14.25,14.0,14.05,14.05,2604338.0,367.28
2018-01-24,14.25,14.5,14.05,14.15,14.1,3442560.0,490.82
2018-01-23,14.55,14.6,14.15,14.35,14.3,3090106.0,445.09
2018-01-22,14.8,14.9,14.45,14.5,14.5,2094260.0,305.89
2018-01-19,14.75,15.0,14.4,14.8,14.75,4979312.0,731.51
2018-01-18,15.4,15.6,14.6,14.7,14.7,5054876.0,761.63
2018-01-17,15.45,15.45,15.0,15.3,15.25,4208801.0,640.2
2018-01-16,16.5,16.5,15.3,15.4,15.4,6017164.0,948.84
2018-01-15,16.75,17.0,16.35,16.5,16.4,4565692.0,760.49
2018-01-12,17.6,17.8,16.45,16.5,16.7,5443948.0,923.74
2018-01-11,17.25,17.85,17.0,17.65,17.45,4049207.0,702.42
2018-01-10,17.5,17.75,17.1,17.2,17.15,4048695.0,704.01
2018-01-09,17.85,17.85,17.1,17.5,17.35,4550157.0,795.11
2018-01-08,17.35,18.1,17.2,17.7,17.65,6999362.0,1237.89
2018-01-05,17.0,17.75,17.0,17.2,17.3,5805402.0,1008.67
2018-01-04,17.5,17.65,16.95,17.0,17.05,6515420.0,1115.69
2018-01-03,18.1,18.45,17.1,17.45,17.4,13371821.0,2387.5
2018-01-02,17.0,18.8,16.5,18.0,17.9,40337098.0,7168.99
2018-01-01,15.6,16.45,15.6,16.15,16.1,11337498.0,1830.47
2017-12-29,14.7,15.65,14.7,15.6,15.4,9424680.0,1434.39
2017-12-28,14.55,14.65,14.45,14.55,14.5,1822990.0,265.42
2017-12-27,14.75,14.8,14.45,14.5,14.55,2280745.0,333.57
2017-12-26,14.7,14.85,14.55,14.75,14.7,2230964.0,327.57
2017-12-22,14.6,14.9,14.55,14.6,14.6,2532389.0,371.94
2017-12-21,14.55,14.7,14.45,14.65,14.6,1884283.0,274.65
2017-12-20,14.6,14.8,14.45,14.5,14.55,2415379.0,352.74
2017-12-19,14.05,14.75,14.05,14.5,14.5,5884618.0,853.09
2017-12-18,14.15,14.2,13.55,14.0,14.0,1542573.0,216.7
2017-12-15,14.3,14.4,14.15,14.2,14.2,1838534.0,261.97
2017-12-14,14.45,14.5,14.1,14.15,14.15,1695281.0,240.88
2017-12-13,14.7,14.7,14.25,14.4,14.35,2364323.0,342.17
2017-12-12,14.9,15.0,14.65,14.65,14.7,1663614.0,246.48
2017-12-11,14.95,15.2,14.85,14.85,14.85,1996043.0,299.69
2017-12-08,15.1,15.2,14.85,14.9,14.95,1551986.0,233.51
2017-12-07,15.0,15.25,15.0,15.05,15.05,2203525.0,332.59
2017-12-06,15.6,15.75,14.9,15.1,15.0,6803238.0,1046.88
2017-12-05,15.05,15.35,14.95,15.1,15.15,2812916.0,425.74
2017-12-04,15.3,15.6,15.05,15.15,15.15,3261939.0,497.42
2017-12-01,15.3,16.2,15.0,15.15,15.1,8905658.0,1380.85
2017-11-30,15.2,15.6,15.1,15.2,15.25,3107313.0,477.64
2017-11-29,15.4,15.75,15.2,15.2,15.25,3215228.0,497.62
2017-11-28,15.35,15.7,15.25,15.35,15.5,3923614.0,606.53
2017-11-27,15.25,15.6,15.25,15.35,15.35,3210871.0,495.25
2017-11-24,15.7,15.95,15.4,15.45,15.45,5225400.0,816.32
2017-11-23,14.8,15.9,14.75,15.65,15.7,9381723.0,1446.08
2017-11-22,15.0,15.05,14.75,14.75,14.8,1827823.0,271.99
2017-11-21,15.05,15.15,14.75,14.9,14.95,3355935.0,500.79
2017-11-20,14.7,15.2,14.45,15.05,14.95,5828327.0,867.88
2017-11-17,14.45,15.05,14.3,14.7,14.75,7887393.0,1156.41
2017-11-16,14.4,14.55,14.25,14.25,14.25,2114780.0,303.5
2017-11-15,14.8,14.85,14.3,14.3,14.35,3099476.0,452.9
2017-11-14,14.6,15.1,14.5,14.75,14.75,4668047.0,688.4
2017-11-13,15.0,15.25,14.75,14.85,14.9,2778508.0,414.89
2017-11-10,14.8,15.25,14.65,14.8,14.85,3495429.0,522.66
2017-11-09,14.75,14.95,14.45,14.85,14.85,4202982.0,619.76
2017-11-08,14.7,15.2,14.55,14.75,14.65,3320346.0,492.8
2017-11-07,15.3,15.45,14.6,14.65,14.75,3988835.0,597.92
2017-11-06,15.7,16.0,15.25,15.3,15.35,3399989.0,530.82
2017-11-03,15.2,15.75,15.0,15.7,15.65,4647945.0,714.56
2017-11-02,15.45,15.5,15.0,15.1,15.1,3084738.0,468.17
2017-11-01,15.3,16.1,15.3,15.4,15.4,16679196.0,2613.77
2017-10-31,14.95,15.1,14.75,14.95,14.9,3294361.0,492.23
2017-10-30,14.9,15.1,14.75,14.9,14.95,3146753.0,468.8
2017-10-27,14.5,15.15,14.45,14.6,14.65,4647242.0,683.03
2017-10-26,14.5,14.6,14.25,14.4,14.45,2477804.0,358.32
2017-10-25,14.4,14.7,14.25,14.45,14.45,2315868.0,335.26
2017-10-24,14.4,14.65,14.25,14.3,14.3,2058044.0,296.8
2017-10-23,14.4,14.5,14.15,14.35,14.35,2445153.0,350.01
2017-10-19,14.35,14.4,14.2,14.2,14.25,693985.0,99.14
2017-10-18,14.2,14.7,14.1,14.25,14.3,1992951.0,286.76
2017-10-17,14.5,14.55,14.15,14.35,14.3,1547177.0,220.97
2017-10-16,14.65,14.75,14.4,14.45,14.5,1340411.0,194.65
2017-10-13,14.5,14.95,14.4,14.65,14.65,2048852.0,298.82
2017-10-12,14.65,14.7,14.35,14.5,14.55,2317993.0,336.74
2017-10-11,15.3,15.45,14.3,14.5,14.45,7302822.0,1091.97
2017-10-10,14.35,15.25,14.05,15.0,15.0,6802908.0,1003.25
2017-10-09,13.9,14.55,13.8,14.25,14.2,3077969.0,436.32
2017-10-06,13.7,14.15,13.7,13.85,13.85,3049533.0,425.29
2017-10-05,13.55,13.6,13.35,13.45,13.45,1533792.0,207.24
2017-10-04,13.55,13.7,13.45,13.5,13.55,1375214.0,186.21
2017-10-03,13.75,13.8,13.55,13.55,13.6,1115718.0,152.12
2017-09-29,13.7,13.85,13.55,13.6,13.6,1726856.0,236.81
2017-09-28,13.7,13.85,13.5,13.6,13.6,2243528.0,306.36
2017-09-27,14.05,14.2,13.5,13.55,13.5,2920623.0,403.2
2017-09-26,13.75,13.85,13.4,13.6,13.6,2242336.0,304.93
2017-09-25,14.3,14.3,13.55,13.65,13.7,2885233.0,398.92
2017-09-22,14.45,14.5,14.2,14.25,14.3,1963548.0,281.96
2017-09-21,14.6,14.65,14.4,14.5,14.5,2347901.0,340.48
2017-09-20,14.65,14.85,14.4,14.6,14.55,3959237.0,580.37
2017-09-19,14.65,14.8,14.6,14.65,14.65,2366281.0,348.12
2017-09-18,14.8,14.95,14.65,14.7,14.7,2219484.0,328.44
2017-09-15,14.85,14.95,14.6,14.65,14.65,2812486.0,414.3
2017-09-14,14.75,15.1,14.75,14.85,14.85,3542614.0,530.19
2017-09-13,14.75,15.15,14.7,14.85,14.75,4642792.0,693.11
2017-09-12,14.8,14.9,14.65,14.75,14.7,2475401.0,365.56
2017-09-11,14.75,14.8,14.6,14.7,14.7,1303201.0,191.67
2017-09-08,14.8,14.95,14.55,14.6,14.6,3163446.0,467.59
2017-09-07,14.55,14.9,14.55,14.7,14.7,2582139.0,378.69
2017-09-06,14.6,14.8,14.5,14.5,14.5,2423982.0,353.63
2017-09-05,14.5,14.85,14.4,14.65,14.6,3521062.0,514.86
2017-09-04,14.55,14.7,14.4,14.5,14.5,2468348.0,359.12
2017-09-01,14.7,14.85,14.45,14.6,14.55,3165055.0,463.97
2017-08-31,14.95,15.05,14.55,14.55,14.65,6048800.0,896.65
2017-08-30,14.6,14.85,14.5,14.55,14.55,3142735.0,459.77
2017-08-29,14.8,14.85,14.5,14.6,14.55,2536979.0,372.2
2017-08-28,15.2,15.2,14.85,14.9,14.9,4074548.0,609.9
2017-08-24,14.65,15.4,14.65,14.95,14.9,9634609.0,1449.29
2017-08-23,14.65,14.65,14.4,14.45,14.45,1752445.0,254.88
2017-08-22,14.65,15.1,14.45,14.6,14.5,5560639.0,818.49
2017-08-21,14.9,15.1,14.5,14.6,14.55,2608212.0,385.61
2017-08-18,15.0,15.15,14.6,14.8,14.8,2918167.0,434.22
2017-08-17,15.3,15.55,15.1,15.15,15.15,4018414.0,616.45
2017-08-16,15.5,15.7,15.1,15.25,15.2,4344870.0,665.15
2017-08-14,15.0,15.5,14.8,15.2,15.2,5188171.0,784.73
2017-08-11,14.45,14.95,14.2,14.6,14.5,4214040.0,613.72
2017-08-10,14.9,15.25,14.3,14.7,14.6,5962366.0,883.82
2017-08-09,15.25,15.3,14.8,14.95,14.85,5789167.0,869.87
2017-08-08,15.85,15.95,15.25,15.25,15.3,5745999.0,891.89
2017-08-07,15.7,16.35,15.65,15.95,16.05,8257228.0,1325.01
2017-08-04,15.65,15.85,15.25,15.65,15.65,6765720.0,1053.57
2017-08-03,15.8,16.15,15.0,15.5,15.5,9260948.0,1447.36
2017-08-02,15.85,16.4,15.7,15.7,15.9,10069535.0,1615.68
