Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,12.95,13.3,12.7,13.15,13.05,1630197.0,212.17
2018-03-12,13.5,13.55,12.75,13.0,12.85,702489.0,91.66
2018-03-09,12.85,13.4,12.65,13.3,13.25,1509156.0,197.12
2018-03-08,12.7,12.9,12.0,12.8,12.8,1744789.0,218.19
2018-03-07,12.7,12.9,12.5,12.65,12.55,1441882.0,183.02
2018-03-06,13.2,13.55,12.8,12.95,12.9,1206129.0,157.95
2018-03-05,13.35,13.4,13.1,13.2,13.15,582743.0,77.31
2018-03-01,13.55,13.7,13.4,13.5,13.5,364125.0,49.4
2018-02-28,13.6,13.7,13.35,13.55,13.5,788199.0,106.66
2018-02-27,13.85,14.25,13.6,13.8,13.7,1162492.0,161.22
2018-02-26,13.9,14.15,13.75,13.8,13.85,1034787.0,144.12
2018-02-23,13.4,14.0,13.35,13.8,13.85,935295.0,127.42
2018-02-22,13.35,13.45,13.15,13.4,13.4,785355.0,104.71
2018-02-21,13.7,13.8,13.3,13.4,13.35,836515.0,112.52
2018-02-20,13.55,13.7,13.1,13.55,13.6,1233204.0,165.42
2018-02-19,13.65,13.9,13.3,13.45,13.5,981346.0,133.26
2018-02-16,14.0,14.2,13.6,13.85,13.75,1188607.0,164.49
2018-02-15,14.4,14.65,13.8,13.9,14.05,1180466.0,167.08
2018-02-14,14.75,14.8,14.25,14.3,14.25,1307991.0,190.01
2018-02-12,15.5,15.55,14.35,14.6,14.55,3096329.0,457.68
2018-02-09,15.05,15.45,14.5,15.2,15.2,1314290.0,198.6
2018-02-08,14.75,15.65,14.65,15.55,15.25,1550535.0,234.09
2018-02-07,15.0,15.2,14.55,14.65,14.65,1141596.0,168.04
2018-02-06,14.0,14.9,13.4,14.55,14.7,3714942.0,517.58
2018-02-05,14.0,15.15,13.65,14.85,14.8,1731662.0,252.05
2018-02-02,14.9,15.3,13.55,14.4,14.3,2137706.0,308.86
2018-02-01,15.75,16.15,15.05,15.2,15.25,1188735.0,184.53
2018-01-31,15.0,16.3,14.9,15.75,15.7,3117392.0,490.22
2018-01-30,14.8,15.4,14.3,14.9,14.85,1873783.0,276.6
2018-01-29,15.75,15.85,14.8,14.85,14.85,1454982.0,222.14
2018-01-25,15.7,15.9,15.35,15.6,15.55,1101577.0,171.48
2018-01-24,15.75,15.9,15.45,15.5,15.65,1194986.0,187.26
2018-01-23,16.25,16.4,15.7,15.8,15.75,1728631.0,277.36
2018-01-22,16.3,16.45,15.7,16.15,16.15,1800564.0,288.92
2018-01-19,16.4,16.7,16.0,16.2,16.3,2000414.0,326.5
2018-01-18,17.85,17.9,16.2,16.5,16.4,2171780.0,367.85
2018-01-17,17.2,17.8,16.75,17.8,17.65,2707413.0,471.17
2018-01-16,18.35,18.4,17.15,17.4,17.25,4094751.0,720.2
2018-01-15,18.85,19.15,18.1,18.25,18.25,3979331.0,736.46
2018-01-12,18.3,19.3,18.25,18.55,18.7,9669541.0,1826.75
2018-01-11,18.05,18.5,17.75,18.05,18.0,3078656.0,557.64
2018-01-10,18.8,19.15,17.8,18.05,17.95,4525230.0,826.35
2018-01-09,18.45,19.55,18.3,18.6,18.65,6970777.0,1322.56
2018-01-08,18.5,18.7,18.15,18.2,18.3,2437832.0,447.67
2018-01-05,18.55,19.05,18.05,18.4,18.3,3176005.0,588.75
2018-01-04,19.1,19.3,18.3,18.55,18.45,4240127.0,796.87
2018-01-03,18.5,19.15,18.3,19.0,18.85,5998560.0,1126.58
2018-01-02,19.3,19.45,17.9,18.3,18.35,5598535.0,1042.4
2018-01-01,18.25,20.2,17.75,19.0,19.05,18445068.0,3542.82
2017-12-29,17.4,18.4,17.1,18.0,18.0,13609357.0,2415.32
2017-12-28,15.9,17.6,15.5,17.05,16.85,10147530.0,1691.73
2017-12-27,16.1,16.25,15.55,15.75,15.85,4507628.0,718.23
2017-12-26,15.75,16.15,15.6,16.0,15.95,3004980.0,479.39
2017-12-22,16.1,16.15,15.55,15.65,15.7,2305539.0,365.74
2017-12-21,15.85,16.4,15.85,15.95,16.0,3900912.0,627.79
2017-12-20,15.3,16.4,15.25,15.9,15.85,7521224.0,1197.44
2017-12-19,14.4,15.9,14.25,15.25,15.3,7510574.0,1143.21
2017-12-18,14.0,14.8,13.65,14.35,14.3,2536987.0,364.99
2017-12-15,13.9,14.3,13.55,14.25,14.15,2067207.0,289.46
2017-12-14,13.8,14.1,13.6,13.8,13.7,875812.0,120.29
2017-12-13,14.0,14.45,13.75,13.85,13.8,2525502.0,356.7
2017-12-12,14.5,14.5,13.9,14.0,14.0,1835765.0,259.97
2017-12-11,14.2,15.05,14.1,14.4,14.45,7631029.0,1123.79
2017-12-08,13.4,14.25,13.35,14.1,14.0,3616668.0,504.0
2017-12-07,13.35,13.4,13.1,13.4,13.3,771953.0,102.44
2017-12-06,13.45,13.7,13.05,13.2,13.2,869574.0,116.4
2017-12-05,13.35,13.65,13.15,13.4,13.4,1120775.0,150.04
2017-12-04,13.9,14.15,13.25,13.45,13.4,1493137.0,204.95
2017-12-01,13.7,14.25,13.6,13.8,13.75,1521988.0,212.19
2017-11-30,13.8,13.8,13.35,13.6,13.6,1496244.0,202.5
2017-11-29,13.9,14.3,13.8,13.85,13.85,1807947.0,253.79
2017-11-28,13.55,14.4,13.55,13.85,13.85,3273853.0,459.79
2017-11-27,13.35,13.95,13.05,13.6,13.6,2229142.0,301.55
2017-11-24,12.8,13.6,12.8,13.35,13.35,1296139.0,172.83
2017-11-23,13.15,13.4,12.8,13.0,12.95,1036246.0,134.76
2017-11-22,12.4,13.4,12.4,13.15,13.1,1652265.0,216.49
2017-11-21,12.45,12.85,12.35,12.45,12.5,804196.0,101.28
2017-11-20,12.3,12.45,12.05,12.35,12.3,574672.0,70.44
2017-11-17,12.55,12.75,11.7,12.3,12.25,1340669.0,163.3
2017-11-16,12.4,12.65,12.3,12.4,12.4,903971.0,111.77
2017-11-15,12.1,12.85,12.1,12.45,12.35,950222.0,119.59
2017-11-14,12.6,12.85,11.95,12.35,12.4,1099382.0,135.94
2017-11-13,13.05,13.15,12.7,12.75,12.75,919274.0,118.4
2017-11-10,13.2,13.5,12.2,13.0,12.9,1304794.0,170.6
2017-11-09,13.45,13.7,12.95,13.2,13.2,1212092.0,160.29
2017-11-08,14.1,14.35,12.8,13.5,13.35,1878568.0,257.36
2017-11-07,14.25,14.35,13.5,13.65,13.6,1104718.0,152.74
2017-11-06,14.25,14.65,13.95,14.15,14.2,1884988.0,268.48
2017-11-03,14.45,14.85,14.1,14.15,14.25,1781302.0,258.2
2017-11-02,14.05,15.1,13.85,14.3,14.3,2982646.0,432.08
2017-11-01,14.2,14.55,13.85,13.9,13.9,1221405.0,173.94
2017-10-31,14.85,14.9,13.85,14.0,14.1,1570089.0,222.57
2017-10-30,13.55,14.95,13.55,14.9,14.8,5350034.0,773.19
2017-10-27,12.6,13.8,12.6,13.3,13.35,3719695.0,495.84
2017-10-26,12.0,12.9,11.8,12.55,12.5,2040361.0,255.86
