Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,224.15,228.4,223.5,224.5,224.15,54085.0,122.02
2018-03-12,225.45,230.0,224.85,225.4,225.9,54209.0,122.87
2018-03-09,224.6,231.85,222.15,223.5,224.0,84280.0,190.91
2018-03-08,224.6,224.6,219.15,223.8,223.45,50499.0,112.12
2018-03-07,226.8,227.9,220.0,223.9,222.25,62548.0,139.25
2018-03-06,229.1,231.3,226.7,227.25,227.2,39221.0,89.57
2018-03-05,231.9,231.9,227.0,228.35,228.0,44733.0,102.36
2018-03-01,230.1,234.4,228.15,232.0,231.55,43891.0,101.82
2018-02-28,230.95,234.7,227.1,230.75,231.35,73678.0,170.77
2018-02-27,232.5,234.0,230.5,231.5,231.05,49275.0,114.3
2018-02-26,232.6,234.0,231.0,231.9,231.75,42099.0,97.84
2018-02-23,228.8,233.0,226.05,231.0,231.15,49128.0,112.72
2018-02-22,229.9,230.0,227.1,228.0,228.3,37051.0,84.8
2018-02-21,230.85,232.4,228.15,230.0,229.9,43836.0,100.94
2018-02-20,233.0,234.4,229.0,230.25,229.65,49182.0,113.82
2018-02-19,234.3,240.3,230.9,233.0,233.0,83622.0,195.78
2018-02-16,236.15,238.6,232.3,232.95,232.8,53908.0,126.63
2018-02-15,238.0,240.9,235.1,236.15,236.05,81235.0,192.79
2018-02-14,247.5,247.75,236.45,237.0,237.05,104916.0,252.51
2018-02-12,245.1,250.0,244.5,244.75,245.4,58416.0,144.34
2018-02-09,237.8,248.0,237.1,244.0,243.65,257595.0,628.41
2018-02-08,233.8,238.3,231.0,235.55,236.05,104216.0,245.59
2018-02-07,230.0,234.45,229.1,230.9,230.5,67133.0,155.0
2018-02-06,224.1,229.5,220.05,228.0,226.45,175831.0,394.96
2018-02-05,227.0,232.7,223.8,232.7,229.45,107703.0,246.37
2018-02-02,238.2,238.2,228.0,232.85,232.0,139378.0,323.56
2018-02-01,240.1,243.0,236.0,239.1,238.3,79413.0,190.63
2018-01-31,244.6,247.8,239.1,239.5,239.85,139979.0,338.34
2018-01-30,252.0,252.0,243.9,247.6,246.7,72001.0,177.78
2018-01-29,251.0,254.0,247.55,249.5,249.3,195493.0,489.89
2018-01-25,244.9,248.65,242.25,246.9,246.85,90334.0,223.0
2018-01-24,248.8,249.3,244.0,245.0,244.65,125210.0,307.63
2018-01-23,251.0,254.8,248.05,248.95,248.9,83010.0,207.84
2018-01-22,251.95,255.0,248.0,249.95,249.65,77103.0,193.27
2018-01-19,251.0,252.7,247.0,250.2,251.45,82255.0,206.04
2018-01-18,253.5,258.0,248.0,250.0,249.1,98493.0,248.1
2018-01-17,256.95,258.0,246.5,253.05,252.85,227477.0,572.49
2018-01-16,266.2,268.75,254.05,257.85,256.1,134847.0,350.61
2018-01-15,266.1,270.0,265.0,266.5,266.2,56592.0,151.32
2018-01-12,267.85,274.0,262.7,264.9,265.1,134304.0,360.17
2018-01-11,270.95,271.0,264.75,265.5,266.05,144441.0,386.93
2018-01-10,275.35,275.35,269.9,270.0,270.25,112224.0,305.34
2018-01-09,278.3,279.95,272.9,274.0,274.8,146940.0,405.03
2018-01-08,283.0,283.35,276.1,277.75,277.2,122762.0,343.45
2018-01-05,274.55,282.05,273.0,278.7,279.3,194398.0,542.02
2018-01-04,272.7,275.7,270.0,273.9,273.5,90515.0,247.37
