Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,86.5,91.7,84.55,91.65,90.25,5805539.0,5130.95
2018-03-12,85.0,87.85,79.7,87.3,86.9,11255160.0,9431.4
2018-03-09,90.1,90.85,84.6,84.95,85.1,9159051.0,7942.81
2018-03-08,95.55,96.3,84.05,89.15,89.95,14370760.0,12733.63
2018-03-07,99.7,99.7,93.15,96.0,96.3,6134863.0,5917.17
2018-03-06,109.75,109.75,98.5,98.75,100.3,6330628.0,6534.14
2018-03-05,114.95,115.2,105.3,107.0,107.45,5932328.0,6460.84
2018-03-01,119.2,120.8,116.5,117.05,117.45,3361043.0,3997.27
2018-02-28,119.5,120.25,118.0,120.05,119.75,2351095.0,2803.18
2018-02-27,117.4,119.9,116.95,119.5,119.6,2299564.0,2727.36
2018-02-26,116.9,118.15,116.2,117.9,117.7,1614265.0,1891.65
2018-02-23,115.2,117.65,114.3,116.6,116.4,2647876.0,3075.42
2018-02-22,113.35,116.65,112.8,113.85,114.45,4335528.0,4968.92
2018-02-21,121.0,121.0,112.65,114.4,114.35,6499289.0,7580.88
2018-02-20,116.0,120.45,115.5,120.0,119.15,2019574.0,2404.38
2018-02-19,116.35,116.8,112.8,116.0,115.75,1795238.0,2064.13
2018-02-16,120.7,121.6,116.05,116.25,116.65,1596326.0,1886.45
2018-02-15,121.6,122.4,118.45,120.25,120.2,1543966.0,1855.43
2018-02-14,122.75,123.0,120.95,121.5,121.25,1310345.0,1596.83
2018-02-12,122.0,122.55,120.0,121.6,121.85,1881358.0,2282.66
2018-02-09,118.0,122.8,116.1,120.8,120.4,6443942.0,7746.22
2018-02-08,113.95,120.7,108.5,120.0,119.9,7380139.0,8539.17
2018-02-07,118.35,118.35,112.65,112.65,113.6,2353364.0,2687.69
2018-02-06,108.0,118.9,105.05,114.0,113.7,4319983.0,4879.68
2018-02-05,111.0,119.0,106.05,116.75,116.2,4063944.0,4649.18
2018-02-02,116.8,117.95,109.05,111.2,111.3,2769940.0,3138.98
2018-02-01,122.0,122.45,116.1,118.4,118.4,1519691.0,1821.84
2018-01-31,120.0,125.2,119.95,122.05,122.15,4209664.0,5171.61
2018-01-30,120.0,121.05,117.5,119.45,119.0,1351451.0,1611.1
2018-01-29,122.0,122.6,118.5,119.2,119.6,1027254.0,1237.15
2018-01-25,121.9,125.35,120.1,121.25,121.75,3831417.0,4676.78
2018-01-24,125.5,126.5,120.55,121.0,121.3,1808220.0,2220.32
2018-01-23,124.55,127.5,122.8,126.05,126.4,2873232.0,3611.98
2018-01-22,122.7,125.9,116.5,124.6,124.15,5300482.0,6352.31
2018-01-19,126.5,127.9,121.75,122.25,122.7,2225060.0,2774.52
2018-01-18,132.25,133.0,125.25,126.7,125.95,2291404.0,2933.77
2018-01-17,130.5,131.75,126.45,130.95,131.25,1325436.0,1727.21
2018-01-16,135.8,136.2,129.15,130.55,130.55,2001619.0,2655.64
2018-01-15,138.4,138.95,135.35,136.0,135.85,1253478.0,1718.14
2018-01-12,141.45,142.0,136.25,137.25,137.5,2036985.0,2835.06
2018-01-11,142.25,142.5,140.4,141.5,141.35,1020759.0,1446.05
2018-01-10,142.5,144.9,141.0,141.85,142.05,2002192.0,2861.19
2018-01-09,141.0,144.65,140.65,143.9,143.7,2268645.0,3252.74
2018-01-08,140.2,143.4,140.2,141.6,141.55,2095622.0,2969.87
2018-01-05,137.3,141.55,137.3,139.9,139.9,2291139.0,3209.8
2018-01-04,138.0,138.4,135.55,137.75,137.15,1534990.0,2101.07
2018-01-03,135.5,139.2,135.5,137.5,137.25,2104490.0,2890.81
2018-01-02,137.95,137.95,133.75,135.55,135.55,1871294.0,2538.49
2018-01-01,133.45,137.65,132.5,135.95,135.3,2687573.0,3639.86
2017-12-29,131.0,134.65,131.0,133.0,132.4,2203375.0,2930.77
2017-12-28,134.05,135.0,129.8,130.45,130.75,5587857.0,7368.11
2017-12-27,138.4,138.45,133.15,133.65,134.75,2579265.0,3519.17
2017-12-26,141.0,141.7,137.0,137.7,137.65,2964282.0,4116.4
2017-12-22,142.6,142.9,138.4,139.0,139.35,2009585.0,2817.31
2017-12-21,145.75,145.75,141.5,141.8,141.85,1788681.0,2549.52
2017-12-20,148.65,148.65,144.0,144.25,144.65,2483537.0,3613.9
2017-12-19,141.95,149.75,141.95,148.0,148.0,3564711.0,5249.77
2017-12-18,142.95,144.2,134.25,141.85,141.25,2011237.0,2838.63
2017-12-15,145.0,148.0,144.0,144.65,144.3,761553.0,1106.68
2017-12-14,145.8,146.6,141.4,145.0,144.9,1093276.0,1574.25
2017-12-13,147.1,149.1,145.15,145.15,145.8,1320984.0,1943.4
2017-12-12,153.95,154.35,147.5,148.3,148.4,1097108.0,1653.55
2017-12-11,153.9,155.5,153.1,154.15,154.4,1013224.0,1562.97
2017-12-08,153.5,154.85,152.25,153.3,153.4,1427916.0,2189.48
2017-12-07,152.0,155.35,151.5,153.35,153.5,1273957.0,1954.49
2017-12-06,160.0,160.4,152.15,153.05,153.3,4072704.0,6374.24
2017-12-05,152.0,158.7,149.2,158.0,157.7,2370935.0,3658.36
2017-12-04,157.0,157.65,152.0,152.7,152.8,1015487.0,1571.73
2017-12-01,159.4,162.0,156.25,156.8,156.8,1044622.0,1663.74
2017-11-30,164.0,164.0,158.25,160.45,159.15,3121609.0,4982.65
2017-11-29,165.5,166.4,162.6,163.95,164.15,1535640.0,2524.02
2017-11-28,167.3,167.9,164.6,164.7,165.1,1364135.0,2265.69
2017-11-27,165.5,167.85,163.0,167.35,167.3,2118759.0,3502.02
2017-11-24,166.95,166.95,162.85,163.0,163.5,1062984.0,1744.1
2017-11-23,161.0,166.0,159.6,164.9,165.05,1392115.0,2269.63
2017-11-22,163.3,163.65,158.8,159.9,159.55,1032803.0,1656.64
2017-11-21,164.0,164.25,161.65,162.6,163.15,886749.0,1444.34
2017-11-20,163.0,164.55,160.0,162.4,163.2,987750.0,1608.86
2017-11-17,161.5,163.75,159.75,161.2,162.2,1146185.0,1851.77
2017-11-16,156.8,159.5,155.25,159.05,158.9,884563.0,1391.75
2017-11-15,160.0,160.0,155.3,156.6,156.1,866350.0,1366.17
2017-11-14,159.5,160.8,157.55,159.95,159.9,1482680.0,2357.53
2017-11-13,163.25,163.95,158.45,159.8,159.3,980219.0,1572.42
2017-11-10,161.0,167.0,161.0,162.7,163.2,1096736.0,1796.07
2017-11-09,167.8,168.15,160.85,163.3,162.65,1304458.0,2141.14
2017-11-08,162.25,167.7,161.65,167.65,166.3,3307444.0,5467.07
2017-11-07,169.6,170.0,159.3,162.25,161.4,3933416.0,6456.0
2017-11-06,168.05,170.6,167.0,168.05,168.75,1419039.0,2392.5
2017-11-03,168.9,170.75,165.8,169.65,169.75,1767060.0,2973.97
2017-11-02,173.95,173.95,167.15,169.2,168.8,1697394.0,2884.52
2017-11-01,175.75,179.45,173.1,173.75,174.6,7845784.0,13849.14
2017-10-31,168.35,172.0,166.35,171.5,171.45,2511028.0,4262.67
2017-10-30,161.95,168.2,160.6,168.0,167.55,1725907.0,2853.1
2017-10-27,162.0,164.35,160.0,160.8,161.15,1047938.0,1701.34
2017-10-26,164.0,165.55,157.05,160.4,158.4,3382174.0,5430.77
2017-10-25,165.0,166.6,161.0,164.15,164.15,1206610.0,1983.25
2017-10-24,165.0,165.9,163.1,164.05,164.15,769096.0,1265.12
2017-10-23,162.2,164.5,161.0,164.5,163.9,1610234.0,2619.67
2017-10-19,162.65,162.65,159.5,160.0,160.7,146698.0,236.44
2017-10-18,160.3,164.85,159.65,161.5,162.2,1917343.0,3121.97
2017-10-17,159.8,161.15,158.1,159.3,159.5,823312.0,1311.63
2017-10-16,161.2,162.75,158.0,159.15,159.3,811926.0,1297.14
2017-10-13,163.5,164.3,160.65,162.2,161.8,748288.0,1213.78
2017-10-12,161.5,163.8,160.65,162.75,163.25,1108939.0,1799.57
2017-10-11,167.7,167.95,159.3,160.0,161.2,2417675.0,3982.41
2017-10-10,157.75,166.7,156.6,165.8,165.3,3130487.0,5048.1
2017-10-09,159.9,160.2,156.25,157.0,156.9,1653500.0,2606.46
2017-10-06,160.0,161.9,159.0,159.7,159.7,1524504.0,2443.53
2017-10-05,157.55,160.0,156.8,158.7,158.6,1390249.0,2201.11
2017-10-04,159.5,160.75,156.0,156.5,156.65,1580460.0,2496.31
