Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,2092.2,2092.2,2036.0,2044.0,2040.65,8700.0,178.96
2018-03-12,2082.0,2099.95,2059.8,2089.95,2083.9,6023.0,125.36
2018-03-09,2071.1,2149.0,2036.1,2036.1,2060.5,24003.0,501.3
2018-03-08,2020.0,2080.0,1971.1,2070.0,2052.65,28109.0,571.9
2018-03-07,2013.0,2065.0,1987.0,1990.05,1994.25,7253.0,146.66
2018-03-06,2108.0,2134.95,2005.5,2015.0,2036.2,8479.0,176.33
2018-03-05,2040.0,2106.0,2015.0,2074.05,2080.4,20310.0,416.36
2018-03-01,2026.0,2061.85,2012.3,2055.0,2046.2,12631.0,256.35
2018-02-28,2048.45,2065.0,2011.35,2046.0,2037.0,5238.0,106.93
2018-02-27,2065.6,2079.0,2030.0,2034.0,2044.4,5520.0,113.73
2018-02-26,2049.95,2098.3,2030.3,2059.0,2056.3,5284.0,109.04
2018-02-23,2005.0,2052.5,2004.15,2029.0,2026.65,5794.0,117.69
2018-02-22,2006.55,2032.0,1995.0,2013.05,2014.9,5149.0,103.63
2018-02-21,2034.8,2054.45,1994.45,2005.0,2002.7,7715.0,155.91
2018-02-20,2004.2,2055.0,2004.2,2034.0,2027.8,6818.0,138.59
2018-02-19,2000.0,2010.0,1964.0,2005.0,2002.3,6080.0,121.16
2018-02-16,2091.0,2108.7,1972.2,1994.95,1991.85,13828.0,279.88
2018-02-15,2184.45,2209.9,2065.0,2075.0,2082.4,44102.0,947.46
2018-02-14,2202.45,2257.9,2165.0,2171.2,2177.3,7689.0,168.73
2018-02-12,2148.0,2267.0,2148.0,2210.0,2226.05,25419.0,566.37
2018-02-09,2000.0,2150.0,2000.0,2102.0,2121.65,20653.0,429.27
2018-02-08,2006.9,2149.0,2006.5,2074.0,2080.9,23524.0,494.8
2018-02-07,1985.0,2041.9,1985.0,1999.0,2003.25,12046.0,242.92
2018-02-06,1930.0,2040.0,1921.0,1970.0,1971.6,42762.0,847.14
2018-02-05,1900.0,2088.0,1900.0,2079.0,2043.75,25910.0,513.71
2018-02-02,2050.1,2159.9,1969.0,1991.0,2005.05,29616.0,604.04
2018-02-01,2128.0,2225.0,2045.05,2070.0,2062.25,40921.0,859.13
2018-01-31,2120.0,2155.95,2116.0,2117.0,2128.35,10798.0,230.23
2018-01-30,2160.05,2197.7,2122.0,2125.0,2136.3,10270.0,220.66
2018-01-29,2185.1,2209.95,2151.0,2159.0,2167.0,7943.0,173.49
2018-01-25,2213.0,2213.0,2170.0,2180.0,2183.2,6895.0,150.66
2018-01-24,2206.85,2239.0,2170.0,2201.4,2209.5,8069.0,177.97
2018-01-23,2222.0,2239.95,2183.3,2200.0,2199.55,50625.0,1114.93
2018-01-22,2214.95,2229.85,2192.9,2198.55,2200.6,9050.0,199.7
2018-01-19,2210.0,2249.0,2195.05,2214.9,2219.3,12135.0,269.52
2018-01-18,2179.85,2222.0,2179.85,2210.0,2201.4,62363.0,1371.83
2018-01-17,2212.0,2234.9,2158.1,2181.75,2181.85,9752.0,213.92
2018-01-16,2260.15,2298.0,2200.0,2212.0,2207.95,27028.0,608.62
2018-01-15,2255.0,2335.95,2245.0,2258.05,2260.2,38965.0,885.45
2018-01-12,2260.0,2260.0,2200.5,2236.15,2241.85,21241.0,473.85
2018-01-11,2258.2,2264.0,2233.0,2235.15,2244.7,88976.0,2003.37
2018-01-10,2297.8,2348.8,2251.0,2252.0,2258.1,11608.0,265.3
2018-01-09,2373.95,2373.95,2256.15,2294.2,2282.95,17440.0,403.58
2018-01-08,2149.95,2429.9,2133.0,2332.0,2350.35,124009.0,2913.49
2018-01-05,2164.0,2164.0,2115.65,2126.5,2132.15,13711.0,291.9
2018-01-04,2125.0,2174.95,2064.4,2140.5,2142.5,11546.0,245.47
2018-01-03,2125.55,2139.0,2103.85,2119.95,2119.45,5189.0,110.17
2018-01-02,2122.0,2151.4,2081.2,2110.0,2094.2,23591.0,495.25
2018-01-01,2158.7,2186.95,2130.0,2130.0,2135.6,7202.0,155.4
2017-12-29,2136.0,2195.0,2131.65,2155.0,2141.85,12941.0,278.28
2017-12-28,2219.85,2219.85,2121.3,2126.5,2137.1,15891.0,342.4
2017-12-27,2255.0,2255.0,2172.55,2220.0,2194.5,13625.0,301.17
2017-12-26,2250.0,2275.0,2240.15,2245.05,2251.5,17005.0,383.99
2017-12-22,2208.0,2275.0,2172.0,2251.0,2234.9,25546.0,571.08
2017-12-21,2194.0,2274.0,2159.95,2173.5,2182.65,46528.0,1036.05
2017-12-20,2132.1,2220.0,2130.0,2200.0,2184.75,59532.0,1283.74
2017-12-19,2001.25,2168.0,1990.0,2130.0,2121.0,36539.0,764.79
2017-12-18,2015.0,2034.95,1970.0,2005.0,2000.2,7417.0,148.26
2017-12-15,2007.8,2025.0,1990.05,2004.85,2010.85,12362.0,248.13
2017-12-14,2009.0,2009.0,1980.0,1992.0,1986.45,8199.0,163.14
2017-12-13,2024.0,2024.0,1988.0,2005.0,2000.2,8367.0,167.43
2017-12-12,2028.5,2028.5,2000.0,2000.0,2000.1,11163.0,223.69
2017-12-11,2000.0,2035.0,1990.2,1995.0,1999.85,13835.0,277.1
2017-12-08,2012.95,2045.0,1982.5,1990.0,1993.55,15103.0,304.43
2017-12-07,1950.0,2030.0,1950.0,2015.0,2012.8,10568.0,212.42
2017-12-06,1990.0,2005.2,1960.0,1979.0,1969.2,8017.0,158.67
2017-12-05,2047.95,2047.95,1972.9,1994.0,1993.85,9683.0,193.85
2017-12-04,2037.5,2055.55,2008.5,2018.0,2021.9,7390.0,150.17
2017-12-01,1980.0,2064.0,1979.95,2030.0,2045.8,41541.0,841.79
2017-11-30,1976.3,2031.0,1932.05,1999.9,1986.0,41972.0,830.51
2017-11-29,1987.95,2020.0,1964.0,1979.0,1976.3,24432.0,486.95
2017-11-28,1973.9,2014.95,1970.5,1974.9,1975.35,10986.0,218.18
2017-11-27,1980.0,2028.95,1970.0,1986.0,1990.95,15072.0,301.33
2017-11-24,1976.0,1995.0,1960.0,1960.0,1967.75,40545.0,797.22
2017-11-23,2018.2,2018.2,1947.55,1960.0,1961.55,16049.0,317.26
2017-11-22,2030.0,2079.95,1993.4,2000.0,2005.0,34013.0,693.6
2017-11-21,1958.85,2069.75,1958.85,2028.0,2022.35,67639.0,1371.17
2017-11-20,1946.4,2013.8,1920.1,1971.0,1972.95,57771.0,1144.63
2017-11-17,1969.9,1969.9,1873.25,1946.4,1946.05,56053.0,1076.64
2017-11-16,1923.2,1980.0,1869.15,1958.85,1953.5,114569.0,2231.03
2017-11-15,1842.85,1955.0,1812.0,1922.0,1923.2,187118.0,3530.29
2017-11-14,1744.6,1968.0,1730.1,1826.0,1836.45,326818.0,6147.49
2017-11-13,1730.0,1769.75,1712.2,1738.0,1734.7,88906.0,1547.95
2017-11-10,1695.0,1738.95,1686.0,1724.9,1727.4,18487.0,317.74
2017-11-09,1699.9,1709.0,1689.05,1695.0,1694.6,6188.0,105.13
2017-11-08,1700.3,1724.0,1683.1,1688.95,1691.8,12067.0,204.75
2017-11-07,1758.45,1769.7,1704.05,1713.75,1714.05,15854.0,274.29
2017-11-06,1762.25,1780.0,1730.0,1730.0,1740.35,10896.0,190.83
2017-11-03,1765.0,1769.75,1710.0,1751.0,1750.3,14190.0,248.46
2017-11-02,1736.0,1779.0,1710.0,1752.0,1751.85,22951.0,401.71
2017-11-01,1731.55,1770.0,1724.05,1735.0,1730.05,15033.0,262.75
2017-10-31,1720.0,1749.0,1684.4,1737.0,1739.3,36592.0,631.29
2017-10-30,1711.35,1745.0,1702.0,1705.05,1710.0,12525.0,215.75
2017-10-27,1666.7,1770.0,1656.3,1711.35,1709.8,252052.0,4264.11
2017-10-26,1674.05,1686.0,1645.85,1655.0,1662.75,12098.0,201.62
2017-10-25,1695.0,1704.85,1662.0,1668.0,1679.1,15587.0,262.31
