Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,1345.0,1376.0,1331.5,1347.0,1346.75,130101.0,1757.76
2018-03-12,1373.0,1373.7,1342.55,1350.0,1349.9,86354.0,1172.4
2018-03-09,1359.8,1369.0,1335.0,1350.0,1346.65,132463.0,1791.01
2018-03-08,1390.0,1403.65,1341.5,1355.0,1352.15,119469.0,1630.87
2018-03-07,1400.1,1413.7,1372.5,1379.95,1382.75,115219.0,1602.27
2018-03-06,1430.7,1445.0,1410.0,1410.0,1416.15,95538.0,1362.18
2018-03-05,1396.7,1434.95,1388.4,1425.0,1414.2,138836.0,1969.68
2018-03-01,1429.0,1476.0,1398.05,1404.0,1416.7,306442.0,4424.0
2018-02-28,1470.0,1470.05,1415.0,1425.5,1428.1,145633.0,2091.37
2018-02-27,1536.0,1536.0,1476.2,1488.2,1490.65,85674.0,1279.45
2018-02-26,1565.25,1568.7,1506.0,1523.1,1521.35,103517.0,1595.0
2018-02-23,1537.5,1588.95,1531.2,1550.0,1551.5,168200.0,2621.5
2018-02-22,1534.9,1535.0,1504.4,1525.0,1522.55,68888.0,1047.58
2018-02-21,1570.0,1570.0,1525.1,1544.35,1533.7,97659.0,1507.55
2018-02-20,1577.95,1578.6,1541.0,1557.2,1557.15,149282.0,2321.37
2018-02-19,1537.25,1575.0,1530.5,1573.0,1564.35,327602.0,5087.12
2018-02-16,1469.95,1535.6,1460.0,1534.65,1522.45,463471.0,6967.17
2018-02-15,1445.0,1469.95,1414.05,1468.0,1454.75,207846.0,2999.31
2018-02-14,1430.0,1490.0,1421.6,1425.0,1430.95,225479.0,3280.22
2018-02-12,1329.95,1440.0,1329.0,1412.0,1407.5,443405.0,6255.1
2018-02-09,1300.0,1328.0,1283.05,1327.0,1313.0,99388.0,1299.4
2018-02-08,1312.9,1349.5,1312.85,1340.0,1331.95,103188.0,1377.79
2018-02-07,1311.0,1350.65,1285.25,1292.2,1300.85,128798.0,1699.64
2018-02-06,1215.05,1317.0,1215.05,1295.0,1292.3,213025.0,2695.1
2018-02-05,1201.6,1325.15,1185.05,1315.0,1305.75,195697.0,2482.89
2018-02-02,1407.0,1407.0,1274.8,1280.0,1285.45,193530.0,2578.51
2018-02-01,1409.7,1448.0,1361.1,1412.0,1419.65,154166.0,2186.42
2018-01-31,1413.0,1423.5,1381.15,1394.0,1399.95,121189.0,1697.02
2018-01-30,1480.0,1482.0,1412.15,1419.0,1423.05,101773.0,1466.7
2018-01-29,1515.0,1526.45,1479.95,1483.0,1483.15,92293.0,1383.57
2018-01-25,1549.55,1560.0,1500.0,1509.0,1509.1,84556.0,1287.57
2018-01-24,1582.0,1600.0,1540.0,1541.0,1545.25,97188.0,1517.56
2018-01-23,1600.0,1626.0,1573.0,1581.15,1580.7,104013.0,1661.59
2018-01-22,1600.0,1627.45,1572.0,1592.0,1590.7,109789.0,1750.1
2018-01-19,1588.2,1633.9,1561.05,1600.0,1601.25,153916.0,2454.48
2018-01-18,1655.0,1714.45,1542.1,1583.0,1579.6,254444.0,4184.9
2018-01-17,1644.0,1655.85,1496.0,1647.2,1636.9,177340.0,2859.75
2018-01-16,1735.0,1735.0,1638.45,1654.0,1644.0,157450.0,2642.58
2018-01-15,1729.0,1760.0,1705.0,1721.0,1720.7,153862.0,2671.22
2018-01-12,1735.9,1759.0,1690.3,1719.0,1712.65,164433.0,2842.05
2018-01-11,1779.45,1807.0,1710.05,1729.45,1729.4,223954.0,3956.47
2018-01-10,1769.65,1823.9,1759.0,1770.05,1776.1,400880.0,7201.51
2018-01-09,1717.0,1805.0,1695.0,1768.0,1757.65,632134.0,11194.9
2018-01-08,1625.95,1724.0,1594.0,1710.3,1701.45,579502.0,9763.13
2018-01-05,1615.0,1637.95,1593.1,1606.3,1610.4,109023.0,1759.98
2018-01-04,1639.75,1639.75,1604.05,1614.5,1613.55,80842.0,1307.49
2018-01-03,1637.0,1656.85,1620.1,1629.85,1628.55,107151.0,1753.77
2018-01-02,1675.0,1693.0,1620.1,1631.0,1629.2,277655.0,4611.24
2018-01-01,1713.0,1717.0,1650.0,1667.0,1659.8,156937.0,2644.01
2017-12-29,1638.0,1757.0,1632.8,1702.8,1702.55,582715.0,9940.51
2017-12-28,1638.1,1644.7,1612.2,1631.0,1626.75,87380.0,1422.49
2017-12-27,1659.1,1674.2,1609.0,1628.0,1630.45,198971.0,3271.61
2017-12-26,1639.0,1675.0,1633.0,1656.0,1652.3,329536.0,5454.15
2017-12-22,1558.0,1668.0,1555.0,1625.0,1627.45,725565.0,11708.96
2017-12-21,1536.0,1580.0,1536.0,1538.0,1543.45,208901.0,3256.62
2017-12-20,1504.0,1558.0,1490.55,1544.1,1536.95,326856.0,5024.93
2017-12-19,1473.65,1514.65,1465.05,1500.35,1504.65,215179.0,3216.69
2017-12-18,1454.9,1504.9,1390.0,1464.0,1459.55,263548.0,3876.64
2017-12-15,1464.8,1478.95,1446.1,1450.0,1456.45,180260.0,2637.71
2017-12-14,1484.0,1487.5,1445.0,1445.05,1448.8,93735.0,1369.99
2017-12-13,1465.65,1524.0,1465.65,1470.5,1471.6,357532.0,5342.83
2017-12-12,1510.6,1516.0,1458.85,1475.9,1473.35,100394.0,1495.76
2017-12-11,1543.7,1544.9,1500.0,1504.5,1505.8,137331.0,2093.75
2017-12-08,1513.5,1575.0,1503.0,1523.25,1529.9,416398.0,6436.02
2017-12-07,1491.0,1514.9,1488.3,1507.95,1500.05,98327.0,1474.17
2017-12-06,1481.0,1518.3,1465.0,1480.9,1480.9,105266.0,1572.99
2017-12-05,1521.6,1523.9,1485.0,1486.9,1489.4,83146.0,1249.56
2017-12-04,1555.0,1555.0,1506.4,1514.0,1514.5,140950.0,2151.11
2017-12-01,1539.0,1569.0,1498.55,1526.0,1516.55,226569.0,3500.48
2017-11-30,1517.0,1557.4,1486.0,1533.1,1527.7,249745.0,3825.67
2017-11-29,1539.0,1553.3,1512.05,1518.95,1519.05,104899.0,1604.23
2017-11-28,1525.0,1584.0,1523.05,1534.95,1535.2,393137.0,6110.97
2017-11-27,1500.0,1539.85,1495.0,1520.5,1522.3,129973.0,1980.83
2017-11-24,1475.05,1540.0,1450.25,1508.15,1508.95,270383.0,4086.03
2017-11-23,1490.0,1510.0,1452.05,1467.6,1470.15,128517.0,1907.61
2017-11-22,1517.65,1524.85,1481.4,1493.0,1489.35,93345.0,1399.73
2017-11-21,1532.7,1557.0,1502.0,1504.5,1510.2,188163.0,2887.31
2017-11-20,1466.0,1534.5,1425.35,1523.0,1517.75,335211.0,5030.02
2017-11-17,1514.05,1523.65,1451.0,1456.85,1459.75,161155.0,2397.81
2017-11-16,1530.0,1544.0,1477.0,1493.95,1493.9,117260.0,1764.93
2017-11-15,1560.0,1574.0,1521.35,1529.0,1530.05,71801.0,1108.87
2017-11-14,1594.0,1605.65,1540.0,1548.1,1553.5,86669.0,1362.37
2017-11-13,1618.3,1625.95,1575.6,1588.5,1586.75,84687.0,1349.58
2017-11-10,1620.0,1657.25,1568.3,1607.0,1597.6,232435.0,3752.3
2017-11-09,1588.0,1685.0,1588.0,1618.0,1617.95,552140.0,9034.89
2017-11-08,1600.0,1638.7,1521.35,1561.05,1558.0,102955.0,1639.37
2017-11-07,1639.8,1644.95,1577.05,1595.35,1595.3,129013.0,2081.32
2017-11-06,1655.0,1674.45,1620.0,1627.0,1627.15,138795.0,2289.65
2017-11-03,1662.9,1695.0,1641.0,1646.45,1647.3,257385.0,4292.79
2017-11-02,1660.4,1680.0,1640.05,1645.1,1647.95,115689.0,1916.16
2017-11-01,1679.0,1696.8,1640.0,1657.0,1649.2,121855.0,2034.38
2017-10-31,1690.0,1709.95,1670.1,1678.1,1677.85,166120.0,2804.94
2017-10-30,1690.0,1723.8,1665.2,1679.5,1679.3,240778.0,4089.07
2017-10-27,1700.0,1725.65,1670.15,1684.15,1680.05,244683.0,4159.88
2017-10-26,1609.95,1708.0,1576.25,1688.0,1678.95,558933.0,9287.15
2017-10-25,1643.95,1673.9,1586.55,1597.0,1602.15,225227.0,3638.0
2017-10-24,1696.0,1708.45,1607.4,1627.55,1627.5,204580.0,3414.03
2017-10-23,1689.0,1729.95,1667.0,1690.0,1683.9,271482.0,4620.16
2017-10-19,1725.0,1725.0,1673.1,1679.95,1691.85,159088.0,2709.82
2017-10-18,1660.0,1738.0,1641.05,1732.0,1725.2,980097.0,16763.48
2017-10-17,1545.4,1672.0,1532.0,1667.0,1649.2,914822.0,14736.86
2017-10-16,1542.0,1555.55,1510.0,1544.0,1544.0,299951.0,4600.58
2017-10-13,1500.0,1549.0,1490.05,1532.0,1528.5,769539.0,11771.05
2017-10-12,1380.0,1505.0,1361.0,1493.2,1490.15,1066138.0,15602.5
2017-10-11,1387.65,1393.0,1333.2,1369.0,1372.1,238260.0,3262.11
2017-10-10,1355.0,1404.0,1354.0,1378.7,1377.35,331409.0,4586.82
2017-10-09,1414.0,1419.0,1323.3,1343.2,1353.5,230015.0,3181.04
