Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,1122.55,1136.15,1101.0,1103.05,1106.6,878793.0,9807.33
2018-03-12,1120.0,1131.95,1090.1,1123.3,1122.55,1429416.0,15884.4
2018-03-09,1149.95,1149.95,1086.1,1113.75,1110.55,2250879.0,24852.03
2018-03-08,1202.0,1219.8,1111.15,1139.0,1137.3,1781957.0,20667.54
2018-03-07,1250.0,1263.9,1180.0,1194.05,1195.75,1210795.0,14843.27
2018-03-06,1325.0,1325.0,1240.0,1245.0,1259.25,2040021.0,26405.14
2018-03-05,1232.0,1418.55,1204.3,1330.0,1360.3,1854923.0,24759.59
2018-03-01,1240.0,1258.0,1226.95,1235.0,1233.55,405488.0,5049.91
2018-02-28,1222.0,1247.4,1208.0,1240.8,1235.1,311034.0,3825.35
2018-02-27,1257.0,1258.9,1226.05,1233.05,1232.3,240840.0,2987.75
2018-02-26,1241.75,1267.0,1234.0,1252.0,1251.45,457901.0,5742.0
2018-02-23,1203.1,1239.0,1195.0,1228.3,1232.5,673547.0,8244.72
2018-02-22,1198.0,1221.3,1186.9,1190.0,1194.2,775726.0,9299.36
2018-02-21,1238.0,1238.0,1194.0,1204.0,1204.6,490979.0,5928.26
2018-02-20,1220.0,1231.9,1200.15,1222.5,1222.35,534697.0,6510.94
2018-02-19,1265.0,1265.0,1218.0,1226.35,1227.05,452850.0,5574.53
2018-02-16,1313.0,1331.05,1263.1,1268.35,1268.35,496911.0,6389.81
2018-02-15,1347.0,1354.85,1296.0,1310.5,1303.75,493441.0,6523.01
2018-02-14,1350.0,1383.0,1315.0,1323.9,1321.0,665858.0,9031.02
2018-02-12,1264.6,1359.75,1256.15,1338.0,1347.85,930863.0,12358.35
2018-02-09,1212.0,1268.1,1188.8,1251.1,1256.15,362519.0,4501.51
2018-02-08,1222.0,1256.0,1221.95,1244.65,1246.0,442709.0,5485.43
2018-02-07,1225.0,1264.9,1196.8,1213.0,1212.9,664114.0,8237.59
2018-02-06,1161.0,1229.9,1146.0,1203.0,1203.6,664526.0,7934.57
2018-02-05,1247.0,1284.85,1165.25,1269.0,1263.2,484197.0,6038.16
2018-02-02,1444.0,1444.3,1251.05,1280.75,1283.05,895176.0,11948.17
2018-02-01,1455.0,1495.0,1433.2,1459.05,1455.75,458769.0,6722.86
2018-01-31,1474.9,1489.65,1448.4,1451.0,1454.6,239302.0,3507.39
2018-01-30,1455.2,1490.5,1440.0,1475.45,1478.25,390217.0,5739.03
2018-01-29,1484.9,1493.0,1454.0,1455.2,1457.95,236149.0,3477.52
2018-01-25,1502.05,1512.75,1473.0,1484.0,1480.55,294417.0,4393.4
2018-01-24,1530.0,1530.0,1501.0,1502.05,1507.3,218927.0,3310.8
2018-01-23,1524.9,1547.0,1512.05,1515.0,1518.75,351678.0,5376.37
2018-01-22,1512.0,1523.2,1500.4,1514.95,1515.9,216980.0,3284.93
2018-01-19,1510.0,1528.2,1493.05,1512.0,1513.6,314228.0,4745.81
2018-01-18,1548.0,1549.7,1493.0,1504.0,1508.85,276003.0,4199.21
2018-01-17,1544.0,1548.0,1503.0,1538.0,1539.1,300968.0,4592.75
2018-01-16,1580.0,1582.95,1525.0,1529.9,1531.75,350253.0,5416.31
2018-01-15,1565.0,1596.0,1556.25,1573.0,1575.5,529388.0,8351.09
2018-01-12,1567.0,1575.0,1531.3,1547.5,1549.0,307262.0,4776.34
2018-01-11,1550.0,1578.0,1550.0,1556.0,1556.85,246664.0,3854.49
2018-01-10,1560.0,1579.4,1539.05,1548.05,1554.1,265749.0,4144.88
2018-01-09,1570.0,1583.5,1552.0,1565.0,1567.05,323097.0,5068.38
2018-01-08,1550.0,1584.7,1550.0,1566.0,1572.45,517799.0,8127.6
2018-01-05,1540.0,1557.0,1523.5,1546.15,1550.0,402933.0,6212.59
2018-01-04,1534.0,1549.0,1510.5,1535.0,1530.8,658084.0,10089.89
2018-01-03,1577.25,1603.15,1480.8,1525.0,1523.9,1546419.0,23659.9
2018-01-02,1607.7,1607.7,1562.0,1577.0,1575.0,366384.0,5781.37
2018-01-01,1618.25,1623.1,1591.6,1602.75,1598.7,193132.0,3105.62
2017-12-29,1599.0,1639.65,1592.45,1620.0,1618.25,593194.0,9602.98
2017-12-28,1587.25,1605.0,1577.05,1594.0,1588.25,394119.0,6271.72
2017-12-27,1603.5,1629.0,1572.0,1587.3,1589.75,461287.0,7412.5
2017-12-26,1614.55,1625.0,1597.1,1603.5,1606.8,315571.0,5085.82
2017-12-22,1580.75,1626.0,1563.0,1607.0,1606.5,1127838.0,18121.47
2017-12-21,1578.0,1586.0,1559.75,1572.0,1572.2,309728.0,4869.38
2017-12-20,1586.0,1597.95,1558.1,1568.0,1566.9,517334.0,8156.41
2017-12-19,1519.5,1593.15,1512.0,1587.0,1586.3,1285251.0,20065.9
2017-12-18,1500.0,1527.85,1434.5,1506.0,1505.05,627301.0,9410.02
2017-12-15,1508.0,1514.0,1486.85,1506.0,1502.4,516252.0,7748.59
2017-12-14,1509.0,1519.05,1462.05,1475.55,1476.35,763667.0,11348.43
2017-12-13,1560.7,1568.0,1492.1,1499.0,1500.3,499503.0,7636.2
2017-12-12,1591.0,1601.9,1551.2,1559.85,1560.7,381259.0,6014.38
2017-12-11,1605.0,1613.0,1575.05,1588.0,1585.9,357443.0,5690.76
2017-12-08,1590.0,1604.0,1585.0,1592.0,1591.25,596871.0,9517.22
