Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,401.9,418.9,399.0,408.55,408.45,614329.0,2514.81
2018-03-12,406.8,411.55,395.25,404.05,402.95,416695.0,1682.48
2018-03-09,414.65,416.9,398.2,402.0,402.1,320985.0,1312.36
2018-03-08,413.4,418.8,405.3,410.0,410.75,391964.0,1613.2
2018-03-07,421.8,423.0,406.25,409.0,409.75,421063.0,1752.3
2018-03-06,434.0,448.35,417.8,418.0,425.85,684887.0,3007.9
2018-03-05,433.1,435.15,425.05,428.3,429.1,201274.0,864.94
2018-03-01,439.25,446.0,428.5,437.0,436.2,265648.0,1167.8
2018-02-28,444.9,448.25,440.1,441.0,441.45,261956.0,1163.26
2018-02-27,455.5,459.9,447.0,450.0,450.4,362597.0,1645.17
2018-02-26,453.0,462.8,450.55,453.2,454.5,486616.0,2220.19
2018-02-23,444.5,456.85,443.0,448.5,448.9,471299.0,2122.43
2018-02-22,435.95,448.3,434.1,440.75,440.95,385481.0,1701.89
2018-02-21,446.5,447.45,436.5,439.4,439.95,223528.0,987.67
2018-02-20,446.4,455.95,438.0,442.3,442.65,396880.0,1770.49
2018-02-19,451.6,453.45,436.1,445.3,445.8,324947.0,1443.64
2018-02-16,469.65,476.3,444.2,450.0,451.05,582497.0,2677.69
2018-02-15,492.0,501.0,462.6,465.9,467.0,885164.0,4318.59
2018-02-14,498.35,508.55,484.35,486.0,489.45,724263.0,3611.9
2018-02-12,476.95,512.0,473.7,494.2,495.2,1736420.0,8597.27
2018-02-09,424.9,480.0,424.85,474.6,473.5,1664920.0,7703.83
2018-02-08,432.7,449.9,431.9,442.1,438.9,470396.0,2075.76
2018-02-07,426.0,440.6,425.1,429.55,428.95,462996.0,2000.28
2018-02-06,402.25,425.9,398.0,420.0,418.9,405459.0,1684.72
2018-02-05,415.0,440.0,411.65,433.5,430.55,408039.0,1746.67
2018-02-02,459.7,472.9,426.1,426.5,431.4,628252.0,2834.33
2018-02-01,476.8,488.2,456.55,472.0,469.0,502332.0,2390.22
2018-01-31,479.7,496.8,475.1,483.05,483.85,376759.0,1833.08
2018-01-30,489.9,493.8,478.55,481.5,481.55,340185.0,1651.52
2018-01-29,508.0,509.35,489.0,490.05,491.9,263887.0,1318.55
2018-01-25,515.1,518.0,502.0,504.85,504.85,327835.0,1669.88
2018-01-24,513.45,527.8,508.25,514.0,514.7,762327.0,3960.13
2018-01-23,526.2,527.85,508.4,512.05,512.35,452317.0,2346.52
2018-01-22,514.4,528.45,510.3,525.2,525.2,537537.0,2795.41
2018-01-19,515.95,526.3,503.25,515.5,512.0,713655.0,3669.03
2018-01-18,540.5,549.5,502.5,510.65,510.6,910166.0,4830.09
2018-01-17,522.7,546.0,500.1,537.0,536.6,1182586.0,6231.16
