Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,105.65,109.95,105.6,108.1,109.05,71085.0,77.19
2018-03-12,108.25,108.5,104.05,105.9,105.6,72710.0,77.26
2018-03-09,110.05,110.05,106.9,107.0,107.3,39061.0,42.22
2018-03-08,110.25,111.55,107.15,108.85,109.0,58847.0,64.24
2018-03-07,114.1,114.15,109.5,109.8,110.05,72233.0,80.09
2018-03-06,116.7,117.85,112.5,113.85,113.8,43176.0,49.85
2018-03-05,118.3,118.3,115.05,116.5,116.2,42297.0,49.12
2018-03-01,116.85,119.8,116.0,117.25,117.1,69695.0,82.08
2018-02-28,117.25,117.65,116.2,116.65,116.85,37841.0,44.19
2018-02-27,120.15,120.4,117.1,117.4,117.7,58913.0,69.85
2018-02-26,119.5,120.8,119.0,119.3,119.3,50076.0,60.0
2018-02-23,117.6,120.85,117.6,119.1,118.9,43845.0,52.29
2018-02-22,118.35,119.0,116.1,118.0,118.25,34631.0,40.71
2018-02-21,120.05,120.1,118.0,118.1,118.75,35923.0,42.68
2018-02-20,119.3,120.7,118.65,119.0,119.05,24713.0,29.53
2018-02-19,121.0,121.4,116.4,118.4,118.6,70029.0,83.09
2018-02-16,123.05,124.85,120.0,121.7,120.55,64412.0,78.5
2018-02-15,126.05,126.8,122.7,124.25,123.65,48929.0,60.93
2018-02-14,126.35,128.45,125.0,125.2,125.65,65298.0,82.66
2018-02-12,122.5,127.5,122.5,125.35,125.3,98304.0,123.26
2018-02-09,119.9,123.0,118.85,121.75,121.9,71628.0,87.29
2018-02-08,122.1,125.55,120.65,123.2,123.4,115071.0,141.73
2018-02-07,119.4,123.35,119.4,121.0,120.75,84237.0,102.13
2018-02-06,117.0,119.0,114.8,117.4,117.35,154882.0,180.9
2018-02-05,121.5,124.85,117.5,122.55,122.55,104042.0,126.87
2018-02-02,129.9,130.0,118.25,125.0,123.45,152176.0,190.26
2018-02-01,133.0,134.0,129.85,131.3,131.65,58386.0,77.17
2018-01-31,132.0,134.6,131.5,132.6,132.8,61445.0,81.62
2018-01-30,133.45,134.8,131.7,133.4,133.25,77057.0,102.57
2018-01-29,137.4,138.9,132.55,133.4,133.45,83924.0,113.79
2018-01-25,139.4,139.95,136.0,137.0,136.4,85489.0,117.47
2018-01-24,141.1,143.5,138.35,139.25,139.4,203500.0,286.11
2018-01-23,141.35,144.7,140.1,140.7,140.75,255267.0,362.03
2018-01-22,136.6,141.65,135.1,139.0,139.75,141221.0,195.2
2018-01-19,136.0,138.6,133.65,136.0,135.65,156833.0,213.92
2018-01-18,143.15,146.3,132.9,135.8,135.8,193018.0,269.45
2018-01-17,143.5,144.0,136.9,142.95,142.85,128796.0,181.99
2018-01-16,151.4,151.4,142.65,143.45,143.55,209865.0,306.23
2018-01-15,151.4,154.9,150.35,150.85,150.95,279741.0,425.47
2018-01-12,150.9,155.65,144.35,150.25,151.0,810176.0,1227.35
2018-01-11,139.5,153.9,138.95,148.4,148.75,2477940.0,3718.88
2018-01-10,140.0,142.4,139.0,139.3,139.5,128044.0,179.94
2018-01-09,142.4,142.9,139.05,140.0,139.85,146162.0,206.01
2018-01-08,141.25,143.8,140.25,141.45,141.6,139940.0,198.48
2018-01-05,142.3,142.75,139.5,140.95,140.4,159134.0,223.94
2018-01-04,140.0,142.75,139.1,141.8,141.25,193668.0,273.67
2018-01-03,139.65,142.6,138.4,139.2,138.9,113441.0,158.75
2018-01-02,142.35,142.5,136.45,138.35,138.7,134428.0,187.01
2018-01-01,138.8,144.6,137.1,141.7,140.95,445161.0,633.66
2017-12-29,137.5,140.0,137.05,137.35,137.45,117280.0,162.05
2017-12-28,136.4,138.75,135.0,137.05,137.05,86143.0,117.55
2017-12-27,137.5,139.7,135.1,135.8,135.55,125245.0,172.31
2017-12-26,136.4,140.0,135.2,138.5,138.25,149473.0,206.32
2017-12-22,138.5,138.8,135.5,135.65,136.05,122104.0,167.05
2017-12-21,133.0,139.4,132.75,138.5,137.7,347338.0,475.87
2017-12-20,134.0,134.3,131.45,132.3,132.35,109161.0,144.96
2017-12-19,132.85,134.35,130.6,134.15,133.6,223090.0,296.26
2017-12-18,129.2,131.8,125.2,128.5,128.6,73530.0,95.05
2017-12-15,130.4,131.75,129.1,129.2,129.45,60109.0,78.16
2017-12-14,129.55,129.75,127.1,129.4,128.5,67519.0,86.62
2017-12-13,130.0,133.6,128.0,128.65,128.65,115579.0,151.3
2017-12-12,130.75,131.3,128.95,130.5,129.8,76149.0,99.09
2017-12-11,133.05,133.1,129.9,130.15,130.3,61148.0,80.07
2017-12-08,131.2,133.8,131.2,132.15,131.95,69659.0,92.2
2017-12-07,129.2,131.8,129.2,131.0,131.1,63791.0,83.38
2017-12-06,130.55,131.3,128.1,128.6,128.6,73410.0,94.99
2017-12-05,131.9,131.9,129.35,130.6,130.7,65602.0,85.59
2017-12-04,134.05,135.7,131.1,131.8,131.7,130592.0,173.74
2017-12-01,134.95,139.8,133.0,133.2,133.6,206152.0,281.84
2017-11-30,134.0,135.7,132.9,135.7,133.9,67839.0,90.8
2017-11-29,135.7,137.2,134.0,135.4,134.95,89863.0,121.85
2017-11-28,137.8,140.9,135.0,135.2,135.35,143262.0,196.86
2017-11-27,137.45,138.0,136.55,137.8,137.25,79510.0,109.11
2017-11-24,137.2,141.0,137.1,138.0,137.95,134569.0,186.63
2017-11-23,140.0,140.65,135.15,137.45,137.35,135537.0,186.62
2017-11-22,143.25,146.9,137.5,140.75,138.9,867976.0,1226.55
2017-11-21,130.9,135.35,130.5,133.65,133.05,255627.0,340.75
2017-11-20,129.7,131.7,129.6,129.65,129.8,83885.0,109.21
2017-11-17,130.9,131.65,129.15,129.2,129.7,104134.0,135.74
2017-11-16,128.0,130.75,128.0,129.15,128.9,128982.0,166.49
2017-11-15,129.4,131.8,126.35,127.75,127.35,153680.0,198.41
2017-11-14,130.0,134.5,128.75,130.0,129.4,469053.0,613.86
2017-11-13,145.25,147.0,135.0,136.0,138.1,212710.0,301.01
2017-11-10,144.25,147.0,142.6,146.0,144.1,121521.0,175.39
2017-11-09,145.15,148.5,141.35,144.5,143.75,183828.0,266.01
2017-11-08,150.35,154.4,143.15,144.6,143.9,226593.0,336.13
2017-11-07,157.4,161.8,149.6,149.7,150.5,396600.0,616.17
2017-11-06,153.15,157.8,150.4,156.6,156.5,658358.0,1025.71
2017-11-03,149.8,157.7,149.15,152.0,153.15,668943.0,1031.99
2017-11-02,145.05,153.45,144.5,148.4,148.75,528164.0,791.83
2017-11-01,144.3,148.0,143.2,145.4,144.45,157647.0,228.77
2017-10-31,146.5,147.0,143.1,143.85,143.95,165219.0,239.16
2017-10-30,140.55,148.75,140.55,146.0,146.0,510036.0,744.71
2017-10-27,137.6,143.45,136.55,139.75,140.2,233802.0,329.31
2017-10-26,137.15,141.0,136.0,137.45,137.05,107248.0,148.1
2017-10-25,137.35,139.4,134.2,136.85,137.15,160308.0,220.5
2017-10-24,132.6,137.5,132.6,137.4,136.8,226165.0,307.44
2017-10-23,132.6,134.3,132.0,132.5,132.4,53792.0,71.41
2017-10-19,132.45,133.5,131.55,132.2,132.3,26119.0,34.64
2017-10-18,132.5,135.95,132.05,133.1,132.7,75760.0,101.14
2017-10-17,132.55,134.4,131.95,133.0,132.8,57339.0,76.36
2017-10-16,133.3,134.75,132.0,132.65,132.55,54675.0,72.81
2017-10-13,134.8,135.1,132.2,133.4,132.95,68169.0,91.12
2017-10-12,133.5,136.0,133.1,134.1,134.35,76201.0,102.32
2017-10-11,137.25,139.0,132.1,132.5,132.75,109628.0,149.02
2017-10-10,136.1,139.0,135.5,136.8,136.35,109739.0,150.55
2017-10-09,132.15,137.8,132.15,136.3,135.95,244369.0,331.24
2017-10-06,131.65,134.25,131.65,132.0,132.15,100407.0,133.36
2017-10-05,132.05,134.6,130.35,130.9,130.9,127118.0,168.05
2017-10-04,132.0,133.8,131.2,131.8,131.6,59181.0,78.4
2017-10-03,131.6,134.3,131.35,131.85,131.8,52472.0,69.57
2017-09-29,132.1,134.5,130.3,130.5,130.75,83549.0,110.63
2017-09-28,130.1,133.9,130.1,131.8,131.45,77696.0,102.55
2017-09-27,138.0,139.85,129.2,130.0,130.1,139588.0,186.95
2017-09-26,136.05,139.9,136.05,136.75,136.75,97321.0,134.01
2017-09-25,140.3,141.5,133.0,135.6,135.65,136350.0,186.11
2017-09-22,146.75,148.1,139.0,140.05,140.2,180463.0,259.29
2017-09-21,151.5,152.95,145.7,147.5,147.6,121442.0,179.98
2017-09-20,153.0,155.0,150.5,151.4,151.3,475476.0,724.91
2017-09-19,144.35,151.0,144.0,147.25,147.35,312116.0,464.09
2017-09-18,144.6,148.9,143.6,144.0,144.15,110706.0,161.07
2017-09-15,145.05,146.5,143.0,143.45,143.35,85722.0,123.56
2017-09-14,145.25,149.0,145.25,146.0,146.25,105001.0,154.32
2017-09-13,147.3,150.5,144.6,145.7,145.4,138268.0,204.66
2017-09-12,146.5,151.5,146.5,147.1,147.4,172995.0,257.1
2017-09-11,144.25,149.9,144.05,146.45,146.5,291518.0,430.19
2017-09-08,146.4,148.75,143.05,143.4,143.7,142424.0,207.04
2017-09-07,145.0,148.9,144.6,145.5,145.7,210773.0,309.63
2017-09-06,138.8,151.0,136.65,143.8,144.25,764372.0,1125.33
2017-09-05,134.45,140.85,134.45,139.4,139.45,245469.0,340.58
2017-09-04,135.9,136.45,133.0,134.1,134.35,43168.0,58.26
2017-09-01,135.0,137.7,134.7,136.15,135.9,100896.0,137.43
2017-08-31,133.95,137.6,133.3,134.6,134.7,90646.0,123.02
2017-08-30,133.15,137.0,133.15,134.25,134.45,104848.0,141.42
2017-08-29,134.15,134.75,131.35,132.5,132.1,45075.0,59.98
2017-08-28,134.8,138.0,134.55,135.6,135.35,72639.0,98.8
2017-08-24,137.0,138.0,134.3,135.0,134.8,122635.0,166.34
2017-08-23,128.95,139.75,128.9,136.65,137.2,561848.0,767.58
2017-08-22,130.4,131.8,127.35,128.05,128.35,30700.0,39.55
2017-08-21,131.85,133.7,128.35,130.0,129.05,41110.0,53.89
2017-08-18,132.0,133.5,130.3,132.9,131.35,51905.0,68.39
2017-08-17,133.2,137.0,132.9,133.7,133.7,101335.0,136.42
2017-08-16,129.6,133.4,128.7,132.85,132.9,57573.0,75.61
2017-08-14,126.95,131.7,126.95,128.7,128.75,115521.0,149.7
2017-08-11,126.0,128.8,123.2,127.1,126.55,116815.0,147.34
2017-08-10,135.25,136.0,125.0,130.0,128.9,95249.0,125.08
2017-08-09,140.4,140.4,135.5,136.55,136.55,81076.0,111.62
2017-08-08,143.0,144.0,140.25,140.5,140.45,76901.0,108.81
2017-08-07,143.75,144.85,142.4,142.65,142.95,53863.0,77.3
2017-08-04,143.65,144.35,142.3,142.8,142.85,56350.0,80.74
2017-08-03,146.2,146.65,143.0,143.8,143.65,70482.0,101.79
2017-08-02,148.45,149.6,145.05,146.25,146.1,80965.0,119.2
2017-08-01,151.6,151.8,146.85,148.0,147.7,60226.0,89.74
2017-07-31,147.6,152.8,147.6,150.35,150.25,113807.0,171.87
2017-07-28,148.4,150.8,147.05,147.95,147.9,68430.0,101.59
2017-07-27,152.9,154.0,148.0,148.0,148.3,133321.0,201.22
2017-07-26,148.9,157.0,148.9,151.8,151.85,283743.0,436.0
2017-07-25,150.35,150.85,148.1,148.25,148.35,71824.0,106.97
2017-07-24,150.7,151.85,149.25,150.15,149.65,73793.0,111.05
2017-07-21,151.4,152.15,149.05,149.4,149.7,94234.0,141.78
2017-07-20,152.1,153.05,150.2,150.7,150.65,95179.0,144.43
2017-07-19,150.1,153.85,149.7,151.75,151.6,104991.0,159.68
2017-07-18,152.0,152.8,149.1,149.45,149.7,86469.0,130.86
2017-07-17,153.0,156.45,152.15,152.5,152.55,127191.0,196.18
2017-07-14,152.6,153.9,151.1,152.0,151.8,137210.0,208.95
2017-07-13,156.05,157.0,152.5,153.25,153.4,169709.0,262.22
2017-07-12,156.5,157.3,154.2,154.9,155.05,98852.0,153.52
2017-07-11,154.35,160.5,153.4,156.45,155.9,473647.0,747.99
2017-07-10,153.5,154.4,149.0,153.25,153.65,24134.0,37.04
2017-07-07,152.5,155.7,151.8,152.65,152.75,84944.0,130.05
2017-07-06,154.3,156.7,152.35,152.8,152.9,119779.0,185.35
2017-07-05,155.9,157.3,152.05,154.2,153.9,199317.0,308.4
2017-07-04,144.6,155.5,144.25,155.0,153.9,684132.0,1035.73
2017-07-03,141.25,146.15,141.25,144.1,144.05,111481.0,160.72
2017-06-30,142.95,143.35,140.5,141.75,141.55,110584.0,156.92
2017-06-29,143.3,145.4,142.45,142.7,143.45,108313.0,155.89
2017-06-28,142.85,144.45,140.65,142.85,142.95,117098.0,167.04
2017-06-27,148.95,150.75,141.75,142.65,142.55,177524.0,256.88
2017-06-23,152.8,153.5,147.2,148.1,148.1,182375.0,272.46
2017-06-22,155.1,157.5,152.1,152.55,152.5,184084.0,285.86
2017-06-21,155.3,157.7,154.1,154.7,154.8,158413.0,246.71
2017-06-20,156.2,157.9,154.1,155.0,155.25,87179.0,135.89
2017-06-19,160.4,161.95,157.05,157.1,157.4,163456.0,260.05
2017-06-16,153.25,162.0,153.2,158.85,159.1,484319.0,767.45
2017-06-15,153.2,155.45,152.15,152.9,153.15,187659.0,289.0
2017-06-14,153.25,154.9,152.0,153.25,152.85,142203.0,217.79
2017-06-13,153.0,155.9,151.25,151.5,152.2,182889.0,281.59
2017-06-12,157.3,157.3,152.8,153.0,153.35,134765.0,207.79
2017-06-09,154.7,158.9,153.65,156.95,156.85,202548.0,316.95
2017-06-08,155.5,157.5,154.0,155.25,154.7,89755.0,139.18
2017-06-07,155.05,157.75,154.25,155.7,155.35,125787.0,195.86
2017-06-06,160.75,162.35,153.4,155.05,154.9,173103.0,271.67
2017-06-05,160.5,163.4,159.4,160.9,160.35,181710.0,293.51
2017-06-02,161.25,164.7,159.55,160.05,160.25,227662.0,368.34
2017-06-01,160.8,163.2,158.75,160.15,160.55,181078.0,290.77
2017-05-31,161.65,164.7,160.1,160.4,160.95,253949.0,412.9
2017-05-30,155.0,159.6,150.2,158.8,158.45,199851.0,310.59
2017-05-29,158.95,159.9,153.55,156.7,156.55,167679.0,262.72
2017-05-26,156.0,161.0,155.0,159.6,160.0,214204.0,340.92
2017-05-25,150.6,157.8,150.1,157.4,156.9,263236.0,407.19
2017-05-24,157.25,159.95,148.45,150.2,150.2,264194.0,407.77
2017-05-23,165.15,166.75,155.3,156.5,157.35,278612.0,442.55
2017-05-22,167.4,171.05,164.55,164.9,165.5,213341.0,358.73
2017-05-19,170.0,172.9,165.1,165.8,165.65,300146.0,507.33
2017-05-18,172.5,174.4,166.8,167.95,168.8,229318.0,392.01
2017-05-17,174.45,180.3,172.5,174.0,174.55,473962.0,840.14
2017-05-16,174.95,177.7,173.9,174.4,174.65,182354.0,320.07
2017-05-15,174.5,178.4,172.85,175.0,175.0,222213.0,389.25
2017-05-12,177.0,177.95,170.6,174.5,174.5,310898.0,541.74
2017-05-11,182.45,183.75,175.55,177.8,177.1,404244.0,724.14
2017-05-10,178.65,184.8,178.1,181.85,182.55,1370383.0,2491.59
2017-05-09,165.3,177.6,163.4,177.15,176.7,1677526.0,2919.98
2017-05-08,162.6,168.0,162.55,165.25,165.85,246607.0,405.71
2017-05-05,166.0,167.0,159.0,160.45,160.95,232156.0,377.12
2017-05-04,160.65,171.95,160.6,166.95,166.7,586610.0,983.49
2017-05-03,161.2,162.9,160.0,160.45,160.2,105484.0,169.89
2017-05-02,164.45,165.5,160.35,161.0,160.75,166344.0,270.27
2017-04-28,166.05,168.9,163.15,163.65,163.8,145263.0,241.08
2017-04-27,165.3,167.4,164.1,165.55,165.9,191507.0,317.14
2017-04-26,169.25,172.3,164.1,165.5,164.95,291258.0,489.75
2017-04-25,168.95,172.55,168.2,168.35,169.05,278776.0,474.09
2017-04-24,168.55,172.0,167.15,168.25,168.0,178184.0,301.94
2017-04-21,171.9,174.0,166.8,168.45,168.45,268354.0,456.71
2017-04-20,168.95,174.4,168.95,172.0,171.75,366056.0,629.83
2017-04-19,165.4,171.0,165.05,168.5,168.8,276742.0,465.13
2017-04-18,167.35,177.95,162.35,164.95,164.65,742816.0,1277.44
2017-04-17,168.0,171.6,165.7,167.0,167.15,199695.0,335.75
2017-04-13,167.0,174.3,165.35,168.9,168.4,431427.0,736.5
2017-04-12,172.55,174.6,161.65,167.3,167.7,595708.0,998.14
2017-04-11,172.7,178.3,172.15,173.4,173.25,634573.0,1108.74
2017-04-10,171.4,179.5,170.3,172.85,172.95,1192663.0,2082.64
2017-04-07,152.0,183.4,151.1,171.0,171.2,5174738.0,8985.07
2017-04-06,149.95,155.75,149.05,153.5,153.5,636532.0,973.81
2017-04-05,143.1,152.0,142.75,151.5,150.35,991715.0,1469.71
2017-04-03,138.45,144.85,138.45,142.75,142.5,464806.0,664.68
2017-03-31,138.45,139.6,138.0,138.4,138.3,63672.0,88.36
2017-03-30,140.1,141.0,137.4,138.1,138.15,101087.0,140.69
2017-03-29,138.4,142.8,138.4,139.45,140.45,305533.0,428.06
2017-03-28,134.2,138.2,133.3,136.8,136.45,144655.0,197.5
2017-03-27,135.5,136.1,133.5,134.2,133.95,115676.0,155.58
2017-03-24,137.1,138.5,135.5,136.0,136.2,120439.0,165.34
2017-03-23,135.45,138.9,135.45,136.5,136.5,146175.0,200.35
2017-03-22,138.4,138.4,134.6,134.95,135.0,138334.0,188.7
2017-03-21,141.95,141.95,139.05,139.5,139.45,149599.0,209.37
2017-03-20,143.25,143.9,138.7,140.8,141.2,296567.0,420.36
2017-03-17,137.1,143.25,134.25,141.55,142.3,642123.0,898.33
2017-03-16,136.0,139.4,135.25,136.85,136.75,339259.0,466.66
2017-03-15,131.95,136.5,131.95,134.4,135.0,280558.0,376.69
2017-03-14,133.95,135.9,131.4,131.6,131.7,189976.0,253.02
2017-03-10,130.6,133.15,130.6,130.75,130.85,98483.0,129.74
2017-03-09,131.6,134.8,131.0,131.3,131.35,131602.0,174.27
2017-03-08,135.95,136.35,131.15,132.3,132.25,169163.0,225.25
2017-03-07,133.25,139.25,133.0,135.5,135.7,767770.0,1051.26
2017-03-06,132.1,133.75,131.4,132.5,132.4,123042.0,163.09
2017-03-03,131.6,133.65,130.35,131.5,131.4,135624.0,178.76
2017-03-02,138.3,138.65,130.8,132.4,131.65,236619.0,318.09
2017-03-01,138.85,139.75,137.15,137.4,137.55,124376.0,171.9
2017-02-28,135.9,139.3,134.75,138.0,137.95,256813.0,351.88
2017-02-27,139.3,139.3,135.35,135.7,135.7,131125.0,179.8
2017-02-23,140.3,140.6,137.65,138.4,138.25,109669.0,152.84
2017-02-22,141.2,145.15,139.3,139.6,140.7,455668.0,649.45
2017-02-21,140.65,143.25,138.1,140.25,140.65,207698.0,292.25
2017-02-20,138.5,142.1,138.5,139.65,139.9,183054.0,256.87
2017-02-17,142.2,142.2,137.6,138.35,138.25,167314.0,232.77
2017-02-16,137.75,142.4,137.0,140.95,140.5,279364.0,392.17
2017-02-15,145.0,145.4,136.65,137.1,137.35,475141.0,664.66
2017-02-14,143.0,151.9,141.85,145.45,145.6,1409039.0,2082.07
2017-02-13,149.7,149.7,140.3,140.3,141.3,456780.0,656.42
2017-02-10,150.8,152.3,147.65,148.35,148.2,390970.0,585.65
2017-02-09,154.35,155.05,148.05,149.45,149.55,668100.0,1006.58
2017-02-08,140.3,155.8,140.3,154.35,154.0,2315672.0,3468.6
2017-02-07,141.2,144.9,140.0,140.5,141.2,601765.0,858.2
2017-02-06,136.1,141.0,135.4,140.5,140.2,513836.0,714.23
2017-02-03,133.0,138.5,132.5,135.2,135.55,269301.0,365.5
2017-02-02,132.0,133.9,131.05,133.05,132.9,127826.0,169.43
2017-02-01,129.8,133.0,128.5,131.25,132.0,190039.0,248.65
2017-01-31,133.3,133.5,129.05,129.75,129.55,169574.0,222.21
2017-01-30,136.0,136.7,132.65,133.4,133.6,126814.0,170.36
2017-01-27,134.0,139.1,134.0,136.25,136.15,343669.0,469.99
2017-01-25,134.55,136.25,133.5,133.55,134.3,169550.0,228.14
2017-01-24,133.6,136.6,133.15,134.25,133.9,160075.0,214.69
2017-01-23,132.3,136.25,130.85,133.65,133.45,210751.0,281.69
2017-01-20,137.15,137.5,130.5,132.0,132.05,335932.0,449.38
2017-01-19,139.0,140.65,136.9,136.95,137.6,286341.0,396.82
2017-01-18,138.5,143.5,137.5,139.5,139.75,744117.0,1045.91
2017-01-17,139.0,140.9,136.0,137.7,137.6,489218.0,676.67
2017-01-16,130.5,142.65,130.2,138.45,138.5,2177691.0,3010.12
2017-01-13,128.6,132.7,128.6,131.25,130.5,375246.0,490.7
2017-01-12,131.55,133.4,127.65,128.5,129.45,321627.0,419.4
2017-01-11,132.0,134.6,130.1,130.85,130.75,486514.0,643.89
2017-01-10,126.8,133.7,126.5,131.25,131.55,1030843.0,1352.8
2017-01-09,121.3,129.4,121.3,126.0,126.05,526761.0,669.19
2017-01-06,125.05,126.65,122.1,122.7,122.75,231739.0,289.12
2017-01-05,126.0,126.9,122.75,125.6,124.75,524706.0,654.69
2017-01-04,117.9,127.4,117.5,125.25,125.3,1357776.0,1687.91
2017-01-03,117.2,118.5,117.2,117.5,117.8,136447.0,160.97
2017-01-02,114.8,117.0,112.5,115.45,115.45,101442.0,117.06
2016-12-30,111.25,114.0,111.25,113.0,113.0,66060.0,74.5
2016-12-29,108.9,113.0,108.8,111.0,111.05,71225.0,79.14
2016-12-28,108.05,111.85,108.05,109.15,109.2,57843.0,63.56
2016-12-27,106.6,108.6,106.05,107.6,108.05,36754.0,39.49
2016-12-26,110.8,110.8,106.55,107.0,107.25,56524.0,60.96
2016-12-23,112.0,112.0,110.0,110.15,110.25,41224.0,45.72
2016-12-22,112.1,112.4,110.2,111.3,111.3,36929.0,41.07
2016-12-21,114.55,114.55,111.6,112.2,112.2,54235.0,60.94
2016-12-20,114.4,115.6,113.25,113.9,113.55,38893.0,44.41
2016-12-19,115.2,115.9,113.3,113.75,113.7,39571.0,45.28
2016-12-16,118.1,118.2,114.5,115.2,115.2,68381.0,79.64
2016-12-15,115.0,117.55,114.8,116.7,117.05,58112.0,67.84
2016-12-14,118.4,118.4,115.0,115.1,115.8,47420.0,55.37
2016-12-13,116.2,118.8,116.0,117.05,117.05,75331.0,88.32
2016-12-12,116.4,118.7,116.0,117.2,117.25,79922.0,93.7
2016-12-09,116.4,120.8,116.15,117.85,118.0,206750.0,246.04
2016-12-08,117.5,118.3,116.15,116.5,116.4,60459.0,70.92
2016-12-07,118.1,118.95,116.0,116.7,116.45,85771.0,100.86
2016-12-06,117.8,119.9,116.05,118.05,118.05,169397.0,199.58
2016-12-05,114.15,121.0,114.1,117.95,117.3,921320.0,1086.69
2016-12-02,111.5,113.8,110.1,112.0,112.45,186459.0,209.63
2016-12-01,112.5,112.8,110.5,111.6,111.2,82218.0,91.84
2016-11-30,111.1,113.45,110.15,111.6,111.55,97009.0,108.34
2016-11-29,109.45,112.95,108.9,110.0,110.15,136671.0,151.45
2016-11-28,107.1,109.7,106.7,108.4,108.6,86240.0,93.78
2016-11-25,107.0,109.6,106.3,107.4,107.9,126810.0,137.17
2016-11-24,107.0,107.8,105.6,106.0,106.25,49017.0,52.24
2016-11-23,108.5,111.2,107.1,108.25,108.15,437665.0,475.53
2016-11-22,103.25,109.9,100.55,106.8,107.0,388708.0,412.82
2016-11-21,104.1,105.7,100.0,101.0,100.65,90416.0,92.62
2016-11-18,106.25,107.2,104.6,105.5,105.1,60008.0,63.26
2016-11-17,106.9,107.4,105.2,106.25,105.7,61227.0,64.95
2016-11-16,108.55,108.8,106.0,106.1,106.1,71893.0,76.69
2016-11-15,112.8,112.8,105.5,105.9,106.25,93156.0,100.5
2016-11-11,112.95,114.0,109.25,110.0,110.0,90000.0,100.24
2016-11-10,113.0,115.7,113.0,114.4,114.0,111920.0,128.24
2016-11-09,107.65,111.8,99.2,111.3,110.95,172486.0,187.27
2016-11-08,116.25,116.25,114.5,114.9,115.0,66788.0,76.9
2016-11-07,114.85,116.3,114.15,115.4,115.5,60291.0,69.63
2016-11-04,117.9,117.9,111.3,114.05,113.65,172478.0,196.4
2016-11-03,119.3,120.85,117.2,117.3,117.65,133805.0,159.28
2016-11-02,120.1,121.6,118.4,119.0,119.0,309073.0,370.43
2016-11-01,118.9,128.6,118.0,124.0,123.45,2041756.0,2545.86
2016-10-30,116.9,118.2,116.9,117.0,117.5,52169.0,61.36
2016-10-28,115.8,117.5,115.05,117.0,116.8,112326.0,131.15
2016-10-27,116.4,117.7,115.0,115.7,115.5,71827.0,83.29
2016-10-26,116.35,119.5,115.2,116.35,116.3,326300.0,384.15
2016-10-25,115.55,117.15,114.0,116.5,116.4,166341.0,192.8
2016-10-24,115.95,117.4,114.8,115.0,115.15,118231.0,137.0
2016-10-21,116.8,117.35,115.0,115.15,115.15,117448.0,135.97
2016-10-20,118.0,119.7,115.95,116.3,116.15,176172.0,206.19
2016-10-19,117.3,118.0,115.3,116.2,115.95,93382.0,108.92
2016-10-18,114.95,117.5,114.25,116.5,116.6,149969.0,174.16
2016-10-17,114.15,116.9,113.6,114.05,114.25,110091.0,126.34
2016-10-14,114.85,114.85,112.8,114.1,114.15,103513.0,117.73
2016-10-13,116.0,116.0,113.0,114.2,113.9,86476.0,98.77
2016-10-10,118.0,118.45,116.5,116.55,116.85,87662.0,102.85
2016-10-07,116.05,118.5,116.0,117.55,117.25,109159.0,127.86
2016-10-06,114.9,119.5,114.5,115.9,115.6,400336.0,470.5
2016-10-05,113.2,116.5,113.15,114.3,114.4,105416.0,120.96
2016-10-04,113.45,114.0,112.5,113.45,113.25,57168.0,64.75
2016-10-03,110.5,113.5,110.1,112.25,112.65,98642.0,110.47
2016-09-30,108.05,112.0,108.05,109.5,109.4,127518.0,140.22
2016-09-29,117.2,118.0,108.0,108.5,109.2,229105.0,255.82
2016-09-28,113.65,118.5,113.5,116.25,116.35,207644.0,241.8
2016-09-27,115.2,116.35,113.5,113.9,113.8,79752.0,91.2
2016-09-26,116.55,116.9,114.0,114.5,114.3,76540.0,88.03
2016-09-23,118.0,119.2,116.25,116.5,116.55,97044.0,114.37
2016-09-22,117.4,118.4,116.6,117.3,117.3,65564.0,76.99
2016-09-21,114.6,118.75,114.6,116.45,116.35,104821.0,122.59
2016-09-20,116.25,116.25,114.5,115.5,114.95,53748.0,61.87
2016-09-19,115.2,116.9,114.9,115.65,115.6,75350.0,87.29
2016-09-16,118.9,118.9,114.5,114.8,114.7,113240.0,132.06
2016-09-15,117.7,118.7,116.55,117.25,117.1,73948.0,86.95
2016-09-14,119.8,119.8,116.55,117.55,117.75,153800.0,181.57
2016-09-12,120.35,125.7,119.6,122.1,121.6,317988.0,390.33
2016-09-09,126.0,126.0,121.9,123.8,123.9,229719.0,284.74
2016-09-08,120.0,128.9,119.7,125.75,126.3,1051189.0,1320.01
2016-09-07,114.35,122.0,113.6,120.0,119.4,443490.0,526.95
2016-09-06,114.4,114.9,113.0,113.65,113.6,89188.0,101.6
2016-09-02,113.3,114.8,113.0,113.35,113.4,94955.0,107.9
2016-09-01,115.95,116.55,113.25,113.7,113.75,132698.0,152.44
2016-08-31,115.55,117.25,114.6,116.3,116.05,115225.0,133.64
2016-08-30,114.7,117.25,114.0,114.75,114.9,140451.0,162.31
2016-08-29,113.85,114.25,112.5,114.25,113.95,93677.0,106.29
