Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,41.9,44.45,41.05,42.3,42.3,3647660.0,1548.43
2018-03-12,44.5,44.95,42.0,42.45,42.25,3223058.0,1370.77
2018-03-09,46.85,46.95,43.6,44.2,44.15,6092766.0,2729.39
2018-03-08,47.0,48.65,44.25,47.7,47.15,17694932.0,8184.43
2018-03-07,44.2,44.2,39.65,40.7,40.55,6041021.0,2484.98
2018-03-06,47.65,47.7,44.3,44.6,44.6,3193926.0,1453.82
2018-03-05,47.0,48.75,46.5,47.0,46.95,3958189.0,1873.26
2018-03-01,46.0,47.45,46.0,46.4,46.45,1994318.0,930.49
2018-02-28,47.8,47.8,46.15,46.25,46.45,2834658.0,1330.57
2018-02-27,49.55,49.6,47.75,47.8,47.9,2118363.0,1029.02
2018-02-26,50.5,50.9,48.6,48.7,48.8,3287705.0,1626.77
2018-02-23,49.4,51.35,48.55,50.3,50.4,4637440.0,2305.28
2018-02-22,49.35,50.7,47.8,48.95,48.95,5191187.0,2562.65
2018-02-21,52.5,52.5,48.5,49.3,49.35,9273312.0,4615.56
2018-02-20,58.4,59.4,50.45,52.25,51.75,17252862.0,9259.89
2018-02-19,52.0,53.9,52.0,53.9,53.85,13742028.0,7388.86
2018-02-16,47.5,48.3,44.3,44.9,44.95,3465088.0,1589.56
2018-02-15,49.5,50.0,46.25,46.7,46.55,3313241.0,1581.82
2018-02-14,51.5,51.9,49.1,49.6,49.4,5082570.0,2556.25
2018-02-12,53.9,54.0,50.5,50.95,50.9,4072692.0,2116.21
2018-02-09,50.0,55.0,49.1,52.9,53.05,7629380.0,4068.12
2018-02-08,55.5,56.6,49.35,52.5,52.25,9649358.0,5167.03
2018-02-07,53.9,55.9,52.0,53.2,53.35,12013400.0,6499.19
2018-02-06,39.55,52.75,39.15,51.5,51.0,18414559.0,8974.53
2018-02-05,47.5,49.8,40.6,44.85,44.6,15077256.0,6530.75
2018-02-02,49.9,50.15,43.6,47.5,46.8,7551930.0,3523.76
2018-02-01,52.1,52.65,49.2,50.2,50.1,4457171.0,2262.84
2018-01-31,49.0,53.6,47.8,51.15,51.15,6514554.0,3366.12
2018-01-30,58.0,58.4,48.65,49.2,49.9,16487436.0,8525.19
2018-01-29,65.25,65.95,57.65,57.8,58.2,10699294.0,6491.68
2018-01-25,63.2,64.4,59.8,60.0,60.0,3121886.0,1916.78
2018-01-24,64.0,66.0,61.25,62.3,61.75,2176646.0,1366.26
2018-01-23,65.8,66.75,63.65,64.05,64.0,2646400.0,1713.77
2018-01-22,65.45,67.4,64.6,65.3,65.45,2041256.0,1345.08
2018-01-19,66.8,68.3,64.7,65.4,64.95,2162348.0,1426.11
2018-01-18,70.0,71.0,65.9,66.0,66.45,1591884.0,1084.41
2018-01-17,68.0,70.4,66.5,69.5,69.4,1635770.0,1116.43
2018-01-16,72.6,72.75,67.7,68.0,68.15,1847654.0,1291.48
2018-01-15,72.55,74.2,71.5,72.4,72.1,2378927.0,1731.69
2018-01-12,71.3,73.35,70.0,72.3,71.8,2644338.0,1894.4
2018-01-11,72.1,73.15,70.45,71.55,71.3,1746047.0,1249.57
2018-01-10,74.45,75.25,71.5,72.3,72.0,3292060.0,2416.12
2018-01-09,70.6,76.4,68.55,73.2,73.4,8561167.0,6324.97
2018-01-08,69.3,70.8,68.9,69.9,70.1,1918144.0,1338.22
2018-01-05,70.25,72.4,68.4,69.25,68.95,3289373.0,2317.45
2018-01-04,67.85,70.4,67.2,68.85,68.7,2126323.0,1461.09
2018-01-03,67.5,69.4,66.45,67.75,67.3,1651903.0,1117.19
2018-01-02,70.5,70.55,66.8,67.3,67.3,1773353.0,1202.37
2018-01-01,71.0,72.7,69.05,70.0,69.6,2958295.0,2103.18
2017-12-29,66.75,71.4,66.2,70.0,70.05,5065377.0,3488.69
2017-12-28,62.75,67.6,62.75,65.75,65.3,3732793.0,2448.3
2017-12-27,63.55,64.0,62.4,62.6,62.7,1142624.0,721.3
2017-12-26,64.0,64.5,62.85,63.2,63.0,1395587.0,883.71
2017-12-22,62.85,63.1,62.35,62.6,62.45,847458.0,530.87
2017-12-21,63.05,63.5,62.15,62.35,62.4,1016041.0,636.54
2017-12-20,63.9,64.95,62.0,62.65,62.55,1503315.0,947.25
2017-12-19,63.0,64.7,61.9,64.35,63.75,1690329.0,1067.63
2017-12-18,63.0,64.65,59.65,62.95,62.45,801025.0,501.68
2017-12-15,64.25,64.8,62.7,63.0,63.05,711335.0,452.39
2017-12-14,64.4,65.25,63.5,63.8,63.8,869372.0,558.13
2017-12-13,65.8,66.4,63.5,64.0,63.9,947232.0,616.48
2017-12-12,66.1,67.2,64.6,64.85,64.85,819718.0,540.3
2017-12-11,66.95,67.25,66.0,66.2,66.05,810056.0,538.97
2017-12-08,66.6,67.25,66.0,66.25,66.15,830669.0,553.14
2017-12-07,66.3,67.45,65.85,66.15,66.25,745371.0,496.09
2017-12-06,67.05,69.2,65.85,66.35,66.15,982362.0,662.97
2017-12-05,67.55,68.0,66.25,67.0,67.05,818556.0,548.55
2017-12-04,69.45,71.0,67.2,67.7,67.45,627593.0,430.02
2017-12-01,70.25,71.55,68.2,69.2,69.1,878022.0,615.92
2017-11-30,70.0,71.35,69.75,70.15,70.1,825881.0,582.07
2017-11-29,70.4,74.2,70.0,70.4,70.4,3504347.0,2532.3
2017-11-28,70.6,71.65,69.8,70.0,69.95,1029967.0,728.78
2017-11-27,71.1,72.9,70.45,70.7,70.6,1215271.0,865.62
2017-11-24,73.0,74.3,71.7,72.45,72.35,2152342.0,1567.56
2017-11-23,74.4,75.8,73.25,73.6,73.65,2706292.0,2017.92
2017-11-22,71.2,74.3,69.3,73.05,72.9,3476464.0,2518.9
2017-11-21,70.4,71.65,70.0,70.25,70.25,924174.0,654.04
2017-11-20,70.1,72.2,68.0,70.25,70.0,1065907.0,752.48
2017-11-17,72.8,73.0,69.1,69.65,69.5,871848.0,616.19
2017-11-16,70.45,73.5,70.05,71.3,71.0,1950723.0,1388.28
2017-11-15,69.5,70.45,66.1,67.65,67.75,767635.0,525.99
2017-11-14,71.5,71.8,69.0,69.35,69.5,800568.0,562.63
2017-11-13,72.5,72.7,70.55,71.6,71.25,911678.0,650.7
2017-11-10,73.0,73.7,71.15,71.5,71.5,1278414.0,920.95
2017-11-09,71.75,72.9,70.5,71.4,71.55,1260038.0,900.86
2017-11-08,68.7,73.3,67.6,71.15,70.9,3616324.0,2581.11
2017-11-07,70.0,70.35,62.5,68.2,68.35,1839949.0,1251.67
2017-11-06,69.9,71.3,68.6,69.5,69.7,4774503.0,3335.91
2017-11-03,65.0,68.25,57.0,66.3,67.4,9825099.0,6316.19
2017-11-02,62.15,65.45,61.15,64.45,64.5,2651291.0,1688.96
2017-11-01,64.7,65.0,56.65,61.7,61.45,9536631.0,5822.65
2017-10-31,73.2,74.0,62.05,63.45,65.6,5025713.0,3426.27
2017-10-30,79.2,80.5,72.3,72.95,73.15,2332345.0,1781.44
2017-10-27,76.5,81.9,76.0,77.3,77.65,6743959.0,5317.3
2017-10-26,69.0,75.45,66.35,75.0,75.0,3145283.0,2288.1
2017-10-25,72.4,72.45,65.3,68.35,68.8,1390133.0,947.73
2017-10-24,73.6,76.3,70.85,71.95,72.05,5584462.0,4119.53
2017-10-23,65.3,69.7,64.0,69.7,69.7,6291373.0,4275.16
2017-10-19,58.4,58.8,57.9,57.9,58.1,110878.0,64.56
2017-10-18,58.0,58.9,57.1,58.2,57.85,669374.0,387.88
2017-10-17,58.0,58.4,56.9,56.95,57.1,212827.0,122.28
2017-10-16,59.4,59.5,57.6,57.65,57.85,593600.0,346.25
2017-10-13,57.35,58.4,56.7,57.6,57.3,550199.0,316.73
2017-10-12,55.9,58.4,55.45,56.4,56.6,779357.0,442.94
2017-10-11,58.5,59.0,55.0,55.4,55.35,1048454.0,589.98
2017-10-10,59.7,59.7,57.05,58.15,58.2,650205.0,378.53
