Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,795.0,809.0,777.1,784.5,781.5,38037.0,301.71
2018-03-12,833.85,834.0,792.7,799.95,802.0,46772.0,380.31
2018-03-09,820.0,820.0,800.05,802.0,804.7,23286.0,188.22
2018-03-08,827.6,836.5,804.5,809.0,810.65,96967.0,786.42
2018-03-07,850.0,875.0,817.95,819.95,827.55,62531.0,528.18
2018-03-06,885.0,901.0,848.15,856.0,855.75,37596.0,332.95
2018-03-05,901.35,909.95,875.0,885.0,879.25,13081.0,116.57
2018-03-01,906.0,918.0,896.0,902.0,899.55,29988.0,270.64
2018-02-28,918.6,918.6,898.0,899.0,900.3,40258.0,363.77
2018-02-27,918.0,932.7,910.3,920.0,918.6,56010.0,517.11
2018-02-26,877.0,909.0,875.0,894.5,902.35,85191.0,764.81
2018-02-23,883.55,904.0,865.1,870.0,871.5,64455.0,568.89
2018-02-22,904.95,907.0,874.85,878.0,880.8,21895.0,195.39
2018-02-21,926.85,926.85,882.0,904.0,903.65,120364.0,1086.73
2018-02-20,964.85,964.85,917.65,927.0,926.85,19541.0,184.49
2018-02-19,970.0,982.0,944.3,947.0,950.6,18699.0,179.19
2018-02-16,988.45,998.0,964.0,967.05,967.55,19059.0,186.68
2018-02-15,1010.0,1010.0,976.0,985.0,988.45,20929.0,207.85
2018-02-14,1026.95,1026.95,991.0,991.2,995.65,20761.0,208.23
2018-02-12,998.9,1011.0,992.55,1004.85,1002.75,23532.0,235.25
2018-02-09,1001.0,1015.15,992.0,1000.0,998.9,22753.0,228.6
2018-02-08,1034.0,1048.35,1002.05,1009.75,1009.95,48374.0,494.94
2018-02-07,1010.0,1047.7,1010.0,1033.5,1027.25,29962.0,308.92
2018-02-06,1010.0,1020.0,973.55,995.0,1001.15,58557.0,581.46
2018-02-05,1101.0,1101.0,1016.5,1046.0,1041.7,48039.0,504.83
2018-02-02,1151.1,1180.0,1099.9,1100.1,1107.8,51480.0,577.29
2018-02-01,1135.0,1209.2,1120.0,1209.2,1187.1,41322.0,480.52
2018-01-31,1139.65,1175.0,1073.35,1149.9,1127.8,84086.0,944.97
2018-01-30,1149.65,1158.3,1127.0,1139.0,1141.95,36789.0,419.48
2018-01-29,1165.0,1168.0,1134.75,1160.0,1158.35,27312.0,315.06
2018-01-25,1159.0,1180.0,1138.0,1160.0,1157.85,17630.0,203.9
2018-01-24,1152.1,1161.95,1133.0,1160.0,1152.55,29552.0,339.26
2018-01-23,1156.1,1172.5,1150.15,1156.9,1157.0,23486.0,272.69
2018-01-22,1158.0,1185.0,1150.0,1170.0,1169.55,50152.0,584.66
2018-01-19,1175.0,1189.0,1150.2,1163.0,1158.0,52735.0,612.07
2018-01-18,1207.0,1222.3,1171.0,1177.95,1175.95,29905.0,353.8
2018-01-17,1191.0,1214.95,1165.1,1204.0,1199.65,26173.0,311.75
2018-01-16,1207.0,1225.0,1175.1,1179.95,1183.8,51372.0,613.76
2018-01-15,1205.0,1235.0,1190.2,1194.9,1208.25,48468.0,590.64
2018-01-12,1220.0,1224.95,1178.5,1195.0,1207.3,29871.0,361.28
2018-01-11,1228.0,1234.0,1205.5,1210.0,1211.8,38315.0,467.46
2018-01-10,1239.95,1239.95,1207.0,1215.0,1217.1,37435.0,456.29
2018-01-09,1247.1,1254.8,1212.0,1212.3,1221.65,36258.0,443.76
2018-01-08,1261.0,1265.95,1227.0,1241.0,1238.85,43019.0,534.76
2018-01-05,1203.0,1256.0,1198.25,1239.2,1244.25,78913.0,966.78
2018-01-04,1235.0,1239.85,1203.0,1203.0,1210.35,82241.0,1000.81
2018-01-03,1240.0,1240.0,1199.05,1225.0,1226.15,60598.0,740.37
2018-01-02,1194.95,1244.0,1194.15,1225.0,1229.9,129514.0,1588.87
2018-01-01,1159.0,1200.0,1148.0,1193.9,1194.15,63372.0,750.74
