Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,183.85,186.8,181.65,183.05,183.65,65708.0,121.53
2018-03-12,188.9,188.9,178.9,184.25,183.3,123976.0,226.59
2018-03-09,182.9,186.6,180.55,183.65,184.35,96214.0,176.89
2018-03-08,180.65,185.0,179.55,180.0,180.3,81554.0,147.99
2018-03-07,186.0,187.75,180.55,181.5,182.0,64525.0,118.81
2018-03-06,188.25,193.85,185.45,186.45,186.35,45418.0,86.01
2018-03-05,192.45,192.45,186.05,187.0,187.35,78420.0,147.61
2018-03-01,195.8,196.0,190.25,191.0,192.25,104409.0,201.53
2018-02-28,194.45,199.9,192.45,193.45,193.5,117399.0,229.28
2018-02-27,197.65,197.65,192.25,194.0,193.3,118263.0,229.04
2018-02-26,193.25,198.5,190.35,198.0,196.1,154915.0,300.12
2018-02-23,191.0,193.3,188.3,189.0,189.45,95274.0,181.59
2018-02-22,193.0,193.0,189.0,189.0,189.65,67201.0,127.77
2018-02-21,194.1,195.0,192.0,192.0,192.75,40147.0,77.74
2018-02-20,195.25,196.4,193.0,194.8,193.9,57178.0,111.12
2018-02-19,198.55,199.2,193.0,194.0,194.8,67983.0,132.84
2018-02-16,202.3,204.0,198.4,199.85,200.6,141972.0,284.69
2018-02-15,204.85,206.45,200.0,200.3,201.2,232126.0,470.71
2018-02-14,209.0,211.0,204.05,204.8,204.7,320848.0,662.3
2018-02-12,206.8,214.9,205.0,206.4,207.8,607128.0,1272.19
2018-02-09,200.0,206.0,198.7,204.5,204.95,241112.0,491.39
2018-02-08,202.0,205.8,201.6,202.35,203.55,333009.0,681.17
2018-02-07,186.65,208.25,186.65,201.15,202.7,766267.0,1473.99
2018-02-06,168.8,186.95,168.8,185.0,185.15,401921.0,734.61
2018-02-05,192.0,196.65,185.15,194.5,194.4,173653.0,332.97
2018-02-02,204.7,204.7,194.0,196.8,195.1,364634.0,720.07
2018-02-01,205.0,208.0,204.9,205.5,205.5,513571.0,1059.26
2018-01-31,209.55,209.55,204.3,204.5,205.7,534132.0,1105.3
2018-01-30,210.8,213.0,206.5,209.0,207.6,675073.0,1414.56
2018-01-29,206.4,213.9,204.5,209.0,209.35,931827.0,1956.71
2018-01-25,202.1,208.7,202.1,204.1,204.45,582293.0,1202.6
2018-01-24,201.75,209.0,199.05,204.0,204.25,1170127.0,2383.21
2018-01-23,199.05,205.5,198.3,200.9,203.05,734460.0,1483.08
2018-01-22,198.15,201.5,194.3,200.9,199.9,465641.0,926.81
2018-01-19,199.1,204.75,198.7,203.0,202.85,956295.0,1928.69
2018-01-18,202.5,204.8,198.55,200.9,201.05,954348.0,1934.31
2018-01-17,201.6,202.0,196.9,199.0,200.35,770462.0,1543.36
2018-01-16,204.9,204.9,199.05,200.7,200.75,644317.0,1300.04
2018-01-15,203.0,205.55,202.4,202.85,203.2,512165.0,1046.45
2018-01-12,207.0,209.4,201.6,202.7,202.25,934487.0,1908.17
