Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,790.0,800.55,788.05,794.0,792.2,94395.0,751.44
2018-03-12,800.0,800.0,780.0,792.0,789.95,94863.0,750.27
2018-03-09,794.9,803.0,780.0,794.0,797.6,82608.0,655.79
2018-03-08,805.9,811.0,769.65,781.3,781.85,152240.0,1195.49
2018-03-07,794.9,819.8,770.4,800.0,796.05,182291.0,1461.93
2018-03-06,794.0,811.0,782.05,794.0,791.55,127998.0,1027.77
2018-03-05,765.0,795.0,762.05,790.0,786.85,152793.0,1195.73
2018-03-01,745.5,762.6,743.9,762.0,759.2,52555.0,396.39
2018-02-28,725.05,748.0,717.0,741.15,743.9,53749.0,393.8
2018-02-27,737.8,749.0,727.0,730.4,733.2,14281.0,105.45
2018-02-26,743.95,749.0,735.1,739.9,741.85,36358.0,269.78
2018-02-23,737.0,743.5,725.0,739.8,739.1,22270.0,164.15
2018-02-22,728.7,748.0,718.25,730.0,731.9,36945.0,272.84
2018-02-21,725.0,734.0,718.2,724.65,728.55,10523.0,76.23
2018-02-20,730.0,742.4,716.0,725.8,724.55,13428.0,97.66
2018-02-19,739.0,741.5,715.0,729.0,722.4,8977.0,65.27
2018-02-16,744.0,748.0,722.0,726.4,727.05,15868.0,115.92
2018-02-15,734.0,745.0,733.0,743.95,743.3,17451.0,129.14
2018-02-14,751.0,760.0,724.0,724.0,731.1,22988.0,171.09
2018-02-12,755.05,759.75,735.0,741.5,742.95,15910.0,118.93
2018-02-09,722.9,749.0,693.3,746.0,744.55,25997.0,191.02
2018-02-08,739.0,748.0,710.0,723.15,725.0,27353.0,199.6
2018-02-07,738.25,750.0,715.05,724.7,727.05,45420.0,335.45
2018-02-06,710.0,734.0,677.1,730.0,723.8,136461.0,969.08
2018-02-05,703.85,756.0,685.8,719.95,719.7,45238.0,330.4
2018-02-02,725.0,736.0,689.85,707.05,718.15,161946.0,1138.6
2018-02-01,762.0,764.0,725.0,727.0,731.55,75403.0,562.15
2018-01-31,744.0,766.6,731.3,752.65,751.2,21351.0,159.43
2018-01-30,750.0,750.0,724.1,742.0,744.3,43295.0,319.21
2018-01-29,762.25,769.8,745.0,748.0,751.35,21906.0,165.72
2018-01-25,765.2,769.0,751.0,765.0,762.0,13800.0,104.86
2018-01-24,760.0,769.95,752.15,765.0,764.75,17442.0,132.67
2018-01-23,779.45,786.9,754.05,758.45,759.85,35697.0,273.41
2018-01-22,790.0,798.0,766.55,787.2,779.45,18555.0,144.23
2018-01-19,761.15,800.0,746.0,800.0,773.85,60846.0,466.31
2018-01-18,748.0,777.95,744.8,771.05,766.9,34896.0,266.01
2018-01-17,741.15,762.0,735.0,746.0,743.45,47184.0,351.54
2018-01-16,793.5,793.5,756.35,756.5,758.4,34472.0,264.78
2018-01-15,789.4,794.0,776.1,778.5,777.95,33077.0,258.27
2018-01-12,817.8,817.8,781.0,791.05,789.4,93437.0,746.88
2018-01-11,804.05,810.0,795.4,798.0,800.8,23185.0,186.29
2018-01-10,806.6,812.0,798.65,805.95,806.5,24534.0,197.58
2018-01-09,821.6,823.15,800.9,801.0,804.35,33809.0,273.15
2018-01-08,818.0,822.0,809.0,812.5,816.5,17671.0,144.05
2018-01-05,821.0,823.0,803.65,820.6,819.75,22450.0,183.13
2018-01-04,811.15,820.45,809.0,815.5,815.0,45863.0,373.15
2018-01-03,817.75,823.75,814.0,814.0,818.2,67916.0,557.17
2018-01-02,824.75,824.95,812.25,818.9,817.8,48887.0,399.93
2018-01-01,813.0,830.0,813.0,820.0,821.5,41917.0,345.21
2017-12-29,819.0,830.0,812.5,815.0,817.9,56939.0,466.49
2017-12-28,784.5,838.0,784.5,822.0,822.25,105455.0,869.23
2017-12-27,807.0,815.0,792.05,809.0,804.45,23482.0,189.14
2017-12-26,802.55,812.0,795.55,805.35,807.2,35066.0,282.77
2017-12-22,807.0,807.0,795.0,796.3,800.55,12565.0,100.43
2017-12-21,797.0,810.0,791.3,795.0,802.0,11260.0,90.63
2017-12-20,809.7,811.1,800.0,800.0,802.5,18816.0,151.49
2017-12-19,812.0,819.2,797.55,805.0,805.1,43268.0,348.32
2017-12-18,807.0,813.0,769.05,805.0,806.7,43826.0,352.7
2017-12-15,770.0,805.0,769.2,803.0,803.15,75351.0,599.27
2017-12-14,785.0,797.0,762.5,765.0,767.7,21934.0,169.86
2017-12-13,801.6,804.35,790.55,791.1,798.05,40076.0,319.46
2017-12-12,813.8,815.0,790.0,796.1,803.95,21130.0,170.23
2017-12-11,806.0,824.0,801.0,823.95,814.3,106562.0,864.69
2017-12-08,788.0,815.0,774.25,809.0,807.0,750926.0,6008.06
2017-12-07,764.0,800.05,753.05,781.0,790.0,330246.0,2626.12
2017-12-06,756.0,770.0,742.0,765.0,764.55,40168.0,304.62
2017-12-05,742.05,759.0,730.0,754.0,750.75,43768.0,326.45
2017-12-04,734.0,767.0,726.8,740.0,742.45,142380.0,1055.89
2017-12-01,740.1,771.95,740.1,747.0,745.6,81973.0,621.97
