Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,240.0,249.65,239.6,244.5,244.8,2955526.0,7244.73
2018-03-12,248.0,248.75,237.55,240.8,241.45,2581717.0,6233.96
2018-03-09,242.5,252.0,236.0,245.55,242.8,4633394.0,11324.1
2018-03-08,250.9,256.9,236.5,239.2,240.25,6716363.0,16402.3
2018-03-07,268.2,274.8,242.8,246.7,247.15,8380865.0,21836.84
2018-03-06,259.4,276.0,259.4,267.25,268.65,8996470.0,24275.27
2018-03-05,254.65,267.45,251.6,256.4,257.05,4218364.0,10990.11
2018-03-01,257.85,262.95,254.2,254.5,255.6,1946168.0,5048.52
2018-02-28,260.0,264.95,257.0,258.1,258.65,2556758.0,6643.61
2018-02-27,274.5,274.6,262.0,262.35,263.25,2037846.0,5427.82
2018-02-26,282.0,282.7,271.1,272.95,273.2,2058678.0,5687.76
2018-02-23,279.0,285.0,277.35,279.7,280.0,3029496.0,8514.48
2018-02-22,277.0,281.8,275.0,275.25,277.2,1738071.0,4834.95
2018-02-21,284.5,285.2,276.0,280.5,280.75,3607739.0,10124.49
2018-02-20,284.0,289.85,279.6,281.55,281.95,5784276.0,16439.91
2018-02-19,275.8,287.95,271.0,284.0,282.9,6942347.0,19372.9
2018-02-16,288.4,295.0,270.1,273.8,274.0,8810992.0,24902.24
2018-02-15,267.0,285.0,265.0,283.6,281.3,15113207.0,42006.34
2018-02-14,253.75,272.0,253.0,260.75,261.25,13231036.0,34931.73
2018-02-12,252.4,257.95,248.4,250.1,251.3,4743722.0,11993.81
2018-02-09,229.25,255.0,229.25,245.9,245.1,8964229.0,22113.49
2018-02-08,236.7,248.7,236.5,243.0,242.25,4942563.0,11992.92
2018-02-07,235.15,249.9,230.0,233.0,235.8,9731837.0,23482.01
2018-02-06,201.05,242.95,196.1,229.0,230.2,17753199.0,40615.03
2018-02-05,180.0,230.1,176.5,222.4,222.55,16083954.0,34947.92
2018-02-02,213.0,218.95,189.0,190.2,191.75,6431912.0,12907.27
2018-02-01,229.35,232.95,206.05,222.45,221.55,4191036.0,9403.52
2018-01-31,228.6,237.7,224.0,229.0,228.15,1979490.0,4550.95
2018-01-30,238.0,239.0,229.95,229.95,231.25,1549302.0,3614.91
2018-01-29,235.75,246.7,235.45,239.1,239.25,2425363.0,5855.27
2018-01-25,242.3,245.0,232.15,233.75,233.7,2332079.0,5575.17
2018-01-24,250.5,252.6,241.1,242.3,242.3,1741115.0,4282.01
2018-01-23,259.5,261.0,251.05,253.8,254.35,2692098.0,6895.93
2018-01-22,257.7,265.0,255.0,257.0,257.85,3262980.0,8485.25
2018-01-19,248.9,259.3,237.1,256.8,254.5,6367073.0,15712.22
2018-01-18,268.6,273.8,245.05,249.0,250.1,4291051.0,11201.93
2018-01-17,266.0,271.0,249.3,265.0,267.35,6245524.0,16413.51
2018-01-16,284.4,285.4,262.1,266.1,266.1,3345053.0,9082.72
2018-01-15,283.75,288.5,281.15,283.25,283.45,1596328.0,4542.86
2018-01-12,286.8,295.7,278.55,281.25,281.6,4546020.0,13033.25
2018-01-11,288.55,291.55,281.7,284.5,284.35,1890973.0,5413.15
2018-01-10,290.7,298.1,283.0,287.15,287.55,2223114.0,6451.76
2018-01-09,297.0,303.8,288.0,289.2,289.8,4326205.0,12806.11
2018-01-08,279.0,304.9,278.1,295.0,295.5,13020834.0,38504.75
2018-01-05,280.5,284.8,277.05,277.7,277.9,1755114.0,4919.55
2018-01-04,280.6,285.35,277.0,277.5,279.1,2714971.0,7630.9
2018-01-03,282.7,286.8,278.0,278.6,279.5,2065149.0,5816.75
2018-01-02,287.65,288.65,277.0,280.6,280.6,3133870.0,8823.4
2018-01-01,278.0,295.15,274.0,287.0,286.05,6708713.0,19375.99
2017-12-29,279.0,286.5,275.1,275.5,277.9,2882816.0,8098.96
2017-12-28,286.7,286.7,276.0,276.8,277.5,2327875.0,6501.59
2017-12-27,295.25,295.25,280.1,284.5,285.25,2138183.0,6180.15
2017-12-26,291.0,301.9,287.0,294.6,294.05,4919036.0,14510.82
2017-12-22,296.9,297.65,288.1,290.8,292.7,2912524.0,8548.64
2017-12-21,291.25,300.0,289.45,294.8,294.9,5143142.0,15181.77
2017-12-20,296.5,303.75,287.25,289.2,289.25,9524640.0,28248.57
2017-12-19,283.45,297.75,282.65,294.3,294.5,13181264.0,38432.2
2017-12-18,255.35,292.8,242.7,280.5,280.9,19275852.0,53583.56
2017-12-15,233.15,269.85,230.7,264.6,266.75,18714440.0,47645.65
2017-12-14,236.5,238.9,224.0,228.0,228.3,2438164.0,5616.17
2017-12-13,235.5,244.9,230.0,235.2,233.7,5466804.0,13024.43
2017-12-12,238.2,244.4,230.1,234.3,234.6,6016519.0,14279.88
2017-12-11,231.6,245.8,226.55,238.0,237.55,8669316.0,20636.39
2017-12-08,211.2,237.4,209.25,228.95,230.0,13941415.0,31892.61
2017-12-07,210.0,217.25,206.5,208.35,209.1,4100805.0,8675.3
2017-12-06,201.0,208.8,198.65,203.85,204.4,1662230.0,3410.49
2017-12-05,200.0,207.8,191.3,201.65,202.2,2881295.0,5799.22
2017-12-04,214.5,215.0,201.3,201.3,201.35,1697930.0,3457.42
2017-12-01,224.0,228.55,210.55,213.1,211.85,2408207.0,5292.75
2017-11-30,212.7,222.6,209.5,222.3,221.6,4816841.0,10591.66
2017-11-29,208.4,214.0,206.25,212.7,212.0,4810886.0,10141.64
2017-11-28,203.0,214.3,203.0,207.9,207.4,2635092.0,5505.09
2017-11-27,199.1,207.0,199.1,203.6,204.65,2763490.0,5634.04
2017-11-24,203.65,206.2,199.1,199.9,199.85,577995.0,1169.23
2017-11-23,198.75,207.0,196.55,203.85,203.65,1831243.0,3724.91
2017-11-22,204.2,206.0,196.0,197.7,197.75,1296087.0,2592.87
2017-11-21,202.0,205.85,199.0,202.5,202.15,4488909.0,9186.02
2017-11-20,187.0,196.15,184.0,196.15,196.05,2497296.0,4813.02
2017-11-17,187.9,192.9,185.75,186.95,186.85,1770055.0,3368.16
2017-11-16,188.0,191.25,178.45,184.0,183.75,1927059.0,3573.93
2017-11-15,196.6,196.6,185.75,185.75,185.85,1381215.0,2627.76
2017-11-14,199.0,201.7,194.55,195.9,195.5,1161981.0,2299.4
2017-11-13,207.0,207.0,196.5,197.5,198.6,1846378.0,3726.27
2017-11-10,209.0,214.9,203.9,204.0,205.55,3631169.0,7599.2
2017-11-09,206.05,206.05,201.65,206.05,206.05,6091152.0,12524.17
2017-11-08,207.7,209.2,194.95,196.95,196.25,1797819.0,3637.97
2017-11-07,206.4,213.2,201.0,206.0,205.2,3447520.0,7156.37
2017-11-06,195.5,204.6,193.05,203.8,204.25,6840042.0,13772.55
2017-11-03,194.0,198.5,192.55,194.3,194.9,1398534.0,2740.69
2017-11-02,196.7,197.6,192.4,192.9,193.2,723485.0,1408.17
2017-11-01,196.3,199.5,193.2,197.0,194.6,1800761.0,3523.63
2017-10-31,198.0,204.8,193.2,194.0,194.25,6709057.0,13242.14
2017-10-30,200.0,202.5,197.0,198.0,198.0,1378545.0,2744.67
2017-10-27,205.75,206.0,196.25,199.05,197.6,1988765.0,3990.28
2017-10-26,199.0,208.7,191.65,202.0,202.65,4665484.0,9598.09
2017-10-25,205.0,208.0,198.0,198.6,198.8,1150117.0,2321.1
2017-10-24,205.25,208.7,201.5,203.5,203.1,1720239.0,3523.35
2017-10-23,208.9,218.0,201.65,205.4,204.2,2515775.0,5297.08
2017-10-19,211.45,217.65,206.15,206.8,211.25,2314211.0,4945.58
