Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,44.55,49.15,44.55,49.15,49.15,326235.0,154.58
2018-03-12,49.3,49.3,46.85,46.85,46.85,73397.0,34.59
2018-03-09,53.7,53.7,49.3,49.3,49.3,161142.0,81.15
2018-03-08,52.3,55.6,51.85,51.85,51.85,117045.0,61.53
2018-03-07,57.4,57.4,54.55,54.55,54.55,110488.0,60.97
2018-03-06,58.05,59.6,57.15,57.5,57.4,71544.0,41.71
2018-03-05,60.0,60.05,57.25,58.5,58.1,58250.0,34.02
2018-03-01,62.05,62.05,57.1,58.35,58.55,93237.0,55.54
2018-02-28,61.0,61.55,59.8,60.2,60.1,90975.0,54.82
2018-02-27,63.95,64.3,60.6,61.6,61.5,85703.0,53.65
2018-02-26,64.5,65.0,62.8,63.6,63.75,57553.0,36.94
2018-02-23,63.6,64.8,62.5,63.95,63.85,97222.0,62.0
2018-02-22,65.8,65.8,62.15,62.4,62.3,80289.0,50.53
2018-02-21,65.9,65.9,63.1,63.8,63.85,82975.0,53.72
2018-02-20,64.9,67.9,62.5,64.05,64.25,127151.0,82.05
2018-02-19,66.5,68.6,65.2,65.2,65.2,113737.0,75.0
2018-02-16,72.35,74.0,68.6,68.6,68.6,143066.0,99.19
2018-02-15,77.0,77.0,70.55,72.0,72.2,482464.0,353.81
2018-02-14,73.75,73.75,73.75,73.75,73.75,31057.0,22.9
2018-02-12,70.25,70.25,70.25,70.25,70.25,11025.0,7.75
2018-02-09,66.9,66.95,65.0,66.95,66.95,62548.0,41.78
2018-02-08,63.8,63.8,63.8,63.8,63.8,14179.0,9.05
2018-02-07,56.0,60.8,55.3,60.8,60.8,131853.0,77.63
2018-02-06,57.95,57.95,57.95,57.95,57.95,54733.0,31.72
2018-02-05,61.0,61.0,61.0,61.0,61.0,44387.0,27.08
2018-02-02,65.3,65.5,64.2,64.2,64.2,117201.0,75.34
2018-02-01,70.9,70.9,67.55,67.55,67.55,344777.0,235.38
2018-01-31,71.8,74.6,71.1,71.1,71.1,266378.0,190.52
2018-01-30,79.7,79.7,74.8,74.8,74.8,283119.0,213.14
2018-01-29,81.9,83.0,78.0,78.2,78.7,235121.0,189.22
2018-01-25,88.25,88.25,81.3,81.5,81.55,372513.0,308.99
2018-01-24,82.3,85.75,81.0,85.75,85.55,362691.0,306.47
2018-01-23,85.0,85.1,81.2,81.8,81.7,292527.0,241.24
2018-01-22,88.45,89.75,84.8,84.8,85.05,293588.0,253.07
2018-01-19,90.5,91.7,86.65,88.75,88.3,339939.0,300.06
2018-01-18,91.25,94.7,89.5,89.8,90.0,435935.0,401.93
2018-01-17,93.0,93.0,88.5,90.5,90.2,287690.0,259.34
2018-01-16,96.0,97.2,91.75,91.9,92.0,420623.0,390.99
2018-01-15,101.0,101.8,95.2,95.8,95.8,435126.0,424.32
2018-01-12,104.25,105.9,98.4,99.5,99.45,1058910.0,1067.6
2018-01-11,106.35,108.0,103.05,103.6,103.55,938718.0,982.77
2018-01-10,108.8,109.9,101.1,106.7,106.55,2951821.0,3141.98
2018-01-09,105.7,105.7,103.1,105.7,105.7,860038.0,906.76
2018-01-08,91.2,100.7,91.2,100.7,100.7,11497211.0,10916.03
2018-01-05,95.95,95.95,95.95,95.95,95.95,312989.0,300.31
2018-01-04,101.0,101.0,101.0,101.0,101.0,167741.0,169.42
2018-01-03,106.3,106.3,106.3,106.3,106.3,82904.0,88.13
2018-01-02,111.85,111.85,111.85,111.85,111.85,108814.0,121.71
2018-01-01,117.7,123.85,117.7,117.7,117.7,3031546.0,3606.2
2017-12-29,123.85,123.85,123.85,123.85,123.85,46313.0,57.36
2017-12-28,130.35,130.35,130.35,130.35,130.35,36781.0,47.94
2017-12-27,137.2,137.2,137.2,137.2,137.2,77823.0,106.77
2017-12-26,144.4,144.4,144.4,144.4,144.4,48858.0,70.55
2017-12-22,152.0,152.0,152.0,152.0,152.0,42010.0,63.86
2017-12-21,159.95,159.95,159.95,159.95,159.95,42034.0,67.23
2017-12-20,168.35,168.35,168.35,168.35,168.35,213919.0,360.13
2017-12-19,207.0,207.5,187.05,187.05,187.05,3696957.0,7287.98
2017-12-18,231.55,231.65,203.35,207.0,207.8,5166510.0,11195.72
2017-12-15,222.5,225.9,221.2,224.65,224.65,3022552.0,6774.52
2017-12-14,219.95,221.9,219.35,221.1,221.05,1424553.0,3145.16
2017-12-13,218.15,220.0,218.0,219.0,219.05,2468421.0,5407.52
2017-12-12,215.55,217.4,215.5,217.0,217.0,1906085.0,4127.97
2017-12-11,207.0,215.8,207.0,214.55,214.55,2990374.0,6370.88
2017-12-08,197.2,206.05,196.55,203.55,204.35,1346930.0,2716.18
2017-12-07,189.05,198.25,189.05,195.7,195.9,1251641.0,2438.59
2017-12-06,177.75,189.9,177.0,187.9,188.8,1340168.0,2481.91
2017-12-05,174.5,180.9,160.55,180.65,177.75,621197.0,1063.33
2017-12-04,188.0,190.6,171.7,174.5,175.05,987974.0,1733.11
2017-12-01,197.35,201.8,185.1,187.1,187.55,305937.0,591.68
2017-11-30,202.0,205.9,194.6,195.8,197.35,483307.0,964.81
2017-11-29,212.5,214.5,199.6,202.1,202.2,1546621.0,3196.78
2017-11-28,176.4,211.55,175.0,211.55,211.55,4238995.0,8514.71
2017-11-27,167.0,188.7,167.0,178.0,176.3,2897363.0,5190.78
2017-11-24,165.0,167.7,164.0,165.0,166.8,613031.0,1021.95
2017-11-23,164.9,167.9,161.55,163.2,165.25,657180.0,1077.98
2017-11-22,167.95,169.35,145.3,163.05,165.65,1170267.0,1908.07
2017-11-21,163.0,170.0,158.35,166.5,166.8,1814525.0,3008.4
2017-11-20,134.9,159.6,132.75,157.1,155.7,3359128.0,4970.21
2017-11-17,135.05,137.35,132.1,132.15,133.0,19508.0,26.27
2017-11-16,128.7,135.5,128.7,135.0,135.05,78634.0,105.35
2017-11-15,130.95,134.4,128.25,130.45,131.3,132094.0,174.24
2017-11-14,128.0,132.7,127.3,130.8,131.35,158885.0,207.88
2017-11-13,132.4,132.4,127.2,128.0,128.65,108093.0,139.83
2017-11-10,128.9,134.0,126.05,134.0,131.8,208104.0,268.71
2017-11-09,129.9,129.9,126.35,127.0,128.0,124094.0,159.56
2017-11-08,125.65,132.0,123.25,129.9,129.25,533250.0,677.57
2017-11-07,132.05,132.1,124.2,125.35,125.65,168168.0,216.92
2017-11-06,135.35,135.35,131.15,132.25,132.8,217412.0,289.94
2017-11-03,136.45,137.85,132.95,133.5,134.65,254233.0,345.61
2017-11-02,135.2,138.0,135.2,136.0,136.7,274311.0,376.75
2017-11-01,132.05,138.0,132.05,135.25,136.55,209421.0,284.38
2017-10-31,131.0,134.0,129.3,133.0,132.7,291912.0,386.06
2017-10-30,131.85,133.9,128.45,130.9,131.85,164181.0,214.93
2017-10-27,129.5,131.6,125.75,128.15,129.65,74827.0,96.73
2017-10-26,126.95,131.0,125.5,128.5,129.5,88968.0,114.14
2017-10-25,126.65,128.2,124.3,127.95,127.5,128079.0,162.72
2017-10-24,120.0,126.25,120.0,125.9,124.95,119841.0,149.03
2017-10-23,121.9,123.35,118.3,120.5,121.45,58353.0,70.11
2017-10-19,121.9,121.9,119.2,120.0,120.1,6718.0,8.09
2017-10-18,116.05,122.9,114.6,120.5,118.45,137067.0,162.22
2017-10-17,114.75,121.0,110.5,117.0,116.65,211380.0,246.42
2017-10-16,120.9,120.9,111.05,113.25,113.15,160416.0,190.3
2017-10-13,121.55,122.75,117.8,118.1,118.65,62031.0,74.21
2017-10-12,121.0,122.05,120.05,121.4,121.45,16012.0,19.4
2017-10-11,122.55,122.55,119.0,119.25,119.8,42432.0,51.03
2017-10-10,122.15,124.0,120.05,120.5,120.8,86914.0,106.12
2017-10-09,121.75,123.4,119.25,120.25,120.6,40579.0,49.28
2017-10-06,122.3,123.5,119.75,120.35,120.15,154391.0,186.54
2017-10-05,122.1,123.5,119.1,120.8,120.4,64704.0,78.35
