Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,274.4,276.45,269.5,275.0,275.2,30237.0,82.99
2018-03-12,276.1,277.3,270.3,273.9,273.5,25172.0,69.22
2018-03-09,268.3,275.3,268.3,272.95,272.2,28287.0,76.75
2018-03-08,276.85,276.85,268.0,270.0,270.05,35572.0,96.05
2018-03-07,276.95,276.95,261.0,275.0,271.5,46848.0,125.8
2018-03-06,276.0,277.9,271.1,274.9,274.8,103111.0,283.46
2018-03-05,283.9,283.9,272.1,272.4,272.8,17955.0,49.48
2018-03-01,284.0,287.25,280.0,282.8,282.3,47070.0,134.47
2018-02-28,284.0,287.9,282.1,284.0,285.3,25623.0,73.12
2018-02-27,284.3,286.0,281.1,285.0,284.9,75288.0,214.42
2018-02-26,284.0,285.85,278.35,280.45,280.95,34483.0,97.72
2018-02-23,278.9,286.0,278.9,283.0,281.85,10509.0,29.74
2018-02-22,278.05,282.8,277.5,278.0,278.9,11125.0,31.13
2018-02-21,285.2,285.9,278.0,281.0,282.8,25675.0,72.16
2018-02-20,282.4,290.0,275.2,285.0,282.65,34279.0,96.54
2018-02-19,286.55,287.1,276.05,278.5,280.55,18913.0,53.21
2018-02-16,285.75,292.95,281.45,283.6,285.15,128592.0,369.24
2018-02-15,297.0,297.5,273.2,280.45,280.5,91543.0,257.66
2018-02-14,297.7,300.05,295.0,297.5,296.75,18483.0,54.97
2018-02-12,300.0,301.15,295.4,295.4,295.9,14803.0,44.02
2018-02-09,280.15,298.1,280.15,294.4,295.4,35423.0,104.38
2018-02-08,288.95,302.0,282.55,299.0,300.0,305327.0,913.52
2018-02-07,284.9,290.5,280.85,289.9,287.75,27696.0,79.67
2018-02-06,274.0,287.35,261.7,279.6,280.3,107653.0,296.83
2018-02-05,262.1,284.75,261.65,276.5,278.8,37555.0,102.4
2018-02-02,289.55,289.55,272.75,277.05,278.9,78643.0,219.77
2018-02-01,287.95,295.1,284.8,288.1,289.55,46525.0,135.4
2018-01-31,279.0,292.8,275.0,284.9,285.4,67628.0,193.03
2018-01-30,286.65,294.0,279.05,280.8,280.05,43771.0,123.81
2018-01-29,296.4,296.4,285.35,288.0,288.1,55267.0,159.48
2018-01-25,310.0,310.0,292.0,292.1,293.15,29926.0,89.13
2018-01-24,304.85,304.85,291.4,292.3,296.05,66562.0,199.06
2018-01-23,291.0,304.85,291.0,301.1,302.75,57298.0,172.34
2018-01-22,294.15,299.0,290.2,292.0,292.4,35965.0,105.97
2018-01-19,295.65,299.35,290.5,294.0,291.8,48037.0,141.46
2018-01-18,304.85,308.95,294.6,296.05,295.65,63804.0,191.24
2018-01-17,310.3,310.3,302.95,304.85,304.4,37194.0,113.3
2018-01-16,312.9,316.9,309.0,310.3,309.5,51387.0,160.47
2018-01-15,317.0,319.4,308.0,311.0,310.6,87275.0,273.56
2018-01-12,312.7,320.0,312.7,316.5,315.4,84090.0,266.59
2018-01-11,310.0,318.0,310.0,314.9,315.3,62800.0,198.16
2018-01-10,314.85,317.0,310.0,312.25,312.15,42939.0,134.76
2018-01-09,316.0,316.1,311.05,313.0,312.8,49166.0,154.32
2018-01-08,316.1,318.0,312.0,314.0,313.5,113510.0,356.96
2018-01-05,309.5,310.15,307.0,309.0,308.25,50061.0,154.61
2018-01-04,308.0,310.7,302.0,307.0,307.65,109817.0,337.13
2018-01-03,310.7,315.0,306.6,308.7,307.95,68539.0,213.34
2018-01-02,314.5,317.05,304.25,307.0,307.35,87646.0,270.62
2018-01-01,322.0,324.9,311.1,315.0,313.4,149147.0,476.39
2017-12-29,314.5,316.5,306.0,315.0,315.05,173114.0,541.11
2017-12-28,311.1,315.0,311.1,312.0,312.25,43563.0,136.31
2017-12-27,314.7,320.0,309.2,310.0,310.6,87547.0,276.16
2017-12-26,322.0,323.5,310.0,311.3,312.25,167429.0,529.63
2017-12-22,320.0,323.75,314.5,319.0,320.05,374769.0,1194.97
2017-12-21,301.8,317.0,301.05,316.7,313.35,318990.0,988.76
2017-12-20,301.8,304.0,298.05,299.0,299.7,85830.0,258.0
2017-12-19,296.6,304.0,296.6,300.7,300.25,120035.0,361.92
2017-12-18,301.0,303.8,290.0,294.0,297.45,102625.0,306.82
2017-12-15,308.35,308.95,295.25,297.55,298.0,142740.0,431.2
2017-12-14,300.0,309.0,291.15,305.3,303.1,382183.0,1147.16
2017-12-13,299.3,302.7,294.05,298.0,297.05,185643.0,554.65
2017-12-12,299.8,301.0,296.45,299.0,298.1,66057.0,197.53
2017-12-11,299.5,301.0,296.25,299.25,298.6,73786.0,221.07
2017-12-08,298.85,302.0,295.0,299.5,296.7,85064.0,254.24
2017-12-07,298.25,302.0,293.75,297.1,296.7,137485.0,410.74
2017-12-06,295.9,301.9,292.1,298.9,296.8,175905.0,524.35
2017-12-05,302.1,304.65,295.55,295.9,297.35,106774.0,319.5
2017-12-04,304.3,307.4,298.0,302.0,299.7,125080.0,377.4
2017-12-01,306.6,312.35,299.25,299.25,301.7,203730.0,623.46
