Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,792.7,799.0,782.1,796.0,795.8,119371.0,949.23
2018-03-12,784.85,794.95,780.15,790.0,788.45,151276.0,1191.12
2018-03-09,770.8,784.0,762.0,778.05,774.0,153976.0,1187.72
2018-03-08,784.8,784.8,765.0,766.95,766.95,169114.0,1303.11
2018-03-07,797.8,797.8,775.55,777.0,778.25,293539.0,2307.61
2018-03-06,809.0,809.0,792.7,794.0,795.05,145492.0,1162.29
2018-03-05,800.6,807.0,795.05,805.0,800.35,1526113.0,12207.4
2018-03-01,805.0,808.0,797.25,802.0,800.6,349115.0,2793.22
2018-02-28,805.0,806.0,794.5,798.0,798.7,156861.0,1253.23
2018-02-27,809.8,809.8,800.05,803.25,802.85,105581.0,849.41
2018-02-26,800.0,809.4,800.0,807.9,806.25,157007.0,1267.83
2018-02-23,809.0,809.0,798.35,802.8,800.8,136085.0,1090.37
2018-02-22,809.0,809.0,799.1,801.0,800.95,147432.0,1183.66
2018-02-21,820.45,824.0,805.1,805.95,806.35,150326.0,1217.15
2018-02-20,814.6,814.6,807.0,807.05,807.7,111251.0,900.37
2018-02-19,819.0,820.0,805.0,806.9,807.35,113858.0,919.9
2018-02-16,828.0,828.0,809.0,812.5,811.7,116012.0,942.31
2018-02-15,834.0,834.0,809.05,817.0,813.4,203085.0,1657.55
2018-02-14,832.25,833.15,820.05,821.5,823.3,122698.0,1016.36
2018-02-12,830.0,841.0,828.8,831.4,831.85,120420.0,1004.9
2018-02-09,832.0,832.0,821.0,825.3,824.85,132551.0,1093.08
2018-02-08,846.0,849.0,831.0,832.15,833.25,279489.0,2352.93
2018-02-07,850.0,850.0,828.05,846.3,846.05,286012.0,2400.89
2018-02-06,810.0,830.0,798.0,824.3,824.3,386252.0,3142.08
2018-02-05,835.0,835.0,822.0,827.0,826.05,274852.0,2272.63
2018-02-02,870.0,870.0,842.0,848.5,849.35,473438.0,4027.29
2018-02-01,895.0,895.0,851.0,873.0,870.8,622064.0,5420.73
2018-01-31,896.0,902.6,886.5,892.5,892.5,138795.0,1239.79
2018-01-30,899.95,903.0,889.55,899.2,898.2,137202.0,1230.52
2018-01-29,914.45,918.0,899.0,902.5,903.05,215108.0,1943.65
2018-01-25,918.0,918.0,910.0,914.0,913.7,93907.0,858.03
2018-01-24,916.0,919.0,908.0,910.05,911.2,114839.0,1047.38
2018-01-23,919.0,924.0,911.0,913.1,915.2,154927.0,1422.11
2018-01-22,913.0,919.95,911.0,915.2,915.35,113702.0,1040.18
2018-01-19,921.65,928.65,907.05,909.1,909.6,245107.0,2238.9
2018-01-18,944.95,944.95,920.2,920.5,921.5,203835.0,1897.93
2018-01-17,945.8,948.15,930.75,933.7,934.85,295810.0,2771.15
2018-01-16,940.0,957.8,931.0,939.35,939.65,1396093.0,13149.79
2018-01-15,971.35,984.9,965.0,981.9,981.2,824043.0,8047.93
2018-01-12,942.0,971.75,937.0,964.0,961.95,918661.0,8759.44
2018-01-11,946.95,947.0,938.0,938.5,940.5,245459.0,2311.49
2018-01-10,943.0,951.95,938.8,944.0,942.6,228312.0,2154.75
2018-01-09,954.15,956.0,942.05,942.15,945.5,304002.0,2880.57
2018-01-08,963.7,963.7,948.55,953.55,954.15,489255.0,4673.77
2018-01-05,934.95,954.8,920.2,942.0,945.95,1172002.0,11030.95
2018-01-04,936.0,936.1,929.8,930.05,930.6,396335.0,3690.39
2018-01-03,946.0,948.0,929.6,935.9,936.4,433236.0,4040.73
2018-01-02,938.8,944.9,929.0,944.0,940.0,352903.0,3298.66
2018-01-01,917.0,934.95,916.1,932.6,930.95,256355.0,2383.76
2017-12-29,953.0,961.5,892.3,909.9,909.45,2063817.0,19187.11
2017-12-28,913.3,949.0,902.0,944.0,925.05,402076.0,3701.76
2017-12-27,909.45,917.8,901.6,910.0,910.95,141064.0,1279.68
2017-12-26,906.0,911.35,901.2,908.0,907.45,102714.0,931.16
2017-12-22,909.95,912.95,903.0,903.7,904.2,154852.0,1407.38
2017-12-21,891.0,915.45,890.75,905.95,903.5,167750.0,1514.24
2017-12-20,895.0,895.0,888.0,892.0,890.75,82807.0,738.28
2017-12-19,902.0,902.8,893.5,894.0,894.2,69689.0,625.26
2017-12-18,901.1,902.35,886.05,897.65,899.15,63549.0,571.33
2017-12-15,900.05,901.8,899.0,899.05,899.75,92987.0,836.87
2017-12-14,909.1,909.1,898.1,898.1,899.6,58966.0,531.3
2017-12-13,902.0,912.0,902.0,904.0,903.7,35019.0,317.32
2017-12-12,909.95,916.25,903.4,905.0,905.4,56187.0,511.84
2017-12-11,922.5,922.5,904.0,905.0,905.4,114914.0,1045.34
