Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,519.0,542.0,515.0,540.7,538.55,1610243.0,8544.53
2018-03-12,512.0,524.9,511.2,520.0,518.7,715116.0,3687.36
2018-03-09,512.0,516.5,502.2,511.35,507.3,744506.0,3781.82
2018-03-08,506.0,515.45,493.25,513.5,513.2,1381436.0,7003.17
2018-03-07,540.9,540.9,487.7,503.8,499.65,2617870.0,13321.88
2018-03-06,553.15,554.5,531.6,535.05,535.0,938254.0,5101.07
2018-03-05,537.4,551.0,530.0,546.9,545.5,1987847.0,10792.19
2018-03-01,542.0,545.0,533.7,537.45,537.4,696690.0,3744.65
2018-02-28,540.0,544.35,529.0,541.45,541.45,1166425.0,6286.3
2018-02-27,542.75,545.0,529.35,538.0,535.5,1246998.0,6719.06
2018-02-26,527.9,540.0,525.35,539.0,538.85,1321117.0,7065.94
2018-02-23,517.25,527.35,517.25,525.15,523.65,1021725.0,5349.82
2018-02-22,517.95,525.95,512.6,517.55,516.6,1197453.0,6217.3
2018-02-21,516.0,522.0,511.9,517.25,518.45,1025243.0,5303.81
2018-02-20,501.5,523.95,501.5,512.9,511.55,2382471.0,12293.06
2018-02-19,503.9,511.95,495.25,502.0,502.75,1388940.0,6985.14
2018-02-16,519.25,527.4,497.0,504.5,503.0,1697412.0,8623.76
2018-02-15,525.0,538.0,509.0,519.25,514.3,3015341.0,15936.78
2018-02-14,497.0,525.9,496.9,516.8,519.85,3765692.0,19387.48
2018-02-12,467.9,494.95,466.45,494.95,493.1,2572789.0,12480.59
2018-02-09,454.0,468.6,450.75,462.45,462.95,818509.0,3779.99
2018-02-08,463.5,471.35,453.25,462.5,462.05,764393.0,3561.52
2018-02-07,474.9,479.55,457.0,459.0,460.05,1601455.0,7488.81
2018-02-06,421.0,470.75,418.0,455.3,458.1,2274611.0,10102.53
2018-02-05,420.0,461.75,402.5,458.3,459.35,1824328.0,8063.61
2018-02-02,442.0,452.0,416.2,429.0,426.9,1529576.0,6646.39
2018-02-01,450.0,459.0,442.5,445.95,446.25,991830.0,4477.23
2018-01-31,448.5,452.6,444.1,447.5,449.15,589263.0,2639.4
2018-01-30,462.0,463.05,448.65,449.6,450.05,702018.0,3177.77
2018-01-29,448.0,469.9,448.0,462.5,461.6,2534456.0,11692.74
2018-01-25,444.0,452.8,437.45,443.9,442.35,1296243.0,5761.48
2018-01-24,461.0,464.0,441.0,443.6,443.6,1849506.0,8337.39
2018-01-23,488.7,505.45,457.0,458.7,460.4,5272087.0,25281.1
2018-01-22,477.45,486.2,472.0,484.8,485.1,877341.0,4220.03
2018-01-19,462.5,480.0,461.7,477.0,474.55,590778.0,2769.84
2018-01-18,472.0,476.0,457.15,462.35,462.75,673146.0,3138.68
2018-01-17,474.1,475.0,464.0,471.8,471.4,435160.0,2049.05
2018-01-16,485.65,485.65,467.25,477.25,476.45,947076.0,4509.97
2018-01-15,483.0,486.55,478.75,482.0,482.3,432761.0,2091.13
2018-01-12,488.7,488.7,473.0,480.25,481.25,616812.0,2978.08
2018-01-11,484.0,493.35,480.1,485.3,484.45,1656369.0,8086.77
2018-01-10,480.95,482.0,473.25,481.5,480.35,449033.0,2147.9
