Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,643.25,652.8,639.0,650.95,649.25,843270.0,5467.07
2018-03-12,650.7,657.25,636.3,643.0,643.15,781200.0,5040.55
2018-03-09,640.1,653.45,640.0,644.95,643.95,853655.0,5527.95
2018-03-08,631.3,642.3,617.6,637.4,639.1,769215.0,4844.22
2018-03-07,645.0,646.0,627.35,628.35,629.7,595855.0,3785.24
2018-03-06,661.0,666.4,643.6,645.35,647.65,421205.0,2768.58
2018-03-05,668.0,668.45,648.5,656.0,656.8,698130.0,4577.97
2018-03-01,665.0,681.5,662.1,666.05,668.5,607745.0,4078.35
2018-02-28,669.1,672.4,663.7,665.6,666.3,219330.0,1464.63
2018-02-27,680.0,680.0,667.75,669.6,670.75,440032.0,2954.29
2018-02-26,674.9,682.75,670.65,674.0,675.25,401018.0,2713.68
2018-02-23,668.0,674.7,667.05,673.4,672.55,583632.0,3920.44
2018-02-22,681.8,681.8,663.0,664.9,665.35,1026435.0,6852.67
2018-02-21,685.15,686.0,672.45,677.9,679.0,383311.0,2597.88
2018-02-20,676.0,685.55,673.25,678.15,678.2,427122.0,2905.39
2018-02-19,689.8,689.85,671.55,679.0,677.75,444159.0,3009.54
2018-02-16,689.95,696.05,677.0,686.45,686.8,421641.0,2888.32
2018-02-15,704.9,706.0,685.0,690.3,688.55,602585.0,4177.8
2018-02-14,701.95,714.0,699.8,700.0,700.7,735788.0,5205.57
2018-02-12,691.25,702.6,691.25,698.0,698.05,338859.0,2367.08
2018-02-09,678.95,693.8,676.9,687.6,687.2,577004.0,3960.87
2018-02-08,679.9,694.5,678.0,692.9,689.85,576826.0,3965.34
2018-02-07,674.0,689.0,664.5,678.0,676.9,827009.0,5604.66
2018-02-06,640.0,668.9,635.95,663.5,661.55,1045915.0,6840.42
2018-02-05,660.0,690.45,655.0,685.0,681.5,811453.0,5470.55
2018-02-02,720.0,720.0,675.0,676.0,681.85,1501456.0,10432.21
2018-02-01,743.0,743.0,720.0,725.95,726.15,943976.0,6909.95
2018-01-31,741.0,748.2,733.05,737.1,738.1,678722.0,5021.66
2018-01-30,756.4,756.4,742.0,743.0,743.85,553789.0,4138.74
2018-01-29,766.0,773.0,752.1,752.2,754.2,750924.0,5728.6
2018-01-25,771.4,778.95,756.3,761.75,758.6,1096778.0,8385.01
2018-01-24,774.0,792.55,766.8,771.3,771.35,1863515.0,14534.76
2018-01-23,778.95,789.95,772.75,777.9,778.0,905006.0,7063.61
2018-01-22,762.0,782.85,755.7,777.85,777.95,1231693.0,9474.09
2018-01-19,762.8,775.95,747.65,767.0,764.45,2170979.0,16583.48
2018-01-18,797.9,805.6,746.05,762.0,755.2,2654393.0,20626.4
2018-01-17,786.1,803.4,778.8,785.0,789.0,3930323.0,31170.51
2018-01-16,841.0,842.95,778.3,786.8,785.2,5389165.0,43480.46
2018-01-15,895.0,901.85,842.3,843.3,845.6,12360949.0,107686.21
2018-01-12,845.0,852.4,809.0,845.0,837.5,2309901.0,19249.09
2018-01-11,792.4,840.0,785.1,835.5,835.7,2487180.0,20384.77
2018-01-10,784.0,796.0,779.1,792.9,792.9,995896.0,7836.68
2018-01-09,779.7,791.8,771.25,784.0,782.55,1606347.0,12543.69
2018-01-08,775.0,778.25,743.05,771.15,771.55,2692789.0,20488.41
2018-01-05,727.0,732.2,723.05,727.65,727.0,319355.0,2323.9
2018-01-04,724.8,732.85,720.1,728.0,728.0,856390.0,6236.99
2018-01-03,698.95,728.75,698.95,720.1,721.4,1322807.0,9540.05
2018-01-02,703.25,705.45,693.45,697.95,698.3,340297.0,2377.98
2018-01-01,692.5,701.9,692.1,696.95,694.9,156198.0,1090.21
2017-12-29,689.95,698.45,687.0,693.5,692.95,158755.0,1101.07
2017-12-28,700.15,702.15,686.05,688.15,689.35,333577.0,2313.09
2017-12-27,707.45,710.7,695.3,701.7,700.0,207164.0,1457.67
2017-12-26,702.9,713.6,701.55,706.9,707.45,369060.0,2611.24
2017-12-22,705.95,710.9,700.75,703.0,702.65,609211.0,4294.92
2017-12-21,695.0,708.8,690.2,703.0,701.55,594360.0,4165.14
2017-12-20,682.0,695.95,678.5,691.5,691.45,512555.0,3526.41
2017-12-19,682.0,688.65,680.1,680.35,682.4,259804.0,1775.09
2017-12-18,679.0,689.4,658.35,680.8,680.35,429159.0,2917.69
2017-12-15,671.0,686.0,665.35,679.7,678.9,658274.0,4445.78
2017-12-14,671.8,671.8,657.8,664.2,665.1,686269.0,4547.65
2017-12-13,674.4,680.0,665.0,666.75,667.8,527184.0,3545.23
2017-12-12,686.8,691.2,668.6,672.35,675.2,290129.0,1978.92
2017-12-11,695.0,697.55,686.25,687.25,688.0,273474.0,1886.32
2017-12-08,692.3,700.0,689.1,692.0,691.05,321406.0,2233.07
2017-12-07,684.8,694.7,682.95,692.0,691.7,286347.0,1973.43
2017-12-06,690.95,705.9,680.0,681.3,682.1,442771.0,3059.34
2017-12-05,688.0,702.8,675.05,694.45,695.55,642959.0,4430.92
2017-12-04,699.1,701.0,685.0,687.0,689.1,167520.0,1157.64
2017-12-01,704.8,712.0,691.9,698.75,696.5,309755.0,2182.76
2017-11-30,705.0,713.0,687.1,700.0,701.75,902539.0,6332.45
2017-11-29,703.7,703.7,692.0,697.5,698.1,342258.0,2387.66
2017-11-28,698.25,705.45,695.1,697.95,697.95,216911.0,1518.9
2017-11-27,703.0,706.8,694.5,698.25,698.25,393187.0,2746.97
2017-11-24,704.9,711.35,703.1,707.0,706.85,180640.0,1277.81
2017-11-23,707.0,712.2,697.0,700.0,702.5,194749.0,1371.42
2017-11-22,711.0,716.35,698.4,702.15,702.85,496722.0,3537.5
2017-11-21,709.0,714.8,705.1,708.3,709.1,349658.0,2483.26
2017-11-20,697.6,708.0,693.2,705.95,705.9,244003.0,1713.9
2017-11-17,705.45,710.85,694.0,694.15,695.45,438267.0,3079.13
2017-11-16,679.5,696.1,657.7,693.05,690.8,1255631.0,8470.02
2017-11-15,697.4,700.0,673.2,679.0,679.0,495049.0,3390.15
2017-11-14,713.25,718.9,700.0,701.0,701.4,310603.0,2194.66
2017-11-13,708.4,723.4,705.1,706.5,708.45,347596.0,2481.1
2017-11-10,708.0,726.0,702.15,710.1,710.35,406195.0,2906.56
2017-11-09,695.5,711.0,694.3,711.0,708.35,485303.0,3409.18
2017-11-08,703.15,713.3,688.0,695.75,692.95,1086778.0,7625.58
2017-11-07,735.0,737.0,703.0,708.25,708.25,570174.0,4081.6
2017-11-06,735.0,740.0,724.35,733.6,734.05,318223.0,2337.41
2017-11-03,744.95,747.45,732.0,736.65,736.65,486406.0,3585.31
2017-11-02,743.0,753.9,736.0,737.05,739.85,502776.0,3741.0
2017-11-01,760.6,765.65,740.8,745.1,745.1,970817.0,7331.38
2017-10-31,723.0,762.0,702.0,751.95,754.6,3574909.0,26330.99
2017-10-30,713.8,724.8,713.1,722.3,717.25,477645.0,3435.08
2017-10-27,718.35,723.6,706.3,709.95,709.1,534596.0,3809.62
2017-10-26,705.0,727.9,701.55,712.55,713.35,696004.0,4968.59
2017-10-25,745.9,748.0,702.95,709.5,710.5,852344.0,6131.36
2017-10-24,744.95,746.2,736.2,741.55,742.7,282313.0,2091.66
2017-10-23,754.9,760.35,742.95,744.5,746.15,248478.0,1857.64
2017-10-19,759.75,761.4,747.2,747.2,753.45,95374.0,721.27
2017-10-18,761.95,761.95,746.0,759.85,755.5,221798.0,1674.99
2017-10-17,764.95,771.9,757.45,762.0,762.65,294352.0,2251.7
2017-10-16,762.8,769.0,756.0,764.2,764.6,399405.0,3053.36
2017-10-13,757.55,766.75,752.8,755.0,754.7,261662.0,1981.98
2017-10-12,750.2,759.2,741.3,757.05,757.55,203149.0,1528.04
2017-10-11,772.9,772.9,740.6,746.0,748.9,257659.0,1955.27
2017-10-10,762.0,772.8,759.5,766.5,766.05,357639.0,2743.9
2017-10-09,760.0,769.6,753.0,757.45,757.4,250217.0,1905.88
2017-10-06,746.2,765.0,746.2,758.3,758.35,529998.0,4023.76
2017-10-05,744.0,751.6,740.2,744.25,743.65,219262.0,1634.6
2017-10-04,734.7,746.0,727.0,743.95,741.6,320274.0,2368.82
2017-10-03,743.9,749.0,730.75,732.15,733.5,245496.0,1814.56
2017-09-29,727.0,743.9,726.0,735.0,733.6,468726.0,3451.12
2017-09-28,722.6,731.6,715.5,719.8,719.75,670935.0,4842.52
2017-09-27,755.0,757.0,712.0,720.1,719.35,545863.0,4004.77
2017-09-26,749.0,762.5,733.8,744.0,747.9,735604.0,5495.54
2017-09-25,776.9,779.0,728.2,748.05,747.15,807291.0,6018.62
2017-09-22,810.0,813.95,772.7,779.0,776.9,985625.0,7807.86
2017-09-21,825.0,830.85,803.25,817.0,817.25,625595.0,5111.8
2017-09-20,832.0,832.0,812.5,821.0,824.85,720289.0,5925.98
2017-09-19,817.0,831.2,814.35,825.0,828.1,868854.0,7174.35
2017-09-18,809.7,821.5,808.9,814.35,814.8,812408.0,6623.84
2017-09-15,795.0,814.4,790.0,800.7,801.55,885513.0,7132.86
2017-09-14,802.0,811.0,788.0,801.1,801.9,1179111.0,9439.79
2017-09-13,823.0,839.0,787.3,798.1,799.85,3150924.0,25870.55
2017-09-12,773.6,812.95,765.5,806.8,808.65,1889897.0,15110.72
2017-09-11,774.95,784.95,767.7,769.95,771.5,549727.0,4274.77
2017-09-08,771.8,778.5,763.05,770.0,769.95,534290.0,4122.92
2017-09-07,775.7,779.7,763.65,768.3,770.25,575912.0,4442.17
2017-09-06,739.0,777.45,734.1,769.9,772.35,1095303.0,8334.29
2017-09-05,730.1,747.0,729.1,741.55,741.75,471607.0,3492.53
2017-09-04,729.9,744.0,717.25,727.05,726.2,329160.0,2405.94
2017-09-01,724.25,734.9,724.25,728.25,730.75,256609.0,1875.19
2017-08-31,726.8,734.0,718.0,724.0,723.3,360775.0,2615.85
2017-08-30,708.75,732.9,708.65,723.0,724.6,613985.0,4440.63
2017-08-29,725.0,725.0,701.1,702.5,702.5,460706.0,3266.63
2017-08-28,721.85,728.85,716.55,723.0,724.5,433179.0,3132.09
2017-08-24,721.45,721.45,707.05,713.9,713.8,265570.0,1897.86
2017-08-23,699.0,719.0,695.0,716.2,717.05,493771.0,3509.68
2017-08-22,712.9,719.85,693.0,694.0,694.9,384494.0,2697.64
2017-08-21,732.0,740.75,702.3,707.75,707.45,273529.0,1976.09
2017-08-18,725.2,734.9,721.1,730.0,729.95,218006.0,1586.98
2017-08-17,741.0,747.95,729.0,730.8,731.85,253689.0,1871.93
2017-08-16,731.0,749.4,720.0,741.85,742.25,351842.0,2591.54
2017-08-14,713.0,736.25,713.0,732.0,730.6,343823.0,2501.92
2017-08-11,698.0,714.55,681.0,706.95,705.45,542305.0,3793.31
2017-08-10,746.7,746.7,677.0,717.0,705.1,760271.0,5435.09
2017-08-09,779.9,779.9,744.0,748.9,749.8,411246.0,3137.79
2017-08-08,795.0,797.35,775.3,779.9,779.75,515138.0,4026.95
2017-08-07,779.5,798.9,779.0,792.0,791.3,551771.0,4364.83
2017-08-04,760.0,784.75,760.0,778.2,778.05,608044.0,4714.33
2017-08-03,783.0,783.75,759.0,762.75,764.1,474547.0,3666.74
2017-08-02,777.7,787.5,763.55,772.25,780.65,699285.0,5443.1
2017-08-01,774.8,778.6,769.1,774.6,774.9,151734.0,1174.84
2017-07-31,777.0,790.0,769.5,770.45,772.65,517398.0,4020.06
2017-07-28,762.9,775.3,752.0,767.0,766.25,263585.0,2020.38
2017-07-27,764.9,778.95,755.2,765.0,763.6,680042.0,5213.78
2017-07-26,763.0,773.8,734.4,766.0,768.85,669193.0,5120.52
2017-07-25,761.0,767.6,754.45,761.0,761.95,262646.0,2002.07
2017-07-24,764.5,771.4,754.0,760.8,760.1,329256.0,2513.54
2017-07-21,760.1,765.7,744.8,760.0,760.55,517750.0,3926.45
2017-07-20,760.0,766.0,744.0,760.0,759.85,767047.0,5815.48
2017-07-19,729.9,761.4,728.4,755.1,756.85,939930.0,7027.02
2017-07-18,734.7,746.35,720.0,728.55,727.6,262259.0,1925.5
