Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,598.7,608.5,598.35,604.0,600.1,26432.0,158.99
2018-03-12,612.0,612.05,595.05,598.8,598.25,39660.0,238.04
2018-03-09,599.4,612.95,599.4,609.0,606.45,18774.0,113.89
2018-03-08,595.0,608.95,594.25,599.0,599.4,20050.0,120.29
2018-03-07,618.25,621.0,594.65,602.9,601.2,28812.0,174.68
2018-03-06,621.5,629.0,612.2,620.5,621.25,43512.0,270.04
2018-03-05,598.5,630.85,589.0,618.1,619.15,111768.0,678.52
2018-03-01,585.0,595.0,578.0,581.5,585.55,18254.0,107.41
2018-02-28,598.0,598.55,587.05,587.9,588.8,18812.0,111.09
2018-02-27,607.0,612.0,599.0,599.0,600.85,42700.0,258.12
2018-02-26,618.55,618.55,597.0,605.85,606.65,33608.0,204.19
2018-02-23,598.0,622.3,585.05,612.0,612.7,35025.0,211.04
2018-02-22,599.0,599.0,583.05,590.0,586.45,33322.0,196.44
2018-02-21,606.05,611.0,598.3,599.85,600.35,27278.0,164.3
2018-02-20,627.5,629.5,607.05,607.5,608.75,31005.0,189.94
2018-02-19,651.0,651.0,618.05,627.5,624.4,24964.0,156.68
2018-02-16,664.9,665.0,640.0,649.15,649.05,27536.0,178.85
2018-02-15,660.4,665.0,651.0,660.5,660.95,87094.0,575.11
2018-02-14,625.0,671.0,615.25,660.0,657.7,184473.0,1205.81
2018-02-12,624.0,624.0,610.15,617.0,615.7,39717.0,243.89
2018-02-09,583.0,612.0,583.0,605.0,603.25,57667.0,348.41
2018-02-08,629.7,629.7,604.55,619.0,618.9,62835.0,387.17
2018-02-07,582.9,610.0,565.0,595.0,590.15,84459.0,492.95
2018-02-06,563.8,572.05,521.5,560.0,558.4,38623.0,215.62
2018-02-05,585.0,587.25,551.5,578.0,579.75,39415.0,227.36
2018-02-02,580.0,618.0,564.0,592.0,589.2,113245.0,669.39
2018-02-01,599.0,601.0,555.0,583.4,571.8,84636.0,488.1
2018-01-31,624.0,629.0,584.0,588.9,589.85,78567.0,474.08
2018-01-30,625.2,634.3,620.35,623.9,621.55,20306.0,127.18
2018-01-29,649.0,665.85,632.0,634.6,635.95,32137.0,207.0
2018-01-25,624.9,672.8,615.05,652.0,648.45,167130.0,1091.23
2018-01-24,623.0,623.1,610.05,612.0,613.95,23126.0,142.36
2018-01-23,623.75,628.65,619.4,622.95,622.3,27890.0,173.66
2018-01-22,621.0,635.0,620.05,624.95,621.75,31549.0,197.2
2018-01-19,627.5,648.0,618.0,620.05,621.05,49906.0,313.42
2018-01-18,649.95,649.95,625.1,625.5,627.45,55383.0,350.09
2018-01-17,642.0,650.0,621.6,634.0,636.15,79855.0,506.63
2018-01-16,665.0,667.0,648.0,650.8,651.75,29617.0,194.2
2018-01-15,674.8,676.0,662.9,667.0,664.95,25211.0,168.31
2018-01-12,661.9,672.2,655.1,663.15,662.9,33728.0,224.11
2018-01-11,660.0,671.8,652.85,658.0,657.45,34806.0,229.69
