Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,347.4,354.7,344.25,350.25,351.05,80854.0,283.48
2018-03-12,350.0,352.3,343.1,345.7,345.05,62069.0,214.51
2018-03-09,353.0,353.0,344.1,347.45,347.25,40365.0,140.12
2018-03-08,347.85,350.95,340.1,350.0,349.9,144184.0,499.57
2018-03-07,353.0,353.45,342.55,345.0,344.55,249952.0,871.05
2018-03-06,339.75,354.0,339.75,351.55,350.45,321166.0,1117.79
2018-03-05,345.0,347.0,335.1,338.8,337.1,66440.0,226.29
2018-03-01,350.25,353.0,343.55,343.6,344.9,33848.0,117.7
2018-02-28,352.3,354.15,346.25,348.4,349.25,97765.0,343.28
2018-02-27,358.5,362.8,350.5,354.25,354.9,64115.0,228.15
2018-02-26,361.0,366.0,355.55,358.35,358.55,74485.0,269.06
2018-02-23,355.9,358.0,354.05,357.0,356.9,25123.0,89.59
2018-02-22,357.7,359.4,352.3,354.4,355.0,60638.0,215.73
2018-02-21,364.95,368.5,356.55,359.0,358.8,47068.0,169.45
2018-02-20,355.0,367.0,352.0,364.0,361.95,105802.0,381.99
2018-02-19,353.95,358.0,345.0,355.0,354.5,36657.0,128.44
2018-02-16,353.0,354.8,347.5,350.6,350.8,108007.0,378.11
2018-02-15,365.5,365.5,350.3,352.0,352.7,151462.0,542.87
2018-02-14,370.0,371.05,358.3,360.25,361.15,355517.0,1291.63
2018-02-12,361.05,368.75,358.05,367.8,367.2,31218.0,113.59
2018-02-09,350.5,364.0,350.5,361.6,360.7,49064.0,175.44
2018-02-08,355.5,362.85,355.0,358.0,357.35,93266.0,335.42
2018-02-07,357.25,364.3,353.0,354.9,354.25,64428.0,230.39
2018-02-06,341.0,362.0,341.0,353.0,354.25,183541.0,644.88
2018-02-05,356.65,364.3,346.55,362.0,359.0,115720.0,409.72
2018-02-02,371.0,380.0,358.3,365.0,365.7,158229.0,578.84
2018-02-01,374.4,382.0,367.0,375.1,376.45,60829.0,227.41
2018-01-31,379.1,382.0,367.15,371.95,370.35,102917.0,384.1
2018-01-30,389.05,390.95,380.0,381.5,382.45,42072.0,162.19
2018-01-29,391.0,393.95,388.1,390.8,390.0,71720.0,280.0
2018-01-25,391.0,404.6,388.7,391.6,391.0,252505.0,994.92
2018-01-24,394.7,395.9,389.0,394.0,392.85,45142.0,176.85
2018-01-23,396.7,400.0,390.0,390.0,390.65,26395.0,104.04
2018-01-22,387.0,399.0,387.0,395.75,395.85,49457.0,194.71
2018-01-19,387.0,395.7,385.3,392.9,390.65,31171.0,121.64
2018-01-18,403.4,404.2,387.95,390.8,390.7,47160.0,186.27
2018-01-17,399.85,402.4,390.1,400.5,399.8,88279.0,350.83
2018-01-16,411.4,416.7,396.0,396.25,399.75,89500.0,362.95
2018-01-15,397.0,417.0,397.0,411.4,410.65,113356.0,463.1
2018-01-12,415.0,417.15,398.0,404.0,404.4,46902.0,191.85
2018-01-11,415.05,419.8,411.55,411.9,413.85,62822.0,260.94
2018-01-10,419.0,419.0,410.2,415.05,415.0,98099.0,406.89
2018-01-09,416.0,419.9,414.0,416.05,416.4,125743.0,522.49
2018-01-08,424.0,424.0,409.0,415.0,415.4,368586.0,1534.04
2018-01-05,421.9,423.9,414.0,423.0,418.35,194384.0,812.19
2018-01-04,398.45,427.0,393.05,422.0,420.5,968088.0,3996.26
2018-01-03,376.9,393.0,376.0,390.5,390.8,363385.0,1405.84
2018-01-02,374.1,377.5,372.3,373.55,374.3,19812.0,74.25
2018-01-01,387.0,387.0,371.0,373.9,373.75,84144.0,316.66
2017-12-29,381.05,382.85,375.25,375.5,376.15,23991.0,90.87
2017-12-28,382.15,388.8,380.25,382.9,381.45,43538.0,167.43
2017-12-27,377.95,383.55,377.0,380.95,378.7,73115.0,278.3
2017-12-26,382.5,383.0,376.5,378.0,377.95,33306.0,126.4
2017-12-22,375.45,382.8,375.45,380.0,380.55,57619.0,219.2
2017-12-21,382.15,382.85,375.3,378.0,378.1,23918.0,90.85
2017-12-20,384.7,386.3,378.2,380.0,379.75,66609.0,254.79
2017-12-19,375.8,383.55,375.8,379.1,380.1,40343.0,153.34
2017-12-18,375.1,386.0,369.0,381.9,380.35,74584.0,283.93
2017-12-15,381.4,382.85,374.1,377.1,377.05,66279.0,249.75
2017-12-14,380.75,382.0,374.3,378.2,377.35,213393.0,806.31
2017-12-13,380.1,384.8,377.5,380.5,380.15,179671.0,682.9
2017-12-12,384.0,384.0,380.0,381.65,380.8,47694.0,181.79
2017-12-11,390.25,390.25,380.1,380.85,381.0,38850.0,149.25
2017-12-08,385.0,393.4,382.3,387.25,387.2,146537.0,570.99
2017-12-07,381.0,386.5,380.35,386.5,383.8,46619.0,178.44
2017-12-06,384.0,384.0,379.0,380.0,380.0,283199.0,1076.49
2017-12-05,387.0,389.15,380.0,383.0,383.15,52543.0,201.25
2017-12-04,382.95,395.8,381.5,387.1,389.05,167057.0,649.15
2017-12-01,377.6,384.7,377.6,382.0,381.9,95840.0,365.7
2017-11-30,379.0,382.5,377.25,380.1,380.05,70399.0,267.38
2017-11-29,381.0,384.0,379.5,380.95,381.0,20008.0,76.21
2017-11-28,382.0,386.75,378.7,380.0,380.45,37361.0,142.98
2017-11-27,382.5,384.0,375.2,379.8,380.6,45641.0,173.17
2017-11-24,384.05,389.0,378.1,382.0,386.7,80592.0,309.8
2017-11-23,377.1,392.25,377.1,386.0,384.05,115727.0,447.05
2017-11-22,379.7,389.7,375.05,381.0,380.65,150040.0,575.92
2017-11-21,377.3,384.45,375.0,379.75,380.6,68663.0,259.04
2017-11-20,375.9,379.0,371.0,376.0,375.5,69030.0,259.44
2017-11-17,379.0,383.9,374.55,376.0,375.55,62562.0,236.06
2017-11-16,386.0,386.0,374.0,376.3,376.55,62447.0,236.22
2017-11-15,375.0,387.0,373.4,380.0,378.05,314172.0,1187.55
2017-11-14,374.9,376.7,370.0,370.0,370.05,36737.0,136.38
