Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,1350.0,1361.35,1331.0,1347.0,1345.35,47185.0,634.86
2018-03-12,1364.0,1368.95,1315.15,1359.95,1345.15,15744.0,211.26
2018-03-09,1328.0,1363.7,1320.0,1349.0,1350.5,11340.0,151.97
2018-03-08,1317.0,1335.0,1310.05,1324.95,1327.2,14723.0,194.02
2018-03-07,1340.0,1340.0,1315.0,1316.85,1323.55,41058.0,548.1
2018-03-06,1359.3,1362.95,1330.3,1352.0,1343.8,27477.0,368.96
2018-03-05,1360.0,1364.9,1342.7,1357.0,1356.6,18675.0,252.46
2018-03-01,1360.2,1366.9,1357.15,1360.0,1360.05,34607.0,470.77
2018-02-28,1370.0,1374.0,1357.1,1369.9,1367.2,19445.0,265.35
2018-02-27,1367.7,1381.2,1349.3,1368.0,1366.7,7735.0,105.52
2018-02-26,1372.7,1380.0,1359.05,1367.05,1369.7,257840.0,3526.57
2018-02-23,1376.0,1378.05,1350.0,1365.0,1372.7,12223.0,167.04
2018-02-22,1380.0,1385.0,1363.3,1366.5,1370.5,63047.0,869.3
2018-02-21,1389.0,1396.8,1376.0,1389.0,1386.0,18726.0,259.75
2018-02-20,1405.0,1405.0,1377.15,1385.0,1388.5,15712.0,218.44
2018-02-19,1370.0,1418.0,1370.0,1393.0,1387.35,45847.0,638.53
2018-02-16,1408.65,1410.9,1360.1,1370.0,1368.95,30108.0,416.26
2018-02-15,1401.95,1424.85,1391.9,1404.0,1399.45,30402.0,426.88
2018-02-14,1400.0,1412.3,1391.7,1401.95,1400.65,63300.0,886.57
2018-02-12,1325.3,1380.0,1325.3,1379.0,1375.0,22096.0,298.9
2018-02-09,1320.0,1360.0,1310.85,1354.0,1351.1,24704.0,327.29
2018-02-08,1319.05,1344.95,1319.05,1335.15,1335.2,138780.0,1846.35
2018-02-07,1306.0,1340.8,1306.0,1327.35,1329.0,54640.0,723.56
2018-02-06,1320.0,1320.5,1276.0,1300.0,1304.7,67798.0,879.55
2018-02-05,1300.25,1360.1,1280.0,1335.0,1330.6,35610.0,464.19
2018-02-02,1360.1,1372.95,1314.85,1340.0,1328.05,68656.0,924.94
2018-02-01,1360.0,1373.85,1350.0,1360.0,1361.75,39444.0,536.34
2018-01-31,1360.0,1374.9,1346.0,1359.0,1361.15,79059.0,1072.99
2018-01-30,1394.9,1394.9,1362.65,1370.0,1370.05,91475.0,1257.09
2018-01-29,1415.0,1419.8,1361.0,1385.0,1385.5,177310.0,2481.11
2018-01-25,1378.05,1412.0,1375.05,1409.0,1406.4,208558.0,2918.03
2018-01-24,1394.95,1395.0,1367.55,1390.0,1380.1,180824.0,2485.51
2018-01-23,1409.0,1409.0,1378.05,1387.0,1387.35,50108.0,693.29
2018-01-22,1395.0,1399.0,1375.0,1390.0,1382.75,64027.0,884.74
2018-01-19,1376.0,1394.95,1375.0,1390.0,1390.95,30552.0,421.98
2018-01-18,1394.45,1395.0,1375.0,1394.0,1389.25,76432.0,1061.59
2018-01-17,1386.0,1390.9,1367.0,1380.0,1375.1,61055.0,839.08
2018-01-16,1399.65,1402.0,1366.2,1373.1,1391.1,103014.0,1417.59
2018-01-15,1390.0,1404.0,1381.35,1397.0,1399.65,39502.0,552.2
2018-01-12,1406.0,1418.05,1376.3,1388.9,1388.15,37753.0,526.14
2018-01-11,1389.6,1430.0,1379.0,1402.1,1397.15,44009.0,617.52
2018-01-10,1394.0,1410.9,1375.4,1380.0,1380.6,56552.0,787.24
2018-01-09,1396.4,1418.8,1370.0,1391.5,1388.0,99139.0,1382.16
2018-01-08,1330.0,1389.8,1330.0,1381.0,1349.45,441007.0,5928.95
2018-01-05,1337.0,1340.0,1322.25,1330.0,1328.35,195830.0,2597.43
2018-01-04,1340.0,1344.9,1319.0,1330.0,1330.0,195689.0,2590.12
2018-01-03,1325.05,1336.95,1325.0,1329.0,1330.7,111613.0,1483.05
2018-01-02,1342.25,1363.45,1319.0,1324.0,1321.4,37792.0,505.26
2018-01-01,1328.0,1348.95,1327.05,1340.0,1342.25,20858.0,278.35
2017-12-29,1341.0,1354.0,1323.95,1330.0,1332.35,86880.0,1164.0
2017-12-28,1348.0,1355.05,1324.1,1335.0,1332.7,26580.0,357.82
2017-12-27,1332.0,1352.9,1331.95,1348.05,1348.05,47174.0,636.04
2017-12-26,1335.1,1350.0,1321.25,1332.0,1332.45,33223.0,446.43
2017-12-22,1336.0,1345.95,1331.0,1340.05,1336.6,26796.0,358.33
2017-12-21,1353.9,1353.9,1334.5,1336.55,1336.45,46006.0,617.57
2017-12-20,1345.0,1365.0,1344.0,1345.0,1345.4,91043.0,1230.28
2017-12-19,1332.6,1350.5,1332.0,1350.0,1345.6,57177.0,770.39
2017-12-18,1334.0,1350.0,1322.1,1334.0,1333.6,22314.0,297.78
2017-12-15,1333.0,1349.9,1326.0,1332.45,1333.8,15742.0,210.95
2017-12-14,1330.05,1348.9,1320.3,1330.0,1332.95,26762.0,356.7
2017-12-13,1359.75,1371.1,1315.0,1331.0,1329.05,24177.0,324.74
2017-12-12,1369.0,1378.7,1349.0,1359.0,1355.75,18383.0,249.53
2017-12-11,1387.9,1389.95,1353.75,1361.0,1360.1,21728.0,298.5
2017-12-08,1360.0,1385.0,1352.0,1373.0,1376.75,139043.0,1889.08
2017-12-07,1363.05,1375.0,1336.1,1336.6,1341.3,60055.0,810.11
2017-12-06,1371.0,1372.25,1354.05,1360.0,1368.15,7375.0,100.41
2017-12-05,1377.95,1377.95,1282.6,1362.15,1365.5,97734.0,1322.7
2017-12-04,1370.0,1375.0,1354.05,1361.9,1357.2,10015.0,136.79
2017-12-01,1367.15,1389.8,1361.1,1365.0,1373.5,21825.0,300.15
2017-11-30,1373.25,1385.0,1355.0,1379.8,1376.1,29343.0,400.9
2017-11-29,1368.0,1383.65,1359.0,1374.0,1373.25,32197.0,442.66
2017-11-28,1370.0,1370.8,1353.75,1359.0,1361.4,19514.0,265.82
2017-11-27,1374.0,1390.0,1359.9,1365.0,1364.9,74396.0,1018.89
2017-11-24,1385.0,1404.9,1351.0,1370.0,1365.35,32491.0,448.92
2017-11-23,1390.95,1405.0,1384.95,1389.0,1389.3,14951.0,207.81
2017-11-22,1399.45,1400.0,1385.0,1389.0,1389.9,14484.0,201.79
2017-11-21,1413.95,1416.0,1396.0,1400.0,1399.55,14605.0,204.33
2017-11-20,1416.95,1416.95,1395.0,1400.0,1399.4,18762.0,262.67
2017-11-17,1411.5,1422.45,1390.0,1400.0,1398.85,17528.0,246.35
2017-11-16,1414.0,1426.0,1394.85,1410.0,1408.3,58930.0,826.91
2017-11-15,1399.7,1429.0,1395.0,1400.0,1400.45,26486.0,372.68
2017-11-14,1455.0,1478.4,1381.2,1388.0,1395.4,190659.0,2750.98
2017-11-13,1460.45,1476.55,1440.0,1448.0,1450.45,13494.0,196.82
2017-11-10,1488.0,1488.0,1449.0,1465.0,1460.45,24842.0,361.2
2017-11-09,1475.05,1610.0,1456.05,1460.0,1459.5,15177.0,225.19
2017-11-08,1510.1,1520.6,1471.3,1480.0,1482.7,19496.0,291.76
2017-11-07,1526.95,1530.0,1503.85,1519.95,1519.55,26735.0,404.56
2017-11-06,1537.0,1537.0,1502.95,1527.0,1516.65,29784.0,450.65
2017-11-03,1525.0,1544.0,1515.1,1531.0,1529.95,25899.0,395.8
2017-11-02,1505.0,1558.0,1495.05,1522.0,1521.2,136172.0,2068.99
2017-11-01,1505.0,1510.0,1481.0,1500.0,1498.85,77717.0,1164.67
2017-10-31,1499.0,1510.05,1495.0,1503.5,1503.75,22687.0,340.34
2017-10-30,1514.5,1524.0,1491.0,1500.0,1503.0,96669.0,1455.69
2017-10-27,1450.05,1520.0,1450.0,1512.0,1506.8,36551.0,543.59
2017-10-26,1408.9,1449.9,1402.6,1448.0,1442.2,38180.0,546.05
2017-10-25,1386.0,1409.95,1385.95,1408.0,1407.7,153101.0,2152.79
2017-10-24,1407.0,1410.0,1365.0,1372.9,1377.6,129146.0,1808.91
2017-10-23,1417.5,1444.0,1386.4,1387.0,1389.65,68341.0,964.94
2017-10-19,1420.55,1436.0,1416.0,1424.5,1425.65,2550.0,36.4
2017-10-18,1422.0,1444.9,1422.0,1439.5,1436.7,37357.0,537.43
2017-10-17,1407.1,1444.85,1407.1,1435.0,1430.2,146787.0,2092.87
2017-10-16,1396.0,1437.5,1396.0,1425.0,1420.95,169158.0,2407.54
2017-10-13,1406.0,1421.95,1395.3,1405.0,1407.3,62442.0,876.71
2017-10-12,1403.0,1431.45,1403.0,1404.95,1405.45,38517.0,544.04
2017-10-11,1408.9,1442.9,1402.0,1418.0,1412.8,45943.0,650.73
2017-10-10,1395.1,1426.85,1395.0,1398.0,1400.25,19075.0,268.21
2017-10-09,1399.8,1413.85,1389.9,1407.85,1404.6,27832.0,389.29
2017-10-06,1385.0,1408.7,1371.3,1398.5,1382.35,38206.0,527.6
2017-10-05,1407.0,1410.0,1371.0,1385.0,1381.1,13168.0,182.02
2017-10-04,1394.8,1413.8,1384.85,1395.0,1397.65,29128.0,405.42
2017-10-03,1371.0,1405.95,1371.0,1405.0,1392.15,39572.0,550.64
2017-09-29,1329.0,1387.95,1327.6,1382.0,1362.8,68517.0,936.15
2017-09-28,1320.0,1346.95,1306.15,1319.0,1320.85,117916.0,1559.94
2017-09-27,1389.0,1394.35,1285.05,1329.95,1311.5,99103.0,1316.93
2017-09-26,1395.0,1418.7,1361.2,1385.0,1380.55,80132.0,1105.83
2017-09-25,1444.0,1444.0,1370.0,1382.15,1382.25,33343.0,461.73
2017-09-22,1480.95,1481.0,1421.6,1434.9,1432.0,32809.0,475.78
2017-09-21,1492.0,1495.0,1462.05,1466.15,1471.8,33312.0,491.44
2017-09-20,1490.3,1497.85,1478.8,1493.0,1486.5,83182.0,1242.05
2017-09-19,1498.9,1498.9,1480.0,1485.0,1488.1,9332.0,138.87
2017-09-18,1499.0,1504.7,1485.0,1489.4,1491.5,22825.0,342.13
2017-09-15,1499.0,1499.0,1485.0,1490.0,1490.95,23808.0,355.4
2017-09-14,1500.0,1503.95,1482.0,1490.0,1489.85,11089.0,165.15
2017-09-13,1498.55,1505.95,1482.0,1488.25,1492.05,15270.0,228.36
2017-09-12,1499.95,1507.0,1490.6,1492.6,1498.55,18561.0,278.28
2017-09-11,1520.0,1535.0,1475.0,1483.0,1480.3,29713.0,442.79
2017-09-08,1516.6,1529.7,1500.0,1508.45,1519.25,13270.0,201.56
2017-09-07,1524.0,1534.9,1506.25,1511.5,1516.6,13220.0,200.64
2017-09-06,1500.15,1525.0,1496.05,1525.0,1523.45,6883.0,104.62
2017-09-05,1514.9,1525.0,1494.6,1525.0,1523.5,12237.0,185.21
2017-09-04,1510.0,1525.0,1480.0,1508.0,1501.65,13146.0,198.1
2017-09-01,1500.0,1520.0,1487.55,1519.0,1510.0,29291.0,441.99
2017-08-31,1539.95,1539.95,1468.95,1482.25,1482.55,33852.0,507.82
2017-08-30,1545.0,1551.2,1514.0,1515.15,1519.3,13168.0,202.4
2017-08-29,1547.0,1547.0,1520.0,1533.0,1535.35,11366.0,174.27
2017-08-28,1479.55,1555.0,1460.05,1554.1,1547.0,25684.0,389.22
2017-08-24,1514.0,1514.0,1433.7,1454.0,1455.0,25968.0,382.19
2017-08-23,1528.95,1545.0,1494.95,1499.95,1498.4,15934.0,241.24
2017-08-22,1557.95,1569.85,1482.7,1489.9,1497.05,37787.0,577.25
2017-08-21,1593.85,1593.9,1537.3,1544.9,1543.75,22521.0,352.25
2017-08-18,1594.0,1594.0,1557.55,1584.0,1575.0,13637.0,214.13
