Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,292.45,295.0,288.55,292.0,291.85,36177.0,105.52
2018-03-12,294.4,295.0,287.2,288.9,288.4,59809.0,172.98
2018-03-09,294.0,296.05,288.0,290.3,290.1,117122.0,341.84
2018-03-08,295.0,299.0,291.6,293.5,293.95,86834.0,256.09
2018-03-07,295.0,297.35,291.5,295.0,294.9,74395.0,219.24
2018-03-06,301.5,301.5,291.0,294.8,294.9,49943.0,148.29
2018-03-05,298.5,301.0,296.05,298.0,297.55,266911.0,797.82
2018-03-01,296.0,299.95,296.0,298.15,299.25,74899.0,223.81
2018-02-28,299.0,299.0,293.0,297.0,296.4,50178.0,148.52
2018-02-27,296.8,299.9,296.8,299.75,299.0,108189.0,323.07
2018-02-26,288.95,296.85,288.65,294.75,294.1,109796.0,322.08
2018-02-23,279.9,289.9,278.55,283.0,287.4,481882.0,1354.6
2018-02-22,277.25,281.8,276.05,277.7,277.6,45780.0,127.11
2018-02-21,284.85,284.85,278.6,279.85,281.05,26870.0,75.85
2018-02-20,290.4,290.4,281.05,282.0,281.8,26193.0,74.42
2018-02-19,284.85,287.0,282.8,287.0,286.25,30927.0,88.13
2018-02-16,284.15,287.6,280.0,282.7,282.65,33532.0,95.05
2018-02-15,290.0,291.9,284.0,284.5,284.7,109608.0,312.73
2018-02-14,295.7,295.75,290.0,291.7,290.9,34301.0,100.05
2018-02-12,297.4,298.0,291.25,292.85,293.6,39170.0,115.55
2018-02-09,295.0,298.8,292.0,294.85,294.65,94365.0,278.38
2018-02-08,300.0,310.0,296.0,298.85,298.65,222406.0,668.79
2018-02-07,297.0,302.0,290.8,300.0,300.15,484500.0,1450.84
2018-02-06,270.0,295.5,266.0,292.0,292.45,235155.0,667.89
2018-02-05,268.0,287.65,265.0,284.5,281.25,278822.0,759.51
2018-02-02,285.0,286.95,268.0,277.0,275.9,232379.0,648.36
2018-02-01,296.95,298.85,282.0,296.7,294.75,62027.0,182.36
2018-01-31,289.4,297.7,287.0,293.15,294.85,118233.0,346.41
2018-01-30,292.25,298.0,286.0,298.0,290.4,49980.0,144.66
2018-01-29,293.0,295.35,290.1,292.0,291.85,38459.0,112.58
2018-01-25,298.15,299.0,290.0,292.9,292.15,53364.0,156.51
2018-01-24,299.65,302.0,294.45,299.35,299.4,86784.0,258.97
2018-01-23,298.0,301.9,295.5,297.75,297.45,112525.0,336.07
2018-01-22,294.25,298.9,292.25,296.55,295.7,69175.0,204.68
2018-01-19,290.05,299.0,289.65,293.05,293.6,158747.0,465.46
2018-01-18,295.95,299.35,283.95,288.0,286.7,248873.0,726.4
2018-01-17,299.75,299.75,291.05,293.9,293.95,125096.0,367.0
2018-01-16,303.85,303.85,296.1,297.9,298.2,112310.0,336.55
2018-01-15,305.0,305.9,301.95,302.2,302.4,95915.0,290.85
2018-01-12,302.65,307.75,300.0,302.5,301.2,211720.0,641.2
2018-01-11,308.65,308.75,300.5,301.1,301.5,376653.0,1140.99
2018-01-10,309.1,315.0,300.5,306.0,303.1,430584.0,1314.74
2018-01-09,304.3,308.0,300.1,305.55,305.35,454646.0,1374.97
2018-01-08,310.0,311.05,300.55,301.95,301.3,252993.0,770.45
2018-01-05,300.9,308.9,299.4,301.55,302.0,265331.0,803.79
2018-01-04,299.0,309.7,298.0,299.8,299.25,140660.0,427.44
2018-01-03,300.1,300.85,295.05,299.35,298.45,42044.0,125.61
2018-01-02,302.7,302.7,298.6,299.95,299.65,32726.0,98.2
2018-01-01,305.0,305.0,299.25,300.0,299.9,33944.0,102.07
2017-12-29,300.0,301.5,299.0,300.0,299.5,25461.0,76.38
2017-12-28,301.7,301.85,298.25,299.95,298.9,69324.0,207.75
2017-12-27,304.9,304.9,298.75,299.75,299.4,46866.0,141.02
2017-12-26,302.8,304.6,298.4,302.35,302.5,31426.0,94.88
2017-12-22,303.9,308.75,299.75,300.75,302.15,58464.0,177.35
2017-12-21,302.85,303.0,299.55,300.5,301.55,65948.0,198.38
2017-12-20,300.95,302.95,298.55,299.7,299.65,48351.0,145.33
2017-12-19,303.95,305.35,297.0,298.45,298.7,106600.0,320.14
2017-12-18,310.4,310.4,299.1,300.85,301.25,79395.0,241.42
2017-12-15,312.9,312.9,307.0,307.0,307.8,34869.0,107.62
2017-12-14,309.6,313.45,304.05,308.25,308.6,34080.0,104.8
2017-12-13,316.0,317.5,307.8,309.1,309.35,42038.0,131.11
2017-12-12,313.8,313.8,308.1,312.0,311.05,23932.0,74.45
2017-12-11,310.55,318.45,309.0,310.05,311.35,76903.0,240.53
2017-12-08,313.6,314.1,310.0,311.05,311.6,26870.0,83.71
2017-12-07,311.05,315.0,308.1,310.3,311.45,33212.0,103.55
2017-12-06,313.95,316.3,310.7,312.9,311.95,39333.0,123.28
2017-12-05,318.3,318.3,310.0,313.45,313.25,23661.0,74.09
2017-12-04,310.75,317.05,310.0,314.3,314.4,27714.0,87.02
2017-12-01,318.0,329.0,311.2,312.5,312.5,140234.0,451.4
2017-11-30,318.0,321.4,313.0,314.2,315.6,121413.0,386.22
2017-11-29,320.0,321.5,313.85,316.15,317.95,64782.0,206.47
2017-11-28,316.35,330.7,311.0,316.0,317.45,206273.0,662.34
2017-11-27,310.45,314.5,307.25,314.5,312.4,40794.0,126.77
2017-11-24,305.55,308.9,304.0,306.85,306.4,26111.0,79.99
2017-11-23,306.8,310.0,300.55,302.95,303.0,57576.0,175.57
2017-11-22,315.55,317.75,301.6,303.0,304.0,77883.0,238.65
2017-11-21,319.3,322.0,311.5,315.0,314.1,73707.0,234.26
2017-11-20,308.9,317.7,308.05,316.0,315.8,35781.0,112.67
2017-11-17,312.0,312.0,300.1,307.0,306.2,29914.0,91.47
2017-11-16,311.6,311.6,303.35,305.15,306.05,25978.0,79.64
2017-11-15,314.9,314.9,306.05,307.1,308.1,16027.0,49.46
2017-11-14,314.9,314.9,308.75,310.0,310.5,28620.0,89.03
2017-11-13,317.9,319.0,310.7,311.6,312.9,37824.0,119.19
2017-11-10,325.0,325.0,313.6,314.5,314.95,86181.0,274.72
2017-11-09,319.45,321.0,315.0,318.1,317.95,21657.0,68.85
2017-11-08,315.0,323.55,312.0,318.9,316.25,171976.0,550.66
2017-11-07,326.85,326.85,310.0,310.6,311.4,594633.0,1873.39
2017-11-06,339.0,339.7,321.15,324.9,324.4,131713.0,431.2
2017-11-03,347.5,355.0,330.0,333.4,333.25,319827.0,1087.87
2017-11-02,321.85,355.05,318.05,329.4,338.8,448140.0,1501.97
2017-11-01,324.5,324.5,316.0,321.2,320.6,54404.0,174.42
2017-10-31,321.85,324.85,293.15,320.0,320.85,92448.0,293.21
2017-10-30,313.8,322.9,313.0,322.0,321.65,37406.0,119.96
2017-10-27,315.0,318.9,314.0,318.4,316.2,23201.0,73.44
2017-10-26,315.5,319.35,308.25,315.25,317.05,47871.0,150.97
2017-10-25,324.95,324.95,314.0,318.85,318.15,22548.0,71.78
2017-10-24,315.0,321.0,314.75,320.05,319.6,35141.0,112.19
2017-10-23,310.0,317.9,310.0,317.5,315.1,166222.0,523.51
2017-10-19,317.95,317.95,309.4,309.9,310.45,7994.0,24.89
2017-10-18,314.0,320.0,308.0,312.0,314.35,24737.0,77.2
2017-10-17,317.8,317.8,309.0,314.0,312.8,21071.0,65.9
2017-10-16,318.0,324.5,311.95,315.2,317.8,40519.0,128.75
2017-10-13,315.0,317.6,310.1,315.0,316.55,15790.0,49.6
2017-10-12,312.6,317.75,309.5,311.5,313.95,40100.0,125.54
2017-10-11,312.5,317.3,310.05,313.0,312.2,37473.0,117.26
2017-10-10,309.05,313.7,308.0,312.5,311.2,33750.0,104.89
2017-10-09,305.05,310.0,304.0,307.1,308.1,34234.0,105.21
2017-10-06,306.65,309.0,306.65,308.9,308.05,17687.0,54.4
2017-10-05,309.0,311.95,306.0,307.5,307.5,33156.0,102.02
2017-10-04,312.4,312.4,305.9,309.3,310.45,113293.0,349.13
2017-10-03,300.65,310.45,300.65,308.8,308.0,114024.0,351.17
2017-09-29,307.95,311.6,301.95,308.45,308.05,44576.0,136.87
2017-09-28,298.0,302.7,298.0,301.1,302.05,21743.0,65.45
2017-09-27,305.0,305.0,299.05,301.35,300.75,22566.0,68.11
2017-09-26,293.35,300.8,293.35,299.95,299.1,40297.0,120.54
2017-09-25,304.05,308.95,293.0,296.4,295.85,66833.0,198.05
2017-09-22,306.15,311.65,301.4,306.0,305.95,222499.0,681.66
2017-09-21,308.7,311.85,305.05,307.25,308.45,23096.0,71.23
2017-09-20,314.95,315.0,306.6,308.0,308.1,40194.0,124.4
2017-09-19,304.7,321.4,304.7,310.7,311.95,515697.0,1607.87
2017-09-18,316.95,318.8,300.1,303.0,304.65,147053.0,456.24
2017-09-15,306.0,314.0,302.4,313.15,311.55,122593.0,376.19
2017-09-14,303.1,309.8,303.1,308.0,307.15,22340.0,68.74
2017-09-13,312.6,313.95,304.05,309.0,308.55,55568.0,171.82
2017-09-12,302.95,316.0,300.5,310.0,310.15,149543.0,460.36
2017-09-11,305.35,306.8,296.0,299.0,300.35,152433.0,457.08
2017-09-08,295.25,322.95,295.25,303.0,302.4,838609.0,2579.16
2017-09-07,286.55,287.3,282.45,284.0,284.4,19814.0,56.35
2017-09-06,283.95,288.35,281.4,286.95,286.8,49340.0,139.83
2017-09-05,286.85,286.85,280.05,283.0,283.05,24847.0,70.36
2017-09-04,289.45,289.45,280.05,282.5,282.9,21999.0,62.18
2017-09-01,290.0,292.65,285.05,285.5,286.5,17277.0,49.96
2017-08-31,278.55,291.85,277.15,291.0,287.6,51488.0,145.62
2017-08-30,279.15,280.3,278.35,279.65,279.2,11333.0,31.69
2017-08-29,274.05,280.95,271.15,277.9,277.65,52364.0,144.91
2017-08-28,275.75,279.4,274.0,275.0,274.8,36358.0,100.17
2017-08-24,276.4,278.0,275.0,276.4,275.8,26447.0,73.21
2017-08-23,276.0,279.9,275.55,276.25,276.15,13084.0,36.2
2017-08-22,280.75,280.75,275.1,276.0,276.0,17707.0,49.1
2017-08-21,279.9,280.0,274.8,277.85,277.55,13185.0,36.7
2017-08-18,280.05,280.6,273.6,276.4,276.7,39668.0,109.81
2017-08-17,282.0,286.8,279.0,280.9,280.1,68978.0,195.34
2017-08-16,281.0,283.25,277.85,279.0,279.3,147611.0,411.14
2017-08-14,283.3,283.3,270.95,280.0,277.7,35925.0,99.34
2017-08-11,270.05,281.1,254.15,277.0,279.5,74273.0,199.03
2017-08-10,284.0,284.0,266.65,273.0,272.15,43188.0,120.21
2017-08-09,281.25,286.0,279.55,285.6,284.85,46245.0,130.43
2017-08-08,285.95,287.0,279.8,286.9,285.75,115099.0,325.15
2017-08-07,280.05,287.0,279.7,282.0,280.8,43020.0,121.47
2017-08-04,285.1,287.65,278.45,279.05,280.15,49617.0,139.4
2017-08-03,288.75,290.0,283.05,287.4,286.25,31139.0,89.41
2017-08-02,288.0,293.75,284.4,288.0,288.2,85304.0,246.34
2017-08-01,282.5,285.95,280.0,284.3,283.5,25528.0,72.33
2017-07-31,286.0,288.0,282.1,284.0,283.55,23829.0,67.81
2017-07-28,285.05,286.75,281.1,284.2,284.05,29765.0,84.53
2017-07-27,285.3,290.6,283.55,284.95,285.6,31216.0,89.66
2017-07-26,286.85,290.85,285.0,287.55,288.25,42726.0,123.45
2017-07-25,285.1,286.95,282.7,285.0,284.95,59882.0,170.39
2017-07-24,293.9,294.0,281.3,285.5,285.1,140443.0,400.47
2017-07-21,286.95,292.9,283.1,292.8,290.95,107908.0,310.23
2017-07-20,285.05,288.0,283.2,285.0,284.85,59670.0,170.0
2017-07-19,280.0,289.2,275.75,285.5,285.15,104039.0,294.77
2017-07-18,279.05,279.05,275.05,278.55,277.2,42662.0,118.09
2017-07-17,275.5,281.35,273.95,281.0,280.75,121176.0,337.45
2017-07-14,278.95,278.95,272.75,275.45,275.3,71802.0,197.79
2017-07-13,282.8,283.0,271.55,272.3,272.75,105420.0,290.63
2017-07-12,277.0,282.8,270.0,280.85,279.05,383574.0,1065.93
2017-07-11,295.0,298.7,288.0,290.0,290.5,80529.0,235.02
2017-07-10,296.5,303.0,292.5,293.0,293.45,27895.0,82.23
2017-07-07,304.1,304.8,294.0,298.0,298.35,47902.0,142.74
2017-07-06,308.05,313.0,300.25,301.0,301.85,39896.0,121.86
2017-07-05,300.95,308.7,297.7,307.0,306.4,41927.0,127.77
2017-07-04,302.75,302.75,295.05,296.05,297.0,34342.0,102.38
2017-07-03,294.7,306.0,292.0,303.95,302.2,90123.0,271.32
2017-06-30,284.8,299.0,282.65,296.05,292.95,48842.0,141.69
2017-06-29,288.05,289.95,284.0,286.05,286.15,14910.0,42.64
2017-06-28,285.0,293.9,281.15,287.0,287.65,56081.0,161.27
2017-06-27,283.0,286.0,278.0,283.95,282.55,34756.0,97.68
