Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,321.2,328.0,321.0,328.0,326.45,166412.0,540.5
2018-03-12,328.85,330.25,318.95,323.75,322.7,130748.0,423.08
2018-03-09,325.5,330.0,321.15,326.75,325.9,117509.0,383.59
2018-03-08,319.5,327.9,313.55,322.05,323.45,94493.0,303.34
2018-03-07,325.0,325.0,316.0,323.5,322.3,154430.0,494.11
2018-03-06,332.45,334.0,318.5,323.0,326.85,192189.0,631.87
2018-03-05,331.85,333.8,320.0,328.5,329.3,93399.0,305.7
2018-03-01,329.0,336.0,326.1,330.35,331.85,90987.0,301.51
2018-02-28,327.1,334.45,323.8,330.0,329.4,244373.0,805.87
2018-02-27,329.45,338.4,326.6,328.5,332.1,484118.0,1614.46
2018-02-26,316.1,328.0,310.5,324.0,325.75,730614.0,2317.37
2018-02-23,315.0,322.75,312.25,315.4,315.15,286879.0,902.44
2018-02-22,313.5,317.9,310.1,316.5,313.8,73704.0,231.26
2018-02-21,317.45,317.45,308.85,314.65,314.0,82280.0,257.48
2018-02-20,319.0,320.0,312.25,313.0,313.55,88451.0,279.26
2018-02-19,324.9,325.25,315.0,317.0,318.2,195705.0,622.6
2018-02-16,326.95,329.0,316.55,319.05,319.75,155992.0,502.86
2018-02-15,328.5,332.5,323.1,325.0,326.1,142024.0,464.58
2018-02-14,333.0,334.0,325.75,327.0,328.95,243885.0,806.9
2018-02-12,326.7,331.5,324.9,328.0,328.25,141285.0,463.2
2018-02-09,323.0,329.0,318.0,322.0,324.2,235328.0,759.7
2018-02-08,337.75,338.9,326.05,326.9,326.6,284140.0,938.17
2018-02-07,307.5,339.7,305.1,338.0,335.75,1669411.0,5500.89
2018-02-06,292.0,301.75,284.6,300.0,296.65,306417.0,905.35
2018-02-05,291.0,307.0,291.0,304.5,303.1,375688.0,1120.76
2018-02-02,321.9,325.95,305.0,310.5,309.65,242880.0,758.99
2018-02-01,325.0,329.5,314.0,322.0,322.9,182330.0,587.4
2018-01-31,327.7,329.0,313.4,320.7,321.15,191530.0,614.42
2018-01-30,315.5,334.6,312.05,323.6,324.45,268654.0,868.77
2018-01-29,340.0,340.0,320.0,322.0,321.15,309282.0,1005.98
2018-01-25,340.0,340.95,335.6,339.0,339.0,92607.0,313.58
2018-01-24,333.6,338.9,331.9,338.0,337.5,101535.0,340.81
2018-01-23,340.5,342.85,331.0,333.7,332.6,182117.0,611.34
2018-01-22,350.9,350.9,335.55,339.0,339.2,201960.0,690.21
2018-01-19,344.1,350.0,332.55,348.85,346.6,161975.0,553.89
2018-01-18,359.9,359.9,337.1,340.5,341.25,201175.0,695.03
2018-01-17,345.05,356.0,338.4,355.0,352.15,196527.0,680.09
2018-01-16,360.0,360.0,346.5,346.5,348.55,187073.0,657.85
2018-01-15,357.7,362.95,355.05,359.9,358.35,183043.0,657.36
2018-01-12,357.8,359.9,352.0,352.6,355.05,317419.0,1132.21
2018-01-11,355.9,363.0,353.0,355.0,354.6,351581.0,1257.53
2018-01-10,350.0,356.0,348.4,354.8,352.55,434222.0,1529.59
2018-01-09,351.3,354.9,347.0,347.45,348.25,220684.0,775.06
2018-01-08,347.9,349.95,344.0,346.6,348.55,272649.0,949.71
2018-01-05,349.95,351.35,342.45,344.95,344.3,184844.0,640.84
2018-01-04,348.65,350.0,344.5,348.0,349.2,261931.0,913.13
