Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,3230.0,3230.0,3175.0,3206.0,3204.5,6080.0,194.87
2018-03-12,3215.0,3215.0,3124.9,3190.0,3183.65,13195.0,418.34
2018-03-09,3200.0,3239.9,3130.0,3154.0,3145.45,17024.0,539.7
2018-03-08,3210.0,3263.05,3195.0,3195.0,3199.45,16096.0,515.61
2018-03-07,3275.0,3301.0,3195.0,3212.0,3200.6,42097.0,1373.87
2018-03-06,3330.0,3380.0,3259.1,3260.0,3291.65,8209.0,273.94
2018-03-05,3410.0,3410.0,3270.0,3300.0,3298.95,6089.0,201.95
2018-03-01,3425.0,3440.0,3356.5,3380.0,3374.45,7186.0,243.39
2018-02-28,3334.9,3400.0,3276.85,3390.0,3359.5,20008.0,671.64
2018-02-27,3192.0,3344.0,3192.0,3340.0,3320.9,5738.0,188.55
2018-02-26,3216.05,3294.0,3170.0,3208.05,3193.8,7114.0,228.76
2018-02-23,3203.0,3333.95,3190.5,3227.0,3235.6,3443.0,112.29
2018-02-22,3272.05,3272.05,3210.0,3212.0,3225.1,1695.0,54.87
2018-02-21,3326.0,3347.0,3255.0,3270.0,3272.05,2360.0,77.81
2018-02-20,3359.95,3420.0,3335.0,3349.0,3349.95,12580.0,421.64
2018-02-19,3391.0,3412.75,3330.0,3400.0,3398.45,3009.0,101.72
2018-02-16,3421.0,3536.95,3351.0,3399.75,3387.25,10535.0,359.94
2018-02-15,3364.15,3525.0,3362.0,3451.3,3472.05,7974.0,276.48
2018-02-14,3404.4,3439.9,3350.0,3351.5,3362.55,12377.0,418.08
2018-02-12,3473.0,3473.0,3330.05,3400.05,3403.35,21799.0,741.81
2018-02-09,3300.0,3455.0,3232.05,3399.15,3380.5,21923.0,730.59
2018-02-08,3299.0,3395.0,3279.6,3315.0,3333.25,3222.0,107.64
2018-02-07,3156.0,3360.95,3140.0,3265.0,3262.35,6600.0,211.71
2018-02-06,3120.0,3192.15,3100.0,3156.0,3151.1,8980.0,282.29
2018-02-05,3211.75,3250.0,3180.0,3225.0,3224.7,13629.0,438.59
2018-02-02,3370.1,3371.95,3251.9,3347.0,3341.2,46601.0,1558.61
2018-02-01,3451.2,3526.0,3395.0,3407.0,3436.75,11853.0,409.68
