Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,158.4,162.9,157.9,160.8,161.1,501901.0,808.78
2018-03-12,154.05,159.2,152.8,158.55,158.7,547809.0,855.71
2018-03-09,152.7,154.9,150.65,152.65,153.15,694389.0,1056.18
2018-03-08,153.0,155.8,151.3,152.6,152.25,608691.0,930.67
2018-03-07,156.35,156.45,151.0,152.5,152.55,474626.0,725.84
2018-03-06,166.75,167.45,154.1,156.3,155.55,772772.0,1236.33
2018-03-05,163.7,167.05,161.15,163.5,163.6,1013626.0,1668.36
2018-03-01,168.1,168.85,162.5,163.5,163.7,955898.0,1576.78
2018-02-28,162.3,170.0,158.3,169.25,168.75,1288662.0,2138.7
2018-02-27,172.1,172.5,162.25,164.2,163.9,1580708.0,2623.53
2018-02-26,157.0,173.2,155.5,171.5,170.3,2870357.0,4772.49
2018-02-23,154.9,158.2,154.0,157.5,157.5,265133.0,415.06
2018-02-22,156.2,157.25,152.75,154.6,154.05,889345.0,1372.7
2018-02-21,158.9,160.5,155.0,157.2,157.9,541556.0,857.35
2018-02-20,154.0,158.3,151.65,157.7,157.2,400144.0,624.18
2018-02-19,155.5,155.5,149.7,153.5,154.3,573716.0,869.36
2018-02-16,159.0,159.0,155.25,155.6,156.15,267496.0,418.82
2018-02-15,158.0,159.2,155.55,158.1,158.3,349661.0,548.85
2018-02-14,157.9,158.75,154.85,158.0,157.05,314556.0,494.02
2018-02-12,155.6,157.0,153.55,155.7,155.2,345235.0,534.87
2018-02-09,150.0,156.8,149.05,154.4,155.05,502479.0,775.22
2018-02-08,155.0,162.0,152.35,157.5,156.6,936588.0,1478.06
2018-02-07,145.0,161.7,144.4,157.0,157.95,2094286.0,3225.36
2018-02-06,135.0,143.05,126.0,141.95,141.5,2454358.0,3360.69
2018-02-05,140.0,143.3,135.7,142.0,142.25,376295.0,525.18
2018-02-02,153.0,153.0,132.1,146.0,144.45,1703881.0,2432.15
2018-02-01,162.35,164.7,152.7,155.4,154.25,2092165.0,3331.47
2018-01-31,156.15,162.0,153.6,161.65,160.35,739353.0,1166.98
2018-01-30,156.5,157.0,153.5,156.15,155.95,331922.0,515.21
2018-01-29,155.05,157.8,154.15,155.7,156.1,470242.0,732.44
2018-01-25,156.15,157.5,152.5,156.5,154.1,523816.0,810.42
2018-01-24,159.7,159.9,155.0,155.75,155.45,290024.0,454.24
2018-01-23,156.75,161.9,155.8,160.0,158.7,1368877.0,2171.44
2018-01-22,155.0,159.4,154.25,155.5,155.65,629935.0,988.42
2018-01-19,158.2,159.5,153.9,154.45,154.4,284811.0,443.56
2018-01-18,156.35,158.95,152.0,158.2,157.4,910559.0,1418.89
2018-01-17,152.0,155.9,150.0,155.15,155.55,399065.0,614.98
2018-01-16,157.35,157.8,151.0,152.55,152.6,555785.0,850.67
2018-01-15,156.0,159.65,153.85,156.35,156.6,818701.0,1277.38
2018-01-12,155.15,157.25,153.2,153.6,154.0,456328.0,705.3
2018-01-11,154.95,157.5,153.05,154.05,154.5,2141254.0,3321.25
2018-01-10,154.95,155.0,152.0,154.35,154.45,304317.0,468.15
2018-01-09,157.0,157.45,153.2,154.5,154.3,388860.0,601.81
2018-01-08,159.0,160.2,156.0,156.9,156.75,404128.0,637.38
2018-01-05,160.5,160.5,158.0,159.5,159.15,374070.0,595.2
2018-01-04,163.4,163.7,160.0,160.8,160.65,761529.0,1225.97
2018-01-03,160.0,164.5,159.0,160.3,160.2,1537454.0,2478.0
2018-01-02,158.85,161.7,155.0,158.5,157.65,932417.0,1474.26
2018-01-01,153.95,160.8,152.15,157.85,157.05,1529319.0,2409.13
2017-12-29,153.45,156.0,151.2,153.7,152.45,832175.0,1281.9
2017-12-28,147.35,156.4,145.55,151.6,151.0,1782885.0,2704.38
2017-12-27,148.35,150.5,145.4,145.95,146.35,337285.0,500.36
2017-12-26,145.3,153.5,145.3,148.0,148.2,530980.0,795.09
2017-12-22,147.25,148.95,145.5,146.5,146.5,258648.0,380.08
2017-12-21,146.1,149.5,146.1,147.55,147.85,265270.0,392.38
2017-12-20,148.0,149.5,146.3,147.0,146.95,315055.0,465.79
2017-12-19,150.45,152.0,147.25,148.05,148.5,627299.0,941.75
2017-12-18,144.2,150.0,141.0,148.3,148.7,429753.0,633.51
