Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,348.9,371.4,345.6,369.45,367.75,1074778.0,3871.75
2018-03-12,346.0,349.0,338.8,348.65,347.05,247590.0,852.38
2018-03-09,349.0,349.0,340.0,341.15,341.85,277350.0,957.41
2018-03-08,344.0,349.9,335.95,345.0,344.35,426041.0,1459.21
2018-03-07,353.8,356.5,340.55,342.0,343.2,491155.0,1697.25
2018-03-06,357.15,364.8,351.2,352.3,353.9,569688.0,2045.35
2018-03-05,360.95,360.95,351.95,356.15,356.1,342395.0,1217.65
2018-03-01,365.2,366.95,358.0,359.0,360.05,280517.0,1017.08
2018-02-28,367.85,367.85,355.1,364.5,364.7,462309.0,1675.2
2018-02-27,382.6,382.6,367.65,368.15,369.5,980499.0,3660.68
2018-02-26,357.9,378.0,356.75,375.0,373.9,680858.0,2512.94
2018-02-23,351.2,359.9,351.1,356.9,355.35,789900.0,2802.33
2018-02-22,356.0,356.0,349.05,350.5,351.05,408682.0,1439.61
2018-02-21,365.1,367.0,356.0,360.75,358.15,295979.0,1067.87
2018-02-20,361.9,366.7,355.05,364.55,364.5,977653.0,3516.93
2018-02-19,368.5,368.65,354.6,360.0,360.3,783964.0,2826.56
2018-02-16,379.2,380.0,366.95,367.65,368.3,401716.0,1492.42
2018-02-15,385.9,387.85,376.0,376.65,378.15,354233.0,1345.15
2018-02-14,381.65,385.95,379.1,381.0,381.0,442604.0,1693.82
2018-02-12,382.0,383.65,376.0,376.0,378.85,553226.0,2101.95
2018-02-09,369.0,378.7,359.4,376.35,376.4,1245868.0,4642.11
2018-02-08,374.0,382.0,370.25,372.1,372.9,1000077.0,3780.49
2018-02-07,366.9,375.95,362.8,368.8,369.15,515401.0,1909.9
2018-02-06,362.0,369.3,356.3,362.45,362.65,557952.0,2020.33
2018-02-05,380.0,390.45,369.1,378.45,377.3,414702.0,1574.58
2018-02-02,402.5,403.0,375.3,382.6,382.9,1019670.0,3961.55
2018-02-01,414.0,417.45,404.4,407.0,406.75,304561.0,1250.43
2018-01-31,419.0,423.35,411.35,412.1,413.7,310170.0,1293.58
2018-01-30,414.7,422.3,410.35,416.3,417.2,391790.0,1634.46
2018-01-29,422.9,422.9,411.5,412.6,412.8,331845.0,1379.9
2018-01-25,430.7,432.85,416.65,418.8,419.65,524619.0,2231.47
2018-01-24,430.7,433.95,424.0,429.5,428.75,296076.0,1267.9
2018-01-23,435.0,435.95,427.0,430.75,430.7,725025.0,3120.33
2018-01-22,460.0,460.0,426.7,427.5,427.7,1472935.0,6415.22
2018-01-19,437.4,453.0,436.25,451.0,446.5,454052.0,2012.08
2018-01-18,446.5,460.0,434.2,437.6,437.4,356401.0,1587.94
2018-01-17,452.0,453.1,436.35,447.6,446.65,704018.0,3120.75
2018-01-16,461.0,462.95,447.0,453.0,453.1,393294.0,1783.23
2018-01-15,450.0,464.4,450.0,459.0,460.8,1135880.0,5206.75
2018-01-12,442.5,451.9,438.2,447.3,445.95,997055.0,4447.19
2018-01-11,439.0,446.0,435.1,440.0,440.0,637452.0,2813.72
