Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,514.05,517.5,511.0,511.3,512.55,106817.0,548.76
2018-03-12,519.4,520.55,511.05,513.85,514.9,92969.0,478.67
2018-03-09,525.0,529.5,515.05,515.2,516.2,194759.0,1012.47
2018-03-08,515.8,517.6,506.0,514.0,513.9,98760.0,505.31
2018-03-07,522.0,524.8,510.0,511.7,511.05,120332.0,618.96
2018-03-06,535.0,536.95,523.0,523.0,525.8,117396.0,625.73
2018-03-05,533.0,533.4,526.15,528.1,528.05,106667.0,564.06
2018-03-01,532.0,537.9,530.7,536.2,535.2,59160.0,316.58
2018-02-28,532.5,535.65,527.9,530.0,532.5,96545.0,512.85
2018-02-27,534.3,539.0,530.55,535.2,535.25,142148.0,760.79
2018-02-26,526.0,534.15,526.0,533.8,532.65,74163.0,393.73
2018-02-23,524.0,530.45,522.1,526.0,528.05,338421.0,1783.5
2018-02-22,524.7,527.4,521.0,521.3,523.45,66319.0,347.73
2018-02-21,528.35,528.9,522.1,525.5,526.95,46037.0,241.65
2018-02-20,525.0,532.0,523.65,527.0,526.35,87933.0,463.44
2018-02-19,531.8,531.8,522.65,524.0,524.55,103155.0,541.83
2018-02-16,537.5,540.6,526.95,530.5,530.55,108099.0,574.16
2018-02-15,539.6,544.7,533.2,535.5,536.85,195806.0,1055.67
2018-02-14,531.1,539.5,531.1,535.0,534.75,113967.0,609.63
2018-02-12,532.5,539.5,529.0,537.5,536.4,218614.0,1171.78
2018-02-09,528.0,536.0,521.0,531.0,531.5,149390.0,791.84
2018-02-08,533.8,539.7,529.0,530.0,530.4,183098.0,978.39
2018-02-07,529.8,534.9,525.05,530.9,528.15,191941.0,1015.54
2018-02-06,505.0,527.8,500.0,517.95,518.45,255756.0,1315.41
2018-02-05,514.0,529.45,505.05,526.0,522.45,201516.0,1038.3
2018-02-02,531.5,534.7,511.0,521.0,520.2,269278.0,1410.02
2018-02-01,538.9,542.95,530.85,537.0,535.9,121167.0,651.06
2018-01-31,536.2,546.5,532.0,535.0,537.7,219020.0,1178.2
2018-01-30,541.0,549.0,534.0,535.0,535.3,314228.0,1692.55
2018-01-29,552.0,553.5,538.15,538.7,539.35,199256.0,1079.73
2018-01-25,552.0,554.7,546.0,550.0,549.65,108635.0,598.05
2018-01-24,553.9,554.0,545.1,553.75,551.7,124370.0,682.38
2018-01-23,555.9,558.5,549.5,550.0,550.6,171881.0,952.04
2018-01-22,559.4,561.55,547.15,550.0,551.75,132882.0,735.59
2018-01-19,543.85,561.45,540.45,556.0,559.4,332439.0,1838.18
2018-01-18,552.0,559.8,538.9,539.45,540.9,267713.0,1463.52
2018-01-17,553.4,555.3,540.1,550.0,549.85,140740.0,772.42
2018-01-16,561.0,570.0,548.35,549.75,552.05,430131.0,2403.63
2018-01-15,558.0,560.0,552.0,559.95,556.9,233419.0,1299.51
2018-01-12,562.65,569.8,553.2,555.0,556.15,600636.0,3370.55
2018-01-11,540.0,570.0,538.0,557.05,557.85,1219916.0,6790.71
2018-01-10,536.9,542.9,532.6,533.9,533.95,237548.0,1274.25
2018-01-09,540.05,544.0,532.5,533.5,533.55,353555.0,1895.76
2018-01-08,548.25,549.0,536.1,538.0,539.2,222070.0,1203.32
2018-01-05,547.0,548.4,544.0,544.05,544.55,117128.0,639.15
2018-01-04,546.95,548.95,543.0,545.0,545.0,141406.0,771.15
2018-01-03,546.5,550.4,542.7,544.0,543.3,268930.0,1471.62
2018-01-02,555.0,556.4,543.35,545.0,545.0,112857.0,618.27
2018-01-01,553.0,559.95,551.1,551.9,552.2,123958.0,687.67
2017-12-29,555.0,555.95,548.1,552.95,552.1,145430.0,803.56
2017-12-28,553.0,555.9,549.0,552.1,552.0,146531.0,809.19
2017-12-27,549.0,555.5,548.0,551.4,551.05,125093.0,689.92
2017-12-26,549.1,551.95,546.05,549.0,548.05,106226.0,582.1
2017-12-22,548.8,555.0,546.25,548.0,548.05,153000.0,843.09
2017-12-21,548.0,549.9,545.0,545.5,546.05,67248.0,367.55
2017-12-20,540.0,549.0,539.55,547.35,546.55,170952.0,933.4
2017-12-19,536.0,546.0,536.0,538.65,538.15,194942.0,1052.73
2017-12-18,537.9,540.0,523.55,535.0,532.8,248692.0,1325.55
2017-12-15,542.05,562.0,535.0,537.05,536.85,297400.0,1614.34
2017-12-14,546.0,546.4,540.0,541.15,541.95,135509.0,735.46
2017-12-13,550.0,551.8,543.15,544.4,544.4,91057.0,498.52
2017-12-12,555.9,559.0,546.1,549.0,548.5,147218.0,814.22
2017-12-11,556.0,559.0,552.3,553.55,553.75,190590.0,1057.47
2017-12-08,554.0,560.0,551.7,552.55,553.3,200899.0,1112.61
2017-12-07,554.0,559.0,552.0,553.65,553.25,110896.0,615.69
2017-12-06,554.0,558.0,550.5,552.9,552.1,126382.0,700.57
2017-12-05,559.2,559.2,552.0,555.0,554.0,110050.0,610.69
2017-12-04,562.0,564.0,553.0,558.75,559.2,123917.0,693.41
2017-12-01,569.85,574.0,558.2,559.0,560.25,359864.0,2046.32
2017-11-30,568.5,579.35,566.0,567.45,569.6,607453.0,3467.98
2017-11-29,572.0,573.25,568.15,568.5,569.3,211261.0,1204.91
2017-11-28,570.7,576.15,570.0,570.0,571.4,353174.0,2022.79
2017-11-27,575.0,585.4,568.0,570.0,569.75,336504.0,1935.73
2017-11-24,573.7,599.0,572.05,574.55,575.8,1264634.0,7420.23
2017-11-23,572.0,576.0,566.25,573.85,572.15,174324.0,997.45
2017-11-22,575.7,577.9,568.0,569.9,569.8,173187.0,992.6
