Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,288.25,300.05,288.0,293.0,292.95,534692.0,1574.73
2018-03-12,293.0,298.0,288.2,290.0,289.2,115538.0,338.01
2018-03-09,296.1,301.0,287.3,288.1,288.95,300937.0,886.11
2018-03-08,295.2,304.0,286.05,294.0,294.25,210383.0,626.02
2018-03-07,306.0,306.0,291.0,292.0,292.65,116232.0,344.1
2018-03-06,307.0,313.45,304.0,306.0,305.85,147838.0,456.5
2018-03-05,309.8,310.45,302.0,307.0,306.7,99036.0,302.75
2018-03-01,314.0,315.5,309.05,309.8,310.6,134233.0,419.05
2018-02-28,318.2,322.0,313.0,313.35,314.0,157619.0,498.71
2018-02-27,315.5,325.7,315.5,319.0,320.3,493775.0,1589.79
2018-02-26,330.6,334.0,309.5,316.9,317.3,5448144.0,17618.89
2018-02-23,315.75,330.0,315.75,323.5,323.75,154143.0,496.04
2018-02-22,313.75,316.2,310.0,315.5,314.8,86147.0,270.33
2018-02-21,315.5,315.8,310.15,314.5,313.75,80190.0,250.9
2018-02-20,320.0,321.55,310.5,312.5,312.5,59508.0,187.32
2018-02-19,325.7,325.7,307.5,316.8,318.4,88234.0,279.71
2018-02-16,327.95,330.7,319.1,323.0,323.8,122741.0,399.56
2018-02-15,334.0,335.4,321.85,327.0,324.8,152116.0,500.15
2018-02-14,336.9,340.0,328.25,328.65,331.35,186961.0,628.83
2018-02-12,338.0,343.55,332.9,335.0,335.4,172316.0,580.93
2018-02-09,327.0,339.8,321.35,334.0,335.35,432027.0,1447.32
2018-02-08,311.7,338.0,310.6,332.0,333.55,471417.0,1547.78
2018-02-07,311.6,317.9,306.0,307.25,309.5,152147.0,473.82
2018-02-06,282.0,314.8,282.0,305.0,304.0,322970.0,978.84
2018-02-05,307.8,324.0,300.0,324.0,320.15,260795.0,822.87
2018-02-02,323.0,326.0,295.1,313.25,312.2,297542.0,933.83
2018-02-01,320.0,336.5,316.0,327.0,326.35,516673.0,1697.37
2018-01-31,335.0,336.8,316.95,317.95,318.9,293271.0,953.77
2018-01-30,354.0,354.0,330.35,331.1,332.0,528708.0,1784.39
2018-01-29,344.0,362.0,342.8,346.0,347.05,420321.0,1483.43
2018-01-25,351.9,369.0,342.25,343.65,344.5,638689.0,2279.35
2018-01-24,353.0,358.65,347.05,351.0,350.2,173119.0,609.19
2018-01-23,363.5,364.5,353.05,360.0,358.8,394629.0,1419.97
2018-01-22,341.0,374.9,341.0,360.15,359.55,1260155.0,4591.15
2018-01-19,338.0,356.0,338.0,350.95,349.4,967349.0,3377.54
2018-01-18,349.8,356.0,330.1,338.0,336.35,777660.0,2686.57
2018-01-17,330.0,358.0,327.65,348.7,346.8,944524.0,3275.49
2018-01-16,352.2,352.2,330.0,335.4,335.0,428986.0,1450.32
2018-01-15,346.25,364.2,345.0,349.3,349.6,629511.0,2227.59
2018-01-12,354.7,365.0,342.1,345.5,348.35,704896.0,2489.02
2018-01-11,354.0,372.0,341.75,358.0,358.1,2435963.0,8751.14
2018-01-10,330.0,369.0,321.0,358.5,357.9,4716957.0,16409.49
2018-01-09,272.25,326.0,272.1,326.0,326.0,3684692.0,11485.84
2018-01-08,279.1,279.1,270.1,272.1,271.7,109421.0,299.71
2018-01-05,271.55,275.05,270.75,271.0,271.2,94181.0,256.08
2018-01-04,275.5,275.75,270.55,275.0,274.7,96144.0,263.8
2018-01-03,283.0,283.0,270.35,272.4,273.1,42065.0,115.06
2018-01-02,280.0,280.0,271.55,272.0,272.6,41268.0,113.04
2018-01-01,274.85,282.8,273.1,278.5,279.9,166002.0,464.81
2017-12-29,277.7,280.7,272.55,276.0,274.7,63043.0,174.39
2017-12-28,281.2,283.0,276.05,277.95,277.7,34803.0,96.87
2017-12-27,286.0,286.0,276.9,280.0,279.15,63154.0,177.14
2017-12-26,277.0,285.0,276.55,283.55,283.9,80281.0,225.58
2017-12-22,284.0,285.0,275.05,276.7,276.65,72133.0,201.79
2017-12-21,286.65,290.0,283.0,285.0,283.95,199585.0,571.9
2017-12-20,282.1,292.5,281.0,284.5,284.5,199553.0,571.21
2017-12-19,281.0,284.1,280.0,282.0,282.05,228693.0,644.93
2017-12-18,275.0,283.75,264.0,280.0,279.75,198945.0,552.45
2017-12-15,274.0,279.95,272.0,278.05,278.6,293723.0,813.76
2017-12-14,274.0,275.7,265.2,272.9,272.4,195448.0,528.42
2017-12-13,274.0,279.9,271.1,274.25,274.9,538680.0,1490.15
2017-12-12,277.3,279.95,235.0,274.0,274.65,422860.0,1155.54
2017-12-11,282.8,288.9,278.2,279.0,280.1,548800.0,1555.38
2017-12-08,272.05,284.9,272.05,280.25,280.15,1013578.0,2835.82
2017-12-07,260.95,274.9,260.25,271.75,272.45,458323.0,1236.18
