Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,28.55,31.95,28.25,30.0,29.75,1125542.0,341.43
2018-03-12,29.75,29.85,28.2,28.9,29.0,360099.0,104.1
2018-03-09,30.85,31.05,29.3,30.0,29.6,426146.0,128.19
2018-03-08,30.2,31.05,30.2,30.8,30.75,222832.0,68.15
2018-03-07,31.0,31.5,30.25,30.5,30.35,258648.0,79.26
2018-03-06,31.8,32.5,31.15,31.2,31.3,196537.0,62.35
2018-03-05,32.3,32.85,31.65,31.95,31.85,171335.0,54.88
2018-03-01,33.25,33.4,32.5,32.85,32.7,233673.0,76.79
2018-02-28,31.75,33.85,29.55,33.7,33.55,514614.0,166.39
2018-02-27,32.95,32.95,32.05,32.5,32.45,209147.0,67.68
2018-02-26,33.9,33.9,32.7,32.8,33.05,271782.0,89.84
2018-02-23,32.05,34.0,32.05,34.0,33.35,313968.0,103.42
2018-02-22,32.3,32.95,32.25,32.95,32.7,208335.0,67.94
2018-02-21,32.6,32.9,31.9,32.8,32.6,174507.0,56.51
2018-02-20,31.5,32.8,31.05,32.5,32.4,344573.0,111.2
2018-02-19,33.0,33.0,31.55,32.15,32.0,321531.0,103.41
2018-02-16,34.0,34.35,32.95,33.1,33.05,271192.0,90.64
2018-02-15,34.6,35.8,33.8,33.9,33.9,378294.0,129.32
2018-02-14,35.25,35.4,34.35,34.55,34.5,571286.0,198.9
2018-02-12,36.3,37.5,35.25,35.8,35.8,648458.0,235.97
2018-02-09,35.5,35.75,35.1,35.65,35.6,209796.0,74.37
2018-02-08,35.5,36.8,35.5,36.0,35.85,276695.0,99.82
2018-02-07,34.75,35.65,34.5,35.6,35.35,169990.0,59.71
2018-02-06,34.3,35.1,33.5,34.55,34.5,322582.0,111.37
2018-02-05,35.9,36.65,35.0,35.5,35.6,513707.0,182.67
2018-02-02,38.1,38.1,35.85,36.2,36.3,594576.0,220.15
2018-02-01,38.95,39.05,38.1,38.3,38.4,266833.0,103.15
2018-01-31,38.65,38.95,38.5,38.75,38.65,210433.0,81.47
2018-01-30,39.45,39.45,38.8,38.85,38.9,133697.0,52.18
2018-01-29,39.5,39.9,39.1,39.25,39.35,165338.0,65.22
2018-01-25,40.9,41.2,39.5,39.6,39.75,429310.0,172.54
2018-01-24,39.5,40.4,38.75,39.95,40.05,757556.0,300.5
