Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,251.5,254.5,248.1,250.5,250.1,96593.0,242.64
2018-03-12,254.75,257.4,249.05,250.2,250.6,70624.0,179.22
2018-03-09,257.0,257.5,251.1,252.8,253.05,58297.0,147.94
2018-03-08,253.8,260.0,252.0,257.75,255.3,289337.0,743.73
2018-03-07,249.0,256.0,247.05,256.0,253.8,152117.0,381.62
2018-03-06,251.35,255.0,244.0,249.0,249.75,197956.0,496.54
2018-03-05,239.0,253.7,239.0,249.3,249.85,459703.0,1150.31
2018-03-01,237.05,247.4,237.05,242.55,241.05,136485.0,333.0
2018-02-28,236.5,241.75,236.1,240.35,238.75,60888.0,145.74
2018-02-27,242.05,242.6,238.0,239.1,238.95,39553.0,94.72
2018-02-26,241.2,245.0,240.15,241.0,241.8,112260.0,272.34
2018-02-23,237.0,240.4,236.3,240.0,239.75,94303.0,224.93
2018-02-22,233.0,239.95,230.55,235.1,234.95,177196.0,417.97
2018-02-21,239.95,242.0,233.55,235.0,234.6,121178.0,287.35
2018-02-20,237.5,239.7,235.0,236.25,236.7,71322.0,169.73
2018-02-19,244.0,244.15,234.8,235.65,236.25,116222.0,277.09
2018-02-16,253.0,254.5,241.1,246.0,244.05,132085.0,326.09
2018-02-15,268.0,270.05,246.55,250.5,250.45,551601.0,1429.05
2018-02-14,259.0,261.75,250.6,251.45,252.05,79959.0,205.46
2018-02-12,254.0,258.85,252.8,258.85,257.4,77732.0,198.8
2018-02-09,250.0,252.7,243.0,250.25,250.65,44180.0,110.37
2018-02-08,248.0,257.85,244.5,257.8,255.35,167642.0,422.51
2018-02-07,233.35,250.0,232.3,248.2,247.4,128913.0,311.23
2018-02-06,228.15,232.75,213.9,231.5,230.75,146136.0,329.3
2018-02-05,232.1,239.9,228.0,237.1,236.35,110139.0,257.94
2018-02-02,242.1,242.1,230.5,240.5,235.3,517244.0,1219.36
2018-02-01,250.2,253.9,239.3,244.0,243.6,88998.0,218.54
2018-01-31,251.75,262.95,247.25,249.2,249.75,168758.0,429.37
2018-01-30,258.05,261.0,253.0,254.0,254.85,1434448.0,3679.29
2018-01-29,260.0,262.7,258.35,259.0,261.0,743180.0,1940.26
