Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,629.8,632.0,621.0,626.05,628.2,41469.0,259.79
2018-03-12,625.35,636.0,620.0,627.0,626.8,122254.0,768.9
2018-03-09,617.25,625.0,617.05,622.3,622.2,55377.0,344.07
2018-03-08,626.3,631.25,619.0,620.0,620.4,107415.0,667.16
2018-03-07,624.7,634.4,622.5,626.7,625.0,108341.0,680.89
2018-03-06,635.2,643.7,619.0,621.0,622.3,105034.0,660.77
2018-03-05,635.0,636.45,625.0,630.0,630.1,86498.0,544.91
2018-03-01,636.0,638.95,630.0,635.0,633.4,127770.0,809.41
2018-02-28,634.5,640.5,625.0,636.25,636.55,117746.0,746.53
2018-02-27,641.8,642.95,626.55,628.05,629.6,48062.0,303.7
2018-02-26,626.0,639.8,622.0,639.0,637.3,126168.0,801.14
2018-02-23,624.3,628.5,620.0,625.6,623.45,123772.0,772.46
2018-02-22,632.9,651.9,612.3,620.0,619.65,612728.0,3920.99
2018-02-21,619.8,635.0,616.95,633.1,629.35,173965.0,1089.24
2018-02-20,618.0,622.0,611.0,614.0,614.8,63384.0,391.51
2018-02-19,604.1,621.15,592.65,620.0,609.85,89860.0,543.4
2018-02-16,620.0,626.5,608.0,610.9,610.25,120778.0,744.88
2018-02-15,629.0,629.0,612.1,620.0,618.8,183529.0,1137.95
2018-02-14,635.0,635.0,620.8,623.6,624.0,67448.0,422.68
2018-02-12,627.0,638.0,621.45,626.8,625.65,103711.0,651.42
2018-02-09,617.75,633.8,613.75,629.4,628.4,84195.0,527.09
2018-02-08,607.0,644.2,604.5,622.0,623.85,213039.0,1337.59
2018-02-07,606.25,616.45,602.0,603.15,604.9,321665.0,1949.76
2018-02-06,609.25,609.25,591.1,605.0,601.35,870998.0,5231.17
2018-02-05,611.15,634.6,607.95,627.4,622.5,439474.0,2728.7
2018-02-02,637.9,639.5,616.9,618.6,620.4,547807.0,3440.97
2018-02-01,641.85,647.8,626.65,642.0,641.85,236991.0,1520.93
2018-01-31,627.4,648.0,627.4,636.0,641.85,965938.0,6168.18
2018-01-30,651.0,653.5,615.0,626.0,622.45,658155.0,4228.33
2018-01-29,647.7,657.0,636.0,650.0,651.15,477487.0,3102.32
2018-01-25,643.65,654.4,635.1,646.45,643.3,566626.0,3662.11
2018-01-24,642.3,663.3,630.0,640.5,640.8,8133966.0,51676.31
2018-01-23,631.0,686.0,623.1,652.05,662.6,959297.0,6218.29
2018-01-22,658.1,683.8,622.7,624.45,627.4,1554910.0,10088.23
2018-01-19,588.25,678.0,586.0,662.9,653.55,1860861.0,11701.96
2018-01-18,596.0,599.0,575.0,580.5,581.55,220787.0,1306.6
2018-01-17,584.0,592.2,577.0,587.0,590.2,116900.0,687.12
2018-01-16,591.0,598.0,576.15,584.0,582.6,268302.0,1561.83
2018-01-15,584.4,594.9,582.65,590.1,591.2,142774.0,840.34
2018-01-12,583.05,598.05,562.65,577.5,577.4,306922.0,1808.16
2018-01-11,583.9,595.25,579.25,581.5,582.8,166672.0,975.4
2018-01-10,583.0,588.95,575.25,582.5,581.6,238709.0,1385.14
2018-01-09,583.0,594.9,580.0,582.6,583.1,132691.0,776.33
2018-01-08,581.6,582.5,574.0,577.5,580.3,141965.0,821.18
2018-01-05,579.6,579.6,571.1,578.0,578.05,81126.0,466.5
2018-01-04,580.0,580.95,571.65,575.05,576.1,41300.0,237.74
2018-01-03,574.05,580.0,572.6,578.0,576.9,47916.0,275.97
2018-01-02,576.75,580.85,571.75,575.85,575.3,33568.0,193.17
2018-01-01,583.35,587.4,574.6,577.0,577.7,49668.0,288.5
2017-12-29,582.35,592.25,573.0,590.5,583.25,160721.0,929.31
2017-12-28,573.9,584.9,568.65,583.0,580.6,145564.0,841.86
2017-12-27,568.9,580.0,565.45,567.0,569.6,65576.0,375.66
2017-12-26,578.5,580.0,558.5,574.0,564.75,158165.0,907.77
2017-12-22,574.0,581.0,567.0,578.5,573.55,69524.0,399.24
2017-12-21,558.7,575.0,558.0,567.0,570.95,270209.0,1536.94
2017-12-20,559.65,562.75,554.05,556.1,558.7,132989.0,744.65
2017-12-19,555.15,568.9,555.15,561.9,558.55,183646.0,1030.18
2017-12-18,555.0,564.0,541.05,554.0,557.1,119569.0,666.95
2017-12-15,563.0,563.0,551.1,553.95,554.25,431574.0,2411.85
2017-12-14,559.4,565.0,536.6,552.0,552.95,50780.0,281.28
2017-12-13,570.7,573.45,555.0,559.35,558.4,94725.0,533.21
2017-12-12,578.3,583.0,565.5,572.0,568.2,56740.0,323.92
2017-12-11,587.0,590.95,576.4,576.6,578.7,71700.0,419.35
2017-12-08,602.3,602.3,581.5,586.0,584.85,111751.0,659.81
2017-12-07,589.0,605.75,574.3,591.3,590.15,587553.0,3500.02
2017-12-06,579.95,589.0,577.2,587.0,585.5,105283.0,616.4
2017-12-05,577.5,583.0,568.2,581.1,581.45,72217.0,417.35
2017-12-04,566.45,587.0,563.0,577.55,579.15,245732.0,1428.63
2017-12-01,578.0,582.5,560.0,561.5,562.0,84408.0,481.53
2017-11-30,555.0,580.9,555.0,579.0,575.75,301256.0,1725.55
2017-11-29,568.0,572.0,555.55,556.4,557.9,228473.0,1291.81
2017-11-28,572.0,575.8,557.65,566.0,562.5,229294.0,1291.29
2017-11-27,564.0,586.0,564.0,571.0,571.5,185382.0,1072.1
2017-11-24,588.0,592.8,564.0,565.0,567.05,143071.0,825.77
2017-11-23,558.0,597.7,555.0,585.0,581.65,768575.0,4480.1
2017-11-22,562.0,562.0,553.6,557.25,558.2,103301.0,576.55
2017-11-21,559.9,564.0,554.25,556.0,557.4,90170.0,504.88
2017-11-20,548.0,560.0,546.8,552.5,554.25,133303.0,739.75
2017-11-17,553.7,558.9,541.1,544.85,544.55,95186.0,521.66
2017-11-16,540.65,553.05,538.5,550.3,549.7,93768.0,513.62
2017-11-15,537.85,544.8,534.05,537.0,537.5,127801.0,689.68
2017-11-14,541.55,556.0,538.05,540.0,540.55,243351.0,1325.36
2017-11-13,544.6,544.6,537.55,540.0,540.35,263309.0,1424.56
2017-11-10,542.95,543.9,536.0,539.55,539.5,602106.0,3256.32
2017-11-09,534.4,544.4,532.25,540.0,539.1,275118.0,1488.49
2017-11-08,529.5,537.0,526.8,529.2,529.55,182460.0,970.17
2017-11-07,533.0,540.0,522.25,526.9,525.55,232059.0,1236.14
2017-11-06,526.5,539.55,526.5,530.5,529.85,100016.0,533.41
2017-11-03,545.0,546.0,529.25,530.0,530.55,156708.0,837.47
2017-11-02,543.65,547.7,532.45,545.0,543.8,263155.0,1429.96
2017-11-01,544.6,553.5,539.1,539.9,542.15,396919.0,2170.05
2017-10-31,562.0,563.6,525.0,540.3,540.55,12542371.0,66081.25
