Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,985.0,990.0,973.0,984.5,980.15,359231.0,3531.77
2018-03-12,992.8,996.5,975.0,983.65,984.5,237953.0,2341.78
2018-03-09,1010.0,1025.0,970.0,977.5,977.45,433348.0,4336.48
2018-03-08,997.75,1011.0,981.05,1003.0,1004.3,477180.0,4764.82
2018-03-07,996.0,1007.9,966.1,991.95,985.85,538351.0,5309.95
2018-03-06,965.15,1031.7,965.0,977.0,982.35,1009958.0,10082.41
2018-03-05,966.4,967.95,956.0,960.0,960.9,413036.0,3976.66
2018-03-01,958.45,989.9,946.0,954.5,953.45,466189.0,4476.67
2018-02-28,940.0,954.9,937.0,944.1,945.75,260007.0,2460.97
2018-02-27,955.0,962.95,930.25,936.05,941.3,169044.0,1594.82
2018-02-26,970.8,970.8,946.1,951.4,953.25,148082.0,1412.57
2018-02-23,968.8,978.95,955.2,958.9,962.2,675220.0,6537.7
2018-02-22,928.0,959.6,921.95,959.2,958.85,588125.0,5566.04
2018-02-21,932.95,958.0,927.0,927.0,936.15,449868.0,4214.11
2018-02-20,933.95,933.95,911.4,922.0,915.85,231861.0,2129.58
2018-02-19,958.5,958.9,913.95,930.5,925.4,214184.0,1990.95
2018-02-16,990.1,992.0,950.15,950.2,957.75,339999.0,3271.68
2018-02-15,994.35,994.35,980.0,988.0,988.1,506091.0,4991.23
2018-02-14,1005.0,1006.8,975.5,981.0,986.25,441456.0,4373.14
2018-02-12,950.0,979.7,940.6,977.5,975.75,389682.0,3751.04
2018-02-09,877.0,943.0,865.0,933.15,933.65,565795.0,5203.2
2018-02-08,865.0,921.8,847.25,911.0,913.6,574853.0,5182.19
2018-02-07,855.0,879.0,831.55,846.45,861.25,390758.0,3310.82
2018-02-06,770.0,834.6,769.95,815.0,814.7,1303998.0,10478.11
2018-02-05,890.0,900.0,853.2,891.05,886.9,547354.0,4849.32
2018-02-02,945.0,956.0,918.0,928.5,928.0,396895.0,3711.19
2018-02-01,918.6,969.75,911.15,966.0,960.55,560695.0,5267.87
