Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,54.0,56.5,52.6,55.2,55.5,730598.0,402.33
2018-03-12,52.75,54.8,52.05,54.0,53.85,1184818.0,640.2
2018-03-09,52.8,54.2,51.65,51.85,52.2,411068.0,218.81
2018-03-08,53.0,53.5,49.5,51.8,51.9,358505.0,182.36
2018-03-07,53.95,54.15,51.3,51.3,51.4,399834.0,210.02
2018-03-06,57.4,58.35,53.0,53.1,53.95,401467.0,223.56
2018-03-05,56.3,56.3,54.9,55.5,55.65,154262.0,85.7
2018-03-01,58.0,58.5,56.3,56.75,56.75,216916.0,124.25
2018-02-28,56.1,58.5,54.8,58.4,58.1,359916.0,205.93
2018-02-27,58.25,58.8,56.6,56.8,57.2,340109.0,195.97
2018-02-26,58.0,60.2,56.4,58.1,58.95,779375.0,452.2
2018-02-23,56.75,58.25,55.5,57.9,58.15,950026.0,547.09
2018-02-22,55.2,57.3,53.45,55.4,55.5,588997.0,329.16
2018-02-21,54.0,54.9,53.55,54.9,54.9,779611.0,423.9
2018-02-20,52.5,54.4,50.95,52.15,52.3,506109.0,264.57
2018-02-19,55.45,55.75,52.35,52.35,52.4,443173.0,235.86
2018-02-16,56.5,57.6,53.45,55.35,55.1,824643.0,450.28
2018-02-15,60.1,60.1,55.65,55.8,56.25,924476.0,542.7
2018-02-14,61.2,61.7,56.0,56.55,57.25,2232214.0,1337.5
2018-02-12,58.5,58.8,57.6,58.8,58.8,252795.0,148.05
2018-02-09,52.7,56.0,51.25,56.0,56.0,1248095.0,684.43
2018-02-08,49.6,53.35,48.8,53.35,53.35,607644.0,315.8
2018-02-07,54.7,54.7,50.55,50.55,50.85,2997424.0,1539.97
2018-02-06,53.2,54.9,53.2,53.2,53.2,1656085.0,881.81
2018-02-05,56.0,57.25,56.0,56.0,56.0,582756.0,326.8
2018-02-02,59.3,60.4,58.9,58.9,58.9,493169.0,291.97
2018-02-01,62.9,64.15,58.6,61.6,61.95,1157190.0,724.42
2018-01-31,62.85,63.4,59.85,60.6,61.1,933027.0,571.21
2018-01-30,63.6,65.85,62.9,62.9,62.95,784671.0,499.19
2018-01-29,68.1,69.7,66.0,66.0,66.2,346136.0,234.54
2018-01-25,65.25,68.95,63.7,68.95,68.95,630852.0,421.04
2018-01-24,68.05,69.0,65.15,65.85,65.7,550851.0,367.14
2018-01-23,70.2,72.45,67.0,68.0,68.0,712798.0,496.42
2018-01-22,73.8,73.8,69.3,69.75,70.2,590211.0,418.36
2018-01-19,68.4,71.8,65.3,71.8,71.7,1535193.0,1055.91
2018-01-18,72.95,73.3,67.95,69.4,68.4,1170128.0,818.93
2018-01-17,72.9,74.1,68.45,71.55,71.5,1269810.0,907.0
2018-01-16,73.0,76.15,71.3,71.6,72.05,2275122.0,1673.93
2018-01-15,79.0,80.4,74.35,74.35,74.7,1286308.0,971.6
2018-01-12,83.0,83.05,78.1,78.1,78.25,2051473.0,1629.75
2018-01-11,84.4,86.0,80.2,82.0,82.2,1231260.0,1025.65
2018-01-10,85.45,85.45,80.1,84.0,83.7,2517981.0,2093.09
2018-01-09,82.35,82.35,79.0,82.35,82.35,4127915.0,3385.49
2018-01-08,78.45,78.45,78.45,78.45,78.45,285036.0,223.61
2018-01-05,74.7,74.75,73.0,74.75,74.75,3051403.0,2273.17
2018-01-04,67.6,71.2,67.4,71.2,71.2,1003890.0,700.33
2018-01-03,72.45,72.45,66.5,67.5,67.85,3838377.0,2651.74
2018-01-02,70.0,70.0,65.05,70.0,70.0,6024870.0,4175.22
2018-01-01,61.0,63.65,60.1,63.65,63.65,2226298.0,1401.68
2017-12-29,53.1,57.9,52.5,57.9,57.9,2202712.0,1234.55
2017-12-28,51.6,54.7,51.0,52.25,52.65,1444189.0,768.43
2017-12-27,54.7,56.5,50.65,52.1,52.35,5018049.0,2683.88
2017-12-26,56.9,56.9,52.05,55.35,55.35,11317673.0,6247.9
2017-12-22,52.3,52.3,52.3,52.3,52.3,1521040.0,795.5
2017-12-21,36.55,43.6,36.3,43.6,43.6,4096801.0,1694.48
2017-12-20,35.0,36.7,34.95,36.55,36.35,872347.0,312.59
2017-12-19,34.95,35.5,34.45,34.75,34.75,313360.0,109.11
2017-12-18,35.25,35.45,34.25,34.8,34.9,240644.0,84.09
2017-12-15,35.2,35.55,34.75,35.0,35.0,117166.0,41.14
2017-12-14,35.25,35.55,34.5,34.9,34.85,232959.0,81.14
2017-12-13,35.75,36.05,34.9,35.15,35.2,205297.0,72.68
2017-12-12,36.2,36.5,35.5,35.95,35.75,226767.0,81.67
2017-12-11,36.15,37.4,35.95,36.05,36.1,325823.0,118.65
2017-12-08,35.75,37.8,35.6,36.15,36.15,603183.0,220.74
2017-12-07,35.65,36.2,35.45,35.6,35.5,430487.0,154.1
