Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,160.95,166.2,160.75,163.45,163.45,1792853.0,2930.09
2018-03-12,162.65,162.65,157.7,162.65,161.2,978758.0,1566.66
2018-03-09,162.75,163.9,159.1,160.0,160.5,1234293.0,1998.56
2018-03-08,157.4,163.0,155.05,162.7,161.85,2257941.0,3577.94
2018-03-07,158.5,159.5,155.9,157.45,157.65,1089491.0,1715.86
2018-03-06,164.0,165.4,158.0,158.4,161.1,1166500.0,1904.33
2018-03-05,162.0,164.35,161.9,163.3,163.45,1203760.0,1961.14
2018-03-01,164.95,165.0,161.8,162.0,162.35,1231629.0,2002.37
2018-02-28,165.0,166.5,162.8,163.75,164.0,893210.0,1469.79
2018-02-27,167.75,168.65,163.7,165.5,165.25,1774092.0,2948.89
2018-02-26,165.85,168.25,164.4,168.25,167.75,867342.0,1444.14
2018-02-23,163.6,164.9,162.45,164.5,164.3,910413.0,1490.68
2018-02-22,164.5,167.35,161.1,162.05,162.4,1179234.0,1939.5
2018-02-21,164.2,167.8,163.9,166.5,166.8,1507304.0,2498.25
2018-02-20,167.9,169.5,163.8,166.1,164.95,1399711.0,2333.97
2018-02-19,165.0,168.9,162.0,166.5,166.85,1699727.0,2787.09
2018-02-16,166.6,168.5,161.75,164.3,164.25,1802939.0,2980.73
2018-02-15,172.5,175.2,163.6,167.0,166.6,1745409.0,2977.66
2018-02-14,173.0,176.9,171.05,171.05,172.75,1927008.0,3352.0
2018-02-12,173.0,175.7,170.0,172.5,172.8,1010658.0,1747.52
2018-02-09,164.0,172.25,162.3,170.55,171.0,1641707.0,2773.33
2018-02-08,163.0,170.4,162.5,167.9,168.45,731304.0,1227.73
2018-02-07,167.4,170.5,163.5,163.5,164.8,1127802.0,1887.38
2018-02-06,159.6,167.3,155.45,163.4,164.0,1399393.0,2259.19
2018-02-05,162.1,168.65,161.15,166.9,166.2,1110954.0,1845.54
2018-02-02,174.9,174.9,162.15,167.05,165.65,2986491.0,5038.04
2018-02-01,173.9,177.15,171.35,175.3,175.7,1001727.0,1753.86
2018-01-31,178.0,181.45,172.55,173.85,173.45,1062687.0,1864.14
2018-01-30,181.0,181.75,175.7,178.4,178.5,1798973.0,3201.7
2018-01-29,182.65,184.45,180.4,181.4,181.45,730022.0,1326.48
2018-01-25,184.0,184.7,179.95,183.4,182.55,1275824.0,2322.64
2018-01-24,187.3,187.3,183.2,184.6,184.0,746463.0,1375.94
2018-01-23,187.85,188.0,183.75,185.0,185.5,1089001.0,2022.9
2018-01-22,189.65,190.45,185.2,187.75,187.85,981656.0,1842.53
2018-01-19,184.2,190.55,182.3,190.0,189.65,2233703.0,4176.38
2018-01-18,196.15,197.0,183.0,183.55,184.15,3134327.0,5920.81
2018-01-17,194.0,195.75,189.7,192.75,193.35,1503055.0,2905.49
2018-01-16,203.5,203.7,192.4,194.0,193.85,1552229.0,3061.62
2018-01-15,201.0,204.2,200.1,202.3,202.45,1776253.0,3589.38
2018-01-12,201.2,203.55,197.4,200.65,201.4,771675.0,1551.7
2018-01-11,200.0,203.4,198.3,201.35,201.8,1166393.0,2353.04
2018-01-10,203.55,204.0,197.4,200.0,199.85,2224280.0,4451.44
2018-01-09,195.0,206.5,194.0,204.0,204.5,3672858.0,7418.53
2018-01-08,198.0,198.0,194.9,195.95,196.35,874182.0,1715.1
2018-01-05,194.85,197.5,194.55,196.9,196.75,820335.0,1609.89
2018-01-04,192.25,195.5,191.6,194.35,194.85,1046679.0,2023.13
2018-01-03,193.6,195.45,190.65,191.7,191.85,1147744.0,2211.45
2018-01-02,198.35,198.7,192.0,193.4,193.75,824956.0,1602.02
2018-01-01,196.0,202.45,194.55,197.75,197.9,1233341.0,2448.8
2017-12-29,194.0,197.55,192.9,195.7,196.05,1211286.0,2363.23
2017-12-28,198.1,198.85,192.95,193.2,193.6,915870.0,1790.84
2017-12-27,194.9,200.0,193.8,197.0,197.6,2957449.0,5868.27
2017-12-26,195.5,197.0,193.4,193.5,194.0,934420.0,1821.27
2017-12-22,192.5,197.45,192.5,196.0,195.05,1708775.0,3339.11
2017-12-21,194.2,194.5,191.3,192.45,192.5,494515.0,951.95
2017-12-20,197.45,197.45,192.7,193.85,194.0,916921.0,1786.84
2017-12-19,197.35,197.9,195.2,196.75,196.7,2197870.0,4316.08
2017-12-18,188.15,197.0,184.95,195.3,195.1,3589543.0,6975.56
2017-12-15,189.2,192.4,187.65,190.2,190.9,2174159.0,4137.93
2017-12-14,183.1,188.15,180.5,186.8,187.5,2028368.0,3754.06
2017-12-13,186.2,188.25,181.1,181.95,182.5,747017.0,1377.76
2017-12-12,186.65,189.6,186.45,188.0,187.65,635082.0,1192.76
2017-12-11,188.9,190.0,187.3,189.45,188.55,723904.0,1364.47
2017-12-08,186.85,189.0,184.65,188.2,188.15,740632.0,1384.49
2017-12-07,183.2,186.9,183.2,186.7,185.85,784247.0,1449.37
2017-12-06,185.15,185.75,183.0,183.15,183.2,786408.0,1445.49
2017-12-05,184.0,186.55,182.0,185.15,185.1,1248643.0,2300.77
2017-12-04,181.1,185.5,179.05,185.0,183.95,1261415.0,2310.04
2017-12-01,184.5,185.55,181.0,181.0,181.75,1589687.0,2910.7
2017-11-30,183.0,186.5,180.8,184.8,185.35,1334227.0,2453.56
2017-11-29,191.0,192.0,183.65,183.9,184.5,2283134.0,4271.65
2017-11-28,191.1,192.25,188.85,190.55,190.65,1576062.0,3011.02
2017-11-27,186.0,191.5,184.6,191.0,189.85,1294898.0,2433.7
2017-11-24,185.45,187.4,182.9,186.9,186.85,1976165.0,3664.21
2017-11-23,179.0,186.15,177.1,184.3,184.2,2027776.0,3682.94
2017-11-22,180.5,180.95,177.15,178.95,178.75,813594.0,1454.81
2017-11-21,182.0,182.95,178.6,179.55,179.9,1024270.0,1850.09
2017-11-20,180.85,181.95,179.1,181.0,181.2,848940.0,1532.17
2017-11-17,176.9,179.9,176.5,179.45,179.45,1128979.0,2017.76
2017-11-16,176.1,178.0,172.55,175.25,173.55,1847160.0,3229.0
2017-11-15,180.7,182.45,174.5,175.5,175.9,1478263.0,2632.89
2017-11-14,180.3,182.7,179.3,180.7,180.8,640390.0,1160.8
2017-11-13,188.0,188.1,180.1,181.4,181.65,1743640.0,3187.17
2017-11-10,180.0,187.5,178.85,187.2,187.1,2027466.0,3746.97
2017-11-09,175.0,181.25,175.0,179.85,180.3,1666958.0,2972.83
2017-11-08,180.15,182.5,171.95,177.0,173.95,2216854.0,3889.93
2017-11-07,183.0,185.0,181.25,181.9,182.45,1919555.0,3518.56
2017-11-06,181.0,182.8,175.5,181.45,181.65,796238.0,1443.52
2017-11-03,180.2,182.15,178.95,181.3,181.1,1158024.0,2093.66
2017-11-02,178.15,181.8,178.15,180.0,180.2,1349351.0,2433.46
2017-11-01,179.9,181.2,178.25,179.0,179.0,1343287.0,2411.26
2017-10-31,179.0,179.4,177.15,177.55,177.95,700534.0,1248.18
2017-10-30,178.0,179.25,177.05,179.0,178.95,869967.0,1554.13
2017-10-27,179.0,179.5,175.65,176.95,177.1,1253474.0,2219.73
2017-10-26,177.45,179.9,176.3,177.65,177.75,1688427.0,3009.48
2017-10-25,183.95,183.95,174.8,177.35,177.45,2692759.0,4781.79
2017-10-24,183.35,183.7,180.05,180.7,180.9,993126.0,1805.73
2017-10-23,179.0,183.0,177.05,183.0,182.4,1962464.0,3550.63
2017-10-19,181.4,181.6,176.8,177.5,178.2,443089.0,793.0
2017-10-18,183.5,184.65,180.35,181.0,181.4,1321941.0,2410.44
2017-10-17,187.0,187.0,181.0,183.5,184.05,4409739.0,8107.47
2017-10-16,193.0,193.35,186.5,190.3,190.25,3414254.0,6505.39
2017-10-13,189.05,192.8,187.8,190.85,191.45,1140069.0,2168.49
2017-10-12,186.05,189.25,185.5,188.9,188.75,789441.0,1479.04
2017-10-11,185.85,191.8,184.8,186.45,186.6,1396882.0,2633.64
2017-10-10,187.5,188.5,185.6,186.55,186.55,820085.0,1534.42
2017-10-09,187.0,188.3,185.0,186.25,186.55,872059.0,1628.27
2017-10-06,189.75,189.75,185.3,186.0,185.7,880834.0,1646.33
2017-10-05,184.3,189.3,184.0,189.1,187.65,1284544.0,2400.33
2017-10-04,185.95,185.95,182.8,183.9,184.3,785847.0,1447.76
2017-10-03,183.0,186.15,181.95,183.95,184.05,1219726.0,2247.2
2017-09-29,181.75,184.35,179.05,181.05,181.6,1461900.0,2653.88
2017-09-28,177.5,182.5,171.65,178.95,179.35,2921263.0,5189.75
2017-09-27,184.0,185.0,175.95,177.1,177.05,1813083.0,3255.79
2017-09-26,184.0,184.25,181.05,181.85,182.45,1295381.0,2368.02
2017-09-25,183.5,184.85,175.6,183.0,182.85,2028254.0,3661.7
2017-09-22,190.7,191.7,183.15,184.4,184.7,1188816.0,2225.76
2017-09-21,196.65,197.4,192.3,192.85,192.95,1325559.0,2574.09
2017-09-20,195.95,198.5,193.8,196.65,197.05,1381007.0,2713.27
2017-09-19,196.0,196.45,194.45,195.15,195.55,1224422.0,2394.18
2017-09-18,190.95,195.55,190.65,195.45,194.75,1910488.0,3706.5
2017-09-15,190.3,191.75,188.9,190.3,190.3,1189037.0,2262.42
2017-09-14,188.0,191.35,188.0,189.9,189.9,1080175.0,2051.73
2017-09-13,188.95,190.8,187.35,187.6,188.0,801269.0,1514.47
2017-09-12,189.0,189.75,186.65,187.9,188.5,1307940.0,2463.42
2017-09-11,185.0,191.75,185.0,187.25,187.1,2043297.0,3849.11
2017-09-08,191.2,191.95,186.5,187.3,187.8,1864367.0,3527.27
2017-09-07,188.0,192.9,188.0,190.15,190.8,2143155.0,4104.4
2017-09-06,186.5,188.7,184.4,187.2,187.65,1106986.0,2070.39
2017-09-05,187.7,188.1,184.45,185.5,186.0,1449426.0,2697.36
2017-09-04,184.8,188.75,182.6,185.3,185.7,1191334.0,2220.12
2017-09-01,187.05,187.3,185.0,186.45,186.55,1885749.0,3515.86
2017-08-31,188.0,188.0,177.55,183.7,183.7,12545433.0,22941.98
2017-08-30,187.9,191.9,187.25,189.95,189.95,1158152.0,2202.01
2017-08-29,191.8,192.25,185.5,185.75,186.4,1645661.0,3113.66
2017-08-28,185.0,192.95,183.5,192.4,192.3,2033471.0,3850.96
2017-08-24,183.35,186.2,181.8,185.05,185.0,1332585.0,2454.69
2017-08-23,178.85,183.9,178.0,183.45,183.5,1169742.0,2124.08
2017-08-22,178.5,180.75,175.6,178.25,177.75,1079019.0,1915.1
2017-08-21,184.9,184.9,178.0,178.2,178.75,1952801.0,3531.6
2017-08-18,184.25,184.9,181.55,183.0,183.1,1220780.0,2238.01
2017-08-17,186.8,186.9,183.65,184.7,184.35,1203366.0,2227.32
2017-08-16,184.6,186.25,180.5,185.9,185.2,2112350.0,3888.73
2017-08-14,177.7,182.7,176.5,182.7,181.15,1206322.0,2167.86
2017-08-11,170.0,178.0,166.3,173.9,173.85,2252609.0,3902.96
2017-08-10,180.0,180.1,170.6,174.65,172.95,3772606.0,6612.41
2017-08-09,185.0,185.0,180.0,180.4,181.4,2651531.0,4838.24
2017-08-08,196.35,196.35,183.45,186.0,185.55,2420913.0,4570.52
