Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,484.7,501.95,479.05,495.35,495.65,116810.0,578.28
2018-03-12,488.4,496.9,471.55,484.3,484.7,122813.0,589.04
2018-03-09,528.55,534.4,477.0,488.95,488.95,278310.0,1382.08
2018-03-08,539.0,540.3,512.1,535.0,526.65,126049.0,661.36
2018-03-07,549.1,553.0,530.7,538.8,535.0,83273.0,450.82
2018-03-06,555.2,564.7,550.15,554.05,554.35,78919.0,439.24
2018-03-05,565.0,567.8,548.3,553.0,551.2,59190.0,328.79
2018-03-01,560.0,579.0,559.6,567.2,569.05,62092.0,355.5
2018-02-28,571.8,571.8,550.0,565.5,565.75,81145.0,454.35
2018-02-27,577.0,580.0,570.55,575.0,572.8,44625.0,256.13
2018-02-26,572.0,579.5,572.0,576.0,576.85,113831.0,656.49
2018-02-23,548.1,573.45,548.1,570.95,571.2,189424.0,1075.74
2018-02-22,535.0,555.55,533.0,548.0,547.2,137357.0,750.87
2018-02-21,540.0,541.9,530.0,539.9,538.65,47895.0,257.19
2018-02-20,526.9,547.0,523.85,535.05,534.55,79477.0,427.0
2018-02-19,535.0,535.0,521.0,528.0,526.95,50611.0,266.98
2018-02-16,545.2,548.8,526.55,530.6,528.95,73006.0,392.0
2018-02-15,552.0,559.6,540.05,542.0,542.3,165760.0,913.53
2018-02-14,561.65,565.85,547.0,552.0,550.25,112977.0,626.61
2018-02-12,550.0,555.05,549.0,554.85,551.05,125072.0,690.75
2018-02-09,530.0,556.0,530.0,547.0,543.4,158019.0,863.56
2018-02-08,560.0,560.0,541.1,544.0,545.95,133695.0,733.2
2018-02-07,550.0,574.4,538.1,545.2,541.3,140523.0,776.17
2018-02-06,529.0,577.15,529.0,539.0,540.45,276902.0,1537.94
2018-02-05,532.1,586.0,526.05,584.5,583.2,166077.0,928.54
2018-02-02,555.0,573.95,536.75,545.0,553.45,195346.0,1090.92
2018-02-01,580.0,598.95,547.8,568.0,575.2,309350.0,1768.29
2018-01-31,586.0,598.95,570.0,573.3,572.8,133953.0,780.0
2018-01-30,612.0,613.8,578.0,579.0,581.4,175020.0,1035.4
2018-01-29,600.0,612.9,593.05,610.5,609.75,327607.0,1987.98
2018-01-25,595.0,615.0,591.5,595.0,595.05,267416.0,1607.29
2018-01-24,590.5,604.0,590.5,599.0,595.85,179433.0,1072.22
