Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,321.9,339.0,319.8,339.0,336.9,225763.0,751.06
2018-03-12,312.75,324.2,310.0,323.2,323.35,247772.0,789.79
2018-03-09,319.9,319.95,308.4,310.3,311.85,130934.0,409.43
2018-03-08,336.85,336.85,309.5,315.75,316.45,735499.0,2334.69
2018-03-07,315.0,315.0,303.0,304.75,305.4,293532.0,903.39
2018-03-06,321.45,324.4,314.0,315.0,316.3,180394.0,577.12
2018-03-05,333.0,333.0,315.5,315.9,317.0,282733.0,906.97
2018-03-01,340.15,343.6,331.0,334.1,334.5,108538.0,364.83
2018-02-28,345.0,346.9,338.45,338.5,340.15,98821.0,338.38
2018-02-27,348.9,352.5,341.8,349.4,350.35,140890.0,490.09
2018-02-26,351.45,352.45,338.35,348.0,348.25,215822.0,746.54
2018-02-23,328.05,352.35,328.05,347.8,348.85,245032.0,841.72
2018-02-22,335.3,337.2,327.0,328.05,329.85,285116.0,945.03
2018-02-21,350.0,353.05,336.0,338.9,338.15,268533.0,917.09
2018-02-20,356.0,358.0,346.0,349.0,349.1,51493.0,181.15
2018-02-19,354.05,360.6,346.1,356.0,356.05,64501.0,227.28
2018-02-16,362.0,369.2,352.15,361.0,356.85,144609.0,520.99
2018-02-15,365.75,368.0,358.8,366.9,364.6,114058.0,412.8
2018-02-14,374.0,374.0,361.2,361.75,362.5,78149.0,286.93
2018-02-12,364.9,372.0,362.1,367.0,367.15,99367.0,365.37
2018-02-09,365.0,368.2,355.05,361.0,361.6,132937.0,481.44
2018-02-08,364.9,376.0,361.35,369.9,371.0,509332.0,1885.57
2018-02-07,362.0,378.95,357.0,361.0,361.05,567059.0,2077.5
2018-02-06,342.0,361.0,337.05,359.8,357.65,257027.0,889.47
2018-02-05,356.0,367.8,335.8,361.05,364.35,215004.0,757.41
2018-02-02,375.0,377.5,346.05,358.0,358.75,310066.0,1116.94
2018-02-01,399.5,412.0,380.0,381.4,381.8,483352.0,1918.65
2018-01-31,395.1,404.7,388.0,398.0,398.55,203904.0,810.94
2018-01-30,396.5,407.0,392.0,401.0,401.7,120329.0,482.56
2018-01-29,409.05,414.15,395.3,396.0,400.05,99023.0,402.01
2018-01-25,414.9,415.55,408.1,410.2,411.55,118595.0,487.25
2018-01-24,412.3,424.7,405.6,414.05,413.75,316833.0,1319.79
2018-01-23,411.0,417.05,405.25,412.5,414.6,289953.0,1198.17
2018-01-22,391.8,411.0,390.85,406.0,407.2,360322.0,1439.22
2018-01-19,398.0,400.8,387.0,389.1,389.85,130769.0,514.39
