Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,319.75,324.85,308.25,313.75,314.15,2090397.0,6657.08
2018-03-12,320.05,322.8,315.1,321.55,319.9,1594508.0,5088.34
2018-03-09,315.0,320.8,310.25,316.25,314.9,1942351.0,6134.92
2018-03-08,319.7,324.0,303.5,313.45,312.45,4026191.0,12550.18
2018-03-07,326.9,330.9,314.3,315.7,316.0,2172395.0,7004.77
2018-03-06,343.4,346.6,326.05,326.05,328.05,2287287.0,7682.87
2018-03-05,349.5,349.5,338.1,338.6,339.45,1414732.0,4833.48
2018-03-01,348.9,357.85,346.05,352.75,351.15,1625212.0,5741.14
2018-02-28,353.0,354.3,345.0,347.95,346.85,1672030.0,5853.11
2018-02-27,368.8,369.6,355.0,356.9,356.9,1562604.0,5634.94
2018-02-26,369.25,375.0,366.25,367.5,368.6,2151354.0,7974.91
2018-02-23,350.65,367.9,349.65,367.75,365.9,3637022.0,13081.68
2018-02-22,350.4,356.3,347.0,347.75,348.9,2091331.0,7351.04
2018-02-21,359.25,361.25,349.05,353.0,352.2,1259800.0,4461.22
2018-02-20,354.7,365.0,349.8,356.35,356.2,2641394.0,9481.44
2018-02-19,360.0,365.9,349.0,351.55,351.7,2324039.0,8274.99
2018-02-16,381.1,386.4,360.0,363.0,362.6,3468122.0,12888.37
2018-02-15,367.0,383.95,365.1,379.15,377.85,3560698.0,13302.81
2018-02-14,366.7,372.8,362.35,363.7,364.45,1924138.0,7083.78
2018-02-12,351.7,367.3,351.7,363.0,363.9,2954147.0,10693.41
2018-02-09,325.0,354.45,322.5,349.25,350.75,4113255.0,14016.84
2018-02-08,323.75,339.3,322.0,335.6,335.95,2756239.0,9178.3
2018-02-07,333.5,337.65,318.5,320.1,320.9,2448042.0,8022.2
2018-02-06,315.0,333.25,312.0,325.0,325.3,3544938.0,11495.88
2018-02-05,322.0,344.5,309.7,344.2,342.85,3592757.0,11956.36
2018-02-02,349.05,356.0,324.0,329.65,330.5,3159054.0,10741.11
2018-02-01,346.1,363.8,342.0,356.7,356.4,3377701.0,11955.34
2018-01-31,355.0,364.0,341.0,344.95,345.8,2592157.0,9077.88
2018-01-30,359.45,371.0,350.0,358.05,354.0,2753004.0,9919.64
2018-01-29,374.0,376.0,360.0,362.2,362.6,1766935.0,6461.95
2018-01-25,363.0,376.55,361.45,373.0,373.1,4004802.0,14887.52
