Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,93.2,94.7,92.2,93.75,93.1,294401.0,274.04
2018-03-12,95.9,96.0,92.8,94.2,94.15,107948.0,101.62
2018-03-09,96.9,97.25,93.0,93.1,93.15,270664.0,255.72
2018-03-08,98.35,100.95,93.15,94.7,94.85,183241.0,174.77
2018-03-07,97.1,100.8,94.75,97.5,96.95,199773.0,193.78
2018-03-06,99.1,100.9,94.5,97.05,96.8,352313.0,341.4
2018-03-05,100.6,102.3,98.0,98.55,99.25,183643.0,183.81
2018-03-01,102.45,103.7,99.9,100.25,100.25,223124.0,225.99
2018-02-28,102.0,105.0,100.7,102.2,102.3,218221.0,224.89
2018-02-27,104.5,105.3,101.6,102.4,102.5,187506.0,193.55
2018-02-26,104.55,105.5,103.35,103.65,104.0,187690.0,196.22
2018-02-23,102.9,104.6,102.9,104.05,104.05,182551.0,189.55
2018-02-22,104.5,104.9,102.2,102.2,102.9,259240.0,268.79
2018-02-21,105.0,107.45,103.0,104.9,104.55,364242.0,382.83
2018-02-20,104.2,105.5,102.55,104.7,104.05,313583.0,326.12
2018-02-19,106.6,107.0,100.5,104.0,103.2,344095.0,354.97
2018-02-16,110.5,110.85,103.25,105.05,105.55,288637.0,308.23
2018-02-15,113.1,114.9,108.7,109.25,109.3,271425.0,303.05
2018-02-14,113.55,119.85,110.6,112.75,111.95,533107.0,610.84
2018-02-12,112.75,112.75,109.7,110.95,111.25,262528.0,291.52
2018-02-09,109.05,112.65,105.8,109.5,109.0,815181.0,898.65
2018-02-08,105.7,115.0,105.0,114.95,113.6,767786.0,843.44
2018-02-07,102.4,105.45,102.0,105.0,103.85,279344.0,290.13
2018-02-06,96.35,103.0,91.8,100.65,100.75,522145.0,520.86
2018-02-05,96.0,103.9,85.35,100.05,100.8,404799.0,401.69
2018-02-02,106.0,106.0,97.3,99.3,99.65,463749.0,466.55
2018-02-01,111.15,111.6,105.1,107.0,106.75,374869.0,405.46
2018-01-31,110.4,113.15,108.6,110.65,110.5,445694.0,492.93
2018-01-30,117.8,122.0,110.0,110.45,111.15,299728.0,340.87
2018-01-29,121.55,124.4,115.7,117.75,116.8,384660.0,459.78
2018-01-25,125.7,125.95,119.6,121.0,120.1,465779.0,568.43
2018-01-24,127.9,129.0,123.3,124.9,124.8,911879.0,1140.84
2018-01-23,122.1,131.8,122.1,129.75,129.35,2433030.0,3126.11
2018-01-22,121.5,123.4,118.55,121.55,121.1,763118.0,919.68
2018-01-19,123.6,125.9,117.25,121.5,121.5,822551.0,999.54
2018-01-18,134.5,136.5,121.5,122.7,122.7,1221886.0,1577.63
2018-01-17,130.7,140.4,123.95,133.5,133.45,3603562.0,4780.61
2018-01-16,140.35,142.7,126.6,131.15,131.0,5433195.0,7355.64
2018-01-15,136.4,149.4,128.25,139.6,139.45,8087184.0,11396.72
