Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,18.5,19.8,18.4,19.45,19.4,2762322.0,532.48
2018-03-12,18.95,19.0,18.05,18.4,18.4,1624550.0,298.05
2018-03-09,18.9,19.15,18.7,18.8,18.75,956963.0,181.08
2018-03-08,19.25,19.45,18.6,18.85,18.85,1413406.0,267.24
2018-03-07,20.0,20.0,18.85,19.1,19.1,2148759.0,414.68
2018-03-06,20.1,20.4,19.9,20.0,20.0,1027553.0,206.39
2018-03-05,20.4,20.55,19.9,20.0,20.05,1355859.0,273.46
2018-03-01,20.6,20.75,20.4,20.55,20.55,576484.0,118.67
2018-02-28,20.5,20.8,20.15,20.65,20.6,1250330.0,256.28
2018-02-27,21.0,21.05,20.6,20.75,20.7,785665.0,162.78
2018-02-26,21.25,21.3,20.9,21.1,21.05,1110926.0,234.55
2018-02-23,20.7,21.0,20.65,20.95,20.9,1113525.0,231.7
2018-02-22,20.95,20.95,20.4,20.7,20.55,1146057.0,236.37
2018-02-21,20.45,20.95,20.4,20.8,20.8,1521745.0,314.09
2018-02-20,20.5,20.65,19.85,20.4,20.25,3157773.0,639.58
2018-02-19,21.0,21.25,19.95,20.7,20.5,2761196.0,567.64
2018-02-16,21.95,22.1,21.0,21.4,21.35,1843515.0,395.16
2018-02-15,22.5,22.5,21.75,21.95,21.95,1832899.0,403.62
2018-02-14,23.0,23.0,21.9,22.65,22.4,4808476.0,1072.02
2018-02-12,22.65,22.95,22.5,22.8,22.8,1553177.0,354.04
2018-02-09,22.5,22.65,22.15,22.5,22.4,1465262.0,328.75
2018-02-08,22.85,23.1,22.5,22.75,22.75,2044527.0,466.66
2018-02-07,22.7,23.5,22.6,22.9,22.75,2506916.0,573.5
2018-02-06,22.0,22.8,21.85,22.3,22.35,2570770.0,572.75
2018-02-05,23.25,23.4,22.6,23.15,23.1,2123615.0,489.01
2018-02-02,24.5,24.5,23.6,23.6,23.75,2554356.0,612.06
2018-02-01,25.35,25.5,24.55,24.9,24.8,1822410.0,456.76
2018-01-31,25.0,25.4,24.85,25.15,25.1,1688090.0,422.62
2018-01-30,25.7,25.7,24.9,25.15,25.1,2351507.0,591.66
2018-01-29,26.75,26.85,25.65,25.7,25.8,1914444.0,500.66
2018-01-25,27.7,27.85,26.3,26.45,26.6,6121801.0,1650.85
2018-01-24,26.5,26.8,25.95,26.6,26.6,3882155.0,1025.62
2018-01-23,25.95,26.9,25.9,26.45,26.55,3719900.0,982.14
2018-01-22,26.2,26.2,25.9,25.95,25.95,1468030.0,381.89
2018-01-19,26.05,26.4,25.65,26.05,26.1,3014394.0,785.67
2018-01-18,26.45,26.7,25.75,25.9,25.9,6501706.0,1708.48
2018-01-17,25.4,25.75,25.0,25.75,25.6,2119431.0,537.42
2018-01-16,26.15,26.25,25.25,25.4,25.4,1671668.0,428.68
2018-01-15,26.2,26.5,26.0,26.05,26.1,1237836.0,323.77
2018-01-12,26.6,26.75,25.9,26.2,26.1,2987683.0,785.35
2018-01-11,26.15,26.75,26.1,26.4,26.5,2255750.0,596.71
2018-01-10,26.7,26.75,26.2,26.35,26.35,1304438.0,344.6
2018-01-09,26.8,27.0,26.25,26.5,26.6,2862589.0,761.83
2018-01-08,27.0,27.1,26.55,26.65,26.7,2321462.0,622.24
2018-01-05,27.45,27.55,26.6,26.75,26.7,4589290.0,1237.39
2018-01-04,26.35,27.8,25.95,27.0,26.95,15022781.0,4073.58
2018-01-03,25.7,25.7,25.3,25.5,25.4,1342446.0,341.77
2018-01-02,25.65,26.0,25.0,25.5,25.4,1735519.0,440.53
2018-01-01,25.6,25.85,25.25,25.55,25.55,2964555.0,760.78
2017-12-29,26.1,26.4,24.8,25.05,24.95,6738616.0,1720.12
2017-12-28,24.9,25.9,24.8,25.4,25.35,3601373.0,915.14
2017-12-27,24.55,25.2,24.55,24.8,24.8,1750706.0,435.92
2017-12-26,24.65,24.65,24.35,24.6,24.55,1189607.0,291.84
2017-12-22,24.3,24.85,24.2,24.4,24.4,1781064.0,437.79
2017-12-21,24.0,24.4,23.9,24.2,24.2,1546750.0,373.68
2017-12-20,24.0,24.15,23.85,23.95,23.95,1344565.0,322.39
2017-12-19,24.15,24.3,23.9,23.9,23.95,1433016.0,344.41
2017-12-18,24.3,24.4,23.55,24.1,24.05,1708427.0,411.59
2017-12-15,24.45,24.6,24.0,24.05,24.1,2109576.0,510.29
2017-12-14,24.45,24.45,24.0,24.25,24.25,955481.0,231.64
