Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,589.95,597.75,583.05,583.5,588.65,13433.0,79.27
2018-03-12,583.55,594.95,580.3,581.5,582.6,11760.0,69.0
2018-03-09,601.15,605.95,580.0,584.9,583.0,21298.0,125.23
2018-03-08,593.15,605.0,576.0,604.95,600.5,14976.0,88.64
2018-03-07,613.0,613.0,575.0,600.0,584.4,37310.0,221.05
2018-03-06,624.0,626.0,608.6,608.6,613.6,20054.0,123.78
2018-03-05,621.75,625.0,613.0,621.0,620.2,10217.0,63.15
2018-03-01,624.9,629.65,616.0,617.0,621.75,14838.0,92.29
2018-02-28,637.5,637.55,613.0,615.0,619.35,22989.0,143.89
2018-02-27,653.45,653.45,630.4,632.6,640.55,21449.0,136.8
2018-02-26,653.0,653.0,633.1,643.0,643.8,6584.0,42.17
2018-02-23,636.0,642.0,631.0,642.0,640.6,10850.0,68.89
2018-02-22,643.05,644.85,623.0,631.0,627.3,17309.0,109.33
2018-02-21,655.0,656.5,639.0,642.9,641.5,10898.0,70.28
2018-02-20,672.1,683.95,643.15,646.25,649.7,17573.0,115.79
2018-02-19,672.85,690.0,654.3,689.0,670.25,7951.0,52.71
2018-02-16,666.0,678.55,662.1,662.55,662.95,8921.0,59.57
2018-02-15,680.65,685.35,660.2,665.5,664.15,13827.0,92.25
2018-02-14,702.0,706.5,661.4,673.5,675.25,34499.0,238.55
2018-02-12,699.0,699.95,687.1,691.0,696.2,11515.0,80.15
2018-02-09,680.0,697.0,669.95,684.0,685.5,14634.0,100.35
2018-02-08,663.3,695.95,663.3,694.0,692.05,12530.0,85.96
2018-02-07,676.9,677.75,661.25,665.15,669.6,15170.0,101.67
2018-02-06,652.0,681.55,650.5,657.0,655.7,31131.0,206.18
2018-02-05,693.0,712.15,663.0,698.9,694.4,22595.0,155.47
2018-02-02,730.0,730.0,660.0,698.65,699.2,36785.0,256.54
2018-02-01,761.0,774.5,720.05,721.0,725.55,68433.0,512.07
2018-01-31,770.0,783.75,746.05,749.0,756.95,49191.0,375.3
2018-01-30,787.65,787.65,766.0,770.0,769.8,15064.0,116.23
2018-01-29,798.6,798.6,783.0,789.65,786.65,12103.0,95.61
2018-01-25,783.0,797.2,783.0,783.8,786.15,14758.0,116.23
2018-01-24,800.0,800.0,781.0,789.5,789.95,11898.0,93.95
2018-01-23,800.0,800.0,789.9,789.95,791.5,13571.0,108.03
2018-01-22,789.95,794.9,772.0,794.0,793.45,15320.0,120.86
2018-01-19,779.85,790.0,761.45,788.0,782.1,23123.0,179.56
2018-01-18,778.0,783.0,770.0,772.0,774.5,16719.0,129.55
2018-01-17,776.55,783.75,761.0,774.9,774.85,16673.0,129.22
2018-01-16,795.0,795.0,774.05,782.6,778.45,18321.0,143.24
2018-01-15,774.1,794.0,770.15,780.0,787.75,24951.0,196.05
