Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,665.0,673.35,661.25,664.0,664.7,155196.0,1035.54
2018-03-12,660.8,677.7,656.0,665.0,665.85,237647.0,1584.06
2018-03-09,666.0,667.95,651.1,653.8,654.15,217503.0,1434.89
2018-03-08,669.7,676.0,652.25,658.0,661.9,206100.0,1365.74
2018-03-07,672.05,682.9,661.05,661.15,662.7,197423.0,1322.69
2018-03-06,708.0,714.95,674.0,675.0,677.7,480063.0,3348.06
2018-03-05,675.0,725.0,660.7,703.1,703.05,727650.0,5075.79
2018-03-01,681.0,692.1,676.0,678.0,679.05,145060.0,992.5
2018-02-28,681.2,691.45,673.95,684.0,683.1,219470.0,1498.79
2018-02-27,694.8,697.65,684.95,685.1,686.7,155056.0,1069.67
2018-02-26,695.0,704.0,690.0,691.45,691.6,185290.0,1288.68
2018-02-23,692.0,703.3,688.0,691.0,692.1,310673.0,2162.07
2018-02-22,685.0,701.95,684.0,686.0,689.0,254820.0,1762.97
2018-02-21,697.9,704.7,680.25,685.0,686.95,170228.0,1177.38
2018-02-20,687.0,721.7,678.75,690.5,691.15,633132.0,4472.12
2018-02-19,708.0,708.95,680.0,683.5,684.6,175119.0,1211.52
2018-02-16,723.8,723.8,700.0,702.5,706.1,146761.0,1042.07
2018-02-15,730.1,737.8,711.25,719.2,718.8,232318.0,1684.62
2018-02-14,718.8,744.95,708.0,727.5,729.3,635817.0,4649.28
2018-02-12,732.0,737.95,708.0,716.6,712.85,368506.0,2656.62
2018-02-09,718.0,751.95,690.0,709.0,707.75,1219281.0,8705.35
2018-02-08,732.8,758.95,730.0,738.0,738.1,394931.0,2931.33
2018-02-07,724.9,749.0,718.0,723.05,728.75,774222.0,5685.6
2018-02-06,660.0,731.35,653.0,707.9,713.8,674465.0,4738.08
2018-02-05,675.0,748.8,625.0,726.0,720.35,1006972.0,7157.86
2018-02-02,718.0,725.75,681.55,685.0,685.05,345465.0,2412.71
2018-02-01,769.4,775.2,717.3,730.5,730.95,801285.0,6043.06
2018-01-31,690.0,789.9,685.6,763.0,764.75,2474569.0,18856.32
2018-01-30,710.5,714.4,690.0,692.0,694.2,181139.0,1268.9
2018-01-29,734.9,738.0,711.4,712.9,714.35,137014.0,993.07
2018-01-25,743.05,753.4,725.75,727.4,728.65,191369.0,1412.95
2018-01-24,756.65,763.2,741.05,742.0,743.05,182241.0,1367.16
2018-01-23,755.0,779.0,752.1,753.0,755.9,319426.0,2442.73
2018-01-22,749.95,764.9,736.55,750.05,753.75,227299.0,1715.17
