Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,297.55,302.0,296.75,299.25,300.05,74313.0,223.22
2018-03-12,302.05,303.5,295.0,298.05,298.95,59922.0,179.19
2018-03-09,299.0,304.4,295.05,301.0,300.15,181837.0,546.4
2018-03-08,299.0,304.1,292.55,301.8,300.45,236141.0,704.45
2018-03-07,306.6,307.9,297.05,300.0,299.7,128576.0,385.84
2018-03-06,310.0,312.75,302.1,305.0,304.95,77527.0,237.9
2018-03-05,318.7,318.7,307.05,307.05,308.7,149835.0,465.93
2018-03-01,316.4,322.0,314.15,318.0,318.8,68679.0,218.68
2018-02-28,313.6,318.4,307.05,315.15,316.55,111882.0,348.95
2018-02-27,316.0,318.75,310.45,313.95,313.25,49171.0,153.92
2018-02-26,319.7,324.0,315.3,315.65,315.85,132233.0,422.72
2018-02-23,313.05,322.85,309.55,319.8,319.7,149842.0,470.92
2018-02-22,310.05,317.0,309.95,311.9,311.1,59199.0,184.21
2018-02-21,321.2,321.25,307.9,313.2,313.3,373205.0,1177.96
2018-02-20,318.0,323.7,317.55,320.0,319.35,165703.0,529.62
2018-02-19,325.0,325.0,312.5,318.0,317.35,33637.0,106.23
2018-02-16,325.0,327.55,319.15,322.5,321.2,62722.0,201.65
2018-02-15,325.05,331.1,320.0,326.0,323.45,162034.0,525.87
2018-02-14,328.8,329.2,321.9,322.5,323.35,44850.0,145.71
2018-02-12,326.45,329.95,322.0,324.1,324.8,75020.0,244.7
2018-02-09,323.8,333.25,319.8,325.0,326.45,105144.0,344.88
2018-02-08,316.65,339.0,314.7,335.0,326.5,117264.0,377.24
2018-02-07,322.0,326.0,312.0,315.45,316.65,120593.0,384.85
2018-02-06,318.0,319.9,306.9,316.0,316.1,104134.0,326.74
2018-02-05,313.1,352.0,308.3,318.8,319.45,97328.0,311.18
2018-02-02,324.0,328.9,308.25,318.0,318.65,157186.0,501.04
2018-02-01,334.0,334.0,324.0,327.4,327.35,83104.0,273.03
2018-01-31,325.2,337.5,320.55,332.0,328.45,228555.0,752.73
2018-01-30,331.0,331.25,321.9,325.6,325.2,83040.0,270.3
2018-01-29,343.1,345.9,328.5,329.5,330.3,128593.0,429.55
2018-01-25,344.0,350.55,340.1,342.45,342.05,270072.0,928.2
2018-01-24,351.9,351.9,340.5,345.6,344.55,149800.0,517.35
2018-01-23,352.65,353.45,343.55,351.0,350.95,310483.0,1085.98
2018-01-22,356.0,360.0,348.1,349.1,349.5,102328.0,359.57
2018-01-19,364.0,364.5,352.65,359.8,358.75,74361.0,266.32
2018-01-18,365.0,367.85,351.0,357.25,357.25,92983.0,334.15
2018-01-17,365.9,370.85,358.1,363.5,364.55,83715.0,305.05
2018-01-16,376.5,377.5,364.5,365.85,366.55,99803.0,368.57
2018-01-15,381.0,382.5,373.0,374.55,374.65,71272.0,269.5
2018-01-12,375.05,385.7,366.3,377.6,379.15,356324.0,1347.18
2018-01-11,375.0,378.0,372.05,372.5,373.2,83912.0,313.96
2018-01-10,383.0,385.8,375.0,375.55,377.05,169230.0,643.01
2018-01-09,384.15,386.0,380.3,382.4,383.2,66663.0,255.34
2018-01-08,388.5,390.05,381.0,383.55,383.6,70201.0,270.01
2018-01-05,382.0,392.0,380.0,382.55,382.8,187512.0,724.63
2018-01-04,385.6,385.7,377.6,382.0,379.75,120259.0,457.11
2018-01-03,382.0,385.0,379.95,383.0,382.55,85790.0,328.36
2018-01-02,386.0,387.95,378.0,380.25,380.8,145004.0,554.48
2018-01-01,369.1,385.0,369.0,380.75,379.2,170864.0,649.91
2017-12-29,372.05,376.1,366.75,372.85,371.1,64977.0,241.33
2017-12-28,375.8,378.0,370.1,372.0,370.9,79191.0,296.37
2017-12-27,364.0,376.0,362.05,375.55,373.8,319154.0,1185.07
2017-12-26,356.9,365.55,355.55,362.4,362.05,284630.0,1024.87
2017-12-22,353.05,355.9,346.5,349.5,350.4,82647.0,289.65
2017-12-21,354.0,356.25,348.5,352.6,353.8,95763.0,336.95
2017-12-20,353.0,358.0,352.05,352.6,352.95,63306.0,224.33
2017-12-19,350.0,358.0,348.0,353.0,352.05,167635.0,592.64
2017-12-18,343.15,353.0,337.0,349.65,349.6,87670.0,305.21
2017-12-15,352.0,355.45,341.25,342.0,343.15,104782.0,364.01
2017-12-14,356.0,356.15,344.15,345.0,347.5,78509.0,273.68
2017-12-13,361.75,361.75,352.0,353.0,352.85,64218.0,228.69
2017-12-12,365.9,365.9,359.35,360.0,360.0,84717.0,305.67
2017-12-11,374.9,374.9,361.05,362.95,363.15,88526.0,323.37
2017-12-08,363.0,374.0,362.0,372.8,371.8,122644.0,453.55
2017-12-07,355.1,362.8,355.1,362.7,361.0,49608.0,178.12
2017-12-06,356.5,364.75,352.15,354.3,354.55,208940.0,754.28
2017-12-05,365.0,365.0,349.0,355.0,355.55,110422.0,392.95
2017-12-04,367.8,369.0,360.1,366.0,364.1,89139.0,324.28
2017-12-01,371.75,374.0,362.5,364.7,364.25,85010.0,312.95
2017-11-30,370.9,373.5,368.0,369.9,369.1,110097.0,408.75
2017-11-29,373.4,374.5,369.0,370.0,370.65,167553.0,624.65
2017-11-28,371.8,375.0,369.0,371.0,371.45,147224.0,548.85
2017-11-27,372.2,375.9,366.0,367.9,367.7,89550.0,332.51
2017-11-24,368.9,380.4,366.0,369.75,371.25,434030.0,1620.45
2017-11-23,361.45,368.0,358.45,364.35,366.3,393566.0,1423.15
2017-11-22,363.1,366.5,360.0,361.2,361.45,105055.0,380.34
2017-11-21,366.85,366.85,363.35,364.05,364.9,69866.0,255.15
2017-11-20,364.0,367.0,363.0,365.0,364.9,110035.0,401.67
2017-11-17,370.2,370.2,363.0,364.0,363.95,154323.0,563.78
2017-11-16,369.0,374.1,365.35,365.5,366.7,93757.0,346.08
2017-11-15,370.0,376.2,368.1,370.0,369.35,140329.0,522.17
2017-11-14,371.0,374.6,368.0,373.0,370.95,82345.0,305.46
2017-11-13,370.0,385.95,369.0,370.9,371.05,366364.0,1389.51
2017-11-10,372.95,376.95,367.0,370.25,370.8,84571.0,314.4
2017-11-09,377.0,380.0,366.05,372.0,371.05,212704.0,795.33
2017-11-08,366.0,383.4,360.0,374.0,373.35,527409.0,1970.14
2017-11-07,372.05,374.9,364.0,364.35,365.6,69195.0,254.65
2017-11-06,371.9,374.9,367.0,370.15,372.0,59865.0,222.31
2017-11-03,368.0,376.0,365.25,370.5,370.15,186873.0,695.16
2017-11-02,374.85,374.9,362.0,366.0,365.2,133240.0,490.32
2017-11-01,375.0,379.95,371.1,372.5,372.45,111929.0,419.76
2017-10-31,373.0,378.25,370.0,372.6,371.85,181044.0,678.05
2017-10-30,369.8,375.0,366.3,372.5,372.25,165549.0,616.15
2017-10-27,375.95,382.5,365.25,365.9,369.45,518853.0,1946.59
2017-10-26,370.0,380.5,368.0,373.0,375.15,401669.0,1509.16
2017-10-25,361.0,375.95,353.05,367.0,368.6,1000331.0,3675.99
2017-10-24,356.5,371.0,351.0,359.0,358.2,565407.0,2053.03
2017-10-23,352.5,356.0,347.1,354.8,354.85,124568.0,438.46
2017-10-19,350.0,354.9,349.9,352.95,352.35,20522.0,72.36
2017-10-18,354.9,357.4,348.65,348.65,349.9,67487.0,237.85
2017-10-17,350.0,357.45,346.25,352.1,354.7,128657.0,453.55
2017-10-16,353.0,362.2,348.3,349.95,351.1,170771.0,607.2
2017-10-13,362.6,362.6,352.0,355.0,354.2,69361.0,247.29
2017-10-12,362.0,369.5,358.5,359.3,359.95,200714.0,731.79
2017-10-11,361.0,369.9,357.6,360.1,359.7,447718.0,1628.28
2017-10-10,361.2,366.95,355.5,358.5,358.6,164809.0,593.13
2017-10-09,363.0,367.65,360.0,361.55,361.25,116163.0,422.52
2017-10-06,346.15,362.9,346.15,361.1,361.7,269509.0,959.57
2017-10-05,348.0,352.0,345.1,345.1,346.65,90707.0,315.8
2017-10-04,347.35,354.4,343.0,347.0,348.55,129598.0,450.23
2017-10-03,347.8,350.8,344.15,346.9,346.75,109707.0,380.67
2017-09-29,340.9,353.7,340.25,344.05,343.1,132165.0,457.48
2017-09-28,338.0,343.4,332.8,343.0,338.65,157784.0,533.79
2017-09-27,341.4,349.4,336.05,336.85,337.35,237979.0,818.75
2017-09-26,340.0,346.5,337.5,342.0,340.6,215195.0,736.69
2017-09-25,347.0,349.95,333.9,340.35,340.05,193906.0,656.91
2017-09-22,362.0,363.8,345.6,347.35,348.65,257177.0,919.61
2017-09-21,358.35,367.4,349.8,364.5,365.05,273655.0,983.3
2017-09-20,364.0,364.65,349.85,359.4,358.35,303006.0,1082.14
2017-09-19,360.0,372.7,358.1,364.0,365.2,501711.0,1836.54
2017-09-18,364.25,366.5,358.0,359.0,359.15,285903.0,1033.3
2017-09-15,353.5,363.3,348.3,358.9,359.8,720276.0,2570.05
2017-09-14,334.5,359.95,334.5,353.55,353.5,1044081.0,3665.66
2017-09-13,332.55,345.0,332.55,334.3,334.2,410175.0,1390.61
2017-09-12,334.7,340.8,334.0,335.9,335.25,144528.0,488.3
2017-09-11,340.1,344.0,332.1,333.65,334.1,156717.0,529.16
2017-09-08,343.95,348.0,338.0,340.5,340.55,168736.0,579.59
2017-09-07,328.05,344.0,328.05,342.0,341.0,341441.0,1158.71
2017-09-06,328.0,333.95,325.2,329.0,329.5,125614.0,414.37
2017-09-05,325.0,336.7,324.35,330.5,330.65,240187.0,796.88
2017-09-04,327.0,330.9,321.2,322.6,323.45,88686.0,289.16
2017-09-01,322.8,331.0,322.8,327.2,327.15,77748.0,255.05
2017-08-31,321.0,330.0,321.0,325.0,323.75,106944.0,348.65
2017-08-30,321.05,324.9,318.05,320.6,321.05,128710.0,413.67
2017-08-29,319.75,320.8,313.5,319.0,316.45,129309.0,410.15
2017-08-28,318.2,322.4,316.05,320.2,320.1,175340.0,562.38
2017-08-24,325.0,325.0,313.65,314.8,315.4,132864.0,424.53
2017-08-23,321.6,326.5,319.4,322.2,322.95,87147.0,281.65
2017-08-22,325.55,328.0,319.15,319.6,319.9,56800.0,183.28
2017-08-21,324.65,333.25,322.0,325.2,323.9,149119.0,489.36
2017-08-18,335.6,335.6,323.1,324.25,324.85,152494.0,498.93
2017-08-17,323.05,340.0,323.0,338.0,336.65,411036.0,1367.74
2017-08-16,309.0,324.8,309.0,324.2,322.9,200321.0,638.44
2017-08-14,300.95,310.5,300.35,310.0,308.95,118426.0,364.91
2017-08-11,298.0,306.35,297.95,299.45,299.4,154140.0,466.12
2017-08-10,305.65,308.95,299.0,303.5,302.55,174583.0,531.66
2017-08-09,311.05,312.95,305.65,306.0,307.4,200690.0,621.45
2017-08-08,315.05,318.9,310.25,311.75,312.7,178806.0,562.1
2017-08-07,320.5,324.5,313.0,314.0,314.5,185620.0,589.83
2017-08-04,332.0,337.0,318.05,319.3,320.0,489252.0,1595.77
2017-08-03,334.45,336.0,328.5,330.0,330.0,270100.0,899.94
2017-08-02,339.0,345.3,332.55,333.2,334.75,166861.0,565.61
2017-08-01,338.0,345.05,337.5,338.8,338.65,247795.0,845.54
2017-07-31,330.95,339.5,330.0,338.0,336.85,362629.0,1220.05
2017-07-28,319.0,333.0,319.0,329.9,329.05,347645.0,1137.36
2017-07-27,321.95,323.05,316.6,318.0,318.8,84216.0,269.63
2017-07-26,323.9,327.0,319.6,320.0,320.5,116002.0,374.55
2017-07-25,321.05,326.0,319.6,322.0,321.45,123565.0,397.94
2017-07-24,324.45,328.8,318.8,319.4,319.95,114394.0,370.55
2017-07-21,324.8,325.85,317.25,322.35,323.1,194235.0,625.87
2017-07-20,323.1,332.35,322.0,323.4,324.0,260937.0,853.26
2017-07-19,329.4,330.9,321.3,321.3,322.4,176269.0,572.87
2017-07-18,318.0,327.95,313.0,327.5,325.9,324977.0,1046.94
2017-07-17,314.25,320.0,313.0,317.0,318.5,120474.0,380.96
2017-07-14,317.1,318.0,313.05,313.55,314.5,131682.0,414.04
2017-07-13,313.0,317.95,311.5,317.0,315.4,132127.0,415.41
2017-07-12,315.05,316.9,310.0,312.95,312.9,130954.0,410.25
2017-07-11,317.1,322.0,313.3,314.4,314.45,148244.0,470.78
2017-07-10,317.0,319.0,312.6,314.0,313.9,20906.0,65.83
2017-07-07,314.0,321.7,310.8,315.2,315.5,294481.0,935.86
2017-07-06,315.95,318.1,312.15,312.7,313.05,84102.0,265.07
2017-07-05,315.5,319.5,313.5,314.5,314.2,135730.0,429.87
2017-07-04,317.0,317.5,306.0,315.15,315.05,313566.0,975.93
2017-07-03,312.35,318.25,309.0,315.4,315.3,166681.0,524.84
2017-06-30,302.0,311.0,301.3,309.0,309.45,214167.0,658.27
2017-06-29,299.4,308.65,294.0,307.7,300.75,336576.0,1004.14
2017-06-28,296.0,303.0,294.0,296.7,296.55,186861.0,558.46
2017-06-27,310.05,313.0,296.0,297.0,297.8,341734.0,1032.26
2017-06-23,321.95,324.45,308.2,309.95,309.95,331147.0,1039.99
2017-06-22,325.1,330.7,316.4,316.8,317.25,160662.0,519.52
2017-06-21,321.0,331.0,315.0,325.4,326.5,773664.0,2480.17
2017-06-20,326.0,326.0,319.0,319.5,319.6,133216.0,427.82
2017-06-19,331.0,332.0,323.15,323.5,323.75,115155.0,375.54
2017-06-16,332.55,336.0,327.15,327.85,329.25,165317.0,547.54
2017-06-15,327.0,337.9,327.0,328.3,329.9,318244.0,1055.86
2017-06-14,328.1,330.0,322.8,326.0,326.75,67892.0,221.61
2017-06-13,330.0,332.95,324.1,327.4,326.7,121993.0,400.96
2017-06-12,327.0,333.75,322.0,327.0,326.75,205840.0,677.14
2017-06-09,327.5,333.0,326.0,328.5,327.0,134603.0,444.08
2017-06-08,324.1,330.0,321.65,327.6,327.5,168976.0,548.72
2017-06-07,324.0,329.35,321.6,321.6,322.75,108266.0,352.35
2017-06-06,330.0,333.0,325.3,327.0,326.75,122476.0,401.9
2017-06-05,330.0,334.95,328.2,330.0,329.35,67957.0,225.16
2017-06-02,335.0,335.0,329.1,329.3,330.15,69941.0,232.39
2017-06-01,338.0,339.8,329.55,332.25,333.1,230569.0,769.64
2017-05-31,318.4,337.0,316.15,335.55,334.75,424695.0,1409.2
2017-05-30,311.0,322.0,310.55,316.65,316.45,173264.0,551.27
2017-05-29,324.25,327.0,309.05,312.5,311.25,293526.0,930.24
2017-05-26,322.8,326.2,320.05,323.05,324.25,104283.0,337.41
