Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,139.3,143.5,139.3,141.8,141.7,1480862.0,2103.43
2018-03-12,140.4,142.55,139.5,141.65,141.6,1061418.0,1497.8
2018-03-09,140.95,142.0,138.9,140.0,139.6,971703.0,1368.06
2018-03-08,141.0,142.45,136.85,141.0,140.9,929888.0,1304.17
2018-03-07,140.8,141.95,136.4,139.75,140.3,2520830.0,3521.87
2018-03-06,145.5,147.25,139.75,141.35,141.45,1519814.0,2172.21
2018-03-05,145.4,147.0,143.15,145.0,145.35,1104806.0,1598.87
2018-03-01,148.0,150.3,145.4,146.5,146.15,950004.0,1405.02
2018-02-28,148.75,150.75,147.1,148.7,149.0,1102586.0,1643.61
2018-02-27,147.2,152.05,146.5,149.5,149.45,2265558.0,3389.43
2018-02-26,142.35,148.0,141.95,147.75,147.45,1521773.0,2212.49
2018-02-23,139.95,142.2,139.2,141.2,141.25,1349967.0,1902.62
2018-02-22,140.0,140.85,138.1,138.2,139.15,1436083.0,2002.57
2018-02-21,143.75,144.65,138.6,140.65,140.0,791256.0,1119.24
2018-02-20,143.0,145.0,141.55,144.5,143.75,1015889.0,1455.51
2018-02-19,144.9,147.0,139.85,143.5,143.3,2319062.0,3329.09
2018-02-16,147.05,148.4,143.9,146.0,145.4,1722435.0,2513.48
2018-02-15,144.0,147.65,143.0,147.0,147.05,2150601.0,3151.14
2018-02-14,146.0,146.0,142.35,143.8,144.05,1525530.0,2195.31
2018-02-12,142.5,145.9,142.5,145.0,144.45,1380479.0,1997.59
2018-02-09,138.4,142.95,138.1,141.2,141.25,1727350.0,2438.69
2018-02-08,140.9,144.4,139.5,142.45,142.45,1593499.0,2269.69
2018-02-07,139.9,140.85,136.45,139.25,139.6,1783389.0,2480.66
2018-02-06,132.0,139.2,129.3,136.65,136.75,5560449.0,7418.22
2018-02-05,138.0,140.05,134.4,138.6,138.9,4148881.0,5698.99
2018-02-02,150.1,150.1,137.0,141.3,140.85,5134593.0,7319.3
2018-02-01,146.5,154.0,144.2,151.25,150.9,3800116.0,5691.92
2018-01-31,149.1,151.35,146.4,148.0,148.35,2366328.0,3530.84
2018-01-30,145.55,152.5,145.5,150.4,150.55,2500207.0,3757.24
2018-01-29,146.6,149.5,146.55,147.8,147.75,1275363.0,1887.84
2018-01-25,149.6,151.2,145.3,146.55,145.9,2382923.0,3517.61
2018-01-24,152.1,152.5,149.0,149.45,149.35,1418470.0,2127.51
2018-01-23,154.0,154.6,148.8,152.05,152.65,3305018.0,5015.17
2018-01-22,154.3,155.3,152.2,152.2,153.2,1309966.0,2011.54
2018-01-19,151.05,155.95,150.0,154.8,155.15,2363308.0,3618.0
2018-01-18,159.0,159.2,148.45,151.0,150.9,3229025.0,4979.67
2018-01-17,151.7,155.9,147.35,153.3,153.4,3188054.0,4882.11
2018-01-16,164.0,164.2,149.4,152.8,152.0,5337124.0,8273.4
2018-01-15,165.0,166.65,163.25,164.1,164.25,3673079.0,6056.83
2018-01-12,160.65,165.0,156.35,163.1,163.25,5262679.0,8551.78
2018-01-11,157.0,162.9,156.0,160.55,160.5,3381799.0,5434.51
2018-01-10,158.2,161.2,154.65,156.5,156.5,2060882.0,3242.67
2018-01-09,162.75,162.85,157.1,159.1,159.3,2556331.0,4091.63
2018-01-08,159.4,164.2,154.75,162.0,162.7,7004431.0,11181.35
2018-01-05,146.25,158.4,146.25,157.45,157.15,10688496.0,16452.66
2018-01-04,144.95,148.05,144.95,146.5,146.25,1804363.0,2647.47
2018-01-03,146.3,147.5,143.65,144.85,144.8,1244983.0,1813.09
2018-01-02,147.75,148.3,144.3,146.15,146.25,823939.0,1203.14
2018-01-01,149.5,151.45,146.6,147.65,147.5,2009096.0,3002.16
2017-12-29,148.95,150.25,147.1,147.95,148.05,1104122.0,1642.6
2017-12-28,148.5,149.5,145.6,148.75,148.65,2015956.0,2984.7
2017-12-27,142.9,150.4,142.25,147.2,147.35,3928177.0,5779.19
2017-12-26,144.35,145.15,142.05,142.55,142.45,1200034.0,1716.71
2017-12-22,146.4,147.1,143.05,143.7,143.95,1172470.0,1700.47
2017-12-21,144.4,146.6,143.6,144.7,145.6,1882283.0,2733.51
2017-12-20,141.35,145.0,140.7,144.2,144.05,1994454.0,2859.8
2017-12-19,140.0,141.75,139.4,141.1,140.8,1113024.0,1562.36
2017-12-18,135.2,141.95,133.3,139.4,139.6,1505909.0,2096.94
2017-12-15,138.0,140.9,136.25,139.5,139.45,1578498.0,2194.46
2017-12-14,137.5,137.5,133.35,135.7,135.65,1468847.0,1986.77
2017-12-13,139.0,139.2,136.15,136.65,136.65,1092281.0,1503.1
2017-12-12,141.2,141.8,138.25,139.0,139.05,1231255.0,1722.1
2017-12-11,143.0,143.2,140.9,141.75,141.2,714104.0,1011.76
2017-12-08,141.5,143.9,141.3,142.15,142.0,980762.0,1396.91
