Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2018-03-13,828.95,849.0,820.1,823.4,826.1,570500.0,4773.29
2018-03-12,801.5,832.45,797.3,821.95,823.1,331132.0,2704.57
2018-03-09,797.3,806.95,788.95,800.0,799.85,106695.0,853.67
2018-03-08,799.75,814.0,795.0,800.0,799.9,197782.0,1582.97
2018-03-07,813.55,814.0,796.55,799.5,799.75,68208.0,550.39
2018-03-06,804.9,819.75,796.7,799.0,801.5,171349.0,1386.52
2018-03-05,767.1,807.95,755.0,792.0,796.8,200830.0,1563.68
2018-03-01,753.0,769.0,745.0,755.5,755.9,16991.0,128.91
2018-02-28,729.15,770.0,723.5,755.0,753.45,269793.0,1980.52
2018-02-27,733.0,745.0,727.1,728.0,730.4,115951.0,848.43
2018-02-26,737.1,746.35,723.0,728.85,731.05,108128.0,797.34
2018-02-23,740.95,743.6,732.0,735.0,736.45,10829.0,79.61
2018-02-22,735.05,746.65,730.0,732.65,734.6,35040.0,259.91
2018-02-21,740.0,754.0,730.0,754.0,747.95,15715.0,116.28
2018-02-20,742.0,751.0,726.05,749.4,748.35,19264.0,142.46
2018-02-19,753.9,753.9,724.55,730.0,733.6,24111.0,177.16
2018-02-16,754.6,755.85,738.75,743.5,741.5,18651.0,138.86
2018-02-15,769.0,769.0,742.35,745.5,748.7,57240.0,434.86
2018-02-14,778.9,784.0,758.0,758.0,761.7,40780.0,314.19
2018-02-12,769.9,778.0,760.0,760.05,765.85,34318.0,263.76
2018-02-09,758.0,771.8,754.8,758.0,761.2,14881.0,113.86
2018-02-08,770.0,779.0,761.85,770.1,769.1,446029.0,3424.61
2018-02-07,755.0,784.35,755.0,758.0,763.95,11760.0,90.39
2018-02-06,720.0,763.05,720.0,751.0,754.7,293501.0,2188.45
2018-02-05,751.1,787.0,712.3,784.0,779.7,79351.0,597.8
2018-02-02,764.6,773.85,720.05,758.6,758.65,85247.0,639.48
2018-02-01,782.9,785.9,757.85,765.0,764.6,43226.0,332.56
2018-01-31,775.0,787.9,773.4,784.8,782.2,90355.0,703.73
2018-01-30,789.8,789.8,766.55,775.95,778.35,73878.0,572.19
2018-01-29,774.85,799.0,773.05,787.0,793.5,62623.0,493.78
2018-01-25,785.05,788.4,770.0,775.0,774.85,29224.0,226.66
2018-01-24,780.95,795.0,775.65,790.0,785.0,66956.0,525.47
2018-01-23,771.6,792.05,769.6,781.05,782.75,120474.0,937.28
2018-01-22,779.9,784.9,766.0,769.5,768.0,29841.0,230.83
2018-01-19,774.9,785.0,766.55,772.0,780.0,27536.0,213.52
2018-01-18,790.6,798.75,766.0,766.05,769.95,47355.0,370.15
2018-01-17,779.0,795.05,765.0,786.15,787.8,60998.0,475.19
2018-01-16,788.7,792.9,770.0,784.3,784.5,59447.0,464.02
2018-01-15,800.0,817.4,775.0,787.0,782.8,89579.0,707.07
2018-01-12,796.1,813.0,790.0,800.0,800.4,60763.0,487.09
2018-01-11,785.0,827.4,785.0,795.0,796.25,239654.0,1943.19
2018-01-10,785.0,799.8,781.0,786.0,785.15,41997.0,331.82
2018-01-09,790.0,798.0,780.0,780.05,783.3,49927.0,393.2
2018-01-08,791.0,804.7,782.1,787.7,787.9,54750.0,434.05
2018-01-05,796.95,799.7,785.2,787.65,787.3,71337.0,563.34
2018-01-04,784.95,828.75,779.95,786.2,796.0,946645.0,7563.11
2018-01-03,780.0,794.75,778.0,778.0,781.6,19164.0,150.42
2018-01-02,796.7,796.7,774.0,778.0,779.0,22573.0,177.06
2018-01-01,796.0,807.95,779.05,782.0,783.85,39271.0,312.3
2017-12-29,778.0,815.25,764.0,813.0,794.35,215480.0,1703.02
2017-12-28,799.8,799.8,775.1,779.0,778.45,28806.0,225.77
2017-12-27,766.0,819.85,762.6,797.0,795.75,204907.0,1632.06
2017-12-26,775.0,777.1,752.25,762.55,760.8,58726.0,446.72
2017-12-22,785.9,785.9,765.0,765.7,766.95,31499.0,242.68
2017-12-21,776.05,788.0,769.0,770.35,773.9,44263.0,343.94
2017-12-20,782.0,788.35,770.0,780.0,776.4,49910.0,388.29
2017-12-19,778.6,793.0,778.0,780.0,780.25,441436.0,3444.27
2017-12-18,791.85,793.85,741.55,777.0,778.7,27832.0,216.61
2017-12-15,774.0,796.0,769.95,783.0,786.25,47516.0,372.67
2017-12-14,787.95,787.95,762.0,766.7,768.75,55800.0,431.36
